user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
Naam,https://api.github.com/repos/isar/isar/pulls/1571,https://api.github.com/repos/isar/isar/issues/1571,open,2024-03-05,2024-03-05,,35690b62c4b9f328424c1bc3bbe91fd78eb55821
ettaegbe,https://api.github.com/repos/isar/isar/pulls/1569,https://api.github.com/repos/isar/isar/issues/1569,open,2024-02-27,2024-03-05,,913fec8235d3e63e30141189832c48491c8d888e
Jtplouffe,https://api.github.com/repos/isar/isar/pulls/1567,https://api.github.com/repos/isar/isar/issues/1567,open,2024-02-24,2024-03-05,,bf163767bb6601d7d0f4323262e72267c2d7dc84
mrclauss,https://api.github.com/repos/isar/isar/pulls/1566,https://api.github.com/repos/isar/isar/issues/1566,open,2024-02-24,2024-03-06,,37626dc2cfc5426564a9297a110b5d55be99f903
Jtplouffe,https://api.github.com/repos/isar/isar/pulls/1565,https://api.github.com/repos/isar/isar/issues/1565,open,2024-02-23,2024-02-23,,5402d6a00fe7fd38e7f8d243d80c10671747c59c
Mobterest,https://api.github.com/repos/isar/isar/pulls/1546,https://api.github.com/repos/isar/isar/issues/1546,open,2024-01-20,2024-03-05,,f99d8ec5d7e8f99a3712df484f75fc7a9725868f
Jtplouffe,https://api.github.com/repos/isar/isar/pulls/1545,https://api.github.com/repos/isar/isar/issues/1545,closed,2024-01-20,2024-01-23,2024-01-23,04886f692d6e1935e695ae993f77848b023dfb80
Jtplouffe,https://api.github.com/repos/isar/isar/pulls/1542,https://api.github.com/repos/isar/isar/issues/1542,open,2024-01-13,2024-01-20,,4565b2682c1b236decf8b7232e7d4bbf1a4db634
vipranarayan14,https://api.github.com/repos/isar/isar/pulls/1523,https://api.github.com/repos/isar/isar/issues/1523,open,2024-01-01,2024-01-01,,0d57c8331a4aa49fbc1ec50039009bcb101c20aa
Bohne13,https://api.github.com/repos/isar/isar/pulls/1522,https://api.github.com/repos/isar/isar/issues/1522,open,2023-12-30,2024-02-18,,0367f38b502271a4525c948e4ba325642d0253de
ffabss,https://api.github.com/repos/isar/isar/pulls/1482,https://api.github.com/repos/isar/isar/issues/1482,open,2023-11-06,2023-11-21,,9584a3cc87cad26b9c6cf64086275589810fcd22
shake551,https://api.github.com/repos/isar/isar/pulls/1477,https://api.github.com/repos/isar/isar/issues/1477,open,2023-10-31,2023-11-21,,be2c7a2d106da2ab28a40385d1ba0ca0ceb640d6
goevexx,https://api.github.com/repos/isar/isar/pulls/1433,https://api.github.com/repos/isar/isar/issues/1433,open,2023-09-15,2023-09-15,,a5198918bf301489e3b9e96d4a98677e29dcbc1f
tomasweigenast,https://api.github.com/repos/isar/isar/pulls/1415,https://api.github.com/repos/isar/isar/issues/1415,open,2023-09-02,2023-09-02,,5268ae945eee110c72deac120177b81c2ad3120c
elliotwutingfeng,https://api.github.com/repos/isar/isar/pulls/1403,https://api.github.com/repos/isar/isar/issues/1403,closed,2023-08-21,2023-08-21,,1da889815235c4ede913c3c933411894555024bf
simc,https://api.github.com/repos/isar/isar/pulls/1402,https://api.github.com/repos/isar/isar/issues/1402,closed,2023-08-20,2023-08-21,,c2c2a7267eb371f8b584debb50963b7fc870b853
simc,https://api.github.com/repos/isar/isar/pulls/1401,https://api.github.com/repos/isar/isar/issues/1401,closed,2023-08-20,2023-08-20,2023-08-20,083af44a66801d9b38c2dab4a5cf6c4bc7c787b8
