user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/254,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/254,closed,2024-03-02,2024-03-02,2024-03-02,d39e200d576e9dd618da4221908616c8c0bf3fd7
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/253,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/253,closed,2024-03-02,2024-03-02,2024-03-02,261a5e039437d9f9e0a8ed226a8bb79eefe59acf
Riyaancode,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/252,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/252,closed,2024-02-14,2024-02-14,,
mvandermeulen,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/251,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/251,closed,2024-02-11,2024-02-11,,
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/250,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/250,closed,2024-02-09,2024-02-22,2024-02-09,452bf1693830cbb8b439a1973363d11924ef4f9d
github-actions[bot],https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/249,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/249,closed,2024-02-09,2024-02-22,2024-02-09,ed9c0fe2e7ac20c4451b6e4bbc2a0e8687746b15
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/248,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/248,closed,2024-02-09,2024-02-09,2024-02-09,af67fce697e70aba5f0dfc2158c3da1068d61569
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/247,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/247,closed,2024-02-07,2024-02-09,2024-02-07,a8d22d5b5c9a6f9665989b6b0b737ebf36f7700c
github-actions[bot],https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/246,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/246,closed,2024-02-01,2024-02-01,,9da9d28d51033136594e2b983db183ddea2e93bd
github-actions[bot],https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/244,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/244,closed,2024-01-25,2024-02-07,2024-01-25,01c67d1ae1d62bbb2f659edfff393b561cf4510a
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/243,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/243,closed,2024-01-25,2024-02-07,2024-01-25,2ff891c0d4937dfa10c804406daf23227245be6d
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/241,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/241,closed,2024-01-21,2024-02-07,2024-01-21,50300189d4d6229d3b90515be20ae01ea2063181
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/240,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/240,closed,2024-01-21,2024-02-07,2024-01-21,e3c5458c746d8e9b715bdc2dd9410c769dbb2736
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/239,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/239,closed,2024-01-18,2024-01-19,2024-01-19,91bf42e5efa0fb8b7ff677be4463c6c7879e5d85
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/238,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/238,closed,2024-01-17,2024-01-26,,42e232fcc735bed57f9732cfb08b99d5d4f3629a
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/237,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/237,closed,2024-01-17,2024-01-19,2024-01-17,8718a7464274e5adde0fce1043ebdbdcd52cb2f5
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/236,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/236,closed,2024-01-17,2024-01-19,2024-01-17,20aea2d78e4a6388175336319892d4268ea9ffdc
github-actions[bot],https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/234,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/234,closed,2024-01-15,2024-01-19,2024-01-15,c5af1c3f8a6c62b60e6f7b3168b88a4a82b0cfa9
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/233,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/233,closed,2024-01-15,2024-01-19,2024-01-15,b20911872a2fa9630da9d48e37506365ca2c2b88
francoismassart,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/232,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/232,closed,2024-01-15,2024-01-19,2024-01-15,723854243658acd6ed24b0535827cc947892a951
github-actions[bot],https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/231,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/231,closed,2024-01-12,2024-01-13,2024-01-12,6a6957626b9f9b3d04a338c1a39c4a36fa4fbf8a
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/230,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/230,closed,2024-01-12,2024-01-13,2024-01-12,67a10d15f161ced0b2288dfaf7250c160e164dc7
JacobMGEvans,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/229,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/229,open,2024-01-11,2024-01-26,,c54fbeffd172039e3833b07511af2772a8aff188
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/228,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/228,closed,2024-01-10,2024-01-10,2024-01-10,5f910246375660f5816e6624fa1de54a462f5359
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/227,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/227,closed,2024-01-08,2024-02-07,2024-02-07,972fb41b2a2d2093c4f185a0a5f0cd5cc22948b0
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/226,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/226,closed,2024-01-07,2024-01-07,2024-01-07,db8faee5071c79624bb326aee01bef329c0737b5
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/225,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/225,closed,2024-01-06,2024-01-06,2024-01-06,4c4e811377cf14d3696fe568a2b87caa6f31d400
github-actions[bot],https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/224,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/224,closed,2024-01-06,2024-01-06,2024-01-06,b28f943b6ee71ed8eb8a9eeefe296417acb0c5d5
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/223,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/223,closed,2024-01-06,2024-01-06,2024-01-06,c341aead8c6e53be2885a08819064811163803ea
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/221,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/221,closed,2024-01-03,2024-01-03,2024-01-03,2ffa9dd67f7feaa242f3e1f5aad9018d4cfdacae
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/220,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/220,closed,2024-01-03,2024-01-03,2024-01-03,1ac64ef351734c00a39f2d47829cac2b3ac7cc47
github-actions[bot],https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/219,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/219,closed,2024-01-01,2024-01-03,2024-01-01,3043cd715b00a9f9d791c9d221fcaaac5f6de1c8
andrii-bodnar,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/217,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/217,closed,2023-12-27,2024-01-03,2023-12-27,766d62cd0c576369a754ab2266e912d8eec70485
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/216,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/216,closed,2023-12-27,2023-12-27,2023-12-27,cd262848951dce3603bfda733f618f1b6c5b30d2
github-actions[bot],https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/215,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/215,closed,2023-12-27,2024-01-03,2023-12-27,ee211f97292a1e7412053cb1b2a505f431ec318d
github-actions[bot],https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/214,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/214,closed,2023-12-25,2023-12-27,2023-12-25,df2908af38e357125dc538c0f77ff9044ac82abe
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/213,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/213,closed,2023-12-22,2023-12-22,2023-12-22,5f81336265856a13472f172a2e96146ade5b96b7
luishdez,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/212,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/212,closed,2023-12-20,2023-12-20,2023-12-20,25d2750ab074ba05b8adea7e1d0f09b3d152f8d9
github-actions[bot],https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/211,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/211,closed,2023-12-19,2023-12-20,2023-12-19,19f23dbf9a160d182a6e569cacd294e5e076c028
sunxyw,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/210,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/210,closed,2023-12-16,2023-12-17,2023-12-17,6c1ca05e8e1a42dabd1e47c2255383b14070499b
github-actions[bot],https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/207,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/207,closed,2023-12-14,2023-12-17,2023-12-14,04fba59b5a4061e015a8796412dbfd3bbaeeeecf
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/206,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/206,closed,2023-12-13,2023-12-17,2023-12-14,b42d13c320980eca7ba943a3ce29aba54edfd264
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/205,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/205,closed,2023-12-13,2023-12-17,2023-12-13,b5a3c580fe26e0edc7cc682addc2a855093f9754
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/204,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/204,closed,2023-12-12,2023-12-17,2023-12-12,9ec5579947e81689c50dd8f3c5735e0c6c2c56c3
github-actions[bot],https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/203,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/203,closed,2023-12-12,2023-12-17,2023-12-12,00df9803a5f042ba8bc741e691e017706c85c0f5
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/202,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/202,closed,2023-12-12,2023-12-17,2023-12-12,6c5a488d951ea5087fa62c64fca1242c746c2f88
github-actions[bot],https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/201,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/201,closed,2023-12-12,2023-12-12,,1524cd73e0ac46ddad147755c60df125508cf6f1
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/200,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/200,closed,2023-12-12,2023-12-17,2023-12-12,94835dfff8c633e61b4c14326bf954a8d8488649
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/199,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/199,closed,2023-12-12,2023-12-17,2023-12-12,c53ea960aa209ab05eb8a87f46a1bcdab0ebffa6
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/198,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/198,closed,2023-12-12,2023-12-12,2023-12-12,dc6e8d6b3b38d62a50f4af1f5e249c35f1b3adae
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/197,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/197,closed,2023-12-12,2023-12-20,2023-12-20,f7af7b4f7b60b9555f359100cc62255e9e3c1839
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/196,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/196,closed,2023-12-07,2023-12-08,2023-12-08,ca19f18be5b9cf50b77b15ed6e9a0593686255aa
github-actions[bot],https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/195,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/195,closed,2023-12-01,2023-12-08,2023-12-01,48c12c4b3ebc5772d265b0cf025d31c204e3e9cc
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/194,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/194,closed,2023-11-30,2023-12-08,2023-11-30,669fa0822a8417f40b4f9981b27e6d4945e293b3
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/193,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/193,closed,2023-11-29,2023-12-08,2023-11-29,e428470f7e57c39853be00103cc2c4af6d306ce6
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/192,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/192,closed,2023-11-29,2023-12-08,2023-11-29,c1998348a7598f62dc99aa7059e3bcbc4d8620df
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/191,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/191,closed,2023-11-23,2023-12-08,2023-11-23,acb1885e1a0a40d405883d89b341ee3dc26a0a31
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/190,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/190,closed,2023-11-22,2023-11-22,2023-11-22,c0f7ec801970bc2d75e0a5891ea5473476a6ef2e
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/188,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/188,closed,2023-11-19,2023-11-20,2023-11-20,f2f36fcb0b17a2faefdfcff026556ae0c5fd0119
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/183,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/183,closed,2023-11-01,2023-11-15,2023-11-01,fa73c81745f13c43c28d1d4c72ba7763c2b72613
github-actions[bot],https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/182,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/182,closed,2023-11-01,2023-11-15,2023-11-01,ca26590b7f02b639118d9ae89cea6f570aa52761
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/181,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/181,closed,2023-10-31,2023-11-15,2023-10-31,9499e38bfb34b1dd9275fe99f7ce630470851d9b
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/180,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/180,closed,2023-10-30,2023-10-30,2023-10-30,9f63147317ae0485b4c756754383a44e6895e017
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/179,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/179,closed,2023-10-26,2023-10-30,2023-10-30,df1246f8e6db5b12e77487acea65eca9d456396d
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/178,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/178,closed,2023-10-25,2023-11-15,2023-11-15,645a933bfd98a29409fcf12b724e4baf435ddd12
ixartz,https://api.github.com/repos/ixartz/Next-js-Boilerplate/pulls/177,https://api.github.com/repos/ixartz/Next-js-Boilerplate/issues/177,closed,2023-10-24,2023-10-30,2023-10-24,8e2070593cd7dfcc8068aa2282c79b0d8f98c25e
