user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
chenrui333,https://api.github.com/repos/jarulraj/sqlcheck/pulls/64,https://api.github.com/repos/jarulraj/sqlcheck/issues/64,closed,2024-02-18,2024-02-21,2024-02-21,8d07a3c5642cbd17690bbd8ca846f0cf25546feb
chenrui333,https://api.github.com/repos/jarulraj/sqlcheck/pulls/63,https://api.github.com/repos/jarulraj/sqlcheck/issues/63,closed,2024-02-18,2024-02-21,2024-02-21,9c847804a900caefb826aaf61fa9104fc4e22800
trofi,https://api.github.com/repos/jarulraj/sqlcheck/pulls/62,https://api.github.com/repos/jarulraj/sqlcheck/issues/62,closed,2024-02-11,2024-02-13,2024-02-13,4fc90911b4c61a2c6c568011c85a588e1480de03
patsh90,https://api.github.com/repos/jarulraj/sqlcheck/pulls/60,https://api.github.com/repos/jarulraj/sqlcheck/issues/60,closed,2023-09-09,2024-02-13,2024-02-13,9549b9cf88c172ec407f51f5184418b83685bb5f
dzsquared,https://api.github.com/repos/jarulraj/sqlcheck/pulls/52,https://api.github.com/repos/jarulraj/sqlcheck/issues/52,closed,2022-03-19,2022-03-19,2022-03-19,ccb6c7daeb8adb89a47ffea0091667c7128f3736
dzsquared,https://api.github.com/repos/jarulraj/sqlcheck/pulls/51,https://api.github.com/repos/jarulraj/sqlcheck/issues/51,closed,2022-03-19,2022-03-19,2022-03-19,f949efc9f8175b5fdbf937bf805a8f8270d625cd
dzsquared,https://api.github.com/repos/jarulraj/sqlcheck/pulls/50,https://api.github.com/repos/jarulraj/sqlcheck/issues/50,closed,2022-03-19,2022-03-19,2022-03-19,a80ce6218c8512f7bedbb6fa6caaa039e8825547
dzsquared,https://api.github.com/repos/jarulraj/sqlcheck/pulls/49,https://api.github.com/repos/jarulraj/sqlcheck/issues/49,closed,2022-03-19,2022-03-19,2022-03-19,c4699e2b3b575d7eb327c7e7b0f3492f633cf539
dzsquared,https://api.github.com/repos/jarulraj/sqlcheck/pulls/48,https://api.github.com/repos/jarulraj/sqlcheck/issues/48,closed,2022-03-19,2022-03-19,2022-03-19,015906070d126c7ca7dc14e291c36c8ca02fca24
dzsquared,https://api.github.com/repos/jarulraj/sqlcheck/pulls/47,https://api.github.com/repos/jarulraj/sqlcheck/issues/47,closed,2022-03-19,2022-03-19,2022-03-19,3b4ffc4ebc734af59ab32072a95723a397ac3364
dzsquared,https://api.github.com/repos/jarulraj/sqlcheck/pulls/46,https://api.github.com/repos/jarulraj/sqlcheck/issues/46,closed,2022-03-19,2022-03-19,2022-03-19,631816c22ea8a59f6b3690ee4336e42fb8ac3b0e
dzsquared,https://api.github.com/repos/jarulraj/sqlcheck/pulls/45,https://api.github.com/repos/jarulraj/sqlcheck/issues/45,closed,2022-03-19,2022-03-19,2022-03-19,ea05cd9679ae20c9c250dac58fb1959fd04b13be
dzsquared,https://api.github.com/repos/jarulraj/sqlcheck/pulls/44,https://api.github.com/repos/jarulraj/sqlcheck/issues/44,closed,2022-03-19,2022-03-19,2022-03-19,31a1c47b5200fc98ef3b1a3ec071bf66e1ba760b
dzsquared,https://api.github.com/repos/jarulraj/sqlcheck/pulls/42,https://api.github.com/repos/jarulraj/sqlcheck/issues/42,closed,2022-03-14,2022-03-18,2022-03-18,280a727097133d9d8c1836cde12b08a3d1653dc0
dzsquared,https://api.github.com/repos/jarulraj/sqlcheck/pulls/41,https://api.github.com/repos/jarulraj/sqlcheck/issues/41,closed,2022-03-06,2022-03-09,2022-03-09,ca9bca17a44ac3e45cf924ad010e14186b5293d6
dzsquared,https://api.github.com/repos/jarulraj/sqlcheck/pulls/40,https://api.github.com/repos/jarulraj/sqlcheck/issues/40,closed,2022-03-06,2022-03-09,2022-03-09,f7fafe0074e70a577e553344708bd70c3f6a30da
robharrop,https://api.github.com/repos/jarulraj/sqlcheck/pulls/38,https://api.github.com/repos/jarulraj/sqlcheck/issues/38,closed,2022-01-13,2022-03-06,2022-03-06,8ec7dce43de03c4db7ee3982a6f104c327a82d10
HeathNaylor,https://api.github.com/repos/jarulraj/sqlcheck/pulls/27,https://api.github.com/repos/jarulraj/sqlcheck/issues/27,closed,2019-03-18,2020-01-28,2020-01-28,e256b7bfca7f8ba5514839db036a45543976b150
HeathNaylor,https://api.github.com/repos/jarulraj/sqlcheck/pulls/26,https://api.github.com/repos/jarulraj/sqlcheck/issues/26,closed,2019-03-14,2019-03-15,2019-03-15,961cf4c9ea97edf9dcbde1da01f9f078404a94cf
akito0107,https://api.github.com/repos/jarulraj/sqlcheck/pulls/23,https://api.github.com/repos/jarulraj/sqlcheck/issues/23,closed,2018-07-06,2018-07-10,2018-07-10,72ea14f6cd1c17f40c4d90fd02d5feb1cada7987
ip-gpu,https://api.github.com/repos/jarulraj/sqlcheck/pulls/21,https://api.github.com/repos/jarulraj/sqlcheck/issues/21,closed,2017-10-27,2018-07-10,2018-07-10,31777b0a9238ef8ddb4c0e842538ee290bb79383
Widdershin,https://api.github.com/repos/jarulraj/sqlcheck/pulls/17,https://api.github.com/repos/jarulraj/sqlcheck/issues/17,closed,2017-09-09,2017-09-10,2017-09-10,b860b4c73394a2b3c2971c49102582c1691f6e6a
bijection,https://api.github.com/repos/jarulraj/sqlcheck/pulls/16,https://api.github.com/repos/jarulraj/sqlcheck/issues/16,closed,2017-08-30,2017-09-01,2017-09-01,27fc68303efea542b1332f04070288c634f1bc78
Rosiak,https://api.github.com/repos/jarulraj/sqlcheck/pulls/14,https://api.github.com/repos/jarulraj/sqlcheck/issues/14,closed,2017-08-22,2017-08-22,2017-08-22,be43e9e94f4259a07db731363b37f218efe4136e
martinatsynqfm,https://api.github.com/repos/jarulraj/sqlcheck/pulls/10,https://api.github.com/repos/jarulraj/sqlcheck/issues/10,closed,2017-08-17,2017-08-17,2017-08-17,c94cea9787fb51b4da1b1d347c22a85a59e122c1
martinatsynqfm,https://api.github.com/repos/jarulraj/sqlcheck/pulls/9,https://api.github.com/repos/jarulraj/sqlcheck/issues/9,closed,2017-08-17,2017-08-17,2017-08-17,5c1d6a0e743bf860dafcf4a8856393d0ff74c878
