user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
jbsooter,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1249,https://api.github.com/repos/jtablesaw/tablesaw/issues/1249,open,2024-02-24,2024-02-24,,9cd0810ed3c842bd44d288d81b52c9e68fe74d1d
benmccann,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1240,https://api.github.com/repos/jtablesaw/tablesaw/issues/1240,closed,2023-10-18,2023-10-18,2023-10-18,02d3e524110982ec2b420ff8f9126707d483374f
francescopeloi,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1238,https://api.github.com/repos/jtablesaw/tablesaw/issues/1238,closed,2023-10-18,2023-10-18,2023-10-18,e3824a373ce9e64a66a3b613e5e9f871e095a960
sdr2002,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1235,https://api.github.com/repos/jtablesaw/tablesaw/issues/1235,closed,2023-09-23,2023-09-24,2023-09-23,6d857b75f01afb2f8d65c1e45bc71d2b04d25c82
Omar122,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1234,https://api.github.com/repos/jtablesaw/tablesaw/issues/1234,open,2023-09-11,2023-10-09,,d6258b8d6e558535c0f79757c67a7866d87b48d4
m37r,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1228,https://api.github.com/repos/jtablesaw/tablesaw/issues/1228,open,2023-08-18,2023-08-18,,23fdec67c7839a5de9a1aa988cf34f26831692d2
bhavikp19,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1224,https://api.github.com/repos/jtablesaw/tablesaw/issues/1224,closed,2023-08-01,2023-08-01,2023-08-01,70c02a43f2b4bc4f373e66e53ea2b48abf0dbfe9
bhavikp19,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1223,https://api.github.com/repos/jtablesaw/tablesaw/issues/1223,closed,2023-08-01,2023-08-01,2023-08-01,50cb481718ff07c4d0b33c7b97d6bec0a5f4dccc
dependabot[bot],https://api.github.com/repos/jtablesaw/tablesaw/pulls/1222,https://api.github.com/repos/jtablesaw/tablesaw/issues/1222,closed,2023-07-07,2023-07-07,2023-07-07,a29bc1080908e25e37591f7e9be01ecb531ea556
dependabot[bot],https://api.github.com/repos/jtablesaw/tablesaw/pulls/1218,https://api.github.com/repos/jtablesaw/tablesaw/issues/1218,closed,2023-06-14,2023-07-07,2023-07-07,1b0766bae239d754fc908a62c16b3f6f182cd498
howard-3,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1217,https://api.github.com/repos/jtablesaw/tablesaw/issues/1217,open,2023-06-11,2023-06-11,,f1f6fd0a98b4719e65786d1c62dd759c9430fa8e
fosong98,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1216,https://api.github.com/repos/jtablesaw/tablesaw/issues/1216,closed,2023-06-04,2023-06-04,,1bb2fa6f547432ce8a5c62394639c59d2162ff12
uzzell,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1213,https://api.github.com/repos/jtablesaw/tablesaw/issues/1213,closed,2023-05-23,2023-05-23,2023-05-23,e11ef19d035c409367a2a05d6a8301188edf9387
eliddan,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1212,https://api.github.com/repos/jtablesaw/tablesaw/issues/1212,closed,2023-05-19,2023-05-19,2023-05-19,6fdf3c4878e2920ba3f8ff9230d22770e4db4257
perNyfelt,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1207,https://api.github.com/repos/jtablesaw/tablesaw/issues/1207,open,2023-04-30,2023-04-30,,ea4b0150eb8ab195cc7d66a87263489b8998594f
tangyixiang,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1206,https://api.github.com/repos/jtablesaw/tablesaw/issues/1206,closed,2023-04-24,2023-04-25,2023-04-25,42ca803e1a5fff1d4a01f5a3deabc38ced783125
SahibYar,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1203,https://api.github.com/repos/jtablesaw/tablesaw/issues/1203,closed,2023-04-18,2023-04-19,2023-04-19,a25263cfa4f4fb0655051d6fb460274aa42ccdc2
dependabot[bot],https://api.github.com/repos/jtablesaw/tablesaw/pulls/1198,https://api.github.com/repos/jtablesaw/tablesaw/issues/1198,closed,2023-03-31,2023-03-31,2023-03-31,ebf64c6c4175cea8dbfe3f3020c3a37154b1b7c4
s1ny1998,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1197,https://api.github.com/repos/jtablesaw/tablesaw/issues/1197,closed,2023-03-27,2023-04-19,2023-04-19,a6d644db2119cd03560321addeb1f41a364db2d3
benmccann,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1190,https://api.github.com/repos/jtablesaw/tablesaw/issues/1190,closed,2023-03-01,2023-03-01,2023-03-01,02c5efb64a0189c80aefd463bfcdfb1dfc754c0d
benmccann,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1188,https://api.github.com/repos/jtablesaw/tablesaw/issues/1188,closed,2023-03-01,2023-03-01,2023-03-01,58140dbf01efb9179deb558cac594c474ac8e121
benmccann,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1187,https://api.github.com/repos/jtablesaw/tablesaw/issues/1187,closed,2023-03-01,2023-03-01,2023-03-01,c2acc537e811e980bdf552b74463f3649756a5a0
dependabot[bot],https://api.github.com/repos/jtablesaw/tablesaw/pulls/1164,https://api.github.com/repos/jtablesaw/tablesaw/issues/1164,closed,2022-10-19,2022-10-19,2022-10-19,eb6cb2f5e68d44ae70a052732dfa5b3181067dea
dependabot[bot],https://api.github.com/repos/jtablesaw/tablesaw/pulls/1163,https://api.github.com/repos/jtablesaw/tablesaw/issues/1163,closed,2022-10-19,2022-10-19,2022-10-19,5cbfe156c6a7699e5c8759818a1e5a75e7731e5b
chncaption,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1153,https://api.github.com/repos/jtablesaw/tablesaw/issues/1153,closed,2022-10-03,2022-10-19,,7f33efb833c551254f651eb2abdd755e1cce37b6
Disseminator,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1150,https://api.github.com/repos/jtablesaw/tablesaw/issues/1150,closed,2022-09-28,2022-09-28,2022-09-28,0212c5ae495ae6f930493347c9c3d1045af2a1dc
mo20053444,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1149,https://api.github.com/repos/jtablesaw/tablesaw/issues/1149,closed,2022-09-21,2023-11-03,,50f5376d037400fe67dfcde9d222a7db2e80ac6a
gmsharpe,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1148,https://api.github.com/repos/jtablesaw/tablesaw/issues/1148,closed,2022-09-20,2023-03-01,2023-03-01,1d07d2d427445360c381aa391b3439b11b223c6a
gbouquet,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1146,https://api.github.com/repos/jtablesaw/tablesaw/issues/1146,open,2022-09-12,2023-04-19,,a7536ddb5deab23ca336d3e622642d5023aabf40
mattjubb,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1145,https://api.github.com/repos/jtablesaw/tablesaw/issues/1145,open,2022-09-05,2023-04-19,,2b941d8c4bdfe9d8158ecb2c37250e417bc65ed6
dependabot[bot],https://api.github.com/repos/jtablesaw/tablesaw/pulls/1144,https://api.github.com/repos/jtablesaw/tablesaw/issues/1144,closed,2022-09-01,2022-09-01,2022-09-01,7188115bc0ddafce3e72d1089b3bc5c256b87155
mo20053444,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1143,https://api.github.com/repos/jtablesaw/tablesaw/issues/1143,closed,2022-08-29,2022-09-02,,ccd12f546236a33b3612c7eeb517593471fdf244
xiaobo,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1140,https://api.github.com/repos/jtablesaw/tablesaw/issues/1140,closed,2022-08-24,2022-08-24,,e5f46cd0467d5fbb24caae7595ea6d839771e8ac
xiaobo,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1139,https://api.github.com/repos/jtablesaw/tablesaw/issues/1139,closed,2022-08-22,2022-11-02,,ea9ba46df7fcfbd93793db4b6cfa24a7d8e5d4fd
kzmv,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1135,https://api.github.com/repos/jtablesaw/tablesaw/issues/1135,closed,2022-08-10,2022-08-10,2022-08-10,b2be1cde18cb63e9a73424770e61b3df8d63458e
gs-asrivastav,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1133,https://api.github.com/repos/jtablesaw/tablesaw/issues/1133,closed,2022-08-05,2022-08-10,2022-08-10,8dd3ea42fe6f592b015d6ed8717c0906ed582f73
lacinoire,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1124,https://api.github.com/repos/jtablesaw/tablesaw/issues/1124,open,2022-06-16,2023-04-19,,4e010686c611247597b42ea1a5dc30318cd7e1de
lwhite1,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1119,https://api.github.com/repos/jtablesaw/tablesaw/issues/1119,closed,2022-05-01,2022-05-01,2022-05-01,66749074c11fa6b81d9516bd49eb3f3798ea4c33
lwhite1,https://api.github.com/repos/jtablesaw/tablesaw/pulls/1117,https://api.github.com/repos/jtablesaw/tablesaw/issues/1117,closed,2022-04-26,2022-04-28,2022-04-28,17b5d762e49666c2011e6f43fcd494f6198a7581
