user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
XiShanYongYe-Chang,https://api.github.com/repos/karmada-io/karmada/pulls/4686,https://api.github.com/repos/karmada-io/karmada/issues/4686,open,2024-03-06,2024-03-06,,e8298fee1a8fc96e79e40e0f840420caed942633
a7i,https://api.github.com/repos/karmada-io/karmada/pulls/4682,https://api.github.com/repos/karmada-io/karmada/issues/4682,open,2024-03-05,2024-03-06,,02c080a2bcae2069065be017db0fe0295adda02f
calvin0327,https://api.github.com/repos/karmada-io/karmada/pulls/4679,https://api.github.com/repos/karmada-io/karmada/issues/4679,open,2024-03-05,2024-03-05,,cdd46f0e45cf1e794f4e9b296ff60eb5e1cceb76
zhzhuang-zju,https://api.github.com/repos/karmada-io/karmada/pulls/4676,https://api.github.com/repos/karmada-io/karmada/issues/4676,closed,2024-03-05,2024-03-05,2024-03-05,b16f157bea73b8a6939c282f2148645377df0767
XiShanYongYe-Chang,https://api.github.com/repos/karmada-io/karmada/pulls/4675,https://api.github.com/repos/karmada-io/karmada/issues/4675,closed,2024-03-04,2024-03-06,2024-03-06,e7300c3c1850629463af95f54f31a032a1890ce1
laihezhao,https://api.github.com/repos/karmada-io/karmada/pulls/4674,https://api.github.com/repos/karmada-io/karmada/issues/4674,closed,2024-03-01,2024-03-06,2024-03-06,20c0c4eae4fb241fc1c1ff34b2f7560b5e88ad60
warjiang,https://api.github.com/repos/karmada-io/karmada/pulls/4673,https://api.github.com/repos/karmada-io/karmada/issues/4673,closed,2024-03-01,2024-03-05,2024-03-05,b5045c56055f2fb9edb272028e6fd0c434982844
a7i,https://api.github.com/repos/karmada-io/karmada/pulls/4671,https://api.github.com/repos/karmada-io/karmada/issues/4671,closed,2024-02-29,2024-03-04,2024-03-04,7d292ed9fdc57c137d4961dbcacf645fd4a0948d
ewon78,https://api.github.com/repos/karmada-io/karmada/pulls/4668,https://api.github.com/repos/karmada-io/karmada/issues/4668,open,2024-02-29,2024-03-06,,516414a05dd8c788df1349a267c49a5866b83016
warjiang,https://api.github.com/repos/karmada-io/karmada/pulls/4667,https://api.github.com/repos/karmada-io/karmada/issues/4667,open,2024-02-28,2024-03-01,,75460a26540746d1ff0fe83f0d9e3beee09e7a06
RainbowMango,https://api.github.com/repos/karmada-io/karmada/pulls/4664,https://api.github.com/repos/karmada-io/karmada/issues/4664,closed,2024-02-28,2024-02-29,2024-02-29,a03aa846cfd2c1978b166660d6f592a1c10aeb3d
XiShanYongYe-Chang,https://api.github.com/repos/karmada-io/karmada/pulls/4663,https://api.github.com/repos/karmada-io/karmada/issues/4663,closed,2024-02-28,2024-02-28,2024-02-28,44b4ca591e70e96f9ff2e0506c186060bce673aa
ewon78,https://api.github.com/repos/karmada-io/karmada/pulls/4661,https://api.github.com/repos/karmada-io/karmada/issues/4661,closed,2024-02-28,2024-02-29,,96883b0ce4b5569db594075c0845b39220708fe9
chaosi-zju,https://api.github.com/repos/karmada-io/karmada/pulls/4660,https://api.github.com/repos/karmada-io/karmada/issues/4660,closed,2024-02-28,2024-02-28,2024-02-28,1baacbf98fad0ab92418161865a173fe1e98aeeb
XiShanYongYe-Chang,https://api.github.com/repos/karmada-io/karmada/pulls/4657,https://api.github.com/repos/karmada-io/karmada/issues/4657,closed,2024-02-28,2024-02-28,2024-02-28,4f75b3c577fdc79e5dcee5b56733265abc55b674
chaosi-zju,https://api.github.com/repos/karmada-io/karmada/pulls/4656,https://api.github.com/repos/karmada-io/karmada/issues/4656,open,2024-02-27,2024-03-06,,462d10bf316bef306fdf92851e9554354eacfeb0
XiShanYongYe-Chang,https://api.github.com/repos/karmada-io/karmada/pulls/4655,https://api.github.com/repos/karmada-io/karmada/issues/4655,closed,2024-02-27,2024-02-28,2024-02-27,b538ab979af9d2c1fea6ce6b95d6ddc4a21cfa83
ipsum-0320,https://api.github.com/repos/karmada-io/karmada/pulls/4654,https://api.github.com/repos/karmada-io/karmada/issues/4654,closed,2024-02-26,2024-02-28,2024-02-28,9df370f5979b49d6f07a088b0c9fa96978c42eea
laihezhao,https://api.github.com/repos/karmada-io/karmada/pulls/4652,https://api.github.com/repos/karmada-io/karmada/issues/4652,closed,2024-02-26,2024-02-27,2024-02-27,b2ce202d206380c9d266e5e17e0c14fea7e2cfd3
XiShanYongYe-Chang,https://api.github.com/repos/karmada-io/karmada/pulls/4651,https://api.github.com/repos/karmada-io/karmada/issues/4651,closed,2024-02-25,2024-03-06,2024-03-06,cea713c4533753b7535255551431a4d07b73ff2f
laihezhao,https://api.github.com/repos/karmada-io/karmada/pulls/4649,https://api.github.com/repos/karmada-io/karmada/issues/4649,closed,2024-02-23,2024-02-28,2024-02-27,487f9cade27f474012d0b3e2875c5982493f3390
a7i,https://api.github.com/repos/karmada-io/karmada/pulls/4647,https://api.github.com/repos/karmada-io/karmada/issues/4647,open,2024-02-21,2024-02-23,,5b3358fdab75b27d443d3f3e5dc5a7bb0f3626b5
wm775825,https://api.github.com/repos/karmada-io/karmada/pulls/4646,https://api.github.com/repos/karmada-io/karmada/issues/4646,closed,2024-02-21,2024-02-28,2024-02-28,7b3a6a3452541a0074aaf28e2debcb2b8b617bf3
laihezhao,https://api.github.com/repos/karmada-io/karmada/pulls/4645,https://api.github.com/repos/karmada-io/karmada/issues/4645,closed,2024-02-21,2024-02-21,2024-02-21,f04c17f72749a8db253da7b2790b65d8e912ce24
dongjiang1989,https://api.github.com/repos/karmada-io/karmada/pulls/4643,https://api.github.com/repos/karmada-io/karmada/issues/4643,open,2024-02-20,2024-02-26,,d9c6990924d73681e8b1652105b3e323df8113c9
