user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
mokarchi,https://api.github.com/repos/khellang/Scrutor/pulls/225,https://api.github.com/repos/khellang/Scrutor/issues/225,closed,2024-02-24,2024-02-25,,d6ff5865e3a6ff785f5b5e9172204a9c11b2be9b
savornicesei,https://api.github.com/repos/khellang/Scrutor/pulls/222,https://api.github.com/repos/khellang/Scrutor/issues/222,closed,2024-02-05,2024-02-08,2024-02-08,7fcedf796c10aa83261bb90337dc7bcf68db8680
khellang,https://api.github.com/repos/khellang/Scrutor/pulls/209,https://api.github.com/repos/khellang/Scrutor/issues/209,open,2023-08-18,2024-02-08,,d55f875b5a52f854eb0a62d8287e70396211d098
Romfos,https://api.github.com/repos/khellang/Scrutor/pulls/204,https://api.github.com/repos/khellang/Scrutor/issues/204,closed,2023-06-09,2023-06-10,,4f86f27c8a06432842578aab076f56fd43f8c477
sirphilliptubell,https://api.github.com/repos/khellang/Scrutor/pulls/197,https://api.github.com/repos/khellang/Scrutor/issues/197,open,2023-04-01,2023-04-01,,73f653f2af36ca1e944cf5725d59fc41da303dba
sirphilliptubell,https://api.github.com/repos/khellang/Scrutor/pulls/196,https://api.github.com/repos/khellang/Scrutor/issues/196,open,2023-04-01,2023-04-01,,99210e474287a0f51c81822a0c587af64e3ed758
vpteruel,https://api.github.com/repos/khellang/Scrutor/pulls/195,https://api.github.com/repos/khellang/Scrutor/issues/195,closed,2023-03-04,2023-08-18,,bd8092882c135be225ec6956d83a35edfd161c2c
waynebrantley,https://api.github.com/repos/khellang/Scrutor/pulls/194,https://api.github.com/repos/khellang/Scrutor/issues/194,closed,2023-03-03,2023-03-27,2023-03-27,d0c16db3c80599dcc707e97e8b7895cafd8c5058
waynebrantley,https://api.github.com/repos/khellang/Scrutor/pulls/193,https://api.github.com/repos/khellang/Scrutor/issues/193,closed,2023-02-01,2023-03-03,2023-02-08,438ad99c947fae1ad7d8d0193f3bed0a2a20b77e
Arash-Sabet,https://api.github.com/repos/khellang/Scrutor/pulls/191,https://api.github.com/repos/khellang/Scrutor/issues/191,closed,2023-01-17,2023-01-19,,b8d3ed160afddccf0eb16ba844a26c7e20746b45
KoTLiK,https://api.github.com/repos/khellang/Scrutor/pulls/188,https://api.github.com/repos/khellang/Scrutor/issues/188,closed,2023-01-05,2023-01-05,2023-01-05,9150e5e95ba4613d9906b66ea6005f4fd36b59ee
pedrohenriquebr,https://api.github.com/repos/khellang/Scrutor/pulls/185,https://api.github.com/repos/khellang/Scrutor/issues/185,closed,2022-11-14,2022-11-17,,cbfd623101bfa67e006533568738da1f71633ac9
DanHarltey,https://api.github.com/repos/khellang/Scrutor/pulls/176,https://api.github.com/repos/khellang/Scrutor/issues/176,closed,2022-06-20,2022-09-08,,e5a7ff4d5c859b6dbcc8ccd4553ba37f5b2e70c4
DanHarltey,https://api.github.com/repos/khellang/Scrutor/pulls/173,https://api.github.com/repos/khellang/Scrutor/issues/173,closed,2022-06-15,2023-09-01,,7853ff2bfbf7346781074fcdc04a6dc0c99df693
TimothyMakkison,https://api.github.com/repos/khellang/Scrutor/pulls/172,https://api.github.com/repos/khellang/Scrutor/issues/172,closed,2022-06-13,2023-09-20,,4d30ccf4ce399b5ff8dd241d201d3af1ad3fc93e
DanHarltey,https://api.github.com/repos/khellang/Scrutor/pulls/169,https://api.github.com/repos/khellang/Scrutor/issues/169,closed,2022-05-20,2022-06-01,2022-05-23,5067e34b7bfcf3607554ae3afb25d1aea2fc16ca
khellang,https://api.github.com/repos/khellang/Scrutor/pulls/166,https://api.github.com/repos/khellang/Scrutor/issues/166,closed,2022-03-02,2022-03-02,2022-03-02,ccf2acb89cb2856703ba86fc21d0a9ea84c72cc8
KuraiAndras,https://api.github.com/repos/khellang/Scrutor/pulls/163,https://api.github.com/repos/khellang/Scrutor/issues/163,closed,2022-02-11,2022-03-02,2022-02-14,3b44333cc481dd465fee1cdfb1138b7e0ceca771
twenzel,https://api.github.com/repos/khellang/Scrutor/pulls/161,https://api.github.com/repos/khellang/Scrutor/issues/161,closed,2022-01-17,2022-01-28,2022-01-28,4b7ff015d160184011c5de6735bc52be648cc768
Mariachi1231,https://api.github.com/repos/khellang/Scrutor/pulls/155,https://api.github.com/repos/khellang/Scrutor/issues/155,closed,2021-09-13,2022-01-28,2022-01-28,7e4f04d0b7f6d97c2a2cecfcc8ca6de63bed30f7
Mariachi1231,https://api.github.com/repos/khellang/Scrutor/pulls/154,https://api.github.com/repos/khellang/Scrutor/issues/154,closed,2021-09-13,2021-09-13,,34591145859087e5af1f62c6321e29f9134a1b9f
Mariachi1231,https://api.github.com/repos/khellang/Scrutor/pulls/153,https://api.github.com/repos/khellang/Scrutor/issues/153,closed,2021-09-13,2023-06-03,,e3e91e3acae2f95a2ce45d78bec4e5e65fc182dc
Mariachi1231,https://api.github.com/repos/khellang/Scrutor/pulls/151,https://api.github.com/repos/khellang/Scrutor/issues/151,closed,2021-09-06,2022-01-28,2022-01-28,1a549b6cba5040b2156bacd32ddc2051d547fcc5
akayyali,https://api.github.com/repos/khellang/Scrutor/pulls/140,https://api.github.com/repos/khellang/Scrutor/issues/140,open,2021-02-22,2022-05-23,,e8669707b5f0f9aadcce3f2a8030e6a904f8d3a5
lawrencek76,https://api.github.com/repos/khellang/Scrutor/pulls/139,https://api.github.com/repos/khellang/Scrutor/issues/139,closed,2021-02-20,2022-01-28,2021-03-16,a949cd24726cfb0bc081a95e1e33fb5b6ea05f94
thoemmi,https://api.github.com/repos/khellang/Scrutor/pulls/130,https://api.github.com/repos/khellang/Scrutor/issues/130,closed,2020-11-01,2020-11-03,2020-11-03,087f844ffc5bbe7ee794842f1f13cb8356b40e72
david-driscoll,https://api.github.com/repos/khellang/Scrutor/pulls/129,https://api.github.com/repos/khellang/Scrutor/issues/129,open,2020-09-26,2022-05-23,,5c29ee53b222704bb6eb08b09678f786f5aa3873
