user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
wuxs,https://api.github.com/repos/kubeedge/kubeedge/pulls/5452,https://api.github.com/repos/kubeedge/kubeedge/issues/5452,open,2024-03-06,2024-03-06,,87ebbb1a8d8932bd73f97a30d16d7630ac6f986c
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5448,https://api.github.com/repos/kubeedge/kubeedge/issues/5448,open,2024-03-04,2024-03-05,,f976653c0b9c71f28c1bfb79541e507dc8bed7aa
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5445,https://api.github.com/repos/kubeedge/kubeedge/issues/5445,open,2024-03-01,2024-03-01,,67ad0a4c9aafb8d00652e5c9950399cc96191157
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5443,https://api.github.com/repos/kubeedge/kubeedge/issues/5443,closed,2024-02-29,2024-03-06,2024-03-06,eba6e73f4feebf7d4de6712146da65699b89361b
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5435,https://api.github.com/repos/kubeedge/kubeedge/issues/5435,open,2024-02-27,2024-02-29,,108301cddf60e82bcfd68cfe1b98f88fceb34591
tangming1996,https://api.github.com/repos/kubeedge/kubeedge/pulls/5424,https://api.github.com/repos/kubeedge/kubeedge/issues/5424,open,2024-02-20,2024-02-21,,49747d86bb65f3c4a55775b3693c974122d4b628
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5423,https://api.github.com/repos/kubeedge/kubeedge/issues/5423,closed,2024-02-20,2024-02-28,2024-02-28,487b3687bb380a0ef9dd6ecec92d039bf88e47c9
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5416,https://api.github.com/repos/kubeedge/kubeedge/issues/5416,closed,2024-02-06,2024-02-20,2024-02-19,802f3bb202ee9705d293601cee53371299de60b7
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5413,https://api.github.com/repos/kubeedge/kubeedge/issues/5413,closed,2024-02-05,2024-02-20,2024-02-07,37c1a4d0176e55d9a46f3cd0d2a015b754f66db9
Shelley-BaoYue,https://api.github.com/repos/kubeedge/kubeedge/pulls/5412,https://api.github.com/repos/kubeedge/kubeedge/issues/5412,open,2024-02-04,2024-03-05,,a956d523984a59b692d64567fde06df86b98879c
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5410,https://api.github.com/repos/kubeedge/kubeedge/issues/5410,open,2024-02-04,2024-02-05,,a790a9abe585da39178b6fac3cbcc43cf99d5bee
spambot000,https://api.github.com/repos/kubeedge/kubeedge/pulls/5409,https://api.github.com/repos/kubeedge/kubeedge/issues/5409,open,2024-02-02,2024-02-04,,e603cccfa3b8c9d491e3ff4c3f5860ad9b16c5a3
thinkeng,https://api.github.com/repos/kubeedge/kubeedge/pulls/5397,https://api.github.com/repos/kubeedge/kubeedge/issues/5397,open,2024-01-29,2024-01-29,,e5c2740008e2d4ee5b5fc52d8046cfa671120857
luomengY,https://api.github.com/repos/kubeedge/kubeedge/pulls/5396,https://api.github.com/repos/kubeedge/kubeedge/issues/5396,open,2024-01-26,2024-02-29,,27ad88a6e08cada5be092d68996596e007c5e74a
thinkeng,https://api.github.com/repos/kubeedge/kubeedge/pulls/5393,https://api.github.com/repos/kubeedge/kubeedge/issues/5393,closed,2024-01-25,2024-01-29,,cb1c4a7d6906553e6e0caefa6b8eeb9628224933
tangming1996,https://api.github.com/repos/kubeedge/kubeedge/pulls/5392,https://api.github.com/repos/kubeedge/kubeedge/issues/5392,open,2024-01-25,2024-03-04,,7a74d88477e1a19e466a824e8ad522a85c8085e2
WillardHu,https://api.github.com/repos/kubeedge/kubeedge/pulls/5387,https://api.github.com/repos/kubeedge/kubeedge/issues/5387,open,2024-01-24,2024-03-04,,a16e664bb904049f30c6a516db928c4162acb0ad
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5386,https://api.github.com/repos/kubeedge/kubeedge/issues/5386,open,2024-01-23,2024-01-26,,7cb0e5aaf868d653b2ea9b28d01832b338493cf6
Shelley-BaoYue,https://api.github.com/repos/kubeedge/kubeedge/pulls/5384,https://api.github.com/repos/kubeedge/kubeedge/issues/5384,closed,2024-01-23,2024-01-23,2024-01-23,0114a3e44ddeeff747af370ba58c3ef892400bf7
Shelley-BaoYue,https://api.github.com/repos/kubeedge/kubeedge/pulls/5383,https://api.github.com/repos/kubeedge/kubeedge/issues/5383,closed,2024-01-22,2024-01-23,2024-01-23,5fb31e52ed6fcf7e8ca80d27e8b68b7078a98610
Shelley-BaoYue,https://api.github.com/repos/kubeedge/kubeedge/pulls/5382,https://api.github.com/repos/kubeedge/kubeedge/issues/5382,closed,2024-01-22,2024-01-24,2024-01-24,172a15171163c4623dbc5379fb45a6f54a6ca29c
fisherxu,https://api.github.com/repos/kubeedge/kubeedge/pulls/5381,https://api.github.com/repos/kubeedge/kubeedge/issues/5381,closed,2024-01-22,2024-01-23,2024-01-23,60f0480e4aab5999b38a8ebe5959c15895397a94
WillardHu,https://api.github.com/repos/kubeedge/kubeedge/pulls/5380,https://api.github.com/repos/kubeedge/kubeedge/issues/5380,closed,2024-01-22,2024-01-22,2024-01-22,f22877ffa88c64042c249898106bd5d6cfe73512
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5379,https://api.github.com/repos/kubeedge/kubeedge/issues/5379,closed,2024-01-22,2024-01-22,2024-01-22,b0563c78396cedd5091963707f511649eeb1d7e7
luomengY,https://api.github.com/repos/kubeedge/kubeedge/pulls/5376,https://api.github.com/repos/kubeedge/kubeedge/issues/5376,open,2024-01-19,2024-02-29,,b7ebd8abdac9b55f839abc3da1fd5ab2762c8884
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5375,https://api.github.com/repos/kubeedge/kubeedge/issues/5375,closed,2024-01-19,2024-01-22,2024-01-22,1f626057196350f4e042f87304ae1f4893112f07
WillardHu,https://api.github.com/repos/kubeedge/kubeedge/pulls/5374,https://api.github.com/repos/kubeedge/kubeedge/issues/5374,closed,2024-01-19,2024-01-22,2024-01-22,cb81557d9ffcfd3b052284fb53dbff1bba88bcdb
ZhengXinwei-F,https://api.github.com/repos/kubeedge/kubeedge/pulls/5373,https://api.github.com/repos/kubeedge/kubeedge/issues/5373,closed,2024-01-19,2024-01-19,2024-01-19,ed556dca189dfa38ee2a19c689aea4cca2b21dc9
tangming1996,https://api.github.com/repos/kubeedge/kubeedge/pulls/5370,https://api.github.com/repos/kubeedge/kubeedge/issues/5370,closed,2024-01-18,2024-01-19,2024-01-19,f69bb6873ed8c347aedae834145d9b40af6dcffd
luomengY,https://api.github.com/repos/kubeedge/kubeedge/pulls/5367,https://api.github.com/repos/kubeedge/kubeedge/issues/5367,closed,2024-01-18,2024-01-19,2024-01-19,932907a5482772a06f810b66958d71dc90ca9abe
luomengY,https://api.github.com/repos/kubeedge/kubeedge/pulls/5366,https://api.github.com/repos/kubeedge/kubeedge/issues/5366,closed,2024-01-18,2024-01-19,2024-01-19,20a35817babb30fd92da416b556ee7b61ecdb22d
luomengY,https://api.github.com/repos/kubeedge/kubeedge/pulls/5365,https://api.github.com/repos/kubeedge/kubeedge/issues/5365,closed,2024-01-18,2024-01-19,2024-01-19,1c9e489ef8c2014cfc0af834682dffcdf37fa80e
luomengY,https://api.github.com/repos/kubeedge/kubeedge/pulls/5364,https://api.github.com/repos/kubeedge/kubeedge/issues/5364,closed,2024-01-18,2024-01-22,2024-01-22,5f6ae97c5428db3ce853166bd39fe508b1ca6dd7
luomengY,https://api.github.com/repos/kubeedge/kubeedge/pulls/5363,https://api.github.com/repos/kubeedge/kubeedge/issues/5363,closed,2024-01-18,2024-01-18,,
luomengY,https://api.github.com/repos/kubeedge/kubeedge/pulls/5361,https://api.github.com/repos/kubeedge/kubeedge/issues/5361,closed,2024-01-16,2024-01-18,2024-01-18,f4ded7b8f3d8c7ee2d9c9923cbc11d47dc3b3350
fujitatomoya,https://api.github.com/repos/kubeedge/kubeedge/pulls/5357,https://api.github.com/repos/kubeedge/kubeedge/issues/5357,open,2024-01-12,2024-03-01,,f3968a644ca74f56641bc9a04cba1ea3ea04eb17
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5356,https://api.github.com/repos/kubeedge/kubeedge/issues/5356,closed,2024-01-12,2024-01-22,2024-01-18,5ab2dcb6df7cb614c7cf2be2865a30806396ae45
WillardHu,https://api.github.com/repos/kubeedge/kubeedge/pulls/5354,https://api.github.com/repos/kubeedge/kubeedge/issues/5354,closed,2024-01-11,2024-01-29,2024-01-23,a9a676fcf5558e1b49e52eecdf41b71a359a1c10
WillardHu,https://api.github.com/repos/kubeedge/kubeedge/pulls/5353,https://api.github.com/repos/kubeedge/kubeedge/issues/5353,closed,2024-01-11,2024-01-16,2024-01-15,c9d60fe5e24fde5a347dfcaedcbe35f16838893c
Windrow14,https://api.github.com/repos/kubeedge/kubeedge/pulls/5352,https://api.github.com/repos/kubeedge/kubeedge/issues/5352,open,2024-01-10,2024-03-01,,863ff61cf1ede72b2907deaad16d47ff66a58969
Shelley-BaoYue,https://api.github.com/repos/kubeedge/kubeedge/pulls/5348,https://api.github.com/repos/kubeedge/kubeedge/issues/5348,closed,2024-01-08,2024-01-23,2024-01-23,bcdf2adc47a2b19707eb1c1bf61635238b85e278
Shelley-BaoYue,https://api.github.com/repos/kubeedge/kubeedge/pulls/5347,https://api.github.com/repos/kubeedge/kubeedge/issues/5347,closed,2024-01-08,2024-01-15,2024-01-15,73895c27a107309ee6fdbd7adbb0e3b00f7ed9af
tangming1996,https://api.github.com/repos/kubeedge/kubeedge/pulls/5346,https://api.github.com/repos/kubeedge/kubeedge/issues/5346,closed,2024-01-08,2024-01-12,2024-01-12,f1b2b2b8e03af7188e9963ced3c5b70c97f9cb40
WillardHu,https://api.github.com/repos/kubeedge/kubeedge/pulls/5345,https://api.github.com/repos/kubeedge/kubeedge/issues/5345,open,2024-01-08,2024-01-18,,236f6723dec2990fd039d0e680f269e362de402e
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5342,https://api.github.com/repos/kubeedge/kubeedge/issues/5342,open,2024-01-03,2024-03-01,,756954ed852d40b0dad39ff01a4d80544e5035c3
tangming1996,https://api.github.com/repos/kubeedge/kubeedge/pulls/5338,https://api.github.com/repos/kubeedge/kubeedge/issues/5338,open,2023-12-29,2024-01-08,,4276b7dcd07e1a921d27d20cdbcd0a9671c223ea
tangming1996,https://api.github.com/repos/kubeedge/kubeedge/pulls/5337,https://api.github.com/repos/kubeedge/kubeedge/issues/5337,closed,2023-12-29,2024-01-09,,cdf74ce1a83d9f5945df91145118eb70da8fb555
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5336,https://api.github.com/repos/kubeedge/kubeedge/issues/5336,closed,2023-12-29,2024-01-22,2024-01-04,b0e5de868853515274eb2ace8592e99dd633f412
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5333,https://api.github.com/repos/kubeedge/kubeedge/issues/5333,open,2023-12-27,2024-01-23,,4b2506ee5509cb11991730d29f79106fe3d43b30
Shelley-BaoYue,https://api.github.com/repos/kubeedge/kubeedge/pulls/5331,https://api.github.com/repos/kubeedge/kubeedge/issues/5331,closed,2023-12-25,2024-01-15,2024-01-15,88e4b1ec243d9049de9be28c8ea4dd3c0612f07d
ZhengXinwei-F,https://api.github.com/repos/kubeedge/kubeedge/pulls/5330,https://api.github.com/repos/kubeedge/kubeedge/issues/5330,closed,2023-12-25,2024-01-17,2024-01-17,dadbeb0e72565822afca48cb3f66a17473d7d585
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5329,https://api.github.com/repos/kubeedge/kubeedge/issues/5329,closed,2023-12-22,2024-01-22,2024-01-17,438aab894a4892ab609567e2cefb825bddea33e0
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5328,https://api.github.com/repos/kubeedge/kubeedge/issues/5328,closed,2023-12-22,2023-12-29,2023-12-27,961183b99620c2f0a871395e708ae6ecdb4ab634
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5326,https://api.github.com/repos/kubeedge/kubeedge/issues/5326,closed,2023-12-21,2024-01-22,2024-01-02,a9ebfab18766226b51c62e0dadb092f67c36891e
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5325,https://api.github.com/repos/kubeedge/kubeedge/issues/5325,closed,2023-12-20,2024-01-22,2024-01-03,cee97bc3be937ceff26b899b1efec0d81dc68c39
luomengY,https://api.github.com/repos/kubeedge/kubeedge/pulls/5321,https://api.github.com/repos/kubeedge/kubeedge/issues/5321,closed,2023-12-15,2024-01-17,2024-01-17,a54550f57df19b5d55de24f45de27fc90799c59d
JiaweiGithub,https://api.github.com/repos/kubeedge/kubeedge/pulls/5320,https://api.github.com/repos/kubeedge/kubeedge/issues/5320,closed,2023-12-15,2023-12-18,2023-12-18,f3e6bf2c6422b279c24a5f5880ecc904161d7d16
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5316,https://api.github.com/repos/kubeedge/kubeedge/issues/5316,closed,2023-12-15,2024-01-16,,e9321f6703c9dbe61cb0221043c04e5bd9835306
Windrow14,https://api.github.com/repos/kubeedge/kubeedge/pulls/5313,https://api.github.com/repos/kubeedge/kubeedge/issues/5313,closed,2023-12-14,2024-01-09,2023-12-20,86e8b34eafd34dd2e4c5d2d4689fae6f379e736d
wlq1212,https://api.github.com/repos/kubeedge/kubeedge/pulls/5312,https://api.github.com/repos/kubeedge/kubeedge/issues/5312,closed,2023-12-14,2023-12-14,2023-12-14,505f62bd5847142d68f006fb186b4710d9546b94
Shelley-BaoYue,https://api.github.com/repos/kubeedge/kubeedge/pulls/5310,https://api.github.com/repos/kubeedge/kubeedge/issues/5310,closed,2023-12-13,2024-02-02,2024-02-02,d2e5eb61aaa123055b340e0568487c3f8b89e392
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5308,https://api.github.com/repos/kubeedge/kubeedge/issues/5308,closed,2023-12-13,2023-12-28,2023-12-15,7cb9a17b403bfe4cd0d62bdb62c4bfe123fd8056
wbc6080,https://api.github.com/repos/kubeedge/kubeedge/pulls/5305,https://api.github.com/repos/kubeedge/kubeedge/issues/5305,closed,2023-12-12,2023-12-28,2023-12-13,6416d2871e69b188e20f13cb8c2813b2c7060902
luomengY,https://api.github.com/repos/kubeedge/kubeedge/pulls/5303,https://api.github.com/repos/kubeedge/kubeedge/issues/5303,closed,2023-12-12,2024-01-08,2024-01-04,99026eb4e7142a16b572c7e53f895f0a44245bb0
Shelley-BaoYue,https://api.github.com/repos/kubeedge/kubeedge/pulls/5299,https://api.github.com/repos/kubeedge/kubeedge/issues/5299,closed,2023-12-11,2023-12-19,2023-12-19,8d5e2c41c35c98a46bd37467fd4aa5005a26da3d
Shelley-BaoYue,https://api.github.com/repos/kubeedge/kubeedge/pulls/5298,https://api.github.com/repos/kubeedge/kubeedge/issues/5298,closed,2023-12-09,2023-12-11,2023-12-11,6c2e95ca2694eb009053e623c48440a581238024
Shelley-BaoYue,https://api.github.com/repos/kubeedge/kubeedge/pulls/5297,https://api.github.com/repos/kubeedge/kubeedge/issues/5297,closed,2023-12-09,2023-12-11,2023-12-11,d92281e2df96b8f91ecb6fbed295c5786a867945
Shelley-BaoYue,https://api.github.com/repos/kubeedge/kubeedge/pulls/5296,https://api.github.com/repos/kubeedge/kubeedge/issues/5296,closed,2023-12-09,2023-12-11,2023-12-11,cebdc4c58bb6761ebc93431f6480e951bf7fef95
Shelley-BaoYue,https://api.github.com/repos/kubeedge/kubeedge/pulls/5295,https://api.github.com/repos/kubeedge/kubeedge/issues/5295,closed,2023-12-09,2023-12-11,2023-12-11,ecc77110f27b2cbf473dbb3d4370fbed2f45cee8
Shelley-BaoYue,https://api.github.com/repos/kubeedge/kubeedge/pulls/5294,https://api.github.com/repos/kubeedge/kubeedge/issues/5294,closed,2023-12-09,2024-01-16,2024-01-16,7138f4d5e5019069c272eff098c68a17ea2ccfee
cl2017,https://api.github.com/repos/kubeedge/kubeedge/pulls/5292,https://api.github.com/repos/kubeedge/kubeedge/issues/5292,closed,2023-12-08,2024-01-22,2024-01-18,b2578dfcf0818de6b491b3bbc36041f16e02551a
cl2017,https://api.github.com/repos/kubeedge/kubeedge/pulls/5290,https://api.github.com/repos/kubeedge/kubeedge/issues/5290,closed,2023-12-08,2024-01-16,2024-01-16,a76ab4535de8612066dc8c99b0a294224492797a
wlq1212,https://api.github.com/repos/kubeedge/kubeedge/pulls/5289,https://api.github.com/repos/kubeedge/kubeedge/issues/5289,closed,2023-12-08,2024-01-09,2024-01-09,884854e6112909a8fd2b3945659134952d02035a
