user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
bzub,https://api.github.com/repos/kubernetes-sigs/kubebuilder/pulls/3813,https://api.github.com/repos/kubernetes-sigs/kubebuilder/issues/3813,open,2024-03-06,2024-03-06,,89e026568070b0fb42770d4f943cfd736e4fcce8
Kavinjsir,https://api.github.com/repos/kubernetes-sigs/kubebuilder/pulls/3810,https://api.github.com/repos/kubernetes-sigs/kubebuilder/issues/3810,open,2024-03-06,2024-03-06,,8d2edd94be34767cccf41f19a7c4b234a93f3888
dependabot[bot],https://api.github.com/repos/kubernetes-sigs/kubebuilder/pulls/3807,https://api.github.com/repos/kubernetes-sigs/kubebuilder/issues/3807,open,2024-03-04,2024-03-06,,58c8edcd9c508e7916ca6e1297a606c34436ee23
semihbkgr,https://api.github.com/repos/kubernetes-sigs/kubebuilder/pulls/3806,https://api.github.com/repos/kubernetes-sigs/kubebuilder/issues/3806,open,2024-03-04,2024-03-05,,a1592b050685a8eefd0ddf356f651dda6eb92bad
sarthaksarthak9,https://api.github.com/repos/kubernetes-sigs/kubebuilder/pulls/3804,https://api.github.com/repos/kubernetes-sigs/kubebuilder/issues/3804,open,2024-03-03,2024-03-05,,1b1fa9185120098114f46c6f98d06ed16d9c2e08
mcbenjemaa,https://api.github.com/repos/kubernetes-sigs/kubebuilder/pulls/3803,https://api.github.com/repos/kubernetes-sigs/kubebuilder/issues/3803,open,2024-03-02,2024-03-02,,ff07e3d1db5db8136f2c3da0d7bf320ab520e40c
lunarwhite,https://api.github.com/repos/kubernetes-sigs/kubebuilder/pulls/3800,https://api.github.com/repos/kubernetes-sigs/kubebuilder/issues/3800,open,2024-03-01,2024-03-01,,a17168b5cf3405e8429379bf6b9f67e240f1b655
renormalize,https://api.github.com/repos/kubernetes-sigs/kubebuilder/pulls/3799,https://api.github.com/repos/kubernetes-sigs/kubebuilder/issues/3799,closed,2024-02-27,2024-02-27,2024-02-27,bbd19fecc2cbc81a87f471e19ba2ba643f713dca
sarthaksarthak9,https://api.github.com/repos/kubernetes-sigs/kubebuilder/pulls/3797,https://api.github.com/repos/kubernetes-sigs/kubebuilder/issues/3797,closed,2024-02-26,2024-03-04,2024-03-04,011383cb93b1d26de2f421418fce26ea4bd66700
sarthaksarthak9,https://api.github.com/repos/kubernetes-sigs/kubebuilder/pulls/3796,https://api.github.com/repos/kubernetes-sigs/kubebuilder/issues/3796,closed,2024-02-22,2024-02-26,,052c2330429a1e9f9547330d2b9fa9392eee8ea8
