user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
dwertent,https://api.github.com/repos/kubescape/kubescape/pulls/1627,https://api.github.com/repos/kubescape/kubescape/issues/1627,open,2024-03-06,2024-03-06,,5129f297808a83da91b274d6b4863cc4e77168e3
matthyx,https://api.github.com/repos/kubescape/kubescape/pulls/1626,https://api.github.com/repos/kubescape/kubescape/issues/1626,closed,2024-03-06,2024-03-06,2024-03-06,cf75cc3a7ad0d8ca3e89c45f0d79a2f1c201a0ae
dwertent,https://api.github.com/repos/kubescape/kubescape/pulls/1624,https://api.github.com/repos/kubescape/kubescape/issues/1624,closed,2024-03-03,2024-03-04,2024-03-04,7fd1396cff48ac79bf1fa130c58dec83ef47eb7c
dwertent,https://api.github.com/repos/kubescape/kubescape/pulls/1623,https://api.github.com/repos/kubescape/kubescape/issues/1623,closed,2024-03-01,2024-03-01,2024-03-01,cbdbd7433b60367774b39d67f0e0925d752a0b1d
dwertent,https://api.github.com/repos/kubescape/kubescape/pulls/1622,https://api.github.com/repos/kubescape/kubescape/issues/1622,closed,2024-03-01,2024-03-01,2024-03-01,7f5d513e6bd805b3a6a1f99dacc63ebc42e36309
matthyx,https://api.github.com/repos/kubescape/kubescape/pulls/1621,https://api.github.com/repos/kubescape/kubescape/issues/1621,closed,2024-02-29,2024-03-01,,dd65aef43670e0711cf2412078c5c345a15dc6a2
MMMMMMorty,https://api.github.com/repos/kubescape/kubescape/pulls/1620,https://api.github.com/repos/kubescape/kubescape/issues/1620,closed,2024-02-29,2024-02-29,2024-02-29,0033dc881e28d0f87d65432b96afa521e30b8ef0
dwertent,https://api.github.com/repos/kubescape/kubescape/pulls/1619,https://api.github.com/repos/kubescape/kubescape/issues/1619,closed,2024-02-29,2024-02-29,2024-02-29,809146c070afc118727d5490638a996a95c4be23
dwertent,https://api.github.com/repos/kubescape/kubescape/pulls/1618,https://api.github.com/repos/kubescape/kubescape/issues/1618,closed,2024-02-29,2024-02-29,2024-02-29,f8ac5af31bc5dcfacf89ae2f67d89ce008367c11
matthyx,https://api.github.com/repos/kubescape/kubescape/pulls/1616,https://api.github.com/repos/kubescape/kubescape/issues/1616,closed,2024-02-27,2024-02-28,2024-02-28,3362a38d095068763b5e19c09db187ebc9f0c7f9
agarcia-oss,https://api.github.com/repos/kubescape/kubescape/pulls/1615,https://api.github.com/repos/kubescape/kubescape/issues/1615,closed,2024-02-26,2024-03-01,2024-03-01,fad8f2b2728d5cd40a1c4cc57e87a6c1c2554a9a
dwertent,https://api.github.com/repos/kubescape/kubescape/pulls/1614,https://api.github.com/repos/kubescape/kubescape/issues/1614,closed,2024-02-26,2024-02-29,2024-02-29,20babdc071d570470c085e36647259e32c4279ec
dwertent,https://api.github.com/repos/kubescape/kubescape/pulls/1613,https://api.github.com/repos/kubescape/kubescape/issues/1613,closed,2024-02-26,2024-02-26,2024-02-26,ea7a8bef9437f02e498f4b548f277642f541474a
matthyx,https://api.github.com/repos/kubescape/kubescape/pulls/1612,https://api.github.com/repos/kubescape/kubescape/issues/1612,closed,2024-02-26,2024-02-26,2024-02-26,e6150d405e4026f062f8df24f90374c349209dc8
dependabot[bot],https://api.github.com/repos/kubescape/kubescape/pulls/1611,https://api.github.com/repos/kubescape/kubescape/issues/1611,closed,2024-02-25,2024-02-25,2024-02-25,3f866683a41e2eea45c4c776c3bfb1ae583a7a8d
dependabot[bot],https://api.github.com/repos/kubescape/kubescape/pulls/1610,https://api.github.com/repos/kubescape/kubescape/issues/1610,closed,2024-02-25,2024-02-25,2024-02-25,513bfa91bef43528a6ae388b6fb137251adf3fde
dwertent,https://api.github.com/repos/kubescape/kubescape/pulls/1609,https://api.github.com/repos/kubescape/kubescape/issues/1609,closed,2024-02-22,2024-02-25,2024-02-25,10f0a04a6efa09e4eb077a4f5576c7c325179aa2
dwertent,https://api.github.com/repos/kubescape/kubescape/pulls/1608,https://api.github.com/repos/kubescape/kubescape/issues/1608,closed,2024-02-22,2024-02-22,2024-02-22,18df5dc5ed66acd9a4c721e4ca3ddc011a23b24e
dwertent,https://api.github.com/repos/kubescape/kubescape/pulls/1607,https://api.github.com/repos/kubescape/kubescape/issues/1607,closed,2024-02-22,2024-02-22,2024-02-22,9b05fb60e48a03c1e2c3faeddb09b35e7f2f07ef
ShivamJha2436,https://api.github.com/repos/kubescape/kubescape/pulls/1604,https://api.github.com/repos/kubescape/kubescape/issues/1604,closed,2024-02-14,2024-03-04,,7d53d3e1f220b7870bbaae4370a5b9d2448a7265
dependabot[bot],https://api.github.com/repos/kubescape/kubescape/pulls/1599,https://api.github.com/repos/kubescape/kubescape/issues/1599,closed,2024-02-07,2024-02-07,2024-02-07,179befbcd52aa59f72ba18a401c7c09cffc4e5bd
