user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
guggero,https://api.github.com/repos/lightningnetwork/lnd/pulls/8526,https://api.github.com/repos/lightningnetwork/lnd/issues/8526,open,2024-03-06,2024-03-06,,423441642389e42549f581e13b4e1f975e6019c0
mohamedawnallah,https://api.github.com/repos/lightningnetwork/lnd/pulls/8525,https://api.github.com/repos/lightningnetwork/lnd/issues/8525,open,2024-03-06,2024-03-06,,e22ea8995d5c69da24302618dea429ebd477ebb9
ziggie1984,https://api.github.com/repos/lightningnetwork/lnd/pulls/8524,https://api.github.com/repos/lightningnetwork/lnd/issues/8524,open,2024-03-06,2024-03-06,,d758fd42de4ef397f909f570187c6d1ba0d91c55
guggero,https://api.github.com/repos/lightningnetwork/lnd/pulls/8523,https://api.github.com/repos/lightningnetwork/lnd/issues/8523,closed,2024-03-06,2024-03-06,2024-03-06,5f89a8b832c25a19af310f5c65e32db2e34fd8de
zhiqiangxu,https://api.github.com/repos/lightningnetwork/lnd/pulls/8521,https://api.github.com/repos/lightningnetwork/lnd/issues/8521,open,2024-03-06,2024-03-06,,6f957fe9935c94ca45619d5ac6f2a7ff55b26f12
Roasbeef,https://api.github.com/repos/lightningnetwork/lnd/pulls/8520,https://api.github.com/repos/lightningnetwork/lnd/issues/8520,open,2024-03-06,2024-03-06,,207531ae493d7be15e151ddafa3b2481a455176a
yyforyongyu,https://api.github.com/repos/lightningnetwork/lnd/pulls/8519,https://api.github.com/repos/lightningnetwork/lnd/issues/8519,open,2024-03-05,2024-03-06,,8ab101c15f8ba6f8253fc0d1ac05a3d482427083
ProofOfKeags,https://api.github.com/repos/lightningnetwork/lnd/pulls/8517,https://api.github.com/repos/lightningnetwork/lnd/issues/8517,closed,2024-03-04,2024-03-06,2024-03-06,56f17afeeb2e788ee1c88b867b11e89173c2411a
Chinwendu20,https://api.github.com/repos/lightningnetwork/lnd/pulls/8516,https://api.github.com/repos/lightningnetwork/lnd/issues/8516,open,2024-03-04,2024-03-05,,1de68e791dfbc6d97324593c79ac70a795ea4d8b
mohamedawnallah,https://api.github.com/repos/lightningnetwork/lnd/pulls/8515,https://api.github.com/repos/lightningnetwork/lnd/issues/8515,open,2024-03-03,2024-03-06,,8440491f50708efb9ad656288500786e57414401
yyforyongyu,https://api.github.com/repos/lightningnetwork/lnd/pulls/8514,https://api.github.com/repos/lightningnetwork/lnd/issues/8514,open,2024-03-02,2024-03-03,,8faa00f2dc71cad4a0229ab283d6fbe1608fb0b5
guggero,https://api.github.com/repos/lightningnetwork/lnd/pulls/8513,https://api.github.com/repos/lightningnetwork/lnd/issues/8513,closed,2024-03-01,2024-03-01,2024-03-01,f61761277f14005be6802bf8993909c28652990c
Roasbeef,https://api.github.com/repos/lightningnetwork/lnd/pulls/8512,https://api.github.com/repos/lightningnetwork/lnd/issues/8512,open,2024-03-01,2024-03-06,,adc17d265198d3603ccbe155897c929b602a1359
GeorgeTsagk,https://api.github.com/repos/lightningnetwork/lnd/pulls/8509,https://api.github.com/repos/lightningnetwork/lnd/issues/8509,open,2024-02-29,2024-03-06,,d3237b8347f128f6b538a76a39577e3afc73e290
Chinwendu20,https://api.github.com/repos/lightningnetwork/lnd/pulls/8507,https://api.github.com/repos/lightningnetwork/lnd/issues/8507,closed,2024-02-28,2024-02-28,,d3102d78463dfd1e6dae3c7631ae64cb991e04c5
yyforyongyu,https://api.github.com/repos/lightningnetwork/lnd/pulls/8505,https://api.github.com/repos/lightningnetwork/lnd/issues/8505,closed,2024-02-28,2024-03-06,2024-03-06,d5138c10391b5ba4b9f63dda7e3416c4da0a8de5
calvinrzachman,https://api.github.com/repos/lightningnetwork/lnd/pulls/8504,https://api.github.com/repos/lightningnetwork/lnd/issues/8504,open,2024-02-28,2024-02-29,,8b7407bb4e16c24599e9a3375a787236b94f8392
ffranr,https://api.github.com/repos/lightningnetwork/lnd/pulls/8503,https://api.github.com/repos/lightningnetwork/lnd/issues/8503,closed,2024-02-26,2024-02-27,2024-02-27,48a3d5633560d0f38c69e69b3a4bf520545c8590
Roasbeef,https://api.github.com/repos/lightningnetwork/lnd/pulls/8501,https://api.github.com/repos/lightningnetwork/lnd/issues/8501,closed,2024-02-25,2024-02-27,2024-02-27,b234658945fddde92929b147f783a42c884ec7f7
Roasbeef,https://api.github.com/repos/lightningnetwork/lnd/pulls/8500,https://api.github.com/repos/lightningnetwork/lnd/issues/8500,closed,2024-02-25,2024-02-27,2024-02-27,6d8f40cb278e6863c08fa5ef1eb5cbaa9753f83c
Roasbeef,https://api.github.com/repos/lightningnetwork/lnd/pulls/8499,https://api.github.com/repos/lightningnetwork/lnd/issues/8499,closed,2024-02-24,2024-02-29,2024-02-29,e623263b7fd3c3be587801f761c614ae1bd516bf
ziggie1984,https://api.github.com/repos/lightningnetwork/lnd/pulls/8497,https://api.github.com/repos/lightningnetwork/lnd/issues/8497,open,2024-02-22,2024-02-25,,139b3db9df824fd433c6f257571a819395ee5b76
aakselrod,https://api.github.com/repos/lightningnetwork/lnd/pulls/8496,https://api.github.com/repos/lightningnetwork/lnd/issues/8496,open,2024-02-21,2024-03-04,,6aee0c9dbb90f59b29d45194104ae9fe2b70196e
yyforyongyu,https://api.github.com/repos/lightningnetwork/lnd/pulls/8494,https://api.github.com/repos/lightningnetwork/lnd/issues/8494,closed,2024-02-21,2024-02-21,2024-02-21,e53f7c101831dfe9d7ca6737ed19a464a635d430
davidgumberg,https://api.github.com/repos/lightningnetwork/lnd/pulls/8491,https://api.github.com/repos/lightningnetwork/lnd/issues/8491,open,2024-02-19,2024-03-05,,5c3f12e5f6033731068c8355742651b090e5872f
Chinwendu20,https://api.github.com/repos/lightningnetwork/lnd/pulls/8490,https://api.github.com/repos/lightningnetwork/lnd/issues/8490,open,2024-02-19,2024-03-07,,1350884bc94275ab106ea7f1bcc1068946ee8b0d
joaothallis,https://api.github.com/repos/lightningnetwork/lnd/pulls/8486,https://api.github.com/repos/lightningnetwork/lnd/issues/8486,closed,2024-02-18,2024-02-19,2024-02-19,a3bf2c70e5aabf01c5db536f4cb90d2080c65b05
carlaKC,https://api.github.com/repos/lightningnetwork/lnd/pulls/8485,https://api.github.com/repos/lightningnetwork/lnd/issues/8485,open,2024-02-17,2024-03-06,,bf572e850967f3579a5962ece9990cb7a903dc67
mrfelton,https://api.github.com/repos/lightningnetwork/lnd/pulls/8484,https://api.github.com/repos/lightningnetwork/lnd/issues/8484,open,2024-02-17,2024-03-04,,0a4c9cadc6387e29cd7074795ed22408bb1ab475
ProofOfKeags,https://api.github.com/repos/lightningnetwork/lnd/pulls/8483,https://api.github.com/repos/lightningnetwork/lnd/issues/8483,open,2024-02-17,2024-03-02,,788440647283105a78590140ea91aa6d6c314ffb
tdb3,https://api.github.com/repos/lightningnetwork/lnd/pulls/8479,https://api.github.com/repos/lightningnetwork/lnd/issues/8479,closed,2024-02-14,2024-02-14,2024-02-14,f008a970821b6453cf9986a807865e9efb992a90
douglaz,https://api.github.com/repos/lightningnetwork/lnd/pulls/8475,https://api.github.com/repos/lightningnetwork/lnd/issues/8475,closed,2024-02-12,2024-02-14,,e9bc41e155d569fd3ce0d8eb5327395317ad550a
morehouse,https://api.github.com/repos/lightningnetwork/lnd/pulls/8471,https://api.github.com/repos/lightningnetwork/lnd/issues/8471,closed,2024-02-09,2024-02-12,2024-02-12,4855faf162897ef5cbc83fde972fb7340d36547d
weiliy,https://api.github.com/repos/lightningnetwork/lnd/pulls/8466,https://api.github.com/repos/lightningnetwork/lnd/issues/8466,closed,2024-02-07,2024-02-08,2024-02-08,17f5798726ac88505c5b1bddcbc2a20760973043
ellemouton,https://api.github.com/repos/lightningnetwork/lnd/pulls/8464,https://api.github.com/repos/lightningnetwork/lnd/issues/8464,closed,2024-02-06,2024-02-21,2024-02-21,16279765eb192f20dce968db6fc57d1190dc9ba9
ProofOfKeags,https://api.github.com/repos/lightningnetwork/lnd/pulls/8463,https://api.github.com/repos/lightningnetwork/lnd/issues/8463,closed,2024-02-05,2024-02-22,2024-02-22,935e550da67b4df17d29c830c5ea66a02c84af3f
matheusd,https://api.github.com/repos/lightningnetwork/lnd/pulls/8462,https://api.github.com/repos/lightningnetwork/lnd/issues/8462,open,2024-02-05,2024-03-06,,6eff678990ae651be9845066f7653d5f2779991e
mohamedawnallah,https://api.github.com/repos/lightningnetwork/lnd/pulls/8457,https://api.github.com/repos/lightningnetwork/lnd/issues/8457,closed,2024-02-03,2024-02-05,2024-02-05,4584f7e39cb282ad17ccb162972e57812a8d47fb
Roasbeef,https://api.github.com/repos/lightningnetwork/lnd/pulls/8456,https://api.github.com/repos/lightningnetwork/lnd/issues/8456,closed,2024-02-03,2024-02-05,2024-02-05,e9bc9ad510f9655f0322b53bba5386f46d829711
Roasbeef,https://api.github.com/repos/lightningnetwork/lnd/pulls/8455,https://api.github.com/repos/lightningnetwork/lnd/issues/8455,closed,2024-02-03,2024-02-05,2024-02-05,ab8f3197506976a7658bfee745a8c289a1cb8505
Roasbeef,https://api.github.com/repos/lightningnetwork/lnd/pulls/8453,https://api.github.com/repos/lightningnetwork/lnd/issues/8453,open,2024-02-01,2024-03-05,,28fb49c89610f70b396f68288b2db291fc913dd0
ProofOfKeags,https://api.github.com/repos/lightningnetwork/lnd/pulls/8452,https://api.github.com/repos/lightningnetwork/lnd/issues/8452,closed,2024-02-01,2024-02-07,2024-02-07,9651ee6372e8945c4c49929622682d22155ce084
ProofOfKeags,https://api.github.com/repos/lightningnetwork/lnd/pulls/8450,https://api.github.com/repos/lightningnetwork/lnd/issues/8450,closed,2024-01-31,2024-02-01,,e054fe64f878934ed7bb2a85fda9193f61faca5c
ProofOfKeags,https://api.github.com/repos/lightningnetwork/lnd/pulls/8449,https://api.github.com/repos/lightningnetwork/lnd/issues/8449,closed,2024-01-31,2024-02-03,2024-02-03,54c47a3feb8ecdd72d58897ea950fae7234eb53b
ellemouton,https://api.github.com/repos/lightningnetwork/lnd/pulls/8447,https://api.github.com/repos/lightningnetwork/lnd/issues/8447,closed,2024-01-31,2024-02-06,,12ea37ccf004e31c3a797a53eccc4cf3b2a90442
yyforyongyu,https://api.github.com/repos/lightningnetwork/lnd/pulls/8446,https://api.github.com/repos/lightningnetwork/lnd/issues/8446,closed,2024-01-31,2024-02-01,2024-02-01,5fe99f06acdc9df56109a2ceceef21d8e9d3d9b7
ProofOfKeags,https://api.github.com/repos/lightningnetwork/lnd/pulls/8442,https://api.github.com/repos/lightningnetwork/lnd/issues/8442,closed,2024-01-30,2024-01-31,2024-01-31,7d74165296116c14a2bf569ba158e8286f50c0f0
saubyk,https://api.github.com/repos/lightningnetwork/lnd/pulls/8440,https://api.github.com/repos/lightningnetwork/lnd/issues/8440,closed,2024-01-30,2024-02-03,2024-02-03,47fced69da303945c90701d8ea4965d0dbde744b
guggero,https://api.github.com/repos/lightningnetwork/lnd/pulls/8438,https://api.github.com/repos/lightningnetwork/lnd/issues/8438,closed,2024-01-29,2024-01-29,2024-01-29,1e5ff5fa27cfd5e6823e942008e35b37d77ec8ae
ellemouton,https://api.github.com/repos/lightningnetwork/lnd/pulls/8437,https://api.github.com/repos/lightningnetwork/lnd/issues/8437,closed,2024-01-29,2024-01-30,2024-01-30,cf4f468ab5c70e644d8974145d1ffd74a3dabc35
Roasbeef,https://api.github.com/repos/lightningnetwork/lnd/pulls/8434,https://api.github.com/repos/lightningnetwork/lnd/issues/8434,closed,2024-01-27,2024-03-05,2024-03-05,b8a229f95693cc25a8139832bbbac2b00f657978
yyforyongyu,https://api.github.com/repos/lightningnetwork/lnd/pulls/8432,https://api.github.com/repos/lightningnetwork/lnd/issues/8432,closed,2024-01-26,2024-02-05,2024-02-05,63e698ec4990e678089533561fd95cfd684b67db
ziggie1984,https://api.github.com/repos/lightningnetwork/lnd/pulls/8431,https://api.github.com/repos/lightningnetwork/lnd/issues/8431,closed,2024-01-25,2024-01-30,2024-01-30,c89005c3a10ad66bc20c37638551869c73015576
bhandras,https://api.github.com/repos/lightningnetwork/lnd/pulls/8430,https://api.github.com/repos/lightningnetwork/lnd/issues/8430,closed,2024-01-25,2024-02-15,2024-02-15,7a3101710c57f4c0ed0c73864b10ddd38e077217
ziggie1984,https://api.github.com/repos/lightningnetwork/lnd/pulls/8428,https://api.github.com/repos/lightningnetwork/lnd/issues/8428,closed,2024-01-25,2024-01-29,2024-01-29,b76d3e64d32d1ea107942766c0194d4ec79ef7d6
yyforyongyu,https://api.github.com/repos/lightningnetwork/lnd/pulls/8427,https://api.github.com/repos/lightningnetwork/lnd/issues/8427,closed,2024-01-25,2024-01-29,2024-01-29,c517d4ccd94f05ff24c909a7712c6a22150e1091
JssDWt,https://api.github.com/repos/lightningnetwork/lnd/pulls/8426,https://api.github.com/repos/lightningnetwork/lnd/issues/8426,closed,2024-01-25,2024-01-30,2024-01-30,dd7b18662235e020ea079caabed4b51d180d0278
ProofOfKeags,https://api.github.com/repos/lightningnetwork/lnd/pulls/8425,https://api.github.com/repos/lightningnetwork/lnd/issues/8425,open,2024-01-25,2024-03-06,,fc840037d7a3280c7cad299c4bb0c3295b7d6352
yyforyongyu,https://api.github.com/repos/lightningnetwork/lnd/pulls/8424,https://api.github.com/repos/lightningnetwork/lnd/issues/8424,open,2024-01-25,2024-03-06,,5e18976711fb376eb233b9968d127aa31999d481
yyforyongyu,https://api.github.com/repos/lightningnetwork/lnd/pulls/8423,https://api.github.com/repos/lightningnetwork/lnd/issues/8423,open,2024-01-25,2024-03-06,,51b5062a6de91cd9c1897a199508e599a8e6852f
yyforyongyu,https://api.github.com/repos/lightningnetwork/lnd/pulls/8422,https://api.github.com/repos/lightningnetwork/lnd/issues/8422,open,2024-01-25,2024-03-05,,a1c0d0a47d5f99f0450f119139e42ce4c078d000
ProofOfKeags,https://api.github.com/repos/lightningnetwork/lnd/pulls/8421,https://api.github.com/repos/lightningnetwork/lnd/issues/8421,closed,2024-01-25,2024-01-25,2024-01-25,2f1468000daa1fe72fde6308b00ea8d440e8ab92
ProofOfKeags,https://api.github.com/repos/lightningnetwork/lnd/pulls/8420,https://api.github.com/repos/lightningnetwork/lnd/issues/8420,closed,2024-01-25,2024-01-25,2024-01-25,0d37621bcba49d2d1af34edd18f9689ace233231
bhandras,https://api.github.com/repos/lightningnetwork/lnd/pulls/8419,https://api.github.com/repos/lightningnetwork/lnd/issues/8419,closed,2024-01-24,2024-01-25,2024-01-25,b9a8e2f6d087c4977812034e765f7e20093b14c4
Crypt-iQ,https://api.github.com/repos/lightningnetwork/lnd/pulls/8418,https://api.github.com/repos/lightningnetwork/lnd/issues/8418,open,2024-01-24,2024-03-06,,d31d88dc1084f93f71d9f5541b29ba195664a11f
Roasbeef,https://api.github.com/repos/lightningnetwork/lnd/pulls/8416,https://api.github.com/repos/lightningnetwork/lnd/issues/8416,closed,2024-01-23,2024-01-30,2024-01-30,ed6f03ea3eaa89d9dc8e1cff05d5412fd826a302
adam2k,https://api.github.com/repos/lightningnetwork/lnd/pulls/8414,https://api.github.com/repos/lightningnetwork/lnd/issues/8414,open,2024-01-22,2024-01-23,,d186ea158ed29f4dce92ae727265631b467c75b3
ellemouton,https://api.github.com/repos/lightningnetwork/lnd/pulls/8413,https://api.github.com/repos/lightningnetwork/lnd/issues/8413,closed,2024-01-22,2024-01-22,2024-01-22,35fa053144b4a0d5c517f73f5cf9a7f7d317a5ae
Halimao,https://api.github.com/repos/lightningnetwork/lnd/pulls/8412,https://api.github.com/repos/lightningnetwork/lnd/issues/8412,closed,2024-01-22,2024-01-22,,922e4854f9e10b6de46f84531e3c15a7666bedc0
guggero,https://api.github.com/repos/lightningnetwork/lnd/pulls/8411,https://api.github.com/repos/lightningnetwork/lnd/issues/8411,closed,2024-01-22,2024-01-22,2024-01-22,e1259cd3c716d77053e7fd7c58ef573162408af8
mohamedawnallah,https://api.github.com/repos/lightningnetwork/lnd/pulls/8407,https://api.github.com/repos/lightningnetwork/lnd/issues/8407,closed,2024-01-20,2024-01-22,2024-01-22,2b83ea309abf4ae0db3a8e374bd0b8c4fbaeaf10
ziggie1984,https://api.github.com/repos/lightningnetwork/lnd/pulls/8406,https://api.github.com/repos/lightningnetwork/lnd/issues/8406,closed,2024-01-20,2024-01-22,2024-01-22,ec5b8248790989aeb46d65869350f6919fbc3415
ProofOfKeags,https://api.github.com/repos/lightningnetwork/lnd/pulls/8405,https://api.github.com/repos/lightningnetwork/lnd/issues/8405,open,2024-01-20,2024-03-06,,6cf932ff80f3d67f4a0993950b5d526ee2f2ff65
ellemouton,https://api.github.com/repos/lightningnetwork/lnd/pulls/8403,https://api.github.com/repos/lightningnetwork/lnd/issues/8403,closed,2024-01-19,2024-01-19,2024-01-19,24a79c78ed166e3bbdd8871d9ca046ebd2b4829b
yyforyongyu,https://api.github.com/repos/lightningnetwork/lnd/pulls/8401,https://api.github.com/repos/lightningnetwork/lnd/issues/8401,closed,2024-01-19,2024-01-23,2024-01-23,e31d1598932a814c2d44b774e5110746295df711
ellemouton,https://api.github.com/repos/lightningnetwork/lnd/pulls/8400,https://api.github.com/repos/lightningnetwork/lnd/issues/8400,closed,2024-01-18,2024-01-22,2024-01-22,41c167d37ceb42a454fe657caa80339de8e796f3
