user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
dependabot[bot],https://api.github.com/repos/lukas-krecan/ShedLock/pulls/1826,https://api.github.com/repos/lukas-krecan/ShedLock/issues/1826,closed,2024-03-06,2024-03-06,2024-03-06,7140a758d4bc51181d617fd64b1904098530aecb
dependabot[bot],https://api.github.com/repos/lukas-krecan/ShedLock/pulls/1825,https://api.github.com/repos/lukas-krecan/ShedLock/issues/1825,closed,2024-03-06,2024-03-06,2024-03-06,a3244bccacbdf337588c143ac24f16b9d8776b76
dependabot[bot],https://api.github.com/repos/lukas-krecan/ShedLock/pulls/1824,https://api.github.com/repos/lukas-krecan/ShedLock/issues/1824,closed,2024-03-06,2024-03-06,2024-03-06,263a22a390adf7c2a20cc9f94710f57a90f620b3
dependabot[bot],https://api.github.com/repos/lukas-krecan/ShedLock/pulls/1823,https://api.github.com/repos/lukas-krecan/ShedLock/issues/1823,closed,2024-03-05,2024-03-05,2024-03-05,010663425bbe8d1e2f4ed91729e9dc0c42b100ec
dependabot[bot],https://api.github.com/repos/lukas-krecan/ShedLock/pulls/1822,https://api.github.com/repos/lukas-krecan/ShedLock/issues/1822,closed,2024-03-05,2024-03-05,2024-03-05,7357e02a6b8cf82bf89366623c874444ed5072da
dependabot[bot],https://api.github.com/repos/lukas-krecan/ShedLock/pulls/1820,https://api.github.com/repos/lukas-krecan/ShedLock/issues/1820,closed,2024-03-04,2024-03-04,2024-03-04,876725e424292ff5e26967d6eef1d551507ab8df
dependabot[bot],https://api.github.com/repos/lukas-krecan/ShedLock/pulls/1819,https://api.github.com/repos/lukas-krecan/ShedLock/issues/1819,closed,2024-03-04,2024-03-04,2024-03-04,7595149ba0376da3ff670d6a18cb2acef92624a2
dependabot[bot],https://api.github.com/repos/lukas-krecan/ShedLock/pulls/1818,https://api.github.com/repos/lukas-krecan/ShedLock/issues/1818,closed,2024-03-04,2024-03-04,2024-03-04,06317e9e4d5fb130a10c3a6589a5968a32ea1b68
dependabot[bot],https://api.github.com/repos/lukas-krecan/ShedLock/pulls/1817,https://api.github.com/repos/lukas-krecan/ShedLock/issues/1817,closed,2024-03-01,2024-03-01,,43fc93d74c6b1a1c71e834c91acdaee67fdacad7
dependabot[bot],https://api.github.com/repos/lukas-krecan/ShedLock/pulls/1816,https://api.github.com/repos/lukas-krecan/ShedLock/issues/1816,closed,2024-03-01,2024-03-01,2024-03-01,5fd660fb2581926e6f7a5dc0c3bd42607ad9ec39
dependabot[bot],https://api.github.com/repos/lukas-krecan/ShedLock/pulls/1815,https://api.github.com/repos/lukas-krecan/ShedLock/issues/1815,closed,2024-03-01,2024-03-01,2024-03-01,57e1962c2466151971f9b7b7eb43bfb0acd0450e
dependabot[bot],https://api.github.com/repos/lukas-krecan/ShedLock/pulls/1814,https://api.github.com/repos/lukas-krecan/ShedLock/issues/1814,closed,2024-03-01,2024-03-01,2024-03-01,ade623c2edd273cd4bbb33ef4204c742d22706d2
lukas-krecan,https://api.github.com/repos/lukas-krecan/ShedLock/pulls/1813,https://api.github.com/repos/lukas-krecan/ShedLock/issues/1813,closed,2024-03-01,2024-03-01,2024-03-01,22de2d5d9d908f50fe9c75f92701e3e9cc4afcc8
yuagu1,https://api.github.com/repos/lukas-krecan/ShedLock/pulls/1812,https://api.github.com/repos/lukas-krecan/ShedLock/issues/1812,closed,2024-03-01,2024-03-01,2024-03-01,b71ccf366a5523a8dfc794f52f02b452e7e4882d
dependabot[bot],https://api.github.com/repos/lukas-krecan/ShedLock/pulls/1811,https://api.github.com/repos/lukas-krecan/ShedLock/issues/1811,closed,2024-02-29,2024-02-29,2024-02-29,2ee3f3444d8ed843164767a6c98b9d62b526d556
