user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
furkankurt,https://api.github.com/repos/lukepighetti/fluro/pulls/280,https://api.github.com/repos/lukepighetti/fluro/issues/280,open,2023-03-22,2023-03-22,,45563c74d7470cd0c53fd4e7e8547511f2edb72e
rbresjer,https://api.github.com/repos/lukepighetti/fluro/pulls/264,https://api.github.com/repos/lukepighetti/fluro/issues/264,open,2022-03-23,2022-03-23,,39193c11f97da1ff3828a82117c0a86cf5280f67
bonnyfone,https://api.github.com/repos/lukepighetti/fluro/pulls/263,https://api.github.com/repos/lukepighetti/fluro/issues/263,open,2022-03-22,2022-03-22,,d57c16085bfe96fcb78b709c00bb32657a01be8e
atrancandoris,https://api.github.com/repos/lukepighetti/fluro/pulls/260,https://api.github.com/repos/lukepighetti/fluro/issues/260,open,2022-02-15,2022-02-15,,2e84f0971589d493c22dda5664542329fb5fa040
Guo-Zhang,https://api.github.com/repos/lukepighetti/fluro/pulls/259,https://api.github.com/repos/lukepighetti/fluro/issues/259,open,2022-01-22,2022-05-14,,7f6d7a0dfab50daeb92fc6d683b2b696d95fc6fa
lukepighetti,https://api.github.com/repos/lukepighetti/fluro/pulls/257,https://api.github.com/repos/lukepighetti/fluro/issues/257,closed,2022-01-12,2022-01-12,2022-01-12,00e05fe16c20cb57a0ef8283a397f2da4bb027dd
chan132,https://api.github.com/repos/lukepighetti/fluro/pulls/249,https://api.github.com/repos/lukepighetti/fluro/issues/249,open,2021-09-01,2021-09-01,,c916a97a9add7335ed5e6fd2aff3c820b1df31dc
RemcoSchrijver,https://api.github.com/repos/lukepighetti/fluro/pulls/243,https://api.github.com/repos/lukepighetti/fluro/issues/243,open,2021-07-18,2021-10-25,,16ed7a137e6f7e3cb5518fcc3608a7d99f575f3a
Rsplwe,https://api.github.com/repos/lukepighetti/fluro/pulls/241,https://api.github.com/repos/lukepighetti/fluro/issues/241,open,2021-07-14,2021-10-25,,8278588bf76f2890e760fcdd9488deb55a1ff48d
alen256,https://api.github.com/repos/lukepighetti/fluro/pulls/239,https://api.github.com/repos/lukepighetti/fluro/issues/239,closed,2021-07-06,2022-01-12,,f5f1880ab7d439e3fd6dffdb525876a183cf0985
lukepighetti,https://api.github.com/repos/lukepighetti/fluro/pulls/237,https://api.github.com/repos/lukepighetti/fluro/issues/237,closed,2021-06-13,2021-06-14,2021-06-14,d326c32482441fa9c402f19246e644b1c94784d3
lukepighetti,https://api.github.com/repos/lukepighetti/fluro/pulls/236,https://api.github.com/repos/lukepighetti/fluro/issues/236,closed,2021-06-13,2021-06-13,2021-06-13,d0a7efc1757db3a82a8efaef7458fc38449aad3c
lukepighetti,https://api.github.com/repos/lukepighetti/fluro/pulls/220,https://api.github.com/repos/lukepighetti/fluro/issues/220,closed,2021-03-01,2021-03-01,2021-03-01,a86e8b449b7d6280cc218ddd424decc4f36f0904
lsalazarm99,https://api.github.com/repos/lukepighetti/fluro/pulls/219,https://api.github.com/repos/lukepighetti/fluro/issues/219,closed,2021-02-11,2021-02-26,,215c2d55ffcf777071d195d92b1a80622af2fbd5
lukepighetti,https://api.github.com/repos/lukepighetti/fluro/pulls/217,https://api.github.com/repos/lukepighetti/fluro/issues/217,closed,2021-02-05,2021-03-02,,7af9864a5ae88a4e84650da7187c54c63b846f85
pinpong,https://api.github.com/repos/lukepighetti/fluro/pulls/201,https://api.github.com/repos/lukepighetti/fluro/issues/201,closed,2020-11-24,2020-11-24,2020-11-24,5e07fb67d984bbacf9fe6c43e6eb173250655a64
robsonsilv4,https://api.github.com/repos/lukepighetti/fluro/pulls/192,https://api.github.com/repos/lukepighetti/fluro/issues/192,closed,2020-10-27,2020-10-28,2020-10-28,17ff6533d95d975d966097d8d12efe35a0299180
JagandeepBrar,https://api.github.com/repos/lukepighetti/fluro/pulls/191,https://api.github.com/repos/lukepighetti/fluro/issues/191,closed,2020-10-26,2020-10-27,2020-10-27,7fc483955867e82982656cc80935df1579a97312
hamberluo,https://api.github.com/repos/lukepighetti/fluro/pulls/189,https://api.github.com/repos/lukepighetti/fluro/issues/189,closed,2020-10-20,2020-10-22,2020-10-21,ce9ad6912700dfd6de3069631ff8c0e16c7aaaba
oscarrock,https://api.github.com/repos/lukepighetti/fluro/pulls/178,https://api.github.com/repos/lukepighetti/fluro/issues/178,closed,2020-09-07,2020-10-16,,27f4247c6709c30b52de2ff452828a729639ada2
falkorichter,https://api.github.com/repos/lukepighetti/fluro/pulls/176,https://api.github.com/repos/lukepighetti/fluro/issues/176,closed,2020-08-26,2020-10-16,,c194ab23a9ce9cf671e94590499b05bf7bae19ea
snwagbata,https://api.github.com/repos/lukepighetti/fluro/pulls/175,https://api.github.com/repos/lukepighetti/fluro/issues/175,closed,2020-08-24,2020-10-16,,a7165ade26032d9b03d458e858303cc211ca15c2
renjipanicker,https://api.github.com/repos/lukepighetti/fluro/pulls/172,https://api.github.com/repos/lukepighetti/fluro/issues/172,closed,2020-08-17,2021-08-13,,cb759d9de00170b1ec09d33a48188db58af75dae
mohak852,https://api.github.com/repos/lukepighetti/fluro/pulls/170,https://api.github.com/repos/lukepighetti/fluro/issues/170,closed,2020-06-12,2020-10-16,,1b59811999162765c87645f42980f1f6cf331bb4
