user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3338,https://api.github.com/repos/matrix-org/dendrite/issues/3338,closed,2024-03-03,2024-03-05,2024-03-05,928c8c8c4af0e933e52dbf42d9237234d1a3bc9d
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3337,https://api.github.com/repos/matrix-org/dendrite/issues/3337,closed,2024-02-26,2024-02-28,2024-02-28,865fff5f03d06f649736c7fcca134086dfccf7ab
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3336,https://api.github.com/repos/matrix-org/dendrite/issues/3336,closed,2024-02-22,2024-02-28,2024-02-28,4ccf6d6f67e7029a0c4f074aca93b0bcf267e5b6
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3334,https://api.github.com/repos/matrix-org/dendrite/issues/3334,closed,2024-02-20,2024-02-21,2024-02-21,f4e77453cb082f594a36acdeecf36a738cfa8a40
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3332,https://api.github.com/repos/matrix-org/dendrite/issues/3332,closed,2024-02-19,2024-02-20,2024-02-20,8f944f64349be6c434d5e47d9453c85db82d0144
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3331,https://api.github.com/repos/matrix-org/dendrite/issues/3331,closed,2024-02-19,2024-02-19,2024-02-19,ecb7b383e99489839b75c0f5ab2cf6e853780bb1
anton-molyboha,https://api.github.com/repos/matrix-org/dendrite/pulls/3327,https://api.github.com/repos/matrix-org/dendrite/issues/3327,closed,2024-02-12,2024-02-28,2024-02-28,e4a579f10f708953143375f6df52346aae694e07
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3326,https://api.github.com/repos/matrix-org/dendrite/issues/3326,closed,2024-02-08,2024-02-13,2024-02-13,e9deb5244edd4827234622ea0d3b11678a33b0ac
wrenix,https://api.github.com/repos/matrix-org/dendrite/pulls/3325,https://api.github.com/repos/matrix-org/dendrite/issues/3325,closed,2024-02-08,2024-02-29,2024-02-28,4892b08dd53d845bce19938d1b6a93e80c9e6db3
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3323,https://api.github.com/repos/matrix-org/dendrite/issues/3323,closed,2024-02-08,2024-02-08,2024-02-08,be0c27e68865f031e59a091fcec5244a7b48da44
jjj333-p,https://api.github.com/repos/matrix-org/dendrite/pulls/3320,https://api.github.com/repos/matrix-org/dendrite/issues/3320,open,2024-02-06,2024-03-05,,48cea9b265e87f6353e39a31c490f20b4327e0cf
dependabot[bot],https://api.github.com/repos/matrix-org/dendrite/pulls/3319,https://api.github.com/repos/matrix-org/dendrite/issues/3319,closed,2024-02-06,2024-02-28,2024-02-28,58bc289a3731d9403e5660cefa7a222edd1a8c57
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3317,https://api.github.com/repos/matrix-org/dendrite/issues/3317,closed,2024-01-29,2024-01-29,2024-01-29,a3a18fbcce29c84eb96c3db9c723da951e74ba91
tulir,https://api.github.com/repos/matrix-org/dendrite/pulls/3316,https://api.github.com/repos/matrix-org/dendrite/issues/3316,closed,2024-01-27,2024-02-03,2024-02-03,0f6b81f4560855d57550452463cc8d8b91de9ff2
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3315,https://api.github.com/repos/matrix-org/dendrite/issues/3315,closed,2024-01-26,2024-01-26,2024-01-26,87f028db27e62cca71dadc5988dc8d37f5f20af4
RosstheRoss,https://api.github.com/repos/matrix-org/dendrite/pulls/3313,https://api.github.com/repos/matrix-org/dendrite/issues/3313,closed,2024-01-25,2024-01-25,2024-01-25,a4817f31c066fe82550f285d8662befac2468030
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3312,https://api.github.com/repos/matrix-org/dendrite/issues/3312,closed,2024-01-23,2024-01-25,2024-01-25,8f68f1ff539b54f82a1fa1026e863a4076d4c9f4
recht,https://api.github.com/repos/matrix-org/dendrite/pulls/3311,https://api.github.com/repos/matrix-org/dendrite/issues/3311,closed,2024-01-22,2024-01-25,2024-01-25,00217a69d12aa65865966601504060f3b422dc93
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3308,https://api.github.com/repos/matrix-org/dendrite/issues/3308,closed,2024-01-18,2024-01-20,2024-01-20,8e4dc6b4ae2e6b1ac8f62da2ba72deb282fb89b0
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3307,https://api.github.com/repos/matrix-org/dendrite/issues/3307,closed,2024-01-18,2024-01-20,2024-01-20,d357615452893cf3440d9dbdf998a2654c439d33
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3305,https://api.github.com/repos/matrix-org/dendrite/issues/3305,closed,2024-01-17,2024-01-24,2024-01-24,d58daf96655d8533c40be674fd11b74c38f40999
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3303,https://api.github.com/repos/matrix-org/dendrite/issues/3303,closed,2024-01-15,2024-01-15,2024-01-15,dae1ef2e46b332d67f1729c3d1a2ffe3910aa3aa
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3302,https://api.github.com/repos/matrix-org/dendrite/issues/3302,closed,2024-01-11,2024-01-17,2024-01-17,bebf701dce01d47264d694b118c81dcb84a37b04
dependabot[bot],https://api.github.com/repos/matrix-org/dendrite/pulls/3300,https://api.github.com/repos/matrix-org/dendrite/issues/3300,closed,2024-01-10,2024-01-10,2024-01-10,3a4b5f49acc654f590b58397bdef470fb14a43a3
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3299,https://api.github.com/repos/matrix-org/dendrite/issues/3299,closed,2024-01-10,2024-01-10,2024-01-10,e34242008b85c8a2dbd16cebb2b98c08064e226b
devonh,https://api.github.com/repos/matrix-org/dendrite/pulls/3298,https://api.github.com/repos/matrix-org/dendrite/issues/3298,closed,2024-01-09,2024-01-09,2024-01-09,57646d5b86a929469f8ada9b9168fc19e09d9f2e
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3297,https://api.github.com/repos/matrix-org/dendrite/issues/3297,closed,2024-01-09,2024-01-09,2024-01-09,9510fa00cce80882d7a59e036eb87646e279ac41
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3296,https://api.github.com/repos/matrix-org/dendrite/issues/3296,closed,2024-01-06,2024-01-08,2024-01-08,13c5173273852d5f16f3c3d46f20fb1fd33f99d0
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3294,https://api.github.com/repos/matrix-org/dendrite/issues/3294,closed,2023-12-30,2023-12-30,2023-12-30,edd02ec468d405b6376fdbc4527a20357c0f6cef
eyedeekay,https://api.github.com/repos/matrix-org/dendrite/pulls/3293,https://api.github.com/repos/matrix-org/dendrite/issues/3293,open,2023-12-27,2024-02-29,,a56d3cee39cbef8044d0eb97d16197ecbaa0dd50
varac,https://api.github.com/repos/matrix-org/dendrite/pulls/3292,https://api.github.com/repos/matrix-org/dendrite/issues/3292,closed,2023-12-19,2024-02-29,2024-02-29,ad3a3e7bedda6551a952c0ec40511b04ea11e925
dependabot[bot],https://api.github.com/repos/matrix-org/dendrite/pulls/3290,https://api.github.com/repos/matrix-org/dendrite/issues/3290,closed,2023-12-18,2023-12-19,2023-12-19,9a5a56718e52793bbdf672ff1d19b37410010f77
S7evinK,https://api.github.com/repos/matrix-org/dendrite/pulls/3288,https://api.github.com/repos/matrix-org/dendrite/issues/3288,closed,2023-12-16,2023-12-19,2023-12-19,f93d1c4790cf2f9b6d5fd838f113e8d5f3da8cb1
