user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
dpxgit,https://api.github.com/repos/mediaelement/mediaelement/pulls/2948,https://api.github.com/repos/mediaelement/mediaelement/issues/2948,closed,2024-01-29,2024-01-29,2024-01-29,76e2b3724df81280c21162132584b58389ddd79d
dpxgit,https://api.github.com/repos/mediaelement/mediaelement/pulls/2947,https://api.github.com/repos/mediaelement/mediaelement/issues/2947,closed,2024-01-29,2024-01-29,2024-01-29,1a191811c53b0680c9a52c12e282953acb01cf75
dpxgit,https://api.github.com/repos/mediaelement/mediaelement/pulls/2943,https://api.github.com/repos/mediaelement/mediaelement/issues/2943,closed,2023-11-13,2023-11-13,2023-11-13,95112f05768ffaf744371774a6d6dab9f7dec7f7
dpxgit,https://api.github.com/repos/mediaelement/mediaelement/pulls/2942,https://api.github.com/repos/mediaelement/mediaelement/issues/2942,closed,2023-10-31,2023-10-31,2023-10-31,d33fec01c4f26912e64718eb5719fe69995f4f10
David-Koehler-DPX,https://api.github.com/repos/mediaelement/mediaelement/pulls/2941,https://api.github.com/repos/mediaelement/mediaelement/issues/2941,closed,2023-10-30,2023-10-30,2023-10-30,c686d9723fab16041b66fdc89abf108ad601172b
jaapmarcus,https://api.github.com/repos/mediaelement/mediaelement/pulls/2933,https://api.github.com/repos/mediaelement/mediaelement/issues/2933,closed,2023-06-05,2023-07-31,2023-07-29,5aeab2009cf081ee0e0665949e9cb05be6cec98b
jaapmarcus,https://api.github.com/repos/mediaelement/mediaelement/pulls/2932,https://api.github.com/repos/mediaelement/mediaelement/issues/2932,closed,2023-06-05,2023-07-29,2023-07-29,ff211503815a5deafc6df64818e503d239317edd
kachaj7,https://api.github.com/repos/mediaelement/mediaelement/pulls/2927,https://api.github.com/repos/mediaelement/mediaelement/issues/2927,open,2023-04-06,2023-04-13,,a8daff506e2e607b00b7ba72b18fa180b632ab81
dpxgit,https://api.github.com/repos/mediaelement/mediaelement/pulls/2924,https://api.github.com/repos/mediaelement/mediaelement/issues/2924,closed,2023-03-15,2023-03-21,2023-03-21,9018073fcc37e426784958771feeeb0616007fb4
dpxgit,https://api.github.com/repos/mediaelement/mediaelement/pulls/2923,https://api.github.com/repos/mediaelement/mediaelement/issues/2923,closed,2023-03-08,2023-03-08,2023-03-08,7f31a77415a792b19053d8a3d73f3f3d01cce0ce
