user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
fedepaol,https://api.github.com/repos/metallb/metallb/pulls/2308,https://api.github.com/repos/metallb/metallb/issues/2308,closed,2024-03-04,2024-03-05,2024-03-05,7b733f0b6568499e3a67e40948191b0c1862f80a
dependabot[bot],https://api.github.com/repos/metallb/metallb/pulls/2307,https://api.github.com/repos/metallb/metallb/issues/2307,open,2024-03-04,2024-03-04,,d4ca11d37a07cc2092e697e3a8cdd02bb4ad15b6
AlinaSecret,https://api.github.com/repos/metallb/metallb/pulls/2306,https://api.github.com/repos/metallb/metallb/issues/2306,closed,2024-02-29,2024-03-05,2024-03-05,f8388ec0358e246d44adbd83688d3eb65672ef93
AlinaSecret,https://api.github.com/repos/metallb/metallb/pulls/2305,https://api.github.com/repos/metallb/metallb/issues/2305,closed,2024-02-29,2024-03-05,2024-03-05,ad41e9ecf02a6e2685700ae4c8c79f12d85dbb89
tico88612,https://api.github.com/repos/metallb/metallb/pulls/2304,https://api.github.com/repos/metallb/metallb/issues/2304,closed,2024-02-29,2024-03-04,2024-03-04,9d32b2598f26b9ade5eec984058f6ae5aeb260ba
tico88612,https://api.github.com/repos/metallb/metallb/pulls/2303,https://api.github.com/repos/metallb/metallb/issues/2303,closed,2024-02-29,2024-03-04,2024-03-04,5f2a41b2c525cad4462b89a6d66396aa3e549d3e
fedepaol,https://api.github.com/repos/metallb/metallb/pulls/2302,https://api.github.com/repos/metallb/metallb/issues/2302,closed,2024-02-26,2024-02-26,2024-02-26,887db69e1a4f998926c8e19d1e8531b0e3dc97f6
zeeke,https://api.github.com/repos/metallb/metallb/pulls/2301,https://api.github.com/repos/metallb/metallb/issues/2301,closed,2024-02-26,2024-02-26,,1e68b5b5293e8c3f88f3fe9447a63e495a3230c8
fedepaol,https://api.github.com/repos/metallb/metallb/pulls/2300,https://api.github.com/repos/metallb/metallb/issues/2300,closed,2024-02-26,2024-02-26,,316bfb0c07cd6cb7f21c7d3cc07290b18e0a8af4
dependabot[bot],https://api.github.com/repos/metallb/metallb/pulls/2299,https://api.github.com/repos/metallb/metallb/issues/2299,open,2024-02-26,2024-02-26,,58341ca2906df41241737710f7a5554224a68ae3
mustdiechik,https://api.github.com/repos/metallb/metallb/pulls/2298,https://api.github.com/repos/metallb/metallb/issues/2298,closed,2024-02-25,2024-03-04,2024-03-04,409e3f9d442e3219fca4a0bd64c5d8c91eff13f9
fedepaol,https://api.github.com/repos/metallb/metallb/pulls/2297,https://api.github.com/repos/metallb/metallb/issues/2297,closed,2024-02-21,2024-02-22,2024-02-22,6fc2733ffd8eae6c253a9bff24a8c4c7a265490c
