user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/532,https://api.github.com/repos/mganss/HtmlSanitizer/issues/532,closed,2024-02-21,2024-02-26,2024-02-26,c6016f545eda48e29c0efb0534e191ec5205d0eb
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/531,https://api.github.com/repos/mganss/HtmlSanitizer/issues/531,closed,2024-02-16,2024-02-16,2024-02-16,5906e040f90a8a82fac141839874dc9bd05af1e9
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/530,https://api.github.com/repos/mganss/HtmlSanitizer/issues/530,closed,2024-02-16,2024-02-16,2024-02-16,4d7f34e682ad84b525a7cd5da6934b8f2bb2e9ba
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/529,https://api.github.com/repos/mganss/HtmlSanitizer/issues/529,closed,2024-02-16,2024-02-16,2024-02-16,2929b8644c10388959d8f83d4072489915c1ffdc
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/526,https://api.github.com/repos/mganss/HtmlSanitizer/issues/526,closed,2024-02-07,2024-02-07,2024-02-07,00b1d4adb8051cecbade47c9f6f4e3b2e4937595
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/524,https://api.github.com/repos/mganss/HtmlSanitizer/issues/524,closed,2024-01-16,2024-01-16,2024-01-16,8a62437cdbf95a8d30ac6581a3e6bedcb3747f67
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/523,https://api.github.com/repos/mganss/HtmlSanitizer/issues/523,closed,2024-01-16,2024-01-16,2024-01-16,eb64064c530a34781de7768fa2b702540b8d4c30
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/522,https://api.github.com/repos/mganss/HtmlSanitizer/issues/522,closed,2024-01-08,2024-01-09,2024-01-09,4a5141c640fac25093fbe3f3d2a9834076e4feef
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/521,https://api.github.com/repos/mganss/HtmlSanitizer/issues/521,closed,2024-01-08,2024-01-09,2024-01-09,d4e1f5936c262097b5a4eeac69b00104f0cb3a1e
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/520,https://api.github.com/repos/mganss/HtmlSanitizer/issues/520,closed,2024-01-08,2024-01-09,2024-01-09,d8897af563b0b6f9727050e26603021ffb45c740
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/519,https://api.github.com/repos/mganss/HtmlSanitizer/issues/519,closed,2023-12-25,2024-01-02,2024-01-02,511924d60f1db6a1190798672a29c8d63115fc27
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/518,https://api.github.com/repos/mganss/HtmlSanitizer/issues/518,closed,2023-12-25,2024-01-02,2024-01-02,4e34a8bb5858652b759f0d0e2bc1d0808901ca30
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/517,https://api.github.com/repos/mganss/HtmlSanitizer/issues/517,closed,2023-12-25,2024-01-02,2024-01-02,efbb7c66a2661f8dc6f045443a7a6b9e4438ef7b
jerriep,https://api.github.com/repos/mganss/HtmlSanitizer/pulls/516,https://api.github.com/repos/mganss/HtmlSanitizer/issues/516,closed,2023-12-19,2023-12-20,2023-12-20,ca23c697a9b0646c71b5981ead53f7b646c37d2b
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/514,https://api.github.com/repos/mganss/HtmlSanitizer/issues/514,closed,2023-12-11,2023-12-11,2023-12-11,3443accc4354e871bf856ee8c5f6140f2f02e872
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/513,https://api.github.com/repos/mganss/HtmlSanitizer/issues/513,closed,2023-12-11,2023-12-11,2023-12-11,366ad7e43804b589b67b59a7002b0af99cf84db0
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/512,https://api.github.com/repos/mganss/HtmlSanitizer/issues/512,closed,2023-12-11,2023-12-11,2023-12-11,5ece339f0d66d990e4aed1979d1da9e888f6e839
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/510,https://api.github.com/repos/mganss/HtmlSanitizer/issues/510,closed,2023-12-07,2023-12-07,2023-12-07,fb5dc3d96cd2336d9e0d460a712617c15a8b0afd
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/503,https://api.github.com/repos/mganss/HtmlSanitizer/issues/503,closed,2023-11-20,2023-11-20,2023-11-20,fc212349558b87bcbd1bb7f674d4940df01a25a3
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/502,https://api.github.com/repos/mganss/HtmlSanitizer/issues/502,open,2023-11-20,2024-01-02,,f351f355196f72f1835a4f0cc37df3cdf696d34a
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/501,https://api.github.com/repos/mganss/HtmlSanitizer/issues/501,closed,2023-11-20,2023-11-20,2023-11-20,a65d6375a6fb3e769c281c26fac41af2e3914329
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/500,https://api.github.com/repos/mganss/HtmlSanitizer/issues/500,closed,2023-11-20,2023-11-20,2023-11-20,e9f4e3a9961b5f274ca1db1679421287f9f3588f
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/499,https://api.github.com/repos/mganss/HtmlSanitizer/issues/499,closed,2023-11-16,2023-11-16,2023-11-16,6981aef8dfd339e57ecf8e51b8f23a240a737189
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/498,https://api.github.com/repos/mganss/HtmlSanitizer/issues/498,closed,2023-11-15,2023-11-15,2023-11-15,bd472c37ac03cf43d694064f25876a16206d66eb
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/497,https://api.github.com/repos/mganss/HtmlSanitizer/issues/497,closed,2023-11-15,2023-11-15,2023-11-15,64a7b56c5ecadc69f5e74788e9e318923b433600
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/496,https://api.github.com/repos/mganss/HtmlSanitizer/issues/496,closed,2023-11-13,2023-11-20,,fd118fc346c9cfd25af374ebb62abc0ee3c7bf25
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/493,https://api.github.com/repos/mganss/HtmlSanitizer/issues/493,closed,2023-11-09,2023-11-15,2023-11-15,3cd461d666a28e17705a49a91c369ba687b17f6d
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/489,https://api.github.com/repos/mganss/HtmlSanitizer/issues/489,closed,2023-11-03,2023-11-03,2023-11-03,f02529b7e0e148e4908c4c9800eb28b116e58098
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/488,https://api.github.com/repos/mganss/HtmlSanitizer/issues/488,closed,2023-11-03,2023-11-03,2023-11-03,6cb16f5eedb6327952430c03f63f1cb0ef3b0fd5
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/487,https://api.github.com/repos/mganss/HtmlSanitizer/issues/487,closed,2023-11-02,2023-11-02,2023-11-02,e2cf026a8fb7dfa22adba2eef6019cc9d154e953
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/486,https://api.github.com/repos/mganss/HtmlSanitizer/issues/486,closed,2023-11-01,2023-11-02,2023-11-02,31d9f182339b9c0ffba1d4df5515ab823a66fdd5
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/485,https://api.github.com/repos/mganss/HtmlSanitizer/issues/485,closed,2023-11-01,2023-11-02,2023-11-02,892e1c66f84e527a8bf680fbe34ee90ad51480f8
chucklu,https://api.github.com/repos/mganss/HtmlSanitizer/pulls/482,https://api.github.com/repos/mganss/HtmlSanitizer/issues/482,closed,2023-10-17,2023-10-17,2023-10-17,13b2e1a6841c8aed19b674da145a634c398cafc1
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/481,https://api.github.com/repos/mganss/HtmlSanitizer/issues/481,closed,2023-10-17,2023-10-17,2023-10-17,d46ef46d345e76b4e9dd5ea8a83ac4234ad9e4e3
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/480,https://api.github.com/repos/mganss/HtmlSanitizer/issues/480,closed,2023-10-17,2023-10-17,2023-10-17,2ce2d90908a745568060bfc2b11df15d48a3b6bc
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/478,https://api.github.com/repos/mganss/HtmlSanitizer/issues/478,closed,2023-10-13,2023-10-13,2023-10-13,0e6c5e8cd1491b9614c5bd5ce45a40e294362fd0
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/477,https://api.github.com/repos/mganss/HtmlSanitizer/issues/477,closed,2023-10-13,2023-10-13,2023-10-13,6336e6a17163a8935a55562ac41cb41145be2c7d
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/476,https://api.github.com/repos/mganss/HtmlSanitizer/issues/476,closed,2023-10-13,2023-10-13,2023-10-13,ddb3c4e898b845643bd59a853e40327af89b26cf
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/474,https://api.github.com/repos/mganss/HtmlSanitizer/issues/474,closed,2023-10-06,2023-10-09,2023-10-09,28bdf0e0a1a143735a6be7858a38eaea772fcfef
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/472,https://api.github.com/repos/mganss/HtmlSanitizer/issues/472,closed,2023-10-04,2023-11-13,,94820741f93186639e3e291209c13a7512650d50
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/468,https://api.github.com/repos/mganss/HtmlSanitizer/issues/468,closed,2023-09-18,2023-09-18,2023-09-18,1cf8ff078a75ba43bbd4ac37e630bb5b5b115f87
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/467,https://api.github.com/repos/mganss/HtmlSanitizer/issues/467,closed,2023-09-18,2023-09-18,2023-09-18,2db02b2dde98780301e8f3659ec1f3386656e53b
dependabot[bot],https://api.github.com/repos/mganss/HtmlSanitizer/pulls/466,https://api.github.com/repos/mganss/HtmlSanitizer/issues/466,closed,2023-09-18,2023-09-18,2023-09-18,dd754a1cf241759b82a3cdffc7734578872c014c
