user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
dependabot[bot],https://api.github.com/repos/miekg/dns/pulls/1543,https://api.github.com/repos/miekg/dns/issues/1543,open,2024-03-01,2024-03-01,,eca12d2bcf26907f4269900bdeb41323b599aebf
dependabot[bot],https://api.github.com/repos/miekg/dns/pulls/1542,https://api.github.com/repos/miekg/dns/issues/1542,open,2024-03-01,2024-03-01,,dac8b9dc1a43b3a0401ea1ba6f9c44d74432d353
dependabot[bot],https://api.github.com/repos/miekg/dns/pulls/1541,https://api.github.com/repos/miekg/dns/issues/1541,open,2024-03-01,2024-03-01,,5adf3e6cd71049056c87ca1c4204ae8d7ff8758b
janik-cloudflare,https://api.github.com/repos/miekg/dns/pulls/1540,https://api.github.com/repos/miekg/dns/issues/1540,open,2024-03-01,2024-03-01,,05924bb63cad4ad4a17079b6e89e9b3e63cb6e7f
Cottand,https://api.github.com/repos/miekg/dns/pulls/1536,https://api.github.com/repos/miekg/dns/issues/1536,open,2024-02-12,2024-02-17,,47e07e65616265b72da8044313cc5aa86b10a732
montag451,https://api.github.com/repos/miekg/dns/pulls/1535,https://api.github.com/repos/miekg/dns/issues/1535,closed,2024-02-10,2024-02-10,2024-02-10,982d149dcc6de7736301d54d87a7369d3ca6b588
cesarkuroiwa,https://api.github.com/repos/miekg/dns/pulls/1533,https://api.github.com/repos/miekg/dns/issues/1533,closed,2024-01-31,2024-02-14,2024-02-14,57dcd27c92c1b320ea6042b9ad9e51bfb6a326ee
miekg,https://api.github.com/repos/miekg/dns/pulls/1532,https://api.github.com/repos/miekg/dns/issues/1532,closed,2024-01-21,2024-02-15,2024-02-15,2230854ba97edcf29ac55a1f274e49cec11bf9bb
gibson042,https://api.github.com/repos/miekg/dns/pulls/1531,https://api.github.com/repos/miekg/dns/issues/1531,closed,2024-01-20,2024-01-21,2024-01-21,21ba49c291a44bd348308dbd01de337dcf0ab7f0
dependabot[bot],https://api.github.com/repos/miekg/dns/pulls/1529,https://api.github.com/repos/miekg/dns/issues/1529,closed,2024-01-18,2024-01-18,2024-01-18,fd91c6afb9f4fc2ee21fce46fa596482800997f9
dpifke,https://api.github.com/repos/miekg/dns/pulls/1526,https://api.github.com/repos/miekg/dns/issues/1526,closed,2024-01-09,2024-01-15,2024-01-15,50fbccd204074b51a9429b6a3c3adf016d8af361
dependabot[bot],https://api.github.com/repos/miekg/dns/pulls/1525,https://api.github.com/repos/miekg/dns/issues/1525,closed,2024-01-01,2024-01-18,,d5f223b4a67f7e11abef57af219aa21a4ae6bd01
wintbiit,https://api.github.com/repos/miekg/dns/pulls/1522,https://api.github.com/repos/miekg/dns/issues/1522,closed,2023-12-11,2024-01-09,2024-01-09,f206faa01fc1991f517bd570a4c9c98b96b8d88c
dependabot[bot],https://api.github.com/repos/miekg/dns/pulls/1521,https://api.github.com/repos/miekg/dns/issues/1521,closed,2023-12-01,2024-01-18,,e07be7ef9fa7077dc1c07fdfb7111f1e1934d3b5
dependabot[bot],https://api.github.com/repos/miekg/dns/pulls/1520,https://api.github.com/repos/miekg/dns/issues/1520,closed,2023-12-01,2024-01-18,2024-01-18,be7d6e53863f0be40bc43cf60323768a3d3d9951
dependabot[bot],https://api.github.com/repos/miekg/dns/pulls/1519,https://api.github.com/repos/miekg/dns/issues/1519,closed,2023-12-01,2024-01-01,,105b3c60c1e439e91a8ba2ef849dfabe98b541b9
dependabot[bot],https://api.github.com/repos/miekg/dns/pulls/1518,https://api.github.com/repos/miekg/dns/issues/1518,closed,2023-12-01,2024-01-18,2024-01-18,e7aed24bad7c7130a5f4a03f9bd818a6e78de35b
miekg,https://api.github.com/repos/miekg/dns/pulls/1516,https://api.github.com/repos/miekg/dns/issues/1516,closed,2023-11-17,2024-01-18,2024-01-18,4c06a1bf3d07891a96f93a646cf417c278d08535
miekg,https://api.github.com/repos/miekg/dns/pulls/1515,https://api.github.com/repos/miekg/dns/issues/1515,closed,2023-11-17,2024-01-18,2024-01-18,8ad6d5b5cf558e28db739fe8c505d81aa43bbb7f
noxer,https://api.github.com/repos/miekg/dns/pulls/1511,https://api.github.com/repos/miekg/dns/issues/1511,closed,2023-11-13,2023-11-13,2023-11-13,3d593a6b1d65152e195cd767f4d260e13169bb61
jimlambrt,https://api.github.com/repos/miekg/dns/pulls/1510,https://api.github.com/repos/miekg/dns/issues/1510,closed,2023-11-11,2023-11-15,2023-11-15,257e89e9baf81fd4983a3763598c978af3ca3cc2
jrajahalme,https://api.github.com/repos/miekg/dns/pulls/1509,https://api.github.com/repos/miekg/dns/issues/1509,closed,2023-11-07,2023-11-07,,
tmthrgd,https://api.github.com/repos/miekg/dns/pulls/1508,https://api.github.com/repos/miekg/dns/issues/1508,closed,2023-11-07,2023-11-07,2023-11-07,5d3f81bc34811c5596b71d1ff73a9e30321694f5
tmthrgd,https://api.github.com/repos/miekg/dns/pulls/1507,https://api.github.com/repos/miekg/dns/issues/1507,open,2023-11-06,2024-02-21,,c77782ca2faf34f2094400f067887438d8bbe4c6
tmthrgd,https://api.github.com/repos/miekg/dns/pulls/1506,https://api.github.com/repos/miekg/dns/issues/1506,closed,2023-11-06,2023-11-06,2023-11-06,a16092f374522536ad637e5a3766585df2c160f0
tmthrgd,https://api.github.com/repos/miekg/dns/pulls/1505,https://api.github.com/repos/miekg/dns/issues/1505,closed,2023-11-06,2023-11-06,2023-11-06,3996b17d1944cd34bc6ac78ccdd21bb338fdf9ca
tmthrgd,https://api.github.com/repos/miekg/dns/pulls/1504,https://api.github.com/repos/miekg/dns/issues/1504,closed,2023-11-06,2023-11-06,2023-11-06,1c418a37a5f3b6a421e6d460b09ce04eb36951a1
tmthrgd,https://api.github.com/repos/miekg/dns/pulls/1503,https://api.github.com/repos/miekg/dns/issues/1503,closed,2023-11-06,2023-11-06,2023-11-06,6836ba80ba7c69fb18945856e15d8e8569ce1031
tmthrgd,https://api.github.com/repos/miekg/dns/pulls/1502,https://api.github.com/repos/miekg/dns/issues/1502,closed,2023-11-06,2023-11-06,2023-11-06,9657fe66adcdc74d54c8ec231db5163748ab251b
tmthrgd,https://api.github.com/repos/miekg/dns/pulls/1501,https://api.github.com/repos/miekg/dns/issues/1501,closed,2023-11-06,2023-11-06,2023-11-06,02e9e72099e95611435adfec61fcb753adf59f3b
hamidrezakp,https://api.github.com/repos/miekg/dns/pulls/1500,https://api.github.com/repos/miekg/dns/issues/1500,closed,2023-11-05,2023-11-07,,c6236589595cc3ea9cdade175971d5f982b2c97e
dependabot[bot],https://api.github.com/repos/miekg/dns/pulls/1498,https://api.github.com/repos/miekg/dns/issues/1498,closed,2023-11-01,2023-11-02,2023-11-02,b18c05cc13607aacb056a0f483e0f4c9229a1d67
dependabot[bot],https://api.github.com/repos/miekg/dns/pulls/1497,https://api.github.com/repos/miekg/dns/issues/1497,closed,2023-11-01,2023-11-02,,4f4370510bb97a482adc6185fcd6feed17db9ce8
dependabot[bot],https://api.github.com/repos/miekg/dns/pulls/1496,https://api.github.com/repos/miekg/dns/issues/1496,closed,2023-11-01,2023-11-02,,5a80e9c2f5b4473efde350e260dbdf12dc4100e9
dependabot[bot],https://api.github.com/repos/miekg/dns/pulls/1495,https://api.github.com/repos/miekg/dns/issues/1495,closed,2023-11-01,2023-11-02,2023-11-02,cc1571992ed273c645081cb871dae62e68430afb
tmthrgd,https://api.github.com/repos/miekg/dns/pulls/1494,https://api.github.com/repos/miekg/dns/issues/1494,closed,2023-10-31,2023-11-02,2023-11-02,8a3ef11a3cd20b1d9f538cd4683f1316a0205232
SriHarsha001,https://api.github.com/repos/miekg/dns/pulls/1493,https://api.github.com/repos/miekg/dns/issues/1493,open,2023-10-30,2024-02-16,,508f4e4f7dcad0c1fc6838c79924728544b17d77
tangrs,https://api.github.com/repos/miekg/dns/pulls/1491,https://api.github.com/repos/miekg/dns/issues/1491,closed,2023-10-16,2023-11-02,2023-11-02,52f175a7b4f9aa50cc8329762770103e01cfc1ab
neilcook,https://api.github.com/repos/miekg/dns/pulls/1490,https://api.github.com/repos/miekg/dns/issues/1490,closed,2023-10-11,2023-11-08,,0a1eb453f8f8e268d468e2bb2d730c38d01fc62d
EugeneOne1,https://api.github.com/repos/miekg/dns/pulls/1488,https://api.github.com/repos/miekg/dns/issues/1488,closed,2023-10-07,2023-10-10,2023-10-10,0d504a67cffe8a05b3ff4057c7602b4afe0b26ef
