user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
renovate[bot],https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5314,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5314,open,2024-03-07,2024-03-07,,7f428d5ad5e9062109fb69e8c3849775c0a3a2b9
boenrobot,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5311,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5311,closed,2024-03-06,2024-03-06,2024-03-06,f680d66d8da08f0c6c898c3dd300bf1e920439b4
renovate[bot],https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5287,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5287,closed,2024-02-27,2024-03-05,2024-03-05,38f92a4704311dbcada385f2d1a8637795222ba2
steve-keep,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5280,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5280,closed,2024-02-26,2024-02-26,2024-02-26,c8021da020d7afa0f338319811a72ef4c1877d12
renovate[bot],https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5278,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5278,closed,2024-02-26,2024-02-26,2024-02-26,2e1251fac11455840fb0a01d751cba5687488ab5
boenrobot,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5273,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5273,open,2024-02-23,2024-03-06,,938df5c9049e8ed3e8a009e64ecda7f0feba39cf
boenrobot,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5267,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5267,closed,2024-02-22,2024-02-27,2024-02-26,c3659827c2ceefb1d14520b23db5aa72ce9ea126
boenrobot,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5264,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5264,closed,2024-02-20,2024-02-21,2024-02-21,12d3b54118035195f5ee0ee5665e37a7f2e37164
dependabot[bot],https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5263,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5263,closed,2024-02-20,2024-02-20,2024-02-20,8122e18a04535aea0c4ce2d46a74f38a1c9c6159
dependabot[bot],https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5262,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5262,closed,2024-02-20,2024-02-20,2024-02-20,4805cc7e546bbe22c5b7b52549811d1b6b9942ed
boenrobot,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5254,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5254,closed,2024-02-18,2024-02-21,2024-02-21,d78da297c701a319ea704847e97c2186934831bc
boenrobot,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5252,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5252,closed,2024-02-16,2024-02-16,2024-02-16,50311cbdd66d289e7048c8d77b395a541a9f2605
boenrobot,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5250,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5250,closed,2024-02-16,2024-02-16,2024-02-16,d2186da4ed3265d8667069c3ac0514843987cb2b
renovate[bot],https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5249,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5249,closed,2024-02-16,2024-03-05,2024-03-05,753f429c60b24a1a3c64f301f6b527836d2668e1
boenrobot,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5248,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5248,closed,2024-02-16,2024-02-16,2024-02-16,0b6d3dd316f535b857b89fcd78bebcca460af1ec
renovate[bot],https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5244,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5244,closed,2024-02-13,2024-02-13,2024-02-13,9b71b23fd3912ae2a6a4edf22115847e77466e30
renovate[bot],https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5242,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5242,closed,2024-02-12,2024-02-13,2024-02-13,9214cf652eb78d930c857cd0c1a68a5fba7e705b
boenrobot,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5241,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5241,closed,2024-02-12,2024-02-12,2024-02-12,3afaa29704c5889e24806a6f2027a465c53e0f2e
B4nan,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5236,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5236,closed,2024-02-11,2024-02-11,2024-02-11,b0b027bc8d7a6a52ae0f939bda2de838d1c26640
B4nan,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5233,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5233,closed,2024-02-11,2024-02-11,,701147aee1d193e45f20c8129258e7af2acbf4ec
boenrobot,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5232,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5232,closed,2024-02-10,2024-02-11,2024-02-11,066dac1828802dca82361146b6eae012386baeff
boenrobot,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5231,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5231,closed,2024-02-10,2024-02-10,2024-02-10,3a86315d1fa703e00485271e5ac3e9466e5cf230
boenrobot,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5220,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5220,closed,2024-02-07,2024-02-10,2024-02-10,9867187479f36b3c8266dc6c199b5eba8c2ed847
boenrobot,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5218,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5218,closed,2024-02-07,2024-02-07,2024-02-07,b28321c14a848dcc5528044d5a4c0fe2a5bab6ba
boenrobot,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5217,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5217,closed,2024-02-07,2024-02-10,,ef5944d998e576981fc5dd95d4e87e162ccc17d4
boenrobot,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5212,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5212,closed,2024-02-06,2024-02-10,2024-02-06,ab3a28cf022faca91d8dab1a33031fd3bd82f77c
B4nan,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5210,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5210,closed,2024-02-04,2024-02-04,2024-02-04,5e4fa6024d803a410fa8cc3bb8ff9fd451e26ea2
B4nan,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5204,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5204,closed,2024-02-03,2024-02-03,2024-02-03,42cc9ccf4639d430d8d1cc60bb5c3385b0e501f2
SnowMarble,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5200,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5200,closed,2024-02-01,2024-02-01,2024-02-01,98ce1e5509e5f97f1ab7568593ee973b1ed49eb5
Andarist,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5197,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5197,closed,2024-02-01,2024-02-01,2024-02-01,8bbc252cf1639a7653119bbc84bdf1a04e0410e1
renovate[bot],https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5193,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5193,closed,2024-01-31,2024-02-01,2024-02-01,17626f082f5a5396f3ca2b3b3c92490834ae4b52
renovate[bot],https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5190,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5190,closed,2024-01-31,2024-02-01,2024-02-01,c7360479d1d1e68e95c5eae30408049b03095904
tkudlicka,https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5180,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5180,closed,2024-01-29,2024-01-29,2024-01-29,0d58aaf77400638471f369406485fb3f42349ca6
renovate[bot],https://api.github.com/repos/mikro-orm/mikro-orm/pulls/5169,https://api.github.com/repos/mikro-orm/mikro-orm/issues/5169,closed,2024-01-25,2024-01-29,2024-01-29,e951cbf431e49976e566d29ee0bfe7150146d4e6
