user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
rigor789,https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1074,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1074,open,2024-01-01,2024-01-04,,76c853a3a8019a629ed19a89942851b500bd690e
vallemar,https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1071,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1071,open,2023-12-06,2023-12-08,,0b3d365e2afaec1cfcf74ddb43fb3104743922d8
heywhy,https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1068,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1068,closed,2023-11-19,2023-11-19,2023-11-19,3948da5f30068d18320b54992e5f7f1e41d06c77
MrSnoozles,https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1065,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1065,closed,2023-10-15,2023-11-19,2023-11-19,a52595f253c1c68e6ead612d464c3a71a0d813e4
heywhy,https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1064,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1064,closed,2023-10-14,2023-12-30,2023-11-19,3c5f708d0bfe555ddaa247266d8941b1688a0484
farfromrefug,https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1061,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1061,closed,2023-10-06,2023-10-06,2023-10-06,0ab8f52badc346a58ac7361c25f85f9310402bf7
heywhy,https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1060,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1060,closed,2023-09-09,2023-09-10,2023-09-10,6544fd09df1a7347168cc8dae0168f71d5f08478
dependabot[bot],https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1055,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1055,open,2023-07-12,2023-09-10,,e1aa8ca2d695f49b043e9200b23f9ff1b36c6c2c
dependabot[bot],https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1054,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1054,open,2023-07-11,2023-09-10,,bf9e96032fbb3baf233cbe657638d69c0f32843c
rigor789,https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1051,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1051,closed,2023-06-02,2023-06-02,2023-06-02,fb53eb0534867f98bd29bc229f0587e494478d5c
vallemar,https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1050,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1050,closed,2023-06-02,2023-06-02,2023-06-02,5101b2451e802e7f04d27f6c695b02c37a70ac0a
adamcikado,https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1048,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1048,open,2023-05-20,2023-06-20,,39f0257c13192430334a020f3eb9715479e2cc20
rigor789,https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1045,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1045,closed,2023-05-17,2023-05-17,2023-05-17,fdf72364e45d53136fdd32af691572c4dde884a0
vallemar,https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1044,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1044,closed,2023-05-15,2023-05-17,2023-05-17,6fe46e147f516988f2c00622c54a56b2efb65724
heywhy,https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1043,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1043,closed,2023-04-26,2023-05-17,,3e5b5f203c7222020002aba0b98c11d73d168f52
rigor789,https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1042,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1042,closed,2023-04-18,2023-04-18,2023-04-18,65fff56fb0ac30091cc393bc8a03f126fcaecb78
vallemar,https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1040,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1040,closed,2023-04-15,2023-04-18,,4daaf09eb1c488a67f843c60bde55f36e51085f8
heywhy,https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1038,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1038,closed,2023-04-12,2023-05-17,,bd4413b7614aae054bebd7cc9fade4a700457ea4
heywhy,https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1036,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1036,closed,2023-04-10,2023-04-26,2023-04-13,6b9be9e096780b88a91948da12b801638b7c16b6
adamcikado,https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1035,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1035,closed,2023-04-07,2023-04-12,2023-04-12,5c9e17182d0b4bf2858f9eab90223765f86e57c1
dependabot[bot],https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1032,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1032,closed,2023-03-15,2023-05-17,,bc875d46341983b2b31248ccac3db623eefcb41e
dependabot[bot],https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1031,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1031,closed,2023-03-15,2023-05-17,,f2ebd933ea588c6e24c5753e193e8bb007ae1c51
vallemar,https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1028,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1028,closed,2023-01-10,2023-04-30,,f1c2ce2ee08535ed2494541970dae345e81d597a
dependabot[bot],https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1027,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1027,closed,2023-01-09,2023-05-17,,bf8b682eb2801d1116c5ca72d00e4776b246dcff
dependabot[bot],https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1026,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1026,closed,2023-01-08,2023-05-17,,901252122d32038d119f661350ff757170da49d8
vallemar,https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1016,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1016,closed,2022-12-06,2022-12-06,2022-12-06,cc8fb7dff8976ae30a3ec9843e4b295d5f59d14c
dependabot[bot],https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1009,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1009,closed,2022-12-05,2023-05-17,,4c69d133352370c5706855f07a203c3e195a0ad3
dependabot[bot],https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1008,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1008,closed,2022-12-05,2023-05-17,,0e0bbe39b3fb7c6b657408e528311c82d4a1ffe5
dependabot[bot],https://api.github.com/repos/nativescript-vue/nativescript-vue/pulls/1007,https://api.github.com/repos/nativescript-vue/nativescript-vue/issues/1007,closed,2022-11-28,2022-12-05,,57a62a1c31a2b2431bc1153a45b9bfba3f125fac
