user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
hoangtuananhk56,https://api.github.com/repos/olivia-ai/olivia/pulls/178,https://api.github.com/repos/olivia-ai/olivia/issues/178,open,2023-12-06,2023-12-06,,b7f4c8c736b3cda66bc044c33ee3097c5bad2a94
aminasadiam,https://api.github.com/repos/olivia-ai/olivia/pulls/177,https://api.github.com/repos/olivia-ai/olivia/issues/177,open,2023-08-29,2023-08-29,,59147412f52ee268e78862e1c66a90bb5d144d2c
testwill,https://api.github.com/repos/olivia-ai/olivia/pulls/175,https://api.github.com/repos/olivia-ai/olivia/issues/175,open,2023-07-11,2023-07-11,,78e7939b481c002d11f5376b6db73d3789cacb16
dependabot[bot],https://api.github.com/repos/olivia-ai/olivia/pulls/174,https://api.github.com/repos/olivia-ai/olivia/issues/174,open,2023-02-25,2023-02-25,,86de11e9925fde00a2dcb30cce0598c934feccae
dependabot[bot],https://api.github.com/repos/olivia-ai/olivia/pulls/173,https://api.github.com/repos/olivia-ai/olivia/issues/173,open,2023-02-25,2023-02-25,,b76408da02e374d3506281ddb881b2aeeeca8b9d
Deng-Xian-Sheng,https://api.github.com/repos/olivia-ai/olivia/pulls/171,https://api.github.com/repos/olivia-ai/olivia/issues/171,open,2022-10-05,2022-10-05,,8ecb73d655fe2484f67c62e4c96569b9c9a6626b
popzhangzhi,https://api.github.com/repos/olivia-ai/olivia/pulls/165,https://api.github.com/repos/olivia-ai/olivia/issues/165,open,2021-11-10,2021-11-10,,ca1d0b4d76db798752cd61074d9c2607a04c17a2
popzhangzhi,https://api.github.com/repos/olivia-ai/olivia/pulls/164,https://api.github.com/repos/olivia-ai/olivia/issues/164,closed,2021-11-04,2021-11-10,,8bfb057b46a819d6d0c44fac97407dd9b84d6cfb
gogeof,https://api.github.com/repos/olivia-ai/olivia/pulls/158,https://api.github.com/repos/olivia-ai/olivia/issues/158,closed,2021-07-17,2021-07-17,2021-07-17,c4bfc475e9855f9fa6ab260c009b4987cda87110
A-Yamout,https://api.github.com/repos/olivia-ai/olivia/pulls/155,https://api.github.com/repos/olivia-ai/olivia/issues/155,closed,2021-02-25,2021-02-26,2021-02-26,c9925a8acea9c3e7c9b9a22f3719262837f768cd
hugolgst,https://api.github.com/repos/olivia-ai/olivia/pulls/154,https://api.github.com/repos/olivia-ai/olivia/issues/154,closed,2021-02-25,2021-08-23,2021-02-25,6b1640cde3321b5bfcbe25e2f88f565f9d8f40ca
A-Yamout,https://api.github.com/repos/olivia-ai/olivia/pulls/147,https://api.github.com/repos/olivia-ai/olivia/issues/147,closed,2021-01-19,2021-02-13,2021-02-13,23e4e32a5f5679a99a53126c9ff97795175e2078
popzhangzhi,https://api.github.com/repos/olivia-ai/olivia/pulls/144,https://api.github.com/repos/olivia-ai/olivia/issues/144,closed,2021-01-05,2021-01-11,2021-01-11,2a400b76c8bd0894c37ec02c352042fce2f7b49e
realpixelcode,https://api.github.com/repos/olivia-ai/olivia/pulls/142,https://api.github.com/repos/olivia-ai/olivia/issues/142,closed,2020-11-29,2021-02-20,2021-02-20,702fbe30008ec3a0c5c81d2179d8bedac7353007
aculclasure,https://api.github.com/repos/olivia-ai/olivia/pulls/140,https://api.github.com/repos/olivia-ai/olivia/issues/140,closed,2020-11-15,2020-11-17,2020-11-17,1397f33f073543f826682e1555f91032316380f7
A-Yamout,https://api.github.com/repos/olivia-ai/olivia/pulls/139,https://api.github.com/repos/olivia-ai/olivia/issues/139,closed,2020-11-09,2020-11-19,,1f9e17b2567428eafc649f26d53005d7a1cbb9e2
milouk,https://api.github.com/repos/olivia-ai/olivia/pulls/135,https://api.github.com/repos/olivia-ai/olivia/issues/135,closed,2020-09-30,2020-10-30,2020-10-30,8b3f0d90083def382fec84704ed7ef47b3ea6ba0
luqman-v1,https://api.github.com/repos/olivia-ai/olivia/pulls/133,https://api.github.com/repos/olivia-ai/olivia/issues/133,closed,2020-07-19,2020-07-19,2020-07-19,f8c54762aa9135eb6ff37fa900bd892ad2660f6c
aculclasure,https://api.github.com/repos/olivia-ai/olivia/pulls/132,https://api.github.com/repos/olivia-ai/olivia/issues/132,closed,2020-07-10,2020-07-13,2020-07-12,8ae49a1947b98a252ceaf813040a5acf8c7464e8
kellydanma,https://api.github.com/repos/olivia-ai/olivia/pulls/131,https://api.github.com/repos/olivia-ai/olivia/issues/131,closed,2020-07-04,2020-07-05,2020-07-05,ee6603d0d63cb5d7e59a91839bd98c308b00252b
milouk,https://api.github.com/repos/olivia-ai/olivia/pulls/130,https://api.github.com/repos/olivia-ai/olivia/issues/130,closed,2020-06-22,2020-07-05,2020-07-05,7528bf4572a988cc6ac4a416ed5ddc8da6f97348
milouk,https://api.github.com/repos/olivia-ai/olivia/pulls/129,https://api.github.com/repos/olivia-ai/olivia/issues/129,closed,2020-06-21,2020-06-22,2020-06-22,e8847ad7c9b128469716e5d308ded3336e60efa3
martijndeb,https://api.github.com/repos/olivia-ai/olivia/pulls/124,https://api.github.com/repos/olivia-ai/olivia/issues/124,closed,2020-06-04,2020-06-04,2020-06-04,ddfe8812d9672dc94028d3817a38268e2d1f9143
martijndeb,https://api.github.com/repos/olivia-ai/olivia/pulls/122,https://api.github.com/repos/olivia-ai/olivia/issues/122,closed,2020-06-01,2020-06-01,2020-06-01,6c5c9374ea7ed68dea8f807148ce972117a08331
cvhariharan,https://api.github.com/repos/olivia-ai/olivia/pulls/120,https://api.github.com/repos/olivia-ai/olivia/issues/120,closed,2020-05-29,2020-05-29,2020-05-29,4e4a7d1fcd12e42bca5e6451dea39f428513a866
Natgho,https://api.github.com/repos/olivia-ai/olivia/pulls/118,https://api.github.com/repos/olivia-ai/olivia/issues/118,closed,2020-05-26,2020-05-30,2020-05-30,a962e45b00b8483a4e720feaa0b73c86ae53356d
Natgho,https://api.github.com/repos/olivia-ai/olivia/pulls/117,https://api.github.com/repos/olivia-ai/olivia/issues/117,closed,2020-05-26,2020-05-26,,54a96d974a6b6bfbbb4066ff9e506c3fc42d5555
L3o-pold,https://api.github.com/repos/olivia-ai/olivia/pulls/116,https://api.github.com/repos/olivia-ai/olivia/issues/116,closed,2020-05-26,2020-05-26,2020-05-26,dea2d4ba81802dd321d19c4c99bdbeccc73f6c2a
