user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
renovate[bot],https://api.github.com/repos/oshi/oshi/pulls/2591,https://api.github.com/repos/oshi/oshi/issues/2591,closed,2024-03-05,2024-03-06,2024-03-06,b57cce918b049d638a5fe94b165eec8b21ac328a
renovate[bot],https://api.github.com/repos/oshi/oshi/pulls/2590,https://api.github.com/repos/oshi/oshi/issues/2590,closed,2024-02-29,2024-02-29,2024-02-29,040924fee405be997d6525807144ad2f497b0280
cl728,https://api.github.com/repos/oshi/oshi/pulls/2588,https://api.github.com/repos/oshi/oshi/issues/2588,closed,2024-02-26,2024-02-26,2024-02-26,1ec5af2443c94be1c356bcdfae07f52492bcc946
dbwiddis,https://api.github.com/repos/oshi/oshi/pulls/2587,https://api.github.com/repos/oshi/oshi/issues/2587,closed,2024-02-24,2024-02-24,2024-02-24,c6ba7767e3b852cc1373ba25f41c4e46703636d4
mprins,https://api.github.com/repos/oshi/oshi/pulls/2585,https://api.github.com/repos/oshi/oshi/issues/2585,closed,2024-02-24,2024-02-24,2024-02-24,25f9448b37de601ce78517d0c0e5a7fb15b7ba3b
renovate[bot],https://api.github.com/repos/oshi/oshi/pulls/2582,https://api.github.com/repos/oshi/oshi/issues/2582,closed,2024-02-21,2024-02-21,2024-02-21,5d2ac12d0c4236ed87253a91cdc76c2d5734588f
dbwiddis,https://api.github.com/repos/oshi/oshi/pulls/2579,https://api.github.com/repos/oshi/oshi/issues/2579,closed,2024-02-10,2024-02-10,2024-02-10,33330da6e7930aac876e89ba7f263f81e6e19e97
13276965576,https://api.github.com/repos/oshi/oshi/pulls/2578,https://api.github.com/repos/oshi/oshi/issues/2578,closed,2024-02-07,2024-02-10,2024-02-10,30aadf09e56a31877a8e7c2759171bc81230f0ab
13276965576,https://api.github.com/repos/oshi/oshi/pulls/2577,https://api.github.com/repos/oshi/oshi/issues/2577,closed,2024-02-07,2024-02-07,,f1366970836b189b990aed60092f5017c1cdf6f3
renovate[bot],https://api.github.com/repos/oshi/oshi/pulls/2576,https://api.github.com/repos/oshi/oshi/issues/2576,closed,2024-02-06,2024-02-06,2024-02-06,e9188c6239393e0454a09d55c9cc00830a883a9f
renovate[bot],https://api.github.com/repos/oshi/oshi/pulls/2575,https://api.github.com/repos/oshi/oshi/issues/2575,closed,2024-02-05,2024-02-05,2024-02-05,6dc350bc91f329afe3c6b8c527353a45d11d1a3c
renovate[bot],https://api.github.com/repos/oshi/oshi/pulls/2573,https://api.github.com/repos/oshi/oshi/issues/2573,closed,2024-02-01,2024-02-01,2024-02-01,1d9101926330778246f4946a4a4c4d2f0e73f31f
renovate[bot],https://api.github.com/repos/oshi/oshi/pulls/2570,https://api.github.com/repos/oshi/oshi/issues/2570,closed,2024-01-29,2024-01-29,2024-01-29,e701c49db26cfd298ca70903f9e747fbf553b70c
renovate[bot],https://api.github.com/repos/oshi/oshi/pulls/2569,https://api.github.com/repos/oshi/oshi/issues/2569,closed,2024-01-26,2024-01-26,2024-01-26,fd6b88ab778feaf3c6a1d40aca598028a199ece0
renovate[bot],https://api.github.com/repos/oshi/oshi/pulls/2568,https://api.github.com/repos/oshi/oshi/issues/2568,closed,2024-01-24,2024-01-24,2024-01-24,01e192a28e5d267a8f360f82d830a6f5fbe48939
dbwiddis,https://api.github.com/repos/oshi/oshi/pulls/2567,https://api.github.com/repos/oshi/oshi/issues/2567,closed,2024-01-19,2024-01-19,2024-01-19,9b8c5dca838138814b80efdf33e08fa15c7c6c8c
renovate[bot],https://api.github.com/repos/oshi/oshi/pulls/2565,https://api.github.com/repos/oshi/oshi/issues/2565,closed,2024-01-18,2024-01-18,2024-01-18,ef6c8ec48116ac3ede01309df899b0eb0fc06c91
renovate[bot],https://api.github.com/repos/oshi/oshi/pulls/2564,https://api.github.com/repos/oshi/oshi/issues/2564,closed,2024-01-18,2024-01-18,2024-01-18,345cba500ce3db877baf913b7c813e2ce87daa51
renovate[bot],https://api.github.com/repos/oshi/oshi/pulls/2563,https://api.github.com/repos/oshi/oshi/issues/2563,closed,2024-01-15,2024-01-15,2024-01-15,4fbdf31e6679399deac15038911f2b5a452bd396
chadlwilson,https://api.github.com/repos/oshi/oshi/pulls/2562,https://api.github.com/repos/oshi/oshi/issues/2562,closed,2024-01-11,2024-01-12,2024-01-11,e53500049df1e753f4d7e3b720d36b7be5b836d3
renovate[bot],https://api.github.com/repos/oshi/oshi/pulls/2560,https://api.github.com/repos/oshi/oshi/issues/2560,closed,2024-01-10,2024-01-10,2024-01-10,e3ac471d0b3506f6af6039f7362b48b48de1d636
dbwiddis,https://api.github.com/repos/oshi/oshi/pulls/2559,https://api.github.com/repos/oshi/oshi/issues/2559,closed,2024-01-09,2024-01-09,2024-01-09,345ea4c139ba043f9c8189e1cfc2440feb6462df
renovate[bot],https://api.github.com/repos/oshi/oshi/pulls/2558,https://api.github.com/repos/oshi/oshi/issues/2558,closed,2024-01-09,2024-01-09,2024-01-09,5c73d90441a681cbc4c38a84b04fa014dbec841a
renovate[bot],https://api.github.com/repos/oshi/oshi/pulls/2555,https://api.github.com/repos/oshi/oshi/issues/2555,closed,2024-01-07,2024-01-07,2024-01-07,eeabe8f4259a2b928d3511ddd157c4bcdec80598
