user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
piranna,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1368,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1368,closed,2024-02-09,2024-02-10,2024-02-10,de4f4b4f55fefb818e4b3bc5f8d9b444d9022056
raineorshine,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1358,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1358,open,2023-12-18,2024-01-25,,614c874eafed4f5828c189d348d4bad3ae7625ad
raineorshine,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1350,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1350,open,2023-11-05,2023-11-05,,79e740d7afecd4182d0ec468b366071a934a1aa3
raineorshine,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1349,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1349,closed,2023-11-05,2023-11-06,,06b761a1639f833e2b2091c25b1639a0f511711a
Zamiell,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1345,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1345,closed,2023-11-03,2023-12-18,2023-12-18,f873346504fae04645abc72a3bf3b1962d91c531
Zamiell,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1344,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1344,closed,2023-11-03,2023-11-03,,1bcb72bd9597aeedcbdef57c8cffb32a18efbec8
raineorshine,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1329,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1329,open,2023-09-13,2023-11-25,,ddc112ce0f5a73d1c444e6e1f6780809df4af009
raineorshine,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1328,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1328,closed,2023-09-13,2023-09-13,,0d4ee31f8c997970f3222bb6511daa40d431b9f1
stephenwade,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1327,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1327,closed,2023-09-12,2023-09-12,2023-09-12,9cc0671728003c080d5359f67dea69e914ef8380
regevbr,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1326,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1326,closed,2023-09-05,2023-09-08,2023-09-07,9d117b3ba43fbd763915412a487577ff792b65df
raineorshine,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1321,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1321,closed,2023-08-28,2023-08-28,2023-08-28,46b79c7a0d580b8f03a03d408107f55a74d5cbf5
Cherry,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1319,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1319,closed,2023-08-25,2023-08-28,2023-08-28,b7fec80ffbde450c4dee15f539e4dbf60f907dac
raineorshine,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1311,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1311,closed,2023-07-28,2023-07-28,2023-07-28,86ce798df6993858dcf7c51a9b3d5ea990cfa861
zhe-he,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1310,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1310,closed,2023-07-27,2023-08-07,2023-07-30,9dd34defc689b80fd022570937678b2601d76b49
ImBIOS,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1309,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1309,closed,2023-07-22,2023-09-13,2023-09-13,0c25e3adb93b43c304dd04fa93be4ffc2ac87faf
raineorshine,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1305,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1305,closed,2023-06-23,2023-08-16,,a04f439557425627defb79e1cc561d35caca3739
raineorshine,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1302,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1302,closed,2023-05-09,2023-06-25,,c4c5727c78885c856d831f63f680dc1de146c730
vighnesh153,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1297,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1297,closed,2023-05-05,2023-05-06,2023-05-05,8ecf72c14fc7c68ad5c231f35bb5cbb1f760f3a5
josh-hemphill,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1291,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1291,closed,2023-04-03,2023-04-03,2023-04-03,7587a8517f2d24bd9a7b29070c238f86f55f75f2
mslowiak,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1290,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1290,closed,2023-04-01,2023-07-28,2023-04-02,43f2634fa43b1ac370f9057017ebbedb4daddb4b
vanodevium,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1283,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1283,closed,2023-03-21,2023-03-22,2023-03-22,4d825c5e4e439da0c8ba699d302e5734f1bfc91b
raineorshine,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1271,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1271,closed,2023-02-17,2023-02-17,2023-02-17,0bcedb6d7575a4040cac54f5385a2d387a01c952
MKruschke,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1270,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1270,closed,2023-02-15,2023-10-15,2023-02-17,afcb2bfeaf4f8e9aeb1c703052b3a596c35a1fc2
noraj,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1269,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1269,closed,2023-02-12,2023-02-12,2023-02-12,d2ece29d1d8732c11d7205ff63ab995a68a70566
raineorshine,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1264,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1264,closed,2023-02-05,2023-02-05,2023-02-05,1282aa4cf69129441e52a5485f553c2a510c2591
raineorshine,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1262,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1262,closed,2023-01-22,2023-01-22,2023-01-22,745502643dd00a644a068873e59a72fdd78da3fc
abedshaaban,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1261,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1261,closed,2023-01-17,2023-01-18,,5021d7fa72c093c4b434c4c231dbb41387ae4079
Maxim-Mazurok,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1260,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1260,closed,2023-01-12,2023-01-23,2023-01-23,e7677c95c6fd33caf82c995410920160fba52d1d
doublethefish,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1251,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1251,closed,2022-12-11,2022-12-11,2022-12-11,7d0d266d441661d26b41bd0969607a712a77ac26
doublethefish,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1250,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1250,closed,2022-12-10,2022-12-12,2022-12-11,c42b5b567db2f20871ab6acd8894526a3a14e85d
doublethefish,https://api.github.com/repos/raineorshine/npm-check-updates/pulls/1249,https://api.github.com/repos/raineorshine/npm-check-updates/issues/1249,closed,2022-12-10,2022-12-10,2022-12-10,487a2f658eae5ee352dd3200f5e692e2436cddda
