user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
rajdeep,https://api.github.com/repos/rajdeep/proton/pulls/293,https://api.github.com/repos/rajdeep/proton/issues/293,closed,2024-03-05,2024-03-05,2024-03-05,876712f090cb1cee617c943ba53175a5a9835388
rajdeep,https://api.github.com/repos/rajdeep/proton/pulls/292,https://api.github.com/repos/rajdeep/proton/issues/292,closed,2024-03-05,2024-03-05,2024-03-05,71a0d89d3cb0e7947562151a4c0fe9cc8b7e7534
rajdeep,https://api.github.com/repos/rajdeep/proton/pulls/291,https://api.github.com/repos/rajdeep/proton/issues/291,closed,2024-03-01,2024-03-01,2024-03-01,4a64c4cbd2310abad2fe9fb26be58edb99d149d1
rajdeep,https://api.github.com/repos/rajdeep/proton/pulls/290,https://api.github.com/repos/rajdeep/proton/issues/290,closed,2024-03-01,2024-03-01,2024-03-01,36c64753530518f8b4732185c2eac5b9c9aa1bed
rajdeep,https://api.github.com/repos/rajdeep/proton/pulls/289,https://api.github.com/repos/rajdeep/proton/issues/289,closed,2024-02-29,2024-02-29,2024-02-29,ce177609b813bc62b90222c6d3265002f9984cfb
rajdeep,https://api.github.com/repos/rajdeep/proton/pulls/288,https://api.github.com/repos/rajdeep/proton/issues/288,closed,2024-02-28,2024-02-29,2024-02-29,9ca02896de9215f766e1eaa2e20f5f4f2f0fffc8
rajdeep,https://api.github.com/repos/rajdeep/proton/pulls/284,https://api.github.com/repos/rajdeep/proton/issues/284,closed,2024-02-23,2024-02-23,2024-02-23,0b812094960af5b259e1d782d5054a60b35a6369
rajdeep,https://api.github.com/repos/rajdeep/proton/pulls/283,https://api.github.com/repos/rajdeep/proton/issues/283,closed,2024-02-23,2024-02-23,2024-02-23,4ec0a27621bc1bd71756890dbefc2cace57995b5
rajdeep,https://api.github.com/repos/rajdeep/proton/pulls/281,https://api.github.com/repos/rajdeep/proton/issues/281,closed,2024-02-21,2024-02-21,2024-02-21,3ad1684dfbe64f815d18cb3dee790c444ced53d5
rajdeep,https://api.github.com/repos/rajdeep/proton/pulls/280,https://api.github.com/repos/rajdeep/proton/issues/280,closed,2024-02-21,2024-02-21,2024-02-21,bfdf779c3395953af505c2efb9bb9dae68ee2e44
