user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
mic1on,https://api.github.com/repos/rmax/scrapy-redis/pulls/286,https://api.github.com/repos/rmax/scrapy-redis/issues/286,closed,2023-08-21,2023-11-26,2023-11-26,48a7a8921ae064fe7b4202b130f1054ede9103d6
LuckyPigeon,https://api.github.com/repos/rmax/scrapy-redis/pulls/281,https://api.github.com/repos/rmax/scrapy-redis/issues/281,closed,2023-06-01,2023-06-03,2023-06-03,ce30a1d4ca674d90fa6aef2a198b0b351133656d
LuckyPigeon,https://api.github.com/repos/rmax/scrapy-redis/pulls/280,https://api.github.com/repos/rmax/scrapy-redis/issues/280,closed,2023-06-01,2023-06-05,2023-06-05,937c5376a996dc3d963062070109ed7a31246bd7
LuckyPigeon,https://api.github.com/repos/rmax/scrapy-redis/pulls/279,https://api.github.com/repos/rmax/scrapy-redis/issues/279,closed,2023-06-01,2023-06-01,2023-06-01,483e735614dd9f993363e9cc193e6f82a15c2d72
LuckyPigeon,https://api.github.com/repos/rmax/scrapy-redis/pulls/278,https://api.github.com/repos/rmax/scrapy-redis/issues/278,closed,2023-05-31,2023-06-03,2023-05-31,d8393922fe80794184f3cff3ee35fc5dc6d8baf4
LuckyPigeon,https://api.github.com/repos/rmax/scrapy-redis/pulls/277,https://api.github.com/repos/rmax/scrapy-redis/issues/277,closed,2023-05-31,2023-06-01,2023-06-01,29dae3fc906c786b0eae8c2521f39395b32dc52d
LuckyPigeon,https://api.github.com/repos/rmax/scrapy-redis/pulls/276,https://api.github.com/repos/rmax/scrapy-redis/issues/276,closed,2023-05-30,2023-05-30,2023-05-30,0e376ae169a095ec59f1889d378580b45387043c
LuckyPigeon,https://api.github.com/repos/rmax/scrapy-redis/pulls/275,https://api.github.com/repos/rmax/scrapy-redis/issues/275,closed,2023-05-30,2023-05-30,2023-05-30,301fc04a7bd3069303a904082c92672c514b1942
LuckyPigeon,https://api.github.com/repos/rmax/scrapy-redis/pulls/274,https://api.github.com/repos/rmax/scrapy-redis/issues/274,closed,2023-05-30,2023-05-30,2023-05-30,23a7d4f6bae3839da03a02aad77ccfef8563f64b
lifefloating,https://api.github.com/repos/rmax/scrapy-redis/pulls/270,https://api.github.com/repos/rmax/scrapy-redis/issues/270,closed,2023-03-06,2023-05-31,2023-05-30,b864de43ccaf737e7d4ac853bff39b4b74bf2142
NiuBlibing,https://api.github.com/repos/rmax/scrapy-redis/pulls/269,https://api.github.com/repos/rmax/scrapy-redis/issues/269,open,2023-02-08,2023-06-21,,7b9b5b51c553c86dc8e5976b3c02f7c833552984
LuckyPigeon,https://api.github.com/repos/rmax/scrapy-redis/pulls/261,https://api.github.com/repos/rmax/scrapy-redis/issues/261,closed,2022-08-06,2022-08-09,2022-08-09,08128469eaa801762961f1699d3687de8187310f
LuckyPigeon,https://api.github.com/repos/rmax/scrapy-redis/pulls/259,https://api.github.com/repos/rmax/scrapy-redis/issues/259,closed,2022-08-06,2022-08-09,2022-08-09,bd8df4927a3fcf5403c184927213e555f2c090c2
LuckyPigeon,https://api.github.com/repos/rmax/scrapy-redis/pulls/258,https://api.github.com/repos/rmax/scrapy-redis/issues/258,closed,2022-07-26,2022-07-30,2022-07-30,6313a74c656a0380cc5152c540a13dacc12680ca
LuckyPigeon,https://api.github.com/repos/rmax/scrapy-redis/pulls/256,https://api.github.com/repos/rmax/scrapy-redis/issues/256,closed,2022-07-20,2022-07-25,2022-07-25,e26cabd09dee372b8f54946f27a0b8f48447aa50
LuckyPigeon,https://api.github.com/repos/rmax/scrapy-redis/pulls/255,https://api.github.com/repos/rmax/scrapy-redis/issues/255,closed,2022-07-20,2022-07-26,2022-07-26,3da71a122eb0506f33f1a414cbd56cd90b2bd9d3
LuckyPigeon,https://api.github.com/repos/rmax/scrapy-redis/pulls/254,https://api.github.com/repos/rmax/scrapy-redis/issues/254,closed,2022-07-19,2022-07-24,2022-07-24,c5206c92a8a2b321d5f8a0781121f3f28bc30059
