user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
dependabot[bot],https://api.github.com/repos/saber-notes/saber/pulls/1156,https://api.github.com/repos/saber-notes/saber/issues/1156,closed,2024-03-04,2024-03-06,,51856163e4830c2994d75beeff76a087f2cbea85
dependabot[bot],https://api.github.com/repos/saber-notes/saber/pulls/1155,https://api.github.com/repos/saber-notes/saber/issues/1155,closed,2024-03-04,2024-03-06,,6a52d18c844d975e8c5c10ad8d3637c96588aca2
dependabot[bot],https://api.github.com/repos/saber-notes/saber/pulls/1154,https://api.github.com/repos/saber-notes/saber/issues/1154,closed,2024-03-04,2024-03-06,,588598cbd322720f13c8b61ae7b16d70c8c84307
adil192,https://api.github.com/repos/saber-notes/saber/pulls/1153,https://api.github.com/repos/saber-notes/saber/issues/1153,open,2024-03-03,2024-03-03,,6b2dc63b125a620f2c986cdc2ca437f6ad2a3572
QubaB,https://api.github.com/repos/saber-notes/saber/pulls/1151,https://api.github.com/repos/saber-notes/saber/issues/1151,open,2024-03-02,2024-03-02,,1550c047b45c706d9d6ab7bd3e6740dc1cfb55b2
dependabot[bot],https://api.github.com/repos/saber-notes/saber/pulls/1145,https://api.github.com/repos/saber-notes/saber/issues/1145,closed,2024-02-26,2024-02-26,,6731be48ed3ab213b50d1cf99c4bc04ec5fb6e61
dependabot[bot],https://api.github.com/repos/saber-notes/saber/pulls/1144,https://api.github.com/repos/saber-notes/saber/issues/1144,closed,2024-02-26,2024-02-26,,a88381da79f0da986eee47e9947ba8d60a7bf327
dependabot[bot],https://api.github.com/repos/saber-notes/saber/pulls/1143,https://api.github.com/repos/saber-notes/saber/issues/1143,closed,2024-02-26,2024-02-26,,5de5b69505a99c6629821a201e285b7a28a36f76
dependabot[bot],https://api.github.com/repos/saber-notes/saber/pulls/1142,https://api.github.com/repos/saber-notes/saber/issues/1142,closed,2024-02-26,2024-02-26,,459ee8b29218a9a10aeb73349f6a41370852e5e7
dependabot[bot],https://api.github.com/repos/saber-notes/saber/pulls/1141,https://api.github.com/repos/saber-notes/saber/issues/1141,closed,2024-02-26,2024-02-26,,392d5a14886dcdc5d35e08dd46b84cc79b0b7f2b
dependabot[bot],https://api.github.com/repos/saber-notes/saber/pulls/1140,https://api.github.com/repos/saber-notes/saber/issues/1140,closed,2024-02-26,2024-02-26,,f66025378ca57c0145003b40fb584195abd2dd4e
ceskyDJ,https://api.github.com/repos/saber-notes/saber/pulls/1138,https://api.github.com/repos/saber-notes/saber/issues/1138,closed,2024-02-25,2024-03-06,2024-03-06,c7d0db3d2bfa42bc743218afc6bfd1b4559343a3
JonaFleischmann,https://api.github.com/repos/saber-notes/saber/pulls/1137,https://api.github.com/repos/saber-notes/saber/issues/1137,open,2024-02-24,2024-02-28,,f9ae937cc3b342273a9e21dc2b33dde86b19225a
QubaB,https://api.github.com/repos/saber-notes/saber/pulls/1136,https://api.github.com/repos/saber-notes/saber/issues/1136,open,2024-02-23,2024-02-23,,77767b3e61a535c2cd38472f4ea138c9a9b2dafd
