user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
plughy2,https://api.github.com/repos/secdev/scapy/pulls/4311,https://api.github.com/repos/secdev/scapy/issues/4311,closed,2024-03-06,2024-03-06,,
mattdibi,https://api.github.com/repos/secdev/scapy/pulls/4310,https://api.github.com/repos/secdev/scapy/issues/4310,open,2024-03-06,2024-03-06,,d74fb6e4385d4766b79c19383efe5694222f063e
gpotter2,https://api.github.com/repos/secdev/scapy/pulls/4309,https://api.github.com/repos/secdev/scapy/issues/4309,closed,2024-03-03,2024-03-05,2024-03-05,42b98a2ab30e8e001c9360ac7d8da142d622e3ba
gpotter2,https://api.github.com/repos/secdev/scapy/pulls/4307,https://api.github.com/repos/secdev/scapy/issues/4307,closed,2024-03-02,2024-03-04,2024-03-04,44a06762315e41e5fdc25fbceafd72504d0f07e1
gpotter2,https://api.github.com/repos/secdev/scapy/pulls/4306,https://api.github.com/repos/secdev/scapy/issues/4306,closed,2024-03-02,2024-03-04,2024-03-04,df6eabe9d5fec434c0e234cf938549850c5619b5
evverx,https://api.github.com/repos/secdev/scapy/pulls/4305,https://api.github.com/repos/secdev/scapy/issues/4305,closed,2024-03-01,2024-03-01,2024-03-01,28c2f78511d310f4465fe55aefb1f9ca28e228c3
antoniovazquezblanco,https://api.github.com/repos/secdev/scapy/pulls/4303,https://api.github.com/repos/secdev/scapy/issues/4303,open,2024-02-27,2024-02-27,,03968d15bfa67b9a18f6bbce095e87792694eb6d
antoniovazquezblanco,https://api.github.com/repos/secdev/scapy/pulls/4302,https://api.github.com/repos/secdev/scapy/issues/4302,open,2024-02-27,2024-02-27,,acf461ab13067af2ea7ef8fa66a21e95599c30bd
gpotter2,https://api.github.com/repos/secdev/scapy/pulls/4301,https://api.github.com/repos/secdev/scapy/issues/4301,closed,2024-02-26,2024-03-02,2024-03-02,77569af5176255b8c27c5d0d7a0ab363095b49f8
gpotter2,https://api.github.com/repos/secdev/scapy/pulls/4300,https://api.github.com/repos/secdev/scapy/issues/4300,closed,2024-02-23,2024-02-26,2024-02-26,d8d24da22540c353a0f25eb2ab0e602de8f78423
evverx,https://api.github.com/repos/secdev/scapy/pulls/4299,https://api.github.com/repos/secdev/scapy/issues/4299,closed,2024-02-22,2024-02-26,2024-02-26,64029e76405ed60eda9faa7ca42de7b9fa209f92
antoniovazquezblanco,https://api.github.com/repos/secdev/scapy/pulls/4298,https://api.github.com/repos/secdev/scapy/issues/4298,closed,2024-02-22,2024-02-26,2024-02-23,2a8e0cf9fb969c8f1422ed0d9e86f2cb72d6700f
gpotter2,https://api.github.com/repos/secdev/scapy/pulls/4297,https://api.github.com/repos/secdev/scapy/issues/4297,closed,2024-02-22,2024-02-22,2024-02-22,9bc922289368a3e1eac16a74c55b1f694158cef3
gpotter2,https://api.github.com/repos/secdev/scapy/pulls/4296,https://api.github.com/repos/secdev/scapy/issues/4296,closed,2024-02-21,2024-02-21,2024-02-21,e94fba098e26840908a79728a78c4783f90357e2
gpotter2,https://api.github.com/repos/secdev/scapy/pulls/4295,https://api.github.com/repos/secdev/scapy/issues/4295,closed,2024-02-20,2024-02-26,2024-02-26,4a86d93fecc802c5a7e1e3fb4ea77a2afc98d155
gpotter2,https://api.github.com/repos/secdev/scapy/pulls/4293,https://api.github.com/repos/secdev/scapy/issues/4293,closed,2024-02-19,2024-02-26,2024-02-26,4067950ce7632714d8f20e2013b29855930612b4
gpotter2,https://api.github.com/repos/secdev/scapy/pulls/4292,https://api.github.com/repos/secdev/scapy/issues/4292,closed,2024-02-19,2024-02-19,2024-02-19,e3fb112c23adda6372dd918f48c0bf7a2d9ca8cd
gpotter2,https://api.github.com/repos/secdev/scapy/pulls/4291,https://api.github.com/repos/secdev/scapy/issues/4291,closed,2024-02-18,2024-02-18,2024-02-18,dedddd975c0a5b588e121568f61c4ffe942e1d5e
