user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
hyorimitsu,https://api.github.com/repos/securego/gosec/pulls/1112,https://api.github.com/repos/securego/gosec/issues/1112,open,2024-03-06,2024-03-06,,260a1b63e460046a022650a661fea1646483883e
renovate[bot],https://api.github.com/repos/securego/gosec/pulls/1111,https://api.github.com/repos/securego/gosec/issues/1111,closed,2024-03-04,2024-03-04,2024-03-04,582e91af06df77ee0d9c44ea3f733e330e36da3c
VirrageS,https://api.github.com/repos/securego/gosec/pulls/1108,https://api.github.com/repos/securego/gosec/issues/1108,closed,2024-02-21,2024-03-04,2024-03-04,f25ccd9fb51d02f6f6f6e9289b2b3edf4261deb1
renovate[bot],https://api.github.com/repos/securego/gosec/pulls/1107,https://api.github.com/repos/securego/gosec/issues/1107,closed,2024-02-19,2024-02-19,2024-02-19,198a40ca2321bf78acf40acc54e3b8967d4b071a
quentin-laplanche,https://api.github.com/repos/securego/gosec/pulls/1104,https://api.github.com/repos/securego/gosec/issues/1104,closed,2024-02-13,2024-02-13,2024-02-13,c824a5d308340f4aa39cd05fc6da76549d7fd11a
ccojocar,https://api.github.com/repos/securego/gosec/pulls/1103,https://api.github.com/repos/securego/gosec/issues/1103,closed,2024-02-12,2024-02-12,2024-02-12,d13d7dac9b7e2b40e86be5b830d297816376f1db
ccojocar,https://api.github.com/repos/securego/gosec/pulls/1102,https://api.github.com/repos/securego/gosec/issues/1102,closed,2024-02-12,2024-02-12,2024-02-12,26e57d6b340778c2983cd61775bc7e8bb41d002a
renovate[bot],https://api.github.com/repos/securego/gosec/pulls/1101,https://api.github.com/repos/securego/gosec/issues/1101,closed,2024-02-12,2024-02-12,2024-02-12,e60b8d88e04a94cfa4aa5887d1d7b91489228968
Emptyless,https://api.github.com/repos/securego/gosec/pulls/1100,https://api.github.com/repos/securego/gosec/issues/1100,closed,2024-02-09,2024-02-16,,1f0583321f0342ecdb961818663843be11bb4954
renovate[bot],https://api.github.com/repos/securego/gosec/pulls/1098,https://api.github.com/repos/securego/gosec/issues/1098,closed,2024-02-05,2024-02-05,2024-02-05,1285eb7300ec7d6dab64fca1081383d5d05c7f04
renovate[bot],https://api.github.com/repos/securego/gosec/pulls/1097,https://api.github.com/repos/securego/gosec/issues/1097,closed,2024-01-29,2024-01-29,2024-01-29,cf4ab3ea7cf2856f794c1de8cb7e03d4196086c5
renovate[bot],https://api.github.com/repos/securego/gosec/pulls/1096,https://api.github.com/repos/securego/gosec/issues/1096,closed,2024-01-22,2024-01-22,2024-01-22,277553c23de37c7680bd2f6c177863a45704937c
