user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
francisko-rezende,https://api.github.com/repos/shikijs/shiki/pulls/612,https://api.github.com/repos/shikijs/shiki/issues/612,closed,2024-03-05,2024-03-06,2024-03-06,682d22c1383242418c1941ea17ad56abe12bd623
smirnoffmv,https://api.github.com/repos/shikijs/shiki/pulls/611,https://api.github.com/repos/shikijs/shiki/issues/611,closed,2024-03-05,2024-03-05,,9336e21be0f717679c284290864c572ebd60b35e
lawvs,https://api.github.com/repos/shikijs/shiki/pulls/609,https://api.github.com/repos/shikijs/shiki/issues/609,closed,2024-03-03,2024-03-06,2024-03-06,ee938e38ecfd95fbddaf6a228a0ee8601e027bfc
Odilf,https://api.github.com/repos/shikijs/shiki/pulls/605,https://api.github.com/repos/shikijs/shiki/issues/605,closed,2024-02-29,2024-02-29,,4d96bed44a9fd9d50493f1a511bcbe9027e8c56a
elkmod,https://api.github.com/repos/shikijs/shiki/pulls/602,https://api.github.com/repos/shikijs/shiki/issues/602,closed,2024-02-23,2024-02-23,2024-02-23,aba8131ee698ff235496837ac88ee23ef9c257be
chwzr,https://api.github.com/repos/shikijs/shiki/pulls/598,https://api.github.com/repos/shikijs/shiki/issues/598,closed,2024-02-20,2024-02-21,2024-02-21,ccb58331464ff25b25d7385be700a00edce1ad4e
antfu,https://api.github.com/repos/shikijs/shiki/pulls/596,https://api.github.com/repos/shikijs/shiki/issues/596,closed,2024-02-19,2024-02-20,2024-02-20,b61a689b1922552d339e2d460c573107c8081c72
ije,https://api.github.com/repos/shikijs/shiki/pulls/588,https://api.github.com/repos/shikijs/shiki/issues/588,closed,2024-02-15,2024-02-18,2024-02-18,2803f8988ddea7c3c394b8e60f9c333fbc80f772
KermanX,https://api.github.com/repos/shikijs/shiki/pulls/585,https://api.github.com/repos/shikijs/shiki/issues/585,closed,2024-02-11,2024-02-12,2024-02-12,b559cde59611b3b4308da81afee3c4865593ed0a
dbzx10299,https://api.github.com/repos/shikijs/shiki/pulls/584,https://api.github.com/repos/shikijs/shiki/issues/584,closed,2024-02-09,2024-02-11,2024-02-11,afe74d26e4f08d5a4900de7705d9df7ebf338ce9
wesbos,https://api.github.com/repos/shikijs/shiki/pulls/582,https://api.github.com/repos/shikijs/shiki/issues/582,closed,2024-02-09,2024-02-09,2024-02-09,f32add704ff7e3d1562ba4254d6a8b852f90a481
Masstronaut,https://api.github.com/repos/shikijs/shiki/pulls/581,https://api.github.com/repos/shikijs/shiki/issues/581,closed,2024-02-09,2024-02-10,2024-02-09,cdfc4b60fb05f777dcd28427c0c0951fac3eaee0
antfu,https://api.github.com/repos/shikijs/shiki/pulls/574,https://api.github.com/repos/shikijs/shiki/issues/574,closed,2024-02-01,2024-02-01,2024-02-01,e0fcf9f5bb5180a533a3f91cb76831b79167bdc9
antfu,https://api.github.com/repos/shikijs/shiki/pulls/573,https://api.github.com/repos/shikijs/shiki/issues/573,closed,2024-01-31,2024-01-31,2024-01-31,6dfcd986e51c005001dda309e4cc22bcdd0a3307
antfu,https://api.github.com/repos/shikijs/shiki/pulls/572,https://api.github.com/repos/shikijs/shiki/issues/572,closed,2024-01-31,2024-01-31,2024-01-31,d123b4bcfc9ea868f32e179ae05afac02a37826d
uncenter,https://api.github.com/repos/shikijs/shiki/pulls/571,https://api.github.com/repos/shikijs/shiki/issues/571,closed,2024-01-31,2024-01-31,,1d375be7a9d51d9fbb16f8173cbe3b974ff2f12b
ifshizuku,https://api.github.com/repos/shikijs/shiki/pulls/565,https://api.github.com/repos/shikijs/shiki/issues/565,closed,2024-01-27,2024-01-31,2024-01-31,0b01d931c3e5e19cad1ef07fefbf89481029a959
uncenter,https://api.github.com/repos/shikijs/shiki/pulls/564,https://api.github.com/repos/shikijs/shiki/issues/564,closed,2024-01-27,2024-01-27,2024-01-27,b26817f26ecc6ec6bef2582baad01d498b4776f3
zce,https://api.github.com/repos/shikijs/shiki/pulls/562,https://api.github.com/repos/shikijs/shiki/issues/562,closed,2024-01-27,2024-01-27,2024-01-27,146dfa8089138010a6c9b4dffedb50b6176a5a86
fuma-nama,https://api.github.com/repos/shikijs/shiki/pulls/561,https://api.github.com/repos/shikijs/shiki/issues/561,closed,2024-01-27,2024-01-27,2024-01-27,70fdcbd4f0f6e39158d36255f24c2021fe922f17
Gerrit0,https://api.github.com/repos/shikijs/shiki/pulls/560,https://api.github.com/repos/shikijs/shiki/issues/560,closed,2024-01-27,2024-01-27,2024-01-27,469b1e2cb7198ed11c37402c2068ffa33ed6b1e0
uncenter,https://api.github.com/repos/shikijs/shiki/pulls/558,https://api.github.com/repos/shikijs/shiki/issues/558,closed,2024-01-27,2024-01-27,2024-01-27,fb6497bf2cb8ee4c10d4f1146b591e1a4b687a6a
antfu,https://api.github.com/repos/shikijs/shiki/pulls/557,https://api.github.com/repos/shikijs/shiki/issues/557,closed,2024-01-26,2024-01-26,2024-01-26,c72a55cdbc882794721dab09e403fb139d8554a6
dependabot[bot],https://api.github.com/repos/shikijs/shiki/pulls/554,https://api.github.com/repos/shikijs/shiki/issues/554,closed,2024-01-10,2024-01-26,,33346d45bc89099d1aaa58f702be752f0c17b85b
feihong,https://api.github.com/repos/shikijs/shiki/pulls/552,https://api.github.com/repos/shikijs/shiki/issues/552,closed,2024-01-05,2024-01-26,,589e49823f1c6f927d80b5821dca82dc3781fa96
NullVoxPopuli,https://api.github.com/repos/shikijs/shiki/pulls/550,https://api.github.com/repos/shikijs/shiki/issues/550,closed,2023-12-16,2023-12-19,2023-12-19,cce598c6f7ea5d13583885c5eb39dce60c43cc37
NullVoxPopuli,https://api.github.com/repos/shikijs/shiki/pulls/549,https://api.github.com/repos/shikijs/shiki/issues/549,closed,2023-12-16,2023-12-19,2023-12-19,9939a7ae37142b747a5a2740bbebc3a805c28ff6
dependabot[bot],https://api.github.com/repos/shikijs/shiki/pulls/545,https://api.github.com/repos/shikijs/shiki/issues/545,closed,2023-12-07,2024-01-26,,128232f81ab7d7ce4d80ca12f9cbc6b54a6ea7e0
Seven-Y-Q-Guo,https://api.github.com/repos/shikijs/shiki/pulls/544,https://api.github.com/repos/shikijs/shiki/issues/544,closed,2023-11-29,2023-12-15,2023-12-15,99444cfa215f838432ab02875d5da1d794a65727
nova1751,https://api.github.com/repos/shikijs/shiki/pulls/543,https://api.github.com/repos/shikijs/shiki/issues/543,closed,2023-11-28,2024-01-26,,41014e2fbae0b4b41b7323e34752b8d52429841f
gregermendle,https://api.github.com/repos/shikijs/shiki/pulls/538,https://api.github.com/repos/shikijs/shiki/issues/538,closed,2023-11-15,2023-12-15,,556d105c23e31e3e3cefb3f526c6707dc01dc02f
