user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
HzjNeverStop,https://api.github.com/repos/sofastack/sofa-boot/pulls/1295,https://api.github.com/repos/sofastack/sofa-boot/issues/1295,open,2024-03-06,2024-03-06,,743e6eeb3bc7dbbf848bc3d271a2938c0846fa4a
HzjNeverStop,https://api.github.com/repos/sofastack/sofa-boot/pulls/1294,https://api.github.com/repos/sofastack/sofa-boot/issues/1294,closed,2024-03-04,2024-03-06,2024-03-06,b4002c41eb2a63510e795560598c25e25220a629
EvenLjj,https://api.github.com/repos/sofastack/sofa-boot/pulls/1293,https://api.github.com/repos/sofastack/sofa-boot/issues/1293,closed,2024-02-29,2024-03-04,2024-03-04,0c03dfe8a82e78419da258d886449b7f7b9e9ebf
EvenLjj,https://api.github.com/repos/sofastack/sofa-boot/pulls/1292,https://api.github.com/repos/sofastack/sofa-boot/issues/1292,open,2024-02-29,2024-02-29,,6be7acabe19e44e846a84881c785ab4abf482918
wangchengming666,https://api.github.com/repos/sofastack/sofa-boot/pulls/1291,https://api.github.com/repos/sofastack/sofa-boot/issues/1291,closed,2024-02-27,2024-02-27,2024-02-27,447b919e4f55867a7821c29495dd204138d70500
wangchengming666,https://api.github.com/repos/sofastack/sofa-boot/pulls/1290,https://api.github.com/repos/sofastack/sofa-boot/issues/1290,closed,2024-02-23,2024-02-27,2024-02-27,92efd6187bb4e7ef4d3c23bce93eff24840a1391
wangchengming666,https://api.github.com/repos/sofastack/sofa-boot/pulls/1288,https://api.github.com/repos/sofastack/sofa-boot/issues/1288,open,2024-02-20,2024-02-28,,b617735be79494061a5984bea84eee517543329d
NTP1996,https://api.github.com/repos/sofastack/sofa-boot/pulls/1287,https://api.github.com/repos/sofastack/sofa-boot/issues/1287,closed,2024-02-02,2024-02-20,2024-02-20,35020926a3695fc131b2475d663b6ed97f6f6109
HzjNeverStop,https://api.github.com/repos/sofastack/sofa-boot/pulls/1285,https://api.github.com/repos/sofastack/sofa-boot/issues/1285,closed,2024-01-31,2024-01-31,2024-01-31,c05078436ba04d914e93137ac37e7fc6e87ff9a2
HzjNeverStop,https://api.github.com/repos/sofastack/sofa-boot/pulls/1282,https://api.github.com/repos/sofastack/sofa-boot/issues/1282,closed,2024-01-23,2024-01-25,2024-01-25,fcd365c416dd572187dc12598a65b3ea207c83ea
