user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
st3b1t,https://api.github.com/repos/spesmilo/electrum/pulls/8933,https://api.github.com/repos/spesmilo/electrum/issues/8933,closed,2024-03-05,2024-03-06,2024-03-06,ff5048752839056b0dc81f6c3b5b3a67948dbcb6
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8925,https://api.github.com/repos/spesmilo/electrum/issues/8925,closed,2024-03-01,2024-03-05,2024-03-05,8b2a5961942777435990fc709038f19e93cbbe43
ecdsa,https://api.github.com/repos/spesmilo/electrum/pulls/8924,https://api.github.com/repos/spesmilo/electrum/issues/8924,closed,2024-03-01,2024-03-01,2024-03-01,33b194620258afe775731c16a0da275f98f7ca2c
levantah,https://api.github.com/repos/spesmilo/electrum/pulls/8921,https://api.github.com/repos/spesmilo/electrum/issues/8921,closed,2024-02-28,2024-03-01,2024-03-01,d120492664112145384ce5c7427c53c549a01052
accumulator,https://api.github.com/repos/spesmilo/electrum/pulls/8909,https://api.github.com/repos/spesmilo/electrum/issues/8909,open,2024-02-22,2024-02-23,,edacfbb09530c132f4b5bee4c98b310fe50654f9
accumulator,https://api.github.com/repos/spesmilo/electrum/pulls/8907,https://api.github.com/repos/spesmilo/electrum/issues/8907,closed,2024-02-22,2024-02-22,,1b79ff32d592c6a1790782ba87728443ccece319
accumulator,https://api.github.com/repos/spesmilo/electrum/pulls/8906,https://api.github.com/repos/spesmilo/electrum/issues/8906,closed,2024-02-21,2024-02-21,2024-02-21,7da3613b122e0b95683505193f952b4d1df2c1d1
koniiiik,https://api.github.com/repos/spesmilo/electrum/pulls/8903,https://api.github.com/repos/spesmilo/electrum/issues/8903,open,2024-02-20,2024-02-20,,0216d33a22e71fceb2e85c3c9e94a80f6a494adf
accumulator,https://api.github.com/repos/spesmilo/electrum/pulls/8897,https://api.github.com/repos/spesmilo/electrum/issues/8897,closed,2024-02-16,2024-02-19,2024-02-19,d968c6245ca6f230e25b4e782e358a62e6f11a60
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8894,https://api.github.com/repos/spesmilo/electrum/issues/8894,open,2024-02-15,2024-02-16,,638e93785821bb84900795201a75c14f8770d948
Pelambrds,https://api.github.com/repos/spesmilo/electrum/pulls/8891,https://api.github.com/repos/spesmilo/electrum/issues/8891,closed,2024-02-13,2024-02-13,,7bd765db82a1d2727b45ece9bde0d0eac507d9d3
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8888,https://api.github.com/repos/spesmilo/electrum/issues/8888,closed,2024-02-12,2024-02-21,2024-02-21,9799603779affedf23962464acbebfb191cfcceb
dav1app,https://api.github.com/repos/spesmilo/electrum/pulls/8884,https://api.github.com/repos/spesmilo/electrum/issues/8884,open,2024-02-11,2024-02-12,,0003d9548f9723927d6cf2f1e0a32019d40e692a
accumulator,https://api.github.com/repos/spesmilo/electrum/pulls/8881,https://api.github.com/repos/spesmilo/electrum/issues/8881,closed,2024-02-09,2024-02-19,2024-02-15,5582b753e50c1a330ae433a897fcad6d71aa0e17
accumulator,https://api.github.com/repos/spesmilo/electrum/pulls/8873,https://api.github.com/repos/spesmilo/electrum/issues/8873,closed,2024-02-05,2024-02-19,2024-02-06,acc7b44a3eb3fd6ce5e71a3871e440290f4fbab3
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8871,https://api.github.com/repos/spesmilo/electrum/issues/8871,closed,2024-02-05,2024-02-23,2024-02-21,e2db5ca2ef60634ca64b6c12edba2660cbcf838a
accumulator,https://api.github.com/repos/spesmilo/electrum/pulls/8870,https://api.github.com/repos/spesmilo/electrum/issues/8870,closed,2024-02-05,2024-02-19,2024-02-05,620b46780b424d417cf68450a881f70a88078e7d
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8865,https://api.github.com/repos/spesmilo/electrum/issues/8865,closed,2024-02-03,2024-02-16,2024-02-16,e11d7b37f25e3d7c841e6816fbf6a2e1305b6226
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8864,https://api.github.com/repos/spesmilo/electrum/issues/8864,closed,2024-02-03,2024-02-22,2024-02-05,a668d7850d5811b4ca6e4ac3cb921545eb1d1c98
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8862,https://api.github.com/repos/spesmilo/electrum/issues/8862,closed,2024-01-31,2024-02-05,2024-02-05,019baa5a716befc9ab6d1f759d884b7f1e9bad53
syminical,https://api.github.com/repos/spesmilo/electrum/pulls/8859,https://api.github.com/repos/spesmilo/electrum/issues/8859,closed,2024-01-31,2024-01-31,,b69f936b8a493f5356167ec318ae4091743d3bd1
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8846,https://api.github.com/repos/spesmilo/electrum/issues/8846,closed,2024-01-24,2024-02-21,2024-02-21,d52e36e29e748415010453926713dc08deb937df
accumulator,https://api.github.com/repos/spesmilo/electrum/pulls/8845,https://api.github.com/repos/spesmilo/electrum/issues/8845,closed,2024-01-23,2024-02-19,2024-02-16,1b75e3883e33a6e45a1c11365ed367e8d765afb3
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8843,https://api.github.com/repos/spesmilo/electrum/issues/8843,closed,2024-01-23,2024-02-04,2024-01-31,061c8211281d6c0b50166e4075656ce0fb2c89f5
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8839,https://api.github.com/repos/spesmilo/electrum/issues/8839,open,2024-01-22,2024-02-21,,8bf35595f8aff7940f7444213da67221868b318f
accumulator,https://api.github.com/repos/spesmilo/electrum/pulls/8828,https://api.github.com/repos/spesmilo/electrum/issues/8828,closed,2024-01-18,2024-01-18,2024-01-18,1b65c301b5ff655f4ad6effb9c991fa3d0a2dd1b
Yokomoko,https://api.github.com/repos/spesmilo/electrum/pulls/8824,https://api.github.com/repos/spesmilo/electrum/issues/8824,closed,2024-01-17,2024-01-17,,
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8821,https://api.github.com/repos/spesmilo/electrum/issues/8821,open,2024-01-17,2024-03-02,,1bac2fc9f133bacce3a4ae59f5dfedd325fd8575
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8818,https://api.github.com/repos/spesmilo/electrum/issues/8818,closed,2024-01-16,2024-01-17,2024-01-17,0470d345eda66ddff0d1829d1352fcb60236f325
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8814,https://api.github.com/repos/spesmilo/electrum/issues/8814,closed,2024-01-15,2024-01-16,2024-01-16,52c4acb483792dbdf9e7d0fe90d0bfd9f4c6af26
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8805,https://api.github.com/repos/spesmilo/electrum/issues/8805,closed,2024-01-10,2024-01-11,2024-01-11,5ea40b4ea4c177659db502b839116c434560983e
MrNaif2018,https://api.github.com/repos/spesmilo/electrum/pulls/8804,https://api.github.com/repos/spesmilo/electrum/issues/8804,closed,2024-01-09,2024-01-10,,2b886ff36aa105fcbfaee91ef9e4068870c7f3c0
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8799,https://api.github.com/repos/spesmilo/electrum/issues/8799,open,2024-01-08,2024-01-17,,07ea9184cc300fb3e44a4458bda77fd25cb4dd94
hethm999,https://api.github.com/repos/spesmilo/electrum/pulls/8795,https://api.github.com/repos/spesmilo/electrum/issues/8795,closed,2024-01-06,2024-01-06,,b36803eaef5498f7ede0dc82e089aac8ffdcf2f5
accumulator,https://api.github.com/repos/spesmilo/electrum/pulls/8789,https://api.github.com/repos/spesmilo/electrum/issues/8789,closed,2024-01-04,2024-02-19,2024-01-04,926756c6cc79a44fe97267501dcbccf5bfb6bde8
accumulator,https://api.github.com/repos/spesmilo/electrum/pulls/8788,https://api.github.com/repos/spesmilo/electrum/issues/8788,closed,2024-01-04,2024-01-04,2024-01-04,35d4cf4d099613a9a003934002403f08ac08e8b5
MrNaif2018,https://api.github.com/repos/spesmilo/electrum/pulls/8786,https://api.github.com/repos/spesmilo/electrum/issues/8786,closed,2024-01-02,2024-01-08,2024-01-08,af6467bac48d4103d10ef2a42ebe5081deb76eef
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8778,https://api.github.com/repos/spesmilo/electrum/issues/8778,closed,2023-12-24,2024-02-15,2024-02-15,1d0706abd857fb9907f0ea6ebad3a9364106e018
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8777,https://api.github.com/repos/spesmilo/electrum/issues/8777,closed,2023-12-24,2023-12-24,2023-12-24,872ab29436d16dfa440575e84cefb4a0e3afbc7c
accumulator,https://api.github.com/repos/spesmilo/electrum/pulls/8772,https://api.github.com/repos/spesmilo/electrum/issues/8772,closed,2023-12-22,2024-02-19,2023-12-29,88058df409ae67584b9ecfc40adec6909c03ae63
sha-265,https://api.github.com/repos/spesmilo/electrum/pulls/8767,https://api.github.com/repos/spesmilo/electrum/issues/8767,closed,2023-12-21,2023-12-22,2023-12-22,92a08a5fe7d2ead8938e02d2621f1dbd6a176b4c
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8762,https://api.github.com/repos/spesmilo/electrum/issues/8762,closed,2023-12-19,2023-12-19,2023-12-19,1d574808e21f9a734204ad1e29677a5dd7fd7971
accumulator,https://api.github.com/repos/spesmilo/electrum/pulls/8761,https://api.github.com/repos/spesmilo/electrum/issues/8761,closed,2023-12-19,2024-02-19,2024-01-18,3b841a8dcd7115d149328cacacbd88f08436a518
sha-265,https://api.github.com/repos/spesmilo/electrum/pulls/8760,https://api.github.com/repos/spesmilo/electrum/issues/8760,closed,2023-12-19,2024-02-05,2023-12-19,d0276831fa53bd72b9cd403daa74a0be221285b7
accumulator,https://api.github.com/repos/spesmilo/electrum/pulls/8759,https://api.github.com/repos/spesmilo/electrum/issues/8759,closed,2023-12-19,2023-12-21,2023-12-21,bec74304b6c6691728ff275e87f220665a03feb9
accumulator,https://api.github.com/repos/spesmilo/electrum/pulls/8758,https://api.github.com/repos/spesmilo/electrum/issues/8758,closed,2023-12-19,2023-12-22,2023-12-22,d8bd55bf4ebde26fda19136d675a600f0edf9655
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8743,https://api.github.com/repos/spesmilo/electrum/issues/8743,closed,2023-12-13,2023-12-13,2023-12-13,856163f0960de0c97a97bc8057db040a521ffa7f
accumulator,https://api.github.com/repos/spesmilo/electrum/pulls/8741,https://api.github.com/repos/spesmilo/electrum/issues/8741,closed,2023-12-12,2024-02-19,2024-01-11,14ec36dba12d3360af8fdb60b320d4e9ee430afb
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8738,https://api.github.com/repos/spesmilo/electrum/issues/8738,closed,2023-12-12,2023-12-12,2023-12-12,c1b359d43f36f94ce007904e4627a680b2c33d11
accumulator,https://api.github.com/repos/spesmilo/electrum/pulls/8737,https://api.github.com/repos/spesmilo/electrum/issues/8737,closed,2023-12-11,2023-12-24,2023-12-24,9ea15a1c3c70cdd19bf46b914936340f72695dcf
accumulator,https://api.github.com/repos/spesmilo/electrum/pulls/8736,https://api.github.com/repos/spesmilo/electrum/issues/8736,open,2023-12-11,2024-01-11,,8891c759ea06d951bfb9edb7afb0eba9f6c0fdbd
accumulator,https://api.github.com/repos/spesmilo/electrum/pulls/8733,https://api.github.com/repos/spesmilo/electrum/issues/8733,closed,2023-12-08,2023-12-11,2023-12-10,8199a6b5b2b097902f06a35d9a4a6a9de8d0d225
Filiprogrammer,https://api.github.com/repos/spesmilo/electrum/pulls/8726,https://api.github.com/repos/spesmilo/electrum/issues/8726,open,2023-12-04,2023-12-06,,8acabf87addfb3ac05d8408a83c8759d7a28a3f0
accumulator,https://api.github.com/repos/spesmilo/electrum/pulls/8725,https://api.github.com/repos/spesmilo/electrum/issues/8725,closed,2023-12-04,2023-12-07,2023-12-05,1cc1926263f30708782774fcb5bfc4476a0de787
xiaolou86,https://api.github.com/repos/spesmilo/electrum/pulls/8724,https://api.github.com/repos/spesmilo/electrum/issues/8724,closed,2023-12-04,2023-12-04,2023-12-04,6745fb47bc5af2e804b9babba364c39f4914574f
SomberNight,https://api.github.com/repos/spesmilo/electrum/pulls/8719,https://api.github.com/repos/spesmilo/electrum/issues/8719,closed,2023-12-01,2023-12-12,2023-12-12,e814fa0b2550eac338c653a5fcfa12081cfd2bd9
