user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
wind57,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/pulls/1591,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/issues/1591,open,2024-02-27,2024-02-27,,253a01cbc8a006d622b97a49bca8a2f0632c2cd1
wind57,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/pulls/1590,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/issues/1590,open,2024-02-26,2024-02-27,,16dd360a0b461dcfbe334d2e2ffa8a3580f8ff62
wind57,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/pulls/1589,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/issues/1589,open,2024-02-25,2024-02-25,,1643858d6f537a098194d9d031a1c44e04cd6dd1
wind57,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/pulls/1588,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/issues/1588,closed,2024-02-24,2024-02-25,2024-02-25,c82315afd177e5404efb414c2176bd2961dab27e
wind57,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/pulls/1585,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/issues/1585,closed,2024-02-22,2024-02-22,,a98dd8d3176dd4a49afc3197604d42945da97508
wind57,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/pulls/1584,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/issues/1584,open,2024-02-22,2024-02-25,,e4493ca8c6a842b4ad3b8446d3efa787cd608af8
codefromthecrypt,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/pulls/1580,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/issues/1580,closed,2024-02-19,2024-02-20,2024-02-20,793d2cc56ca09b87e87028c377d36d580a960674
wind57,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/pulls/1579,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/issues/1579,closed,2024-02-16,2024-02-17,2024-02-17,523971aae9923a9ab14edae398d873ef7ef85b3b
wind57,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/pulls/1578,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/issues/1578,closed,2024-02-16,2024-02-16,2024-02-16,2c27990d946c6d9e3f1ff2db78974de95ccef42e
wind57,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/pulls/1577,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/issues/1577,closed,2024-02-16,2024-02-16,2024-02-16,05dbdcf5d0cbc8e30d1048b2ca3a01cc9b772eb9
wind57,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/pulls/1572,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/issues/1572,open,2024-02-02,2024-02-26,,bddd08ce8f1ee6b833e352bd107cf4221191cd36
wind57,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/pulls/1568,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/issues/1568,closed,2024-01-30,2024-02-02,,c61dd6bc3fef27b462b45d6b47f0bd95f82e3688
wind57,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/pulls/1566,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/issues/1566,closed,2024-01-28,2024-02-01,2024-02-01,a27b341714e7d1e677dac8b568c55be8bffb2b3f
ryanjbaxter,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/pulls/1565,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/issues/1565,closed,2024-01-23,2024-01-23,2024-01-23,13d7d6e3f93fb6f09f803b898eeb7fa705e18d59
wind57,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/pulls/1563,https://api.github.com/repos/spring-cloud/spring-cloud-kubernetes/issues/1563,closed,2024-01-16,2024-01-16,2024-01-16,89fdb6aaed479a9d48bafdb04931912b82f72445
