user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
wangling12,https://api.github.com/repos/tboox/tbox/pulls/254,https://api.github.com/repos/tboox/tbox/issues/254,closed,2023-12-25,2023-12-25,2023-12-25,df39abf1422b7012593943936b3cc45983646430
duyanning,https://api.github.com/repos/tboox/tbox/pulls/251,https://api.github.com/repos/tboox/tbox/issues/251,closed,2023-12-01,2023-12-02,,63bd8eec72aec467366ea9bd777d931e38e1e848
suihanhbr,https://api.github.com/repos/tboox/tbox/pulls/249,https://api.github.com/repos/tboox/tbox/issues/249,closed,2023-11-05,2023-12-02,,6ff80d6fe76d844599592fa2948632dd70321ac4
binarycraft007,https://api.github.com/repos/tboox/tbox/pulls/246,https://api.github.com/repos/tboox/tbox/issues/246,closed,2023-10-21,2023-10-21,,3c5aff8b6dd0282959143fc728d95e8b7d06817c
darcy-shen,https://api.github.com/repos/tboox/tbox/pulls/245,https://api.github.com/repos/tboox/tbox/issues/245,closed,2023-10-19,2023-10-23,2023-10-23,01bbf598e63cf8bbe7c65fe78e445d7189406077
waruqi,https://api.github.com/repos/tboox/tbox/pulls/235,https://api.github.com/repos/tboox/tbox/issues/235,closed,2023-09-12,2023-09-13,2023-09-13,848051b7f4b11ce04186a61eca11a0ba8e2eba37
duyanning,https://api.github.com/repos/tboox/tbox/pulls/233,https://api.github.com/repos/tboox/tbox/issues/233,closed,2023-09-10,2023-09-10,2023-09-10,dfede90a1d1daa7dac3acffc9048324577e5ba19
darcy-shen,https://api.github.com/repos/tboox/tbox/pulls/230,https://api.github.com/repos/tboox/tbox/issues/230,closed,2023-08-30,2023-08-31,,a670e887b77e8555eff4ea7ec0fb9b178766d865
darcy-shen,https://api.github.com/repos/tboox/tbox/pulls/229,https://api.github.com/repos/tboox/tbox/issues/229,closed,2023-08-30,2023-08-31,2023-08-31,6a646700b423b8215180938b11d4ef6c3ee39de2
darcy-shen,https://api.github.com/repos/tboox/tbox/pulls/227,https://api.github.com/repos/tboox/tbox/issues/227,closed,2023-08-29,2023-08-29,2023-08-29,3c128191be876cc323207f32be7e4924d763dffc
