user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
akbaig,https://api.github.com/repos/thtrieu/darkflow/pulls/1221,https://api.github.com/repos/thtrieu/darkflow/issues/1221,open,2023-10-23,2023-10-23,,a27225621ac1048f21047590697740d9ae66f5e0
akbaig,https://api.github.com/repos/thtrieu/darkflow/pulls/1220,https://api.github.com/repos/thtrieu/darkflow/issues/1220,closed,2023-10-23,2023-10-23,,353d3d2dca14834179e2a82597302620072c2872
dependabot[bot],https://api.github.com/repos/thtrieu/darkflow/pulls/1218,https://api.github.com/repos/thtrieu/darkflow/issues/1218,open,2023-03-25,2023-03-25,,ab719a8484bbb07fafedb0ba7a3629431a1b1a01
LittleD3092,https://api.github.com/repos/thtrieu/darkflow/pulls/1217,https://api.github.com/repos/thtrieu/darkflow/issues/1217,open,2023-02-17,2023-02-17,,6d60ff405db301bc01833a52e68294860fbd8a83
S-FK,https://api.github.com/repos/thtrieu/darkflow/pulls/1216,https://api.github.com/repos/thtrieu/darkflow/issues/1216,open,2022-11-24,2022-11-24,,7c9d7720f3d5308889b9e15b89082f990bee08ee
dependabot[bot],https://api.github.com/repos/thtrieu/darkflow/pulls/1214,https://api.github.com/repos/thtrieu/darkflow/issues/1214,closed,2022-11-21,2023-03-25,,607f2d62d3f11597d49c6b6fc298e8563e83b939
dependabot[bot],https://api.github.com/repos/thtrieu/darkflow/pulls/1209,https://api.github.com/repos/thtrieu/darkflow/issues/1209,closed,2022-05-26,2022-11-21,,f6b2ea226a8780d92681e9952198cde1d8b6f4ae
dependabot[bot],https://api.github.com/repos/thtrieu/darkflow/pulls/1208,https://api.github.com/repos/thtrieu/darkflow/issues/1208,closed,2022-05-24,2022-05-26,,3d3e4a6c382a561ee9194572416a91a6aa958110
dependabot[bot],https://api.github.com/repos/thtrieu/darkflow/pulls/1205,https://api.github.com/repos/thtrieu/darkflow/issues/1205,closed,2022-02-09,2022-05-24,,f1f580a309e7b496705dfa2ef9204665ead755e9
dependabot[bot],https://api.github.com/repos/thtrieu/darkflow/pulls/1203,https://api.github.com/repos/thtrieu/darkflow/issues/1203,closed,2021-08-25,2022-02-09,,282ec6035006f00d912b8f6f738532d7c7c1cfd7
dependabot[bot],https://api.github.com/repos/thtrieu/darkflow/pulls/1198,https://api.github.com/repos/thtrieu/darkflow/issues/1198,closed,2021-05-21,2021-08-25,,ad1f8ad7581a68bbeee979243b803cac655ece41
dependabot[bot],https://api.github.com/repos/thtrieu/darkflow/pulls/1192,https://api.github.com/repos/thtrieu/darkflow/issues/1192,closed,2020-11-13,2021-05-21,,dcbc0e180abefd9d4bee248109b0e6823642bc47
dependabot[bot],https://api.github.com/repos/thtrieu/darkflow/pulls/1190,https://api.github.com/repos/thtrieu/darkflow/issues/1190,closed,2020-09-25,2020-11-13,,6d59613802079386a3eaa32bdbfbc15cbed035e0
Adi-19,https://api.github.com/repos/thtrieu/darkflow/pulls/1188,https://api.github.com/repos/thtrieu/darkflow/issues/1188,closed,2020-08-29,2022-12-26,,6bae21e56702fba38e8ad93e0bb8d2662efbb009
taetscher,https://api.github.com/repos/thtrieu/darkflow/pulls/1182,https://api.github.com/repos/thtrieu/darkflow/issues/1182,open,2020-07-17,2020-07-17,,853a29c8404fa80e71618bfab6d3f56da9dbbff3
Avinash987,https://api.github.com/repos/thtrieu/darkflow/pulls/1180,https://api.github.com/repos/thtrieu/darkflow/issues/1180,open,2020-06-13,2020-06-13,,2bca721a0fa5c0dc56401a0defc8ca947ee29e39
desmoteo,https://api.github.com/repos/thtrieu/darkflow/pulls/1168,https://api.github.com/repos/thtrieu/darkflow/issues/1168,open,2020-04-27,2020-04-27,,254c4349bc3411cc72fc73d4b7445a4a952d6a71
mmaithani,https://api.github.com/repos/thtrieu/darkflow/pulls/1139,https://api.github.com/repos/thtrieu/darkflow/issues/1139,closed,2020-02-16,2020-02-16,,207317c9ce57e68d2626ab6d34962e706bee5e50
litesh1998,https://api.github.com/repos/thtrieu/darkflow/pulls/1136,https://api.github.com/repos/thtrieu/darkflow/issues/1136,open,2020-02-08,2020-02-08,,caa7196fe06dfcbbc502cd2e5e51c1d7ce2094b2
dependabot[bot],https://api.github.com/repos/thtrieu/darkflow/pulls/1133,https://api.github.com/repos/thtrieu/darkflow/issues/1133,closed,2020-01-28,2020-09-25,,6ec0808fb1906b2b19acb0853d24d1c890d43f57
ayermolo,https://api.github.com/repos/thtrieu/darkflow/pulls/1122,https://api.github.com/repos/thtrieu/darkflow/issues/1122,open,2020-01-10,2020-01-10,,f211e8250f8c86e5b298e87ca4542581caf1277f
ShrishtiHore,https://api.github.com/repos/thtrieu/darkflow/pulls/1116,https://api.github.com/repos/thtrieu/darkflow/issues/1116,open,2020-01-01,2020-01-01,,e5dabdd1626e6eb475a74de79eff8c278a852ffe
Rishabh-Maheshwari,https://api.github.com/repos/thtrieu/darkflow/pulls/1114,https://api.github.com/repos/thtrieu/darkflow/issues/1114,open,2019-12-31,2019-12-31,,36239cf61c85eb75206c47f34ef792c45e088cf8
dependabot[bot],https://api.github.com/repos/thtrieu/darkflow/pulls/1105,https://api.github.com/repos/thtrieu/darkflow/issues/1105,closed,2019-12-16,2020-01-28,,aa5f83722021053debb515f34ddd914b6bc9e658
JustAEngineer,https://api.github.com/repos/thtrieu/darkflow/pulls/1099,https://api.github.com/repos/thtrieu/darkflow/issues/1099,open,2019-11-26,2019-11-26,,c5a7325de2227e9088dd63642af7ee4fa105c0ad
ShanuDey,https://api.github.com/repos/thtrieu/darkflow/pulls/1098,https://api.github.com/repos/thtrieu/darkflow/issues/1098,open,2019-11-26,2019-12-01,,ded4bcfed4fa8ba68eaaed05f8d31e165fa72385
ShanuDey,https://api.github.com/repos/thtrieu/darkflow/pulls/1096,https://api.github.com/repos/thtrieu/darkflow/issues/1096,closed,2019-11-25,2019-11-26,,47107a7833710617e9055b50016fda7603c48e99
