user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
nentenpizza,https://api.github.com/repos/tucnak/telebot/pulls/661,https://api.github.com/repos/tucnak/telebot/issues/661,closed,2024-03-01,2024-03-05,2024-03-05,b67df6444e0a670e0b97409cec9b99861840f715
Nash-Well,https://api.github.com/repos/tucnak/telebot/pulls/660,https://api.github.com/repos/tucnak/telebot/issues/660,closed,2024-02-27,2024-02-29,2024-02-29,af3194579485ace101dffd7f9f260070c937378a
Nash-Well,https://api.github.com/repos/tucnak/telebot/pulls/659,https://api.github.com/repos/tucnak/telebot/issues/659,closed,2024-02-27,2024-02-29,2024-02-29,5ff8b89b2b25f90e52333b6330e3904f85a99f23
Nash-Well,https://api.github.com/repos/tucnak/telebot/pulls/658,https://api.github.com/repos/tucnak/telebot/issues/658,open,2024-02-27,2024-03-06,,68fe3610ad8c78eb8970563abb8464d146c37f36
shindakioku,https://api.github.com/repos/tucnak/telebot/pulls/657,https://api.github.com/repos/tucnak/telebot/issues/657,open,2024-02-25,2024-02-26,,2526e5951ebfb2faee82bce933acce7a182dc06d
nentenpizza,https://api.github.com/repos/tucnak/telebot/pulls/656,https://api.github.com/repos/tucnak/telebot/issues/656,closed,2024-02-24,2024-02-28,2024-02-28,df250e64a20bf9f6bad900b22b10ab9e217e1252
Nash-Well,https://api.github.com/repos/tucnak/telebot/pulls/655,https://api.github.com/repos/tucnak/telebot/issues/655,closed,2024-02-23,2024-02-27,2024-02-27,32b47a49efa98ee07366c889bd25b7993a716885
Nash-Well,https://api.github.com/repos/tucnak/telebot/pulls/654,https://api.github.com/repos/tucnak/telebot/issues/654,closed,2024-02-20,2024-02-26,,4b7abb081446fcc28d4c7433c9dadcf3f9b9e18b
Nash-Well,https://api.github.com/repos/tucnak/telebot/pulls/652,https://api.github.com/repos/tucnak/telebot/issues/652,closed,2024-02-20,2024-02-28,2024-02-28,4670ccf5a3814b884544b216e73578e686f77e94
70sh1,https://api.github.com/repos/tucnak/telebot/pulls/651,https://api.github.com/repos/tucnak/telebot/issues/651,closed,2024-02-12,2024-02-25,2024-02-25,06bef0a71e3d5fbbd45194a6850575abeaf16ac5
rapour,https://api.github.com/repos/tucnak/telebot/pulls/648,https://api.github.com/repos/tucnak/telebot/issues/648,closed,2024-02-07,2024-02-25,2024-02-25,9c4cc7713e1c842cd2d69ebdfc758d84cb88475b
rapour,https://api.github.com/repos/tucnak/telebot/pulls/647,https://api.github.com/repos/tucnak/telebot/issues/647,closed,2024-02-03,2024-02-25,2024-02-25,49db4f5facef5602e970a7ae53baef1ef9faa9f3
Luoxin,https://api.github.com/repos/tucnak/telebot/pulls/642,https://api.github.com/repos/tucnak/telebot/issues/642,closed,2024-01-12,2024-02-20,2024-02-20,59775c24a044783a06a5dd29ca48fa31a6818afd
davseby,https://api.github.com/repos/tucnak/telebot/pulls/641,https://api.github.com/repos/tucnak/telebot/issues/641,closed,2023-12-28,2024-02-21,2024-02-20,4cce303fbc608b7e8e9c178731c09cfc86120547
beansgum,https://api.github.com/repos/tucnak/telebot/pulls/630,https://api.github.com/repos/tucnak/telebot/issues/630,closed,2023-11-17,2023-11-19,2023-11-19,ef1974c1d807dbe9fec361375a0e7aa3c42ec533
demget,https://api.github.com/repos/tucnak/telebot/pulls/628,https://api.github.com/repos/tucnak/telebot/issues/628,closed,2023-11-02,2023-11-19,2023-11-02,2f38e4952f73956086bce65260eac75def793ae8
odourain,https://api.github.com/repos/tucnak/telebot/pulls/625,https://api.github.com/repos/tucnak/telebot/issues/625,closed,2023-10-25,2024-02-20,,f35065914d04242c6a22f54a9d0dc38152faff36
anaxita,https://api.github.com/repos/tucnak/telebot/pulls/624,https://api.github.com/repos/tucnak/telebot/issues/624,closed,2023-10-23,2023-11-18,,d055d384be67b998b50af43a2a325bed848ffefe
anaxita,https://api.github.com/repos/tucnak/telebot/pulls/623,https://api.github.com/repos/tucnak/telebot/issues/623,closed,2023-10-23,2023-10-23,,bdb551aec72d14170bf5004d20505ad7393de772
MikhailChe,https://api.github.com/repos/tucnak/telebot/pulls/618,https://api.github.com/repos/tucnak/telebot/issues/618,closed,2023-09-11,2023-09-11,,957141f3f8e56bcac546329c3fd70e4a1126f6ac
MetalBlueberry,https://api.github.com/repos/tucnak/telebot/pulls/617,https://api.github.com/repos/tucnak/telebot/issues/617,open,2023-09-10,2023-11-18,,8debe4f390c38e41174b626ba05c9adfd1c1864c
megagosha,https://api.github.com/repos/tucnak/telebot/pulls/615,https://api.github.com/repos/tucnak/telebot/issues/615,closed,2023-09-03,2023-11-19,2023-11-19,3c4d8425f49f757335956ecc17dd022c505657b5
d0ctr,https://api.github.com/repos/tucnak/telebot/pulls/613,https://api.github.com/repos/tucnak/telebot/issues/613,closed,2023-08-20,2024-02-20,,ce055fabeee59cccf2023f80209987a32a2e6693
danilsolovyov,https://api.github.com/repos/tucnak/telebot/pulls/612,https://api.github.com/repos/tucnak/telebot/issues/612,closed,2023-08-18,2023-08-18,,ed1fc62ad3eff507e99f2608e4f92b20b6d93c43
ya-meh,https://api.github.com/repos/tucnak/telebot/pulls/611,https://api.github.com/repos/tucnak/telebot/issues/611,closed,2023-08-06,2023-11-18,,33577627c0213f8fa91f9e420878b25d669b0aea
rusq,https://api.github.com/repos/tucnak/telebot/pulls/610,https://api.github.com/repos/tucnak/telebot/issues/610,closed,2023-07-20,2023-07-21,,760004925874c765ae7414ae05b1f8130708d0b2
setval,https://api.github.com/repos/tucnak/telebot/pulls/606,https://api.github.com/repos/tucnak/telebot/issues/606,closed,2023-06-08,2023-11-19,2023-11-19,fb8ce2a4b18eeee05f5c23e74c5430ed755c1219
setval,https://api.github.com/repos/tucnak/telebot/pulls/605,https://api.github.com/repos/tucnak/telebot/issues/605,closed,2023-06-06,2023-06-06,2023-06-06,fbadf8f64ecf21e032b364aaed0bd754018599f9
Akionka,https://api.github.com/repos/tucnak/telebot/pulls/601,https://api.github.com/repos/tucnak/telebot/issues/601,closed,2023-05-12,2023-05-14,2023-05-14,de01d4553e5d5635fc19e8adfc724ceca53005c8
istudyatuni,https://api.github.com/repos/tucnak/telebot/pulls/600,https://api.github.com/repos/tucnak/telebot/issues/600,closed,2023-05-02,2023-07-01,,16cee108902dde116048c33f6d8e7fc8d43dafe1
grkamil,https://api.github.com/repos/tucnak/telebot/pulls/598,https://api.github.com/repos/tucnak/telebot/issues/598,closed,2023-04-28,2023-06-07,2023-06-07,68401f0e703b11a623dab4cf26f278d462be31c9
AH-dark,https://api.github.com/repos/tucnak/telebot/pulls/597,https://api.github.com/repos/tucnak/telebot/issues/597,closed,2023-04-24,2023-06-07,2023-06-07,092f7e4a80c79851aa43718b21262b4d0f5bd1e7
MikhailChe,https://api.github.com/repos/tucnak/telebot/pulls/589,https://api.github.com/repos/tucnak/telebot/issues/589,closed,2023-04-06,2023-11-20,2023-11-20,e6590d806a0b3d94a113cb3ce4813f0b8f751aae
mkuznets,https://api.github.com/repos/tucnak/telebot/pulls/588,https://api.github.com/repos/tucnak/telebot/issues/588,closed,2023-04-03,2023-11-02,2023-11-02,bb76a9a642cca4bdc251168045b7b738a76368ca
vlad-lukyanov,https://api.github.com/repos/tucnak/telebot/pulls/579,https://api.github.com/repos/tucnak/telebot/issues/579,closed,2023-02-05,2023-11-19,2023-11-19,270e53bb90953d220a9128bb585b4f79eadd2a00
zry98,https://api.github.com/repos/tucnak/telebot/pulls/578,https://api.github.com/repos/tucnak/telebot/issues/578,closed,2023-01-20,2023-11-18,,9926d1994d7190aedaef0359276022b39935c0cd
riprsa,https://api.github.com/repos/tucnak/telebot/pulls/572,https://api.github.com/repos/tucnak/telebot/issues/572,closed,2022-12-07,2022-12-30,2022-12-30,8a14d8a96bb3a1c10e937a673fccd06236f651cc
awohsen,https://api.github.com/repos/tucnak/telebot/pulls/570,https://api.github.com/repos/tucnak/telebot/issues/570,closed,2022-11-21,2023-11-21,2023-11-19,4e31cc6eace1af6f5b45be11903c4522733cdce2
opmega,https://api.github.com/repos/tucnak/telebot/pulls/568,https://api.github.com/repos/tucnak/telebot/issues/568,closed,2022-11-12,2024-03-03,2024-03-03,e4f891ba6c1a920721b1661e08b425e28578c2db
rieneuf,https://api.github.com/repos/tucnak/telebot/pulls/567,https://api.github.com/repos/tucnak/telebot/issues/567,closed,2022-11-10,2023-06-07,,a83d417e2285c48251e83bde00efc0b88e2e2829
rieneuf,https://api.github.com/repos/tucnak/telebot/pulls/566,https://api.github.com/repos/tucnak/telebot/issues/566,closed,2022-11-10,2022-11-10,,764544f43c7da71c2b69bfab97845e7c82363093
osinniy,https://api.github.com/repos/tucnak/telebot/pulls/560,https://api.github.com/repos/tucnak/telebot/issues/560,closed,2022-10-12,2023-03-18,2023-03-09,fbd35f210343604adb89e96859a9639d9366e966
caalberts,https://api.github.com/repos/tucnak/telebot/pulls/558,https://api.github.com/repos/tucnak/telebot/issues/558,open,2022-10-11,2024-03-05,,15d6195dee5db25dd8a0297ad7fd764512a82208
Tougee,https://api.github.com/repos/tucnak/telebot/pulls/557,https://api.github.com/repos/tucnak/telebot/issues/557,closed,2022-10-08,2022-10-08,,ab44b56e5864182add6f43de3ac579431ef6fd12
arshamalh,https://api.github.com/repos/tucnak/telebot/pulls/552,https://api.github.com/repos/tucnak/telebot/issues/552,closed,2022-09-16,2022-10-01,,5caaec76d740bebc040e06aa75bf401ca8840ed7
Googlom,https://api.github.com/repos/tucnak/telebot/pulls/550,https://api.github.com/repos/tucnak/telebot/issues/550,closed,2022-08-30,2022-10-04,2022-10-04,c7959ca48ca3ac41c807d3664c6bf84edc680a87
Googlom,https://api.github.com/repos/tucnak/telebot/pulls/546,https://api.github.com/repos/tucnak/telebot/issues/546,closed,2022-08-22,2022-10-04,2022-10-03,d4c80e6239454589ee3ec24cb0423c43a3e7c914
zry98,https://api.github.com/repos/tucnak/telebot/pulls/543,https://api.github.com/repos/tucnak/telebot/issues/543,closed,2022-08-18,2022-10-04,2022-10-04,d782b53c7ab34ae0f5715f067b422848a518a2d2
Ja7ad,https://api.github.com/repos/tucnak/telebot/pulls/539,https://api.github.com/repos/tucnak/telebot/issues/539,closed,2022-07-30,2023-11-18,,6cd3fdd04521e560bd2b4a4eaaec9bf4492140ec
nicolasassi,https://api.github.com/repos/tucnak/telebot/pulls/535,https://api.github.com/repos/tucnak/telebot/issues/535,closed,2022-07-03,2022-07-18,2022-07-18,fa987764b57733cffb3ac4f42605fb0dc3b0a557
beshenkaD,https://api.github.com/repos/tucnak/telebot/pulls/533,https://api.github.com/repos/tucnak/telebot/issues/533,closed,2022-06-27,2022-07-01,2022-07-01,fa8395ef3f35d9d8e3450c552fc59ed598bef5b7
realitycheck,https://api.github.com/repos/tucnak/telebot/pulls/532,https://api.github.com/repos/tucnak/telebot/issues/532,closed,2022-06-24,2022-07-27,2022-07-27,11cbaeaf0e8b1c1bbd4b2a42088ebdcb56cf5ecf
Luoxin,https://api.github.com/repos/tucnak/telebot/pulls/531,https://api.github.com/repos/tucnak/telebot/issues/531,closed,2022-06-22,2022-07-27,2022-07-27,937288568d60643dc66b8633f4b45fd9ca402820
Xarakiri,https://api.github.com/repos/tucnak/telebot/pulls/528,https://api.github.com/repos/tucnak/telebot/issues/528,closed,2022-05-30,2022-05-31,2022-05-31,4609e62629fa5217c28de98013d742d31ea2944c
bezumnui,https://api.github.com/repos/tucnak/telebot/pulls/526,https://api.github.com/repos/tucnak/telebot/issues/526,closed,2022-05-26,2023-11-18,,d54e8782ac2517300eb32bafc82a02dce79ece34
star-39,https://api.github.com/repos/tucnak/telebot/pulls/520,https://api.github.com/repos/tucnak/telebot/issues/520,closed,2022-05-09,2022-07-01,2022-07-01,7f660b85347625d392a2355014687c069ad07eca
dzen-it,https://api.github.com/repos/tucnak/telebot/pulls/509,https://api.github.com/repos/tucnak/telebot/issues/509,closed,2022-04-17,2022-10-04,2022-10-04,352b5c89f13da7d95f69e49d21556f50436a6707
Qusic,https://api.github.com/repos/tucnak/telebot/pulls/507,https://api.github.com/repos/tucnak/telebot/issues/507,closed,2022-04-12,2022-07-21,2022-07-18,5d0644e314effa6a6e21953c6c6ade6f5a70374b
Qusic,https://api.github.com/repos/tucnak/telebot/pulls/506,https://api.github.com/repos/tucnak/telebot/issues/506,closed,2022-04-12,2022-09-30,,6b7f05dc8db7427c36eb2dffe9068eef0c9f0ba5
robotomize,https://api.github.com/repos/tucnak/telebot/pulls/504,https://api.github.com/repos/tucnak/telebot/issues/504,closed,2022-04-03,2023-11-19,,f56522d76d7d53449fd79288bd7c66d0ede7132f
LightningTipBot,https://api.github.com/repos/tucnak/telebot/pulls/503,https://api.github.com/repos/tucnak/telebot/issues/503,closed,2022-03-30,2023-11-18,,f02478b1d718e5eb598bd7cd82cd28594521c802
dzyanis,https://api.github.com/repos/tucnak/telebot/pulls/500,https://api.github.com/repos/tucnak/telebot/issues/500,open,2022-03-19,2024-02-20,,cec9b6bb6bc04b8fc53c0982f6c1582bc27aa473
riprsa,https://api.github.com/repos/tucnak/telebot/pulls/498,https://api.github.com/repos/tucnak/telebot/issues/498,closed,2022-03-15,2022-03-15,2022-03-15,4b2f8743d1d8fd5b14eb78518b2ececd34edb463
riprsa,https://api.github.com/repos/tucnak/telebot/pulls/497,https://api.github.com/repos/tucnak/telebot/issues/497,closed,2022-03-14,2022-03-15,,2c4ee59193302665aafb18eb3db4c3f59865c1a1
riprsa,https://api.github.com/repos/tucnak/telebot/pulls/496,https://api.github.com/repos/tucnak/telebot/issues/496,closed,2022-03-14,2022-03-14,,b8fa066fe3509c7cf6be3aeae1e866be535267e9
ksusonic,https://api.github.com/repos/tucnak/telebot/pulls/495,https://api.github.com/repos/tucnak/telebot/issues/495,closed,2022-03-13,2022-03-19,,9422bc49c0deea08759fc1111805fdb4a63aed67
treapster,https://api.github.com/repos/tucnak/telebot/pulls/491,https://api.github.com/repos/tucnak/telebot/issues/491,closed,2022-02-26,2023-11-18,,807c3194b0f4673d6afa36f8bda55c8efbe17e03
