user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
dependabot[bot],https://api.github.com/repos/typestack/class-transformer/pulls/1687,https://api.github.com/repos/typestack/class-transformer/issues/1687,open,2024-02-26,2024-02-26,,e5d23d40aded27e5cc85c42f8888407fb86d5a76
sandratatarevicova,https://api.github.com/repos/typestack/class-transformer/pulls/1686,https://api.github.com/repos/typestack/class-transformer/issues/1686,open,2024-02-21,2024-02-21,,10287808efa5ed9a146917c9d47d1c90a2670762
dependabot[bot],https://api.github.com/repos/typestack/class-transformer/pulls/1685,https://api.github.com/repos/typestack/class-transformer/issues/1685,open,2024-02-19,2024-02-19,,e87668217a986153112c1fcd43deecb7469e996c
nesro,https://api.github.com/repos/typestack/class-transformer/pulls/1683,https://api.github.com/repos/typestack/class-transformer/issues/1683,open,2024-02-14,2024-02-14,,b2874161c9871b2ca68863e396d28e5e9bbab074
dependabot[bot],https://api.github.com/repos/typestack/class-transformer/pulls/1681,https://api.github.com/repos/typestack/class-transformer/issues/1681,closed,2024-02-14,2024-02-19,,650214105508ea87e4a183b46929633a1876d8c7
temeddix,https://api.github.com/repos/typestack/class-transformer/pulls/1680,https://api.github.com/repos/typestack/class-transformer/issues/1680,closed,2024-02-12,2024-02-12,,36cdcaa9bf787b22e5673aa367d6bfdc9ae91125
dummer3,https://api.github.com/repos/typestack/class-transformer/pulls/1679,https://api.github.com/repos/typestack/class-transformer/issues/1679,open,2024-02-11,2024-02-11,,e57a827348c13f33da5a984c16bef7f7061aa069
dependabot[bot],https://api.github.com/repos/typestack/class-transformer/pulls/1678,https://api.github.com/repos/typestack/class-transformer/issues/1678,open,2024-02-06,2024-02-06,,35f434411665147587f16f82f58b0666bd845376
dependabot[bot],https://api.github.com/repos/typestack/class-transformer/pulls/1677,https://api.github.com/repos/typestack/class-transformer/issues/1677,open,2024-02-05,2024-02-05,,83d8d39581f575010b1cb1944577518ac4ecfad3
dependabot[bot],https://api.github.com/repos/typestack/class-transformer/pulls/1675,https://api.github.com/repos/typestack/class-transformer/issues/1675,closed,2024-01-30,2024-02-06,,290b230294c6ac3e49fb606666c0448288b51378
dependabot[bot],https://api.github.com/repos/typestack/class-transformer/pulls/1673,https://api.github.com/repos/typestack/class-transformer/issues/1673,closed,2024-01-23,2024-03-01,,1c8e3a7335cd4248ceaee6f373a601536cdffc5f
dependabot[bot],https://api.github.com/repos/typestack/class-transformer/pulls/1671,https://api.github.com/repos/typestack/class-transformer/issues/1671,closed,2024-01-18,2024-03-07,,647a60fb2ca4ecea0b44acb95f1d8086fcf215cd
dependabot[bot],https://api.github.com/repos/typestack/class-transformer/pulls/1670,https://api.github.com/repos/typestack/class-transformer/issues/1670,closed,2024-01-17,2024-02-18,,4207edfd081fdac6fc0cb0cc37c93f1305efb6a1
dependabot[bot],https://api.github.com/repos/typestack/class-transformer/pulls/1669,https://api.github.com/repos/typestack/class-transformer/issues/1669,closed,2024-01-16,2024-02-23,,96bf61f878aa4a29d9aa59164cdb9dd6b28d1b2c
dependabot[bot],https://api.github.com/repos/typestack/class-transformer/pulls/1668,https://api.github.com/repos/typestack/class-transformer/issues/1668,closed,2024-01-15,2024-02-14,,1860603216beef5d574b13251ac809382600e68a
dependabot[bot],https://api.github.com/repos/typestack/class-transformer/pulls/1667,https://api.github.com/repos/typestack/class-transformer/issues/1667,closed,2024-01-15,2024-02-17,,f57e4a9b2f755d016f2ed46c60c5cd012381f422
dependabot[bot],https://api.github.com/repos/typestack/class-transformer/pulls/1666,https://api.github.com/repos/typestack/class-transformer/issues/1666,closed,2024-01-10,2024-02-15,,395611ef894a1c3300312f7692314e675eb2a98d
dependabot[bot],https://api.github.com/repos/typestack/class-transformer/pulls/1665,https://api.github.com/repos/typestack/class-transformer/issues/1665,closed,2024-01-09,2024-02-16,,d35fee17f3edce2a818d4341f022e6a0d7436d49
dependabot[bot],https://api.github.com/repos/typestack/class-transformer/pulls/1664,https://api.github.com/repos/typestack/class-transformer/issues/1664,closed,2024-01-08,2024-02-09,,bad4dfe811304428c205e21fb4f75dda8699a8f4
dependabot[bot],https://api.github.com/repos/typestack/class-transformer/pulls/1663,https://api.github.com/repos/typestack/class-transformer/issues/1663,closed,2024-01-02,2024-02-08,,1b225f702577cd6b690cef12a26582618e89bfbd
dependabot[bot],https://api.github.com/repos/typestack/class-transformer/pulls/1662,https://api.github.com/repos/typestack/class-transformer/issues/1662,closed,2024-01-02,2024-02-10,,8002ab551f733e3ca50f66cc50ee4e3a670484bd
dependabot[bot],https://api.github.com/repos/typestack/class-transformer/pulls/1661,https://api.github.com/repos/typestack/class-transformer/issues/1661,closed,2023-12-26,2024-02-02,,c64ac7f5b2767112331dbfddbef4c3e034adf0ea
dependabot[bot],https://api.github.com/repos/typestack/class-transformer/pulls/1660,https://api.github.com/repos/typestack/class-transformer/issues/1660,closed,2023-12-19,2024-01-26,,4248052af687aafff71ab5981eeaad04254a2d80
