user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1355,https://api.github.com/repos/typestack/routing-controllers/issues/1355,closed,2024-03-01,2024-03-01,2024-03-01,2a5799c0fad21db91e89e0edbe25f8bf11881b61
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1354,https://api.github.com/repos/typestack/routing-controllers/issues/1354,closed,2024-02-27,2024-02-27,2024-02-27,19885dbe688e29351db5d080a215a7fdfc23d304
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1353,https://api.github.com/repos/typestack/routing-controllers/issues/1353,closed,2024-02-26,2024-02-26,2024-02-26,b8b19151d84ae91b2ec8b0cfbc5bfda82f7dc637
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1351,https://api.github.com/repos/typestack/routing-controllers/issues/1351,closed,2024-02-23,2024-02-23,2024-02-23,a1f19ee76fc6d4c2ac150643f7d4c370d17ff747
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1350,https://api.github.com/repos/typestack/routing-controllers/issues/1350,closed,2024-02-19,2024-02-19,2024-02-19,a13c4be138d4b43c6ec75e1ed9db40b8c877b1fc
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1349,https://api.github.com/repos/typestack/routing-controllers/issues/1349,closed,2024-02-14,2024-02-14,2024-02-14,09da9beaefc14bf9d45c53e99f7d8386085db7bd
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1348,https://api.github.com/repos/typestack/routing-controllers/issues/1348,closed,2024-02-14,2024-02-14,2024-02-14,7b991f312f33c7b5c52b566f31fc1d2b780439e5
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1347,https://api.github.com/repos/typestack/routing-controllers/issues/1347,closed,2024-02-13,2024-02-13,2024-02-13,4d57eb0ef1bd27e881ad6b2111a7380c9612a2b3
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1344,https://api.github.com/repos/typestack/routing-controllers/issues/1344,closed,2024-02-06,2024-02-13,,7e4a4f2ce400b48a1db7be90e9de00eba7e5e82f
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1343,https://api.github.com/repos/typestack/routing-controllers/issues/1343,closed,2024-02-06,2024-02-06,2024-02-06,e937dd2cc064a958b72643991e7aed0595eb9dc2
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1342,https://api.github.com/repos/typestack/routing-controllers/issues/1342,open,2024-02-05,2024-03-01,,d183cc06aa0470542e194d43702428440a558d8b
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1341,https://api.github.com/repos/typestack/routing-controllers/issues/1341,closed,2024-02-02,2024-03-04,2024-02-02,17ca79888911a629336c6b16960c99332d0622bc
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1340,https://api.github.com/repos/typestack/routing-controllers/issues/1340,closed,2024-02-02,2024-03-04,2024-02-02,a2426b34f6fe74700685da4e43313653d0d4a9bf
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1339,https://api.github.com/repos/typestack/routing-controllers/issues/1339,closed,2024-01-31,2024-03-02,2024-01-31,3472e686ca7a62faf6360f844899092158823aed
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1338,https://api.github.com/repos/typestack/routing-controllers/issues/1338,closed,2024-01-30,2024-02-06,,6383a1431f548e92c223eec1000504203c14b50a
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1337,https://api.github.com/repos/typestack/routing-controllers/issues/1337,closed,2024-01-30,2024-03-01,2024-01-30,02ac005d95136d30406d184cbd2cc5f2ca9f9709
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1336,https://api.github.com/repos/typestack/routing-controllers/issues/1336,closed,2024-01-29,2024-02-29,2024-01-29,7869b6aaad2e20021af5b500d8f381455b414cb6
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1335,https://api.github.com/repos/typestack/routing-controllers/issues/1335,closed,2024-01-26,2024-02-26,2024-01-26,c38eef3a49c7026014f52cf7057c2679eadc7164
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1334,https://api.github.com/repos/typestack/routing-controllers/issues/1334,closed,2024-01-26,2024-02-26,2024-01-26,e4493a63f973893e6664ebfd2e51ccb8eaf7d877
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1333,https://api.github.com/repos/typestack/routing-controllers/issues/1333,closed,2024-01-25,2024-02-25,2024-01-25,87570954e2903fef2f4e83ce3907716a4b53d797
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1332,https://api.github.com/repos/typestack/routing-controllers/issues/1332,closed,2024-01-25,2024-02-26,,b1fe7ba87115e9fc1469cc65f860bd9810491160
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1331,https://api.github.com/repos/typestack/routing-controllers/issues/1331,closed,2024-01-23,2024-03-01,,8fd7c446a5b9b8638d01c79fb7c85332f681e432
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1330,https://api.github.com/repos/typestack/routing-controllers/issues/1330,closed,2024-01-23,2024-02-23,2024-01-23,5effd92c5c56850d98d72fad692a547578da93f4
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1327,https://api.github.com/repos/typestack/routing-controllers/issues/1327,closed,2024-01-18,2024-02-05,,d5b55852120d7db5994cb0aefb7a40eee037af80
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1326,https://api.github.com/repos/typestack/routing-controllers/issues/1326,closed,2024-01-17,2024-02-18,,404138aa4a98bbd249af76fbf46a52099c6b6757
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1325,https://api.github.com/repos/typestack/routing-controllers/issues/1325,closed,2024-01-16,2024-02-23,,33f5551e9df365297bd221fa4e2dd84209bd09a9
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1324,https://api.github.com/repos/typestack/routing-controllers/issues/1324,closed,2024-01-15,2024-02-15,2024-01-15,a9309461d5afb6997388c4e433edfa9c8f1ce87f
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1323,https://api.github.com/repos/typestack/routing-controllers/issues/1323,closed,2024-01-15,2024-02-15,2024-01-15,e578fea54a22c6276fb75c1731b25c5ba3e76647
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1322,https://api.github.com/repos/typestack/routing-controllers/issues/1322,closed,2024-01-15,2024-02-17,,a16dceb2181ea7f6037d9108dbeeb2d79d772990
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1321,https://api.github.com/repos/typestack/routing-controllers/issues/1321,closed,2024-01-10,2024-02-10,2024-01-10,d5da8c64314cd2ab31dfa070a4d0a976b6ccd320
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1320,https://api.github.com/repos/typestack/routing-controllers/issues/1320,closed,2024-01-10,2024-02-10,2024-01-10,ba1d7a2a1b6d1fb9a68cb77a167669ece8f59a3d
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1319,https://api.github.com/repos/typestack/routing-controllers/issues/1319,closed,2024-01-09,2024-02-16,,b4cfb87733f98f2c376c7926b10d10da4872513c
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1318,https://api.github.com/repos/typestack/routing-controllers/issues/1318,closed,2024-01-08,2024-02-09,,bf9c6ad96191f8619e66bb882d83710a47c87d30
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1317,https://api.github.com/repos/typestack/routing-controllers/issues/1317,closed,2024-01-08,2024-02-08,2024-01-08,d16354b8cfa9950bf02fcdf54081517e7c1f879e
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1316,https://api.github.com/repos/typestack/routing-controllers/issues/1316,closed,2024-01-04,2024-02-04,2024-01-04,a50e41effba21022bfed6759435e600ec182f6a5
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1315,https://api.github.com/repos/typestack/routing-controllers/issues/1315,closed,2024-01-02,2024-02-02,2024-01-02,257b944f758258a92491bf7d7cafeb9cc8339e1e
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1314,https://api.github.com/repos/typestack/routing-controllers/issues/1314,closed,2024-01-02,2024-02-08,,d8ae24da7f70cf573e65ad763b946f824118e702
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1313,https://api.github.com/repos/typestack/routing-controllers/issues/1313,closed,2024-01-01,2024-02-01,2024-01-01,21310813bb9b378511253439ed39b6e14fb27617
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1312,https://api.github.com/repos/typestack/routing-controllers/issues/1312,closed,2023-12-27,2024-01-27,2023-12-27,0eb672bf266188f14a89214234b9117186934d9c
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1311,https://api.github.com/repos/typestack/routing-controllers/issues/1311,closed,2023-12-26,2024-02-02,,d28093714b61c973bb5513e077b1458e8d564104
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1310,https://api.github.com/repos/typestack/routing-controllers/issues/1310,closed,2023-12-19,2024-01-26,,c8d7c0ae20371f2d1f29c0e2bdb3dcd2b77107ad
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1309,https://api.github.com/repos/typestack/routing-controllers/issues/1309,closed,2023-12-18,2024-01-18,2023-12-18,3b33d2c2ed5fe14afb0495ed4188db30d36b291a
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1308,https://api.github.com/repos/typestack/routing-controllers/issues/1308,closed,2023-12-15,2024-01-15,2023-12-15,06716c7140d9ae25d1a518c46b3f6398afc6e16f
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1306,https://api.github.com/repos/typestack/routing-controllers/issues/1306,closed,2023-12-14,2024-01-14,2023-12-14,ea97b9769aa60a3e61ea3241e19ec79301125642
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1305,https://api.github.com/repos/typestack/routing-controllers/issues/1305,closed,2023-12-12,2024-01-19,,d5d4c5524692e01ee3b669d013561e3b688783fd
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1304,https://api.github.com/repos/typestack/routing-controllers/issues/1304,closed,2023-12-11,2024-01-11,2023-12-11,28870f942d9f17d14874ef628c01a07dde893258
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1303,https://api.github.com/repos/typestack/routing-controllers/issues/1303,closed,2023-12-11,2024-02-15,,ee231f11c3832cdac695765d286943a543e8a41f
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1302,https://api.github.com/repos/typestack/routing-controllers/issues/1302,closed,2023-12-11,2024-01-11,2023-12-11,307cc95642fda35832424b933425ea09e4be02ea
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1300,https://api.github.com/repos/typestack/routing-controllers/issues/1300,closed,2023-12-08,2024-01-08,2023-12-08,0284dfd67fe628266153bb4d8cc6035219da3e78
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1299,https://api.github.com/repos/typestack/routing-controllers/issues/1299,closed,2023-12-07,2024-01-07,2023-12-07,c8bf00f15c34dc2b6a53515367e43f5cdd6cc76b
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1297,https://api.github.com/repos/typestack/routing-controllers/issues/1297,closed,2023-12-06,2024-01-06,2023-12-06,81ddef5452b1d816d4c59d3173a8692d876994f8
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1296,https://api.github.com/repos/typestack/routing-controllers/issues/1296,closed,2023-12-05,2024-01-12,,6e7c695fdfa69f93dc63a428a2e97056b4ab4901
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1295,https://api.github.com/repos/typestack/routing-controllers/issues/1295,closed,2023-12-05,2024-01-05,2023-12-05,365c97921b3884379bf36c4f54710b52f0317adc
mukti-byteridge,https://api.github.com/repos/typestack/routing-controllers/pulls/1294,https://api.github.com/repos/typestack/routing-controllers/issues/1294,closed,2023-12-05,2024-01-05,,1271aeaed5518ac38052c622c3fe961ad2ac3d09
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1293,https://api.github.com/repos/typestack/routing-controllers/issues/1293,closed,2023-12-04,2024-01-04,2023-12-04,bc36f61aed2ac6750533d41bee7cbea33a5baf05
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1292,https://api.github.com/repos/typestack/routing-controllers/issues/1292,closed,2023-12-04,2024-01-04,2023-12-04,e54076b328b277ed645c1bd3d87074036b58ac07
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1291,https://api.github.com/repos/typestack/routing-controllers/issues/1291,closed,2023-11-28,2024-01-05,,da7ef0fbf902354529e52655d0e3919bce9494cd
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1290,https://api.github.com/repos/typestack/routing-controllers/issues/1290,closed,2023-11-22,2023-12-23,2023-11-22,0acd84ea36c1844450c0bf66e749be38bbfad507
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1289,https://api.github.com/repos/typestack/routing-controllers/issues/1289,closed,2023-11-22,2023-12-23,2023-11-22,92da019db57d68d2bf628d35c6cc09f68d28fa96
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1288,https://api.github.com/repos/typestack/routing-controllers/issues/1288,closed,2023-11-21,2023-12-22,2023-11-21,afc9d8b4adb434b465e334e00828ede4a20630ed
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1287,https://api.github.com/repos/typestack/routing-controllers/issues/1287,closed,2023-11-21,2023-12-22,2023-11-21,9c9ec321a27ba4cb9ee7844a01974121f3c64ab3
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1286,https://api.github.com/repos/typestack/routing-controllers/issues/1286,closed,2023-11-21,2023-12-29,,863180663b33f4791a71818a0e24094980a89724
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1285,https://api.github.com/repos/typestack/routing-controllers/issues/1285,closed,2023-11-20,2023-12-21,2023-11-20,e0fab249eb82f60428b7a0731bf0b20dd5d61ca4
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1284,https://api.github.com/repos/typestack/routing-controllers/issues/1284,closed,2023-11-15,2023-12-16,2023-11-15,783cb4063eb0bf247666aaf316b4a21ddea1749f
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1283,https://api.github.com/repos/typestack/routing-controllers/issues/1283,closed,2023-11-14,2023-12-22,,264dd31e90f3c872142ad5ab8791fcd7e5e3751e
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1282,https://api.github.com/repos/typestack/routing-controllers/issues/1282,closed,2023-11-13,2023-12-14,2023-11-13,79324f6364d8384cb38e8a2e4e080112e806f4bf
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1281,https://api.github.com/repos/typestack/routing-controllers/issues/1281,closed,2023-11-13,2024-01-11,,8e59dbe32bc96c0162e312ca790dd6fd3caee496
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1280,https://api.github.com/repos/typestack/routing-controllers/issues/1280,closed,2023-11-09,2023-12-10,2023-11-09,e783481e8405953103407fd19794a8e3a4ec18cf
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1279,https://api.github.com/repos/typestack/routing-controllers/issues/1279,closed,2023-11-09,2023-12-10,2023-11-09,7dfe82a59b51e229b872a8122d1791d821f61a81
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1278,https://api.github.com/repos/typestack/routing-controllers/issues/1278,closed,2023-11-09,2023-12-10,2023-11-09,5e0631f9dd2775f822c5b9268a6da58b5315f106
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1277,https://api.github.com/repos/typestack/routing-controllers/issues/1277,closed,2023-11-08,2023-12-09,2023-11-08,e94399505c9d548bfef1822ed4e9b4f10e7efea4
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1276,https://api.github.com/repos/typestack/routing-controllers/issues/1276,closed,2023-11-08,2023-12-09,2023-11-08,c90708e538e8b3519543a0f9b5a661f604d8ab5a
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1275,https://api.github.com/repos/typestack/routing-controllers/issues/1275,closed,2023-11-07,2023-12-08,2023-11-07,c173b3473d9b166f82039a65ae2a5c18bbbe7eca
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1274,https://api.github.com/repos/typestack/routing-controllers/issues/1274,closed,2023-11-07,2023-12-08,2023-11-07,45ba86ee173f4e2337ba60bbcfe56360f0d787d9
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1273,https://api.github.com/repos/typestack/routing-controllers/issues/1273,closed,2023-11-07,2023-12-08,2023-11-07,1538c7a94f5d24617bb709be4d021276f1ca198b
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1272,https://api.github.com/repos/typestack/routing-controllers/issues/1272,closed,2023-11-07,2023-12-15,,91e5966c67764f7baee12c36ff88ef32abab70d3
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1271,https://api.github.com/repos/typestack/routing-controllers/issues/1271,closed,2023-11-06,2023-12-07,2023-11-06,3cd72e9d8e67a0c0a1fb2829548ad067f5300b8e
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1270,https://api.github.com/repos/typestack/routing-controllers/issues/1270,closed,2023-10-31,2023-12-01,2023-10-31,2b54a742f2946bab5cc8b57334a06b198643dad2
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1269,https://api.github.com/repos/typestack/routing-controllers/issues/1269,closed,2023-10-31,2023-12-08,,046be50000ca090d88d64a5f35e7d4012ddb4595
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1268,https://api.github.com/repos/typestack/routing-controllers/issues/1268,closed,2023-10-27,2023-11-27,2023-10-27,e49ca49296c75e6f91cb6890da0c1a84ce516b02
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1267,https://api.github.com/repos/typestack/routing-controllers/issues/1267,closed,2023-10-27,2023-11-27,2023-10-27,f8a5dd20620a5dea7abb62dbb075ab49255fa587
Yoowatney,https://api.github.com/repos/typestack/routing-controllers/pulls/1266,https://api.github.com/repos/typestack/routing-controllers/issues/1266,closed,2023-10-27,2023-11-27,2023-10-27,6ad93a08d186c85af0ee60b572735d29c6632a74
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1265,https://api.github.com/repos/typestack/routing-controllers/issues/1265,closed,2023-10-24,2023-12-01,,97093611a90edcb9968d37edadd06e034540629d
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1264,https://api.github.com/repos/typestack/routing-controllers/issues/1264,closed,2023-10-23,2023-11-23,2023-10-23,ff0eca36095aa858dd8e841a72e603e1a3fcdb20
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1263,https://api.github.com/repos/typestack/routing-controllers/issues/1263,closed,2023-10-23,2023-11-23,2023-10-23,d2c704505fd98ebf148c8d19d27d6a7dc982e7ba
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1262,https://api.github.com/repos/typestack/routing-controllers/issues/1262,closed,2023-10-20,2023-11-20,2023-10-20,1e4df8cb553394f50a296be9cd1f9e291feb05ee
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1261,https://api.github.com/repos/typestack/routing-controllers/issues/1261,closed,2023-10-20,2023-11-20,2023-10-20,2d55eb1fcdc9c7af776b5551acd40d902b4d2de5
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1260,https://api.github.com/repos/typestack/routing-controllers/issues/1260,closed,2023-10-20,2023-11-20,2023-10-20,22a598102dfc0fe802ba18cbbd6b93facb5def37
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1259,https://api.github.com/repos/typestack/routing-controllers/issues/1259,closed,2023-10-19,2023-11-19,2023-10-19,2c26ce2572d9abb263a40509e805bb062558d945
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1258,https://api.github.com/repos/typestack/routing-controllers/issues/1258,closed,2023-10-19,2023-11-19,2023-10-19,d39a2c40961d6ea2e8a85cc89544fece04849abe
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1257,https://api.github.com/repos/typestack/routing-controllers/issues/1257,closed,2023-10-18,2023-11-18,2023-10-18,5d045c7a550b1fbb4eca5604b0e0b7d7ffb9935a
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1256,https://api.github.com/repos/typestack/routing-controllers/issues/1256,closed,2023-10-18,2023-11-18,2023-10-18,48cb7b521848c955b562b0e202cdddc06d62a722
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1255,https://api.github.com/repos/typestack/routing-controllers/issues/1255,closed,2023-10-18,2023-11-18,2023-10-18,84a0c5f2ab831daaf364f4b5afce13c750ba5f41
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1254,https://api.github.com/repos/typestack/routing-controllers/issues/1254,closed,2023-10-17,2023-11-24,,64ef10b41c755178956e989580184081f3c4ccab
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1253,https://api.github.com/repos/typestack/routing-controllers/issues/1253,closed,2023-10-16,2023-11-16,2023-10-16,aceb820a60d42335d6c8502d9443102cdf20055d
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1251,https://api.github.com/repos/typestack/routing-controllers/issues/1251,closed,2023-10-13,2023-11-13,2023-10-13,e7dd30a7f53e2f5d1a014a5445e846096f83b03a
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1250,https://api.github.com/repos/typestack/routing-controllers/issues/1250,closed,2023-10-11,2023-11-11,2023-10-11,4fbc1655c7f7e667985feaf2d3044185addec068
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1249,https://api.github.com/repos/typestack/routing-controllers/issues/1249,closed,2023-10-10,2023-11-17,,e2ee89d55839511f068d00bbd66d8c182b6f2837
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1248,https://api.github.com/repos/typestack/routing-controllers/issues/1248,closed,2023-10-09,2023-11-09,2023-10-09,9d7a09fca5f09c78aca308b2f665dd06d6af4d37
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1247,https://api.github.com/repos/typestack/routing-controllers/issues/1247,closed,2023-10-03,2023-11-10,,e0113c828cc3ac8078b5467d54ef37afffb4e7b8
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1246,https://api.github.com/repos/typestack/routing-controllers/issues/1246,closed,2023-10-02,2023-11-02,2023-10-02,099f7805d5a581f33f22181922f7d24947fe0005
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1242,https://api.github.com/repos/typestack/routing-controllers/issues/1242,closed,2023-09-29,2023-10-30,2023-09-29,132e43d904a467674fc15d93fe48b9c8584309bf
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1240,https://api.github.com/repos/typestack/routing-controllers/issues/1240,closed,2023-09-28,2023-10-29,2023-09-28,def1bf3feeb78abc72b15a78576dadc66d8cb608
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1239,https://api.github.com/repos/typestack/routing-controllers/issues/1239,closed,2023-09-28,2023-10-29,2023-09-28,f7115efa6b9709adf98d1177ce8fbe53e4b39938
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1238,https://api.github.com/repos/typestack/routing-controllers/issues/1238,closed,2023-09-27,2023-10-28,2023-09-27,6f5212de9814aec7f7231ba2e5b4692e243ac62f
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1237,https://api.github.com/repos/typestack/routing-controllers/issues/1237,closed,2023-09-27,2023-10-28,2023-09-27,93fe6b11946c211058403518137e06f7e5fd9df0
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1236,https://api.github.com/repos/typestack/routing-controllers/issues/1236,closed,2023-09-26,2023-10-27,2023-09-26,95f152ed27940a96029f58695fd896411b6ee7ac
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1235,https://api.github.com/repos/typestack/routing-controllers/issues/1235,closed,2023-09-26,2023-11-03,,06162577548aea8502eabfd325efd5ea13152b9c
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1234,https://api.github.com/repos/typestack/routing-controllers/issues/1234,closed,2023-09-26,2023-10-27,2023-09-26,cbb024f0954c40d19e30b97a2d541a030afa7236
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1233,https://api.github.com/repos/typestack/routing-controllers/issues/1233,closed,2023-09-26,2023-10-27,2023-09-26,185da4fc44e4910523452caf719aad0f51f54a11
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1232,https://api.github.com/repos/typestack/routing-controllers/issues/1232,closed,2023-09-25,2023-10-26,2023-09-25,3ca4284cafe811c1c1f636518ddbea7e5a7c64ed
kalvarez2,https://api.github.com/repos/typestack/routing-controllers/pulls/1231,https://api.github.com/repos/typestack/routing-controllers/issues/1231,closed,2023-09-23,2023-10-28,2023-09-26,592144a7110dbfe73cb4a98d958d24b667fb244f
dependabot[bot],https://api.github.com/repos/typestack/routing-controllers/pulls/1228,https://api.github.com/repos/typestack/routing-controllers/issues/1228,closed,2023-09-21,2023-10-26,2023-09-25,c1bb996bc39b0ae60c1e107c0898fbb686508887
