user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
b675987273,https://api.github.com/repos/uber-go/automaxprocs/pulls/83,https://api.github.com/repos/uber-go/automaxprocs/issues/83,closed,2023-11-14,2023-11-14,,3198bff650e51e759b164090f52fe60c450f531b
tchung1118,https://api.github.com/repos/uber-go/automaxprocs/pulls/82,https://api.github.com/repos/uber-go/automaxprocs/issues/82,closed,2023-11-01,2023-11-06,2023-11-06,c9adbb9be700880d75fad74117eda9cf3ea6211a
wallee94,https://api.github.com/repos/uber-go/automaxprocs/pulls/79,https://api.github.com/repos/uber-go/automaxprocs/issues/79,closed,2023-10-12,2024-02-13,2024-02-13,8553d3bb214968c2be2cf9052880164cdf4fc2f8
r-hang,https://api.github.com/repos/uber-go/automaxprocs/pulls/77,https://api.github.com/repos/uber-go/automaxprocs/issues/77,closed,2023-07-19,2023-07-19,2023-07-19,e83e959d8845f659d02749ba5598fd62a7129e4e
sywhang,https://api.github.com/repos/uber-go/automaxprocs/pulls/76,https://api.github.com/repos/uber-go/automaxprocs/issues/76,closed,2023-07-19,2023-07-19,2023-07-19,94404505e072633727945d6adc276be8759dadcf
sywhang,https://api.github.com/repos/uber-go/automaxprocs/pulls/75,https://api.github.com/repos/uber-go/automaxprocs/issues/75,closed,2023-07-19,2023-07-19,2023-07-19,4b0a5c9c3c30af086d1251cecd4114b7d4b55a45
sywhang,https://api.github.com/repos/uber-go/automaxprocs/pulls/74,https://api.github.com/repos/uber-go/automaxprocs/issues/74,closed,2023-07-19,2023-07-19,2023-07-19,c64632e175f532a5fe994622797d70b06338337e
stevenh,https://api.github.com/repos/uber-go/automaxprocs/pulls/73,https://api.github.com/repos/uber-go/automaxprocs/issues/73,closed,2023-07-01,2023-07-20,2023-07-19,60f22786b2d20055ca8d888ed455a25aed935bea
Zamony,https://api.github.com/repos/uber-go/automaxprocs/pulls/71,https://api.github.com/repos/uber-go/automaxprocs/issues/71,closed,2023-06-06,2023-06-18,2023-06-18,d064ede19db88036b1a2fb6b41113717a84dfda2
to6ka,https://api.github.com/repos/uber-go/automaxprocs/pulls/68,https://api.github.com/repos/uber-go/automaxprocs/issues/68,open,2023-05-10,2023-07-17,,a43de6e295e5b51c36e1838e6a4b9eb8a98627cf
to6ka,https://api.github.com/repos/uber-go/automaxprocs/pulls/67,https://api.github.com/repos/uber-go/automaxprocs/issues/67,closed,2023-05-10,2023-05-10,,1981b546b443ca6ac667bb3178ea5b152e1dd0b0
albertyw,https://api.github.com/repos/uber-go/automaxprocs/pulls/63,https://api.github.com/repos/uber-go/automaxprocs/issues/63,closed,2023-03-17,2023-03-18,2023-03-18,f6364fccf14450d89bc0bf13c2aa1c05d9f7aefd
albertyw,https://api.github.com/repos/uber-go/automaxprocs/pulls/62,https://api.github.com/repos/uber-go/automaxprocs/issues/62,closed,2023-03-17,2023-03-17,2023-03-17,e1c1306bbef908cb335f2cc89fd81f77f8d7530c
shvc,https://api.github.com/repos/uber-go/automaxprocs/pulls/61,https://api.github.com/repos/uber-go/automaxprocs/issues/61,closed,2023-03-03,2023-03-17,2023-03-17,77a13385c86852e122ea6a7c95d3e7b862a70882
dependabot[bot],https://api.github.com/repos/uber-go/automaxprocs/pulls/60,https://api.github.com/repos/uber-go/automaxprocs/issues/60,closed,2023-02-25,2023-02-25,2023-02-25,abb2d82ebb4ed7e527005e081b1df3302ec32abe
yutaroyamanaka,https://api.github.com/repos/uber-go/automaxprocs/pulls/59,https://api.github.com/repos/uber-go/automaxprocs/issues/59,closed,2022-12-16,2023-01-09,2023-01-09,58f5aee66e9fc9138dd8ff4f966f101b51b7db63
xieyuschen,https://api.github.com/repos/uber-go/automaxprocs/pulls/58,https://api.github.com/repos/uber-go/automaxprocs/issues/58,closed,2022-11-11,2023-11-21,,d2d355228e50729510e9997ab60d175dfe84a121
rphillips,https://api.github.com/repos/uber-go/automaxprocs/pulls/57,https://api.github.com/repos/uber-go/automaxprocs/issues/57,closed,2022-08-23,2022-12-05,2022-12-05,db7cbd0253dfc42eb075bb7d3bd45738cc122f4e
abhinav,https://api.github.com/repos/uber-go/automaxprocs/pulls/55,https://api.github.com/repos/uber-go/automaxprocs/issues/55,closed,2022-05-31,2022-05-31,2022-05-31,0b356b1c3a2a1548c0486b9d68bcd2ee01145b2f
maciej,https://api.github.com/repos/uber-go/automaxprocs/pulls/53,https://api.github.com/repos/uber-go/automaxprocs/issues/53,closed,2022-04-11,2022-05-10,2022-04-26,d835ace014b3f5e48413f9635fbfd59e366c5ff5
SaveTheRbtz,https://api.github.com/repos/uber-go/automaxprocs/pulls/52,https://api.github.com/repos/uber-go/automaxprocs/issues/52,closed,2022-04-09,2022-04-09,2022-04-09,ce572da2a92ab360634ee6a4a0f7bad4cd07a0e8
abhinav,https://api.github.com/repos/uber-go/automaxprocs/pulls/51,https://api.github.com/repos/uber-go/automaxprocs/issues/51,closed,2022-04-06,2022-04-06,2022-04-06,297d7eecf39bd08146909d08ad41db6d7d084392
mway,https://api.github.com/repos/uber-go/automaxprocs/pulls/50,https://api.github.com/repos/uber-go/automaxprocs/issues/50,closed,2022-04-06,2022-04-06,2022-04-06,721b01340eb5194343487f073ea42e5de8fae8d2
abhinav,https://api.github.com/repos/uber-go/automaxprocs/pulls/48,https://api.github.com/repos/uber-go/automaxprocs/issues/48,closed,2022-04-05,2022-04-05,2022-04-05,2e85815ce3123591682ce8d87624d777c549b951
abhinav,https://api.github.com/repos/uber-go/automaxprocs/pulls/47,https://api.github.com/repos/uber-go/automaxprocs/issues/47,closed,2022-03-29,2022-03-29,2022-03-29,7ff767a4fff2c8fd117c737dd0d338af5361f3d4
abhinav,https://api.github.com/repos/uber-go/automaxprocs/pulls/46,https://api.github.com/repos/uber-go/automaxprocs/issues/46,closed,2022-03-14,2022-03-14,2022-03-14,beef36874df7a16ce9ba64a31e0607f8b2cecd7b
dprotaso,https://api.github.com/repos/uber-go/automaxprocs/pulls/45,https://api.github.com/repos/uber-go/automaxprocs/issues/45,closed,2022-03-14,2022-03-14,2022-03-14,975e177ad84fc02ac8ac319a36ec1eee1bbac304
