user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
bowenxia,https://api.github.com/repos/uber/cadence/pulls/5746,https://api.github.com/repos/uber/cadence/issues/5746,open,2024-03-07,2024-03-07,,2281e8e2c8508f94a6583f78c23b37cb8cc7cfdf
Groxx,https://api.github.com/repos/uber/cadence/pulls/5745,https://api.github.com/repos/uber/cadence/issues/5745,open,2024-03-06,2024-03-07,,e26d4d842d982f84847543051a5e2706f3f9dddc
davidporter-id-au,https://api.github.com/repos/uber/cadence/pulls/5744,https://api.github.com/repos/uber/cadence/issues/5744,open,2024-03-06,2024-03-07,,0ca9e30d8827d3f3ca28c63002ee334a30266460
Groxx,https://api.github.com/repos/uber/cadence/pulls/5743,https://api.github.com/repos/uber/cadence/issues/5743,open,2024-03-06,2024-03-07,,7e4483a69eb6a052128271e34a0f498d74a6e09f
timl3136,https://api.github.com/repos/uber/cadence/pulls/5742,https://api.github.com/repos/uber/cadence/issues/5742,open,2024-03-06,2024-03-06,,a0978b670a3240f42645004a373ab703857364c7
abhishekj720,https://api.github.com/repos/uber/cadence/pulls/5741,https://api.github.com/repos/uber/cadence/issues/5741,open,2024-03-06,2024-03-06,,6ee262a6141af2da0e965897cfc2289d2c070f63
abhishekj720,https://api.github.com/repos/uber/cadence/pulls/5740,https://api.github.com/repos/uber/cadence/issues/5740,closed,2024-03-06,2024-03-06,2024-03-06,3b5dc475f86319f06a6576be8f394e4a380fd1f0
neil-xie,https://api.github.com/repos/uber/cadence/pulls/5739,https://api.github.com/repos/uber/cadence/issues/5739,closed,2024-03-06,2024-03-06,2024-03-06,2d2ece073560918e11c35b47eed787112bc6a6d1
agautam478,https://api.github.com/repos/uber/cadence/pulls/5738,https://api.github.com/repos/uber/cadence/issues/5738,open,2024-03-06,2024-03-06,,e22fce85e17c1ad9678b9f5b14c1f0c1609d9b91
shijiesheng,https://api.github.com/repos/uber/cadence/pulls/5737,https://api.github.com/repos/uber/cadence/issues/5737,open,2024-03-06,2024-03-06,,6b46237b2faeb77fa10552b5a1aef410f4ec4b07
Shaddoll,https://api.github.com/repos/uber/cadence/pulls/5736,https://api.github.com/repos/uber/cadence/issues/5736,open,2024-03-06,2024-03-06,,7a65431936c4fd12a03d5ae7ff298cbf229bda71
abhishekj720,https://api.github.com/repos/uber/cadence/pulls/5735,https://api.github.com/repos/uber/cadence/issues/5735,closed,2024-03-06,2024-03-06,2024-03-06,99a43e3dce1f0262554d89d63e13390db1a49ed9
