user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
cuishuang,https://api.github.com/repos/uber/prototool/pulls/588,https://api.github.com/repos/uber/prototool/issues/588,open,2022-03-01,2022-03-01,,92188412b518876311f33b9a35693386145d4747
kucjac,https://api.github.com/repos/uber/prototool/pulls/585,https://api.github.com/repos/uber/prototool/issues/585,open,2022-01-17,2022-01-19,,5f7b814b191017a70cbbe70501d52eabe26bb1d0
sysulq,https://api.github.com/repos/uber/prototool/pulls/582,https://api.github.com/repos/uber/prototool/issues/582,closed,2021-11-18,2021-11-21,,e7bf3aacb33e52e92ed15be2cab5370566cad8fe
judezhu,https://api.github.com/repos/uber/prototool/pulls/581,https://api.github.com/repos/uber/prototool/issues/581,closed,2021-08-27,2021-08-27,,
judezhu,https://api.github.com/repos/uber/prototool/pulls/580,https://api.github.com/repos/uber/prototool/issues/580,closed,2021-08-27,2021-08-27,,875e03e6d48b7dd017ea051ce121315eed5277f6
sakshamsaxena,https://api.github.com/repos/uber/prototool/pulls/576,https://api.github.com/repos/uber/prototool/issues/576,open,2021-03-26,2021-04-23,,61820c1bc7339f217b8bc5d94e1def81dec3e580
DoubleDi,https://api.github.com/repos/uber/prototool/pulls/572,https://api.github.com/repos/uber/prototool/issues/572,open,2021-01-29,2021-01-29,,c23d150f2c913ce67ea708f939b2c0405c6061d4
mway,https://api.github.com/repos/uber/prototool/pulls/569,https://api.github.com/repos/uber/prototool/issues/569,closed,2020-11-16,2023-03-07,,b1f9c32353a87f6657421fcd1f7a3cfe95dca172
110y,https://api.github.com/repos/uber/prototool/pulls/568,https://api.github.com/repos/uber/prototool/issues/568,open,2020-09-12,2020-09-12,,15c92b7d3ec2739c186b00afdbf8ee12ddfe2016
jnvillar,https://api.github.com/repos/uber/prototool/pulls/567,https://api.github.com/repos/uber/prototool/issues/567,open,2020-08-20,2020-08-21,,f9efc5ba999a53c2060bf8a0140056a8ccffeecf
josephglanville,https://api.github.com/repos/uber/prototool/pulls/565,https://api.github.com/repos/uber/prototool/issues/565,open,2020-07-18,2020-07-18,,60bcd718603d00f5d27be9f1840beb3a9d652230
sunwen18,https://api.github.com/repos/uber/prototool/pulls/561,https://api.github.com/repos/uber/prototool/issues/561,open,2020-06-09,2020-06-28,,c7ba37d4215da34273a0d183b1d81dadbf300198
sunwen18,https://api.github.com/repos/uber/prototool/pulls/560,https://api.github.com/repos/uber/prototool/issues/560,closed,2020-06-08,2020-06-09,,0074c6cbe0500808670af70e9260816999fb791b
jathu,https://api.github.com/repos/uber/prototool/pulls/556,https://api.github.com/repos/uber/prototool/issues/556,open,2020-05-30,2021-07-09,,05fadd815e8c0c51bfb7d92575bab0fcbd5d72fc
smaye81,https://api.github.com/repos/uber/prototool/pulls/548,https://api.github.com/repos/uber/prototool/issues/548,closed,2020-03-31,2020-03-31,2020-03-31,8fd43bfa177c73b628d189cb942d0f4c4af4908d
smaye81,https://api.github.com/repos/uber/prototool/pulls/545,https://api.github.com/repos/uber/prototool/issues/545,closed,2020-03-26,2020-03-31,2020-03-31,45aa5efdff4bf6257f272120a01bb963f4037702
hypnoglow,https://api.github.com/repos/uber/prototool/pulls/543,https://api.github.com/repos/uber/prototool/issues/543,closed,2020-03-23,2020-03-25,2020-03-25,b337d630ff7ee15ebf8d4f1e21439f75e6017e17
smaye81,https://api.github.com/repos/uber/prototool/pulls/542,https://api.github.com/repos/uber/prototool/issues/542,closed,2020-03-16,2020-03-17,2020-03-17,bd23eea89cb80720942bab4149077aca35d03c98
smaye81,https://api.github.com/repos/uber/prototool/pulls/540,https://api.github.com/repos/uber/prototool/issues/540,closed,2020-03-09,2020-03-10,2020-03-10,c10fddf1e5096a6fb84991b541ec100e75d330c5
vordimous,https://api.github.com/repos/uber/prototool/pulls/536,https://api.github.com/repos/uber/prototool/issues/536,closed,2020-01-17,2020-03-05,2020-03-05,1b55c877bdf9076f105d41f8dd5399a042dfa449
maxh,https://api.github.com/repos/uber/prototool/pulls/535,https://api.github.com/repos/uber/prototool/issues/535,closed,2020-01-16,2020-03-05,2020-03-05,87468d68cd2d0dba071ef48b488d0091a5052a97
jathu,https://api.github.com/repos/uber/prototool/pulls/534,https://api.github.com/repos/uber/prototool/issues/534,closed,2020-01-10,2020-03-25,2020-03-25,e1c82826530c62b724bd807d38c2f9b7d55f6f07
demdxx,https://api.github.com/repos/uber/prototool/pulls/529,https://api.github.com/repos/uber/prototool/issues/529,closed,2019-12-11,2020-03-10,,5dc58ff48dbbcede4b900ad3b64dc04630d7482c
