user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
jiro33,https://api.github.com/repos/uias/Pageboy/pulls/288,https://api.github.com/repos/uias/Pageboy/issues/288,open,2023-08-09,2023-08-09,,d51100b1bc4be1b93067538ac0338c8bb6c94bc8
dependabot[bot],https://api.github.com/repos/uias/Pageboy/pulls/285,https://api.github.com/repos/uias/Pageboy/issues/285,open,2023-03-17,2023-03-17,,6761fc28582ef70cad440a4d33b77d9c084e7d9c
dependabot[bot],https://api.github.com/repos/uias/Pageboy/pulls/284,https://api.github.com/repos/uias/Pageboy/issues/284,closed,2023-01-31,2023-03-17,,c42338cfeba56f7351cc146162afb05378eb6dac
dependabot[bot],https://api.github.com/repos/uias/Pageboy/pulls/283,https://api.github.com/repos/uias/Pageboy/issues/283,open,2023-01-25,2023-01-25,,8a401f4a640cfbae26d6a50d320aeb42ac6c7725
dependabot[bot],https://api.github.com/repos/uias/Pageboy/pulls/282,https://api.github.com/repos/uias/Pageboy/issues/282,closed,2023-01-21,2023-01-31,,25132ba11a44eaf081b6b9aef9ba2bb17011e6c8
dependabot[bot],https://api.github.com/repos/uias/Pageboy/pulls/281,https://api.github.com/repos/uias/Pageboy/issues/281,closed,2023-01-09,2023-01-25,,5ee23daf7243d157bf47bcd0561566b6a0c4e38c
BasBuijsen,https://api.github.com/repos/uias/Pageboy/pulls/279,https://api.github.com/repos/uias/Pageboy/issues/279,closed,2022-11-03,2022-11-04,2022-11-04,83b0bbec7cff0a9a49806d585fff51fb238ea67e
msaps,https://api.github.com/repos/uias/Pageboy/pulls/278,https://api.github.com/repos/uias/Pageboy/issues/278,closed,2022-11-03,2022-11-03,2022-11-03,b7502380849ff9b6966161b0d0ddbff5d233a6d1
Patrick-Remy,https://api.github.com/repos/uias/Pageboy/pulls/276,https://api.github.com/repos/uias/Pageboy/issues/276,closed,2022-09-20,2022-11-02,2022-11-02,170fa43493c8753d7aab41f7498daa3a785c2d76
dependabot[bot],https://api.github.com/repos/uias/Pageboy/pulls/275,https://api.github.com/repos/uias/Pageboy/issues/275,closed,2022-07-22,2022-08-20,,7abbc99861979180c92f7e113362fb93cdb4fec1
dependabot[bot],https://api.github.com/repos/uias/Pageboy/pulls/273,https://api.github.com/repos/uias/Pageboy/issues/273,closed,2022-06-07,2022-08-20,,56c2c9cc611fe16a90fdb8bd6a71f58ad12e1b7f
dependabot[bot],https://api.github.com/repos/uias/Pageboy/pulls/271,https://api.github.com/repos/uias/Pageboy/issues/271,closed,2022-04-28,2022-08-20,,e11942252e47734a48b8d06bbd81f433d99f309f
dependabot[bot],https://api.github.com/repos/uias/Pageboy/pulls/269,https://api.github.com/repos/uias/Pageboy/issues/269,closed,2022-04-05,2022-08-20,,e0f179230dc9686ecfe22633b9edff26d9e45e47
chorim,https://api.github.com/repos/uias/Pageboy/pulls/268,https://api.github.com/repos/uias/Pageboy/issues/268,closed,2022-01-11,2022-08-20,2022-08-20,65b02b19a894f71f7b02a53a19ce4847fb938b38
irskep,https://api.github.com/repos/uias/Pageboy/pulls/267,https://api.github.com/repos/uias/Pageboy/issues/267,closed,2021-12-31,2022-08-20,,8e49c4973909aeff5f40c3f94686b00c2e55f609
dependabot[bot],https://api.github.com/repos/uias/Pageboy/pulls/264,https://api.github.com/repos/uias/Pageboy/issues/264,closed,2021-07-12,2022-08-20,,7b1f44a342dd4361ab027e91b78a47bd084af7f2
dependabot[bot],https://api.github.com/repos/uias/Pageboy/pulls/262,https://api.github.com/repos/uias/Pageboy/issues/262,closed,2021-04-30,2022-08-20,,00546bd1f0a6485e07934869cd6793b19f2b3866
dependabot[bot],https://api.github.com/repos/uias/Pageboy/pulls/261,https://api.github.com/repos/uias/Pageboy/issues/261,closed,2021-03-29,2022-08-20,,449314574492f1ebce91ae363088143e6702a7ca
lpizzinidev,https://api.github.com/repos/uias/Pageboy/pulls/258,https://api.github.com/repos/uias/Pageboy/issues/258,closed,2020-12-16,2020-12-17,2020-12-17,b328b2bebad4c47dbb8ac219a3288ac5ab5de88e
msaps,https://api.github.com/repos/uias/Pageboy/pulls/254,https://api.github.com/repos/uias/Pageboy/issues/254,closed,2020-10-25,2020-10-25,2020-10-25,e93f450a8cb29a8e9b1b40807e1958b26d38d8a9
msaps,https://api.github.com/repos/uias/Pageboy/pulls/252,https://api.github.com/repos/uias/Pageboy/issues/252,closed,2020-10-11,2020-10-11,2020-10-11,2f5764446fbbe7aaeea7a1ea5a1d0a4ddf4aec87
msaps,https://api.github.com/repos/uias/Pageboy/pulls/251,https://api.github.com/repos/uias/Pageboy/issues/251,closed,2020-10-11,2020-10-11,2020-10-11,71eda8d4c22478d691965b8c7de656329c429c4a
msaps,https://api.github.com/repos/uias/Pageboy/pulls/250,https://api.github.com/repos/uias/Pageboy/issues/250,closed,2020-10-10,2020-10-10,2020-10-10,2b50f29d3e653a5e374599cc5bd6c0a1dbdcb1e2
dependabot[bot],https://api.github.com/repos/uias/Pageboy/pulls/247,https://api.github.com/repos/uias/Pageboy/issues/247,closed,2020-08-08,2020-10-04,,8c1a557eb0b745efcc422748272edd9f13920665
dev-yong,https://api.github.com/repos/uias/Pageboy/pulls/245,https://api.github.com/repos/uias/Pageboy/issues/245,closed,2020-05-21,2020-05-22,2020-05-22,ffd1f88b49f90f5aeef33d9bcf30c3bd6f96a43b
msaps,https://api.github.com/repos/uias/Pageboy/pulls/244,https://api.github.com/repos/uias/Pageboy/issues/244,closed,2020-05-04,2020-05-04,2020-05-04,3afdc8aa8ab143ff1b438317e1fcb628c5833a42
msaps,https://api.github.com/repos/uias/Pageboy/pulls/243,https://api.github.com/repos/uias/Pageboy/issues/243,closed,2020-05-04,2020-05-04,2020-05-04,9553e46535c00f9b3d117efa09e4971c2e7daafe
msaps,https://api.github.com/repos/uias/Pageboy/pulls/242,https://api.github.com/repos/uias/Pageboy/issues/242,closed,2020-05-03,2020-05-04,2020-05-04,6165e9d77f4bfcea791f8347b695c4c7f7af215e
dependabot[bot],https://api.github.com/repos/uias/Pageboy/pulls/239,https://api.github.com/repos/uias/Pageboy/issues/239,closed,2020-03-15,2020-03-15,,1e6ab26708c868c21d741fb4e4ba43494aac852c
ricobeck,https://api.github.com/repos/uias/Pageboy/pulls/238,https://api.github.com/repos/uias/Pageboy/issues/238,closed,2020-03-12,2020-03-15,2020-03-15,ee3606121d000d461bbd37253df7936dfd97d0c3
dependabot[bot],https://api.github.com/repos/uias/Pageboy/pulls/236,https://api.github.com/repos/uias/Pageboy/issues/236,closed,2019-12-16,2020-03-15,2020-03-15,b03c93411680d627ef1ccf2ddc9d1c181b99754b
ChristianSteffens,https://api.github.com/repos/uias/Pageboy/pulls/230,https://api.github.com/repos/uias/Pageboy/issues/230,closed,2019-09-24,2019-10-04,2019-10-04,8092cc943a5d7032cb3e1cd690537bd6d780edea
ahmedk92,https://api.github.com/repos/uias/Pageboy/pulls/227,https://api.github.com/repos/uias/Pageboy/issues/227,closed,2019-08-25,2019-10-03,2019-10-03,45510096d6c461b76b5b31e200e899f1c116a189
msaps,https://api.github.com/repos/uias/Pageboy/pulls/226,https://api.github.com/repos/uias/Pageboy/issues/226,closed,2019-08-25,2019-08-25,2019-08-25,c4f62079cb22137a853e0bde768ccaf24af13af5
ChristianSteffens,https://api.github.com/repos/uias/Pageboy/pulls/223,https://api.github.com/repos/uias/Pageboy/issues/223,closed,2019-08-03,2019-08-05,2019-08-05,1ba7b334597241104396a29cbba4f90b949292c7
msaps,https://api.github.com/repos/uias/Pageboy/pulls/220,https://api.github.com/repos/uias/Pageboy/issues/220,closed,2019-06-10,2019-06-10,2019-06-10,79ff7ff4a315d90e55687afb48afcd2877ea7e98
msaps,https://api.github.com/repos/uias/Pageboy/pulls/217,https://api.github.com/repos/uias/Pageboy/issues/217,closed,2019-05-04,2019-05-04,2019-05-04,a16c7f133e426d3b05b5192352a2ae8ae2cd3a56
msaps,https://api.github.com/repos/uias/Pageboy/pulls/216,https://api.github.com/repos/uias/Pageboy/issues/216,closed,2019-04-23,2019-04-24,2019-04-24,499e19341fb8283a19e89132858be451e2f618cb
kajensen,https://api.github.com/repos/uias/Pageboy/pulls/215,https://api.github.com/repos/uias/Pageboy/issues/215,closed,2019-04-23,2019-04-23,,926fefd8ca85a261af91fc672446d4a3af0ab7a4
Coeur,https://api.github.com/repos/uias/Pageboy/pulls/214,https://api.github.com/repos/uias/Pageboy/issues/214,closed,2019-04-22,2019-04-24,2019-04-23,98275cd985ba4eaf5675617463d8ab9094381d99
Coeur,https://api.github.com/repos/uias/Pageboy/pulls/213,https://api.github.com/repos/uias/Pageboy/issues/213,closed,2019-04-22,2019-04-24,2019-04-23,670df8b46cfb5f625842bff064d5f8999ae294c5
msaps,https://api.github.com/repos/uias/Pageboy/pulls/212,https://api.github.com/repos/uias/Pageboy/issues/212,closed,2019-04-21,2019-04-21,2019-04-21,2943a899c440d2c29787f7baa252b561a121a764
Aymenworks,https://api.github.com/repos/uias/Pageboy/pulls/210,https://api.github.com/repos/uias/Pageboy/issues/210,closed,2019-04-05,2019-05-04,,77521a87ec62e6c2d0c99a3bebf090c2f6091794
msaps,https://api.github.com/repos/uias/Pageboy/pulls/207,https://api.github.com/repos/uias/Pageboy/issues/207,closed,2019-03-26,2019-03-26,2019-03-26,2bc686d2487b41de06caadde8c95bb576b0353b4
Coeur,https://api.github.com/repos/uias/Pageboy/pulls/205,https://api.github.com/repos/uias/Pageboy/issues/205,closed,2019-03-11,2019-03-11,2019-03-11,9dffb5698b27fa0684bdaf864ab9458986dbfd2f
Coeur,https://api.github.com/repos/uias/Pageboy/pulls/204,https://api.github.com/repos/uias/Pageboy/issues/204,closed,2019-03-11,2019-03-11,2019-03-11,ff9f1f03b813e2f14676d610b2b76168c025b912
msaps,https://api.github.com/repos/uias/Pageboy/pulls/203,https://api.github.com/repos/uias/Pageboy/issues/203,closed,2019-03-08,2019-03-08,2019-03-08,917e1aa8bfecf70f198b2e9eb0b582f65caaedc3
msaps,https://api.github.com/repos/uias/Pageboy/pulls/202,https://api.github.com/repos/uias/Pageboy/issues/202,closed,2019-03-03,2019-03-03,2019-03-03,ab4e2adbee46c4f54e3b6bfc907886278eaaf3bf
msaps,https://api.github.com/repos/uias/Pageboy/pulls/201,https://api.github.com/repos/uias/Pageboy/issues/201,closed,2019-03-02,2019-03-02,2019-03-02,66c8c35c140afce63bfece04c24e11e9024d43ca
Coeur,https://api.github.com/repos/uias/Pageboy/pulls/197,https://api.github.com/repos/uias/Pageboy/issues/197,closed,2019-02-22,2019-02-22,2019-02-22,04b7f722f1ab96b321df782b89ab9ab3e0021b76
Coeur,https://api.github.com/repos/uias/Pageboy/pulls/196,https://api.github.com/repos/uias/Pageboy/issues/196,closed,2019-02-22,2019-02-22,2019-02-22,a28c6041163b9521100f8fe680bdd66dd911208b
remirobert,https://api.github.com/repos/uias/Pageboy/pulls/195,https://api.github.com/repos/uias/Pageboy/issues/195,closed,2019-02-14,2019-02-17,2019-02-16,e4cfab75e465f43b66b110bb1794a44286b27647
remirobert,https://api.github.com/repos/uias/Pageboy/pulls/194,https://api.github.com/repos/uias/Pageboy/issues/194,closed,2019-02-11,2019-02-14,2019-02-13,a8fb2e837deac12b1e8fd4e27d16a168cafd2b3a
msaps,https://api.github.com/repos/uias/Pageboy/pulls/193,https://api.github.com/repos/uias/Pageboy/issues/193,closed,2019-02-09,2019-02-09,2019-02-09,95e4104b11e1f590e0cded96ea9975f0a92693dd
RamblinWreck77,https://api.github.com/repos/uias/Pageboy/pulls/192,https://api.github.com/repos/uias/Pageboy/issues/192,closed,2019-02-07,2019-02-10,2019-02-09,51f1ee04ca69d163af5ad059744bb29447629a83
msaps,https://api.github.com/repos/uias/Pageboy/pulls/188,https://api.github.com/repos/uias/Pageboy/issues/188,closed,2018-12-01,2018-12-01,2018-12-01,e4208f6a8c043040e65e5e82652a5f73767d3f06
benvest,https://api.github.com/repos/uias/Pageboy/pulls/184,https://api.github.com/repos/uias/Pageboy/issues/184,closed,2018-10-18,2018-10-18,,afc16ef077d682f8ee6b9cfed5cf0c33930caf8c
msaps,https://api.github.com/repos/uias/Pageboy/pulls/183,https://api.github.com/repos/uias/Pageboy/issues/183,closed,2018-10-18,2018-10-18,2018-10-18,66ac273434695b0c1eb032665451b14702112c39
msaps,https://api.github.com/repos/uias/Pageboy/pulls/177,https://api.github.com/repos/uias/Pageboy/issues/177,closed,2018-09-30,2018-10-16,2018-09-30,ff89fd12a9c5aff790da2d817498b2168257696d
mlarandeau,https://api.github.com/repos/uias/Pageboy/pulls/175,https://api.github.com/repos/uias/Pageboy/issues/175,closed,2018-09-27,2018-09-30,2018-09-30,1c637a7395002e6d6a7dc55f978a49366e5bc640
msaps,https://api.github.com/repos/uias/Pageboy/pulls/168,https://api.github.com/repos/uias/Pageboy/issues/168,closed,2018-07-19,2018-07-19,2018-07-19,3afd596c2878ea9794a585e2606ac2c7d9483f2f
msaps,https://api.github.com/repos/uias/Pageboy/pulls/167,https://api.github.com/repos/uias/Pageboy/issues/167,closed,2018-07-18,2018-07-18,2018-07-18,50a742e8107f0fe6f01d92c9fd8d53b52b70d277
msaps,https://api.github.com/repos/uias/Pageboy/pulls/165,https://api.github.com/repos/uias/Pageboy/issues/165,closed,2018-06-28,2018-06-28,2018-06-28,25e42e540268ba94235e117a53a2c4bfcf2fa651
msaps,https://api.github.com/repos/uias/Pageboy/pulls/162,https://api.github.com/repos/uias/Pageboy/issues/162,closed,2018-04-30,2018-04-30,2018-04-30,2113a345b6efb53ea80de25f65d36a29c820fa7d
msaps,https://api.github.com/repos/uias/Pageboy/pulls/160,https://api.github.com/repos/uias/Pageboy/issues/160,closed,2018-04-23,2018-04-23,2018-04-23,08ba53a8041f0774fef372e129b405341449e8a2
msaps,https://api.github.com/repos/uias/Pageboy/pulls/158,https://api.github.com/repos/uias/Pageboy/issues/158,closed,2018-04-05,2018-04-05,2018-04-05,165be042d18edba2d3b00b584a988c74f741f76e
msaps,https://api.github.com/repos/uias/Pageboy/pulls/149,https://api.github.com/repos/uias/Pageboy/issues/149,closed,2018-03-04,2018-03-04,2018-03-04,14988ef788b694ae2516d52be3523c480c89d446
msaps,https://api.github.com/repos/uias/Pageboy/pulls/145,https://api.github.com/repos/uias/Pageboy/issues/145,closed,2018-02-23,2018-02-23,2018-02-23,e135f229ef5a7330b3215d18ee3b8c00d14d7dd9
msaps,https://api.github.com/repos/uias/Pageboy/pulls/142,https://api.github.com/repos/uias/Pageboy/issues/142,closed,2018-02-12,2018-02-12,2018-02-12,4711fbc37acc2c80836ce9fbd9a18d5ad9717171
msaps,https://api.github.com/repos/uias/Pageboy/pulls/133,https://api.github.com/repos/uias/Pageboy/issues/133,closed,2018-01-06,2018-01-06,2018-01-06,e87459a65d811c4a1a9f1e9b8bb2f40262961c05
msaps,https://api.github.com/repos/uias/Pageboy/pulls/132,https://api.github.com/repos/uias/Pageboy/issues/132,closed,2018-01-05,2018-01-05,2018-01-05,71cc4cb009872daf9c4a55b451c849424402162b
msaps,https://api.github.com/repos/uias/Pageboy/pulls/130,https://api.github.com/repos/uias/Pageboy/issues/130,closed,2017-12-20,2017-12-20,2017-12-20,12a0403e05175098796c1ade275b9679f7ce2778
emmavray,https://api.github.com/repos/uias/Pageboy/pulls/123,https://api.github.com/repos/uias/Pageboy/issues/123,closed,2017-12-01,2018-01-29,,c5da68b31455ace5ddc980daff6bf4feec205fd1
msaps,https://api.github.com/repos/uias/Pageboy/pulls/120,https://api.github.com/repos/uias/Pageboy/issues/120,closed,2017-11-24,2017-11-24,2017-11-24,6b1b3e0c349decb6617bebfdeb34c16bdbbaf8cd
msaps,https://api.github.com/repos/uias/Pageboy/pulls/117,https://api.github.com/repos/uias/Pageboy/issues/117,closed,2017-11-09,2017-11-09,2017-11-09,02ab84dface621cd7d5a2f429c192ee28500ebc4
