user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
jjaychen1e,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/84,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/84,closed,2022-08-10,2022-08-11,2022-08-11,bffb11d97464177698e5405bfed54f96e3dbd277
JackYoustra,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/82,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/82,closed,2022-02-10,2022-02-10,2022-02-10,6c1dfe07a104e8a40c63c99e1cbb281c0cfc56cd
mbarashkov,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/81,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/81,closed,2021-12-21,2022-01-09,2022-01-09,bb70e2afc8aefc9608c37f034d201e7f6a158956
lukeredpath,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/77,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/77,closed,2021-09-01,2021-09-02,2021-09-02,6a1bbceaa2c6178e4ca7c5e1ceb985ace3036b89
peteralt,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/75,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/75,closed,2021-08-27,2021-08-30,2021-08-30,ea0b91740e9fe89ea487463779601dc78ec543be
kchatzigeorgiou,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/74,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/74,closed,2020-10-05,2020-10-07,2020-10-07,c73197315a84ca84aabc1b40f3179fc3c7fb49a3
lupugabriel,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/72,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/72,closed,2020-03-25,2020-03-26,2020-03-26,a4bbc96a671682e0aea1dfaed91d9043f30b6022
zhouhao27,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/69,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/69,closed,2019-09-04,2019-09-04,2019-09-04,7043811d77df477bf0df3e3bc4269cbd44b3f1a4
zhouhao27,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/68,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/68,closed,2019-09-03,2019-09-04,,4ae33d2ff518a39b411a66c3500c936ca7efc34d
zhouhao27,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/67,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/67,closed,2019-09-03,2019-09-03,,15b2f55c729f81df00b624e2a681c0a31702448b
jefflopes,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/64,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/64,closed,2018-06-04,2018-06-04,2018-06-04,c1847bfdfb7742bf174cf222a6cd1d611885ab93
SeRG1k17,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/63,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/63,closed,2018-02-27,2021-08-30,,13041bb9dabefcd67c7e2721a5f1d1b449eb1b9c
SeRG1k17,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/60,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/60,closed,2018-02-02,2018-02-23,2018-02-22,3c278faa7858ca257f9ca33bca31ff1971f565f9
antoninbiret,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/58,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/58,closed,2017-11-08,2017-11-13,2017-11-13,35d485ee9d51ec1f9ef845a742505e460e2dfd5a
seanphoenix,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/57,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/57,closed,2017-10-23,2017-10-25,2017-10-25,84376770f2635bf69653f07d73e4e37b314daaed
johncodeos,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/56,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/56,closed,2017-10-10,2017-10-25,,
kennyevo,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/54,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/54,closed,2017-09-23,2017-09-25,,03a24e18483bd87e39c94a15a594cbc8562bdd55
eunryu,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/53,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/53,closed,2017-09-21,2017-09-25,2017-09-25,84b35b5f97232b9e1f2481d3eb3cd4b52af7195c
bradmccormack,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/50,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/50,closed,2017-08-10,2017-08-10,2017-08-10,574a1ce1994f85a862ff235959d9b064dad500b3
ReadmeCritic,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/48,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/48,closed,2017-05-26,2017-06-05,2017-06-05,ab2d50cbd59b14569345c0a73f2003812d040f14
JagCesar,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/40,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/40,closed,2016-09-08,2016-09-13,,0def1b3d228c9c0bb4831f26e2be54345ec17bf3
Legoless,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/39,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/39,closed,2016-08-18,2016-09-11,,e14bc03c44331540bf36a0b4132bef2228285b9a
treyrich,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/38,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/38,closed,2016-08-02,2016-09-11,,67bc5b14c0f1ff4bf8a5073fbf8a5c2b763cda01
batschz,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/37,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/37,closed,2016-06-15,2016-09-13,,b0ed5e8b7fd77d2a5eaa65288374f811033b0a52
dominik-hadl,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/33,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/33,closed,2016-03-15,2016-03-16,2016-03-16,fbe1fedbcc9f37202e356cf0eaffc56dc58e8462
ppeelen,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/32,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/32,closed,2016-02-15,2016-02-16,2016-02-16,4a6a42aaff472b4833f5812fe31d4ef795da775e
ReadmeCritic,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/31,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/31,closed,2016-02-13,2016-02-16,2016-02-16,8c0b0f8de08b811463d0d5fb1fc31f2c1017a2e0
Bogidon,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/30,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/30,closed,2016-01-22,2016-01-22,2016-01-22,2744ef49456f8292b98964143719e10ff82b7dcc
lifeisfoo,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/29,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/29,closed,2015-12-23,2015-12-24,2015-12-24,4c21e68127202c500fbd09f529498be3b34a56d3
kevinvance,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/26,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/26,closed,2015-11-24,2015-11-26,2015-11-26,cccf94cef38c93cc83905deb03a427b278dfb624
evenbrenna,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/25,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/25,closed,2015-10-25,2015-10-26,2015-10-26,b816b22bc4190b0ebc6ac37f209ac16861fd0192
100mango,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/22,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/22,closed,2015-10-13,2015-10-26,,8ed0bd37c1a92ac68e05673079a877f0df668374
uny,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/20,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/20,closed,2015-10-05,2015-10-20,2015-10-20,b63e9ec84f1eb8e4a9b53ba3db4e7ac0d70235eb
uny,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/19,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/19,closed,2015-10-02,2015-10-05,,601a4bc4493dd907aebf3085c5991c7ad9b11989
yeahdongcn,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/18,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/18,closed,2015-09-21,2016-09-11,2015-09-21,de2add6b0723de8ddd6d1ad1dd8996c07c57c549
basilfamer,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/17,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/17,closed,2015-09-21,2015-09-21,,0f92f6b9dd8dd6962834f5a41ffb1477a3d6ac03
timpickles,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/16,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/16,closed,2015-09-10,2015-09-11,2015-09-11,80ad877a9f64b7e4071756663dc06555dd50de33
OscarSwanros,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/15,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/15,closed,2015-09-04,2015-09-06,,06d9fa442702ea0a3d47aed4f0b6938cb6887c95
jurezove,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/13,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/13,closed,2015-08-25,2015-08-30,,d9aa742403635a0643abae7046eef91b0581f587
uny,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/12,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/12,closed,2015-08-25,2015-08-30,2015-08-30,4461fd5b37be60e305e9121cefa206ba67748c5a
dhern2,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/6,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/6,closed,2015-05-13,2015-05-15,,4b3a9e202fddb7f18614233b1a665ebc17c21faa
kiliankoe,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/5,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/5,closed,2015-03-19,2015-04-12,2015-04-12,60e77c34a024fa640614d9cae3a13139e01e6513
yichizhang,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/3,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/3,closed,2014-12-11,2014-12-12,2014-12-12,0c81fdf6769ce8097fd4e6293010b31732784d4d
mjgaylord,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/pulls/2,https://api.github.com/repos/yeahdongcn/UIColor-Hex-Swift/issues/2,closed,2014-10-28,2014-10-30,2014-10-30,088b3da8967d3d7e1e618a57b4d731ad9737770b
