user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
wufei-png,https://api.github.com/repos/yuin/gopher-lua/pulls/477,https://api.github.com/repos/yuin/gopher-lua/issues/477,open,2024-01-18,2024-01-18,,be8c5c4b58ec3396ecdc42d4ec9f9622d19054fd
hugebubu,https://api.github.com/repos/yuin/gopher-lua/pulls/473,https://api.github.com/repos/yuin/gopher-lua/issues/473,open,2024-01-03,2024-01-03,,f66c9c05fdca176f29285bba212f8a28a9f89f14
MrParano1d,https://api.github.com/repos/yuin/gopher-lua/pulls/469,https://api.github.com/repos/yuin/gopher-lua/issues/469,open,2023-12-21,2023-12-21,,029638e666e331bd0b1534dfec3c5439f1336f3b
waschik,https://api.github.com/repos/yuin/gopher-lua/pulls/467,https://api.github.com/repos/yuin/gopher-lua/issues/467,open,2023-12-14,2023-12-14,,7c9e7229aafd86b0c0631bc16476a8876948255d
waschik,https://api.github.com/repos/yuin/gopher-lua/pulls/466,https://api.github.com/repos/yuin/gopher-lua/issues/466,open,2023-12-14,2023-12-14,,ba9af78f7db3a3051f0de009dd458f2ab00bd392
bvisness,https://api.github.com/repos/yuin/gopher-lua/pulls/465,https://api.github.com/repos/yuin/gopher-lua/issues/465,open,2023-12-10,2024-02-27,,2aa104a9e8e39f7efdef5e1317e1a77716a82c4a
drauschenbach,https://api.github.com/repos/yuin/gopher-lua/pulls/463,https://api.github.com/repos/yuin/gopher-lua/issues/463,closed,2023-12-03,2023-12-05,2023-12-05,da9f43989685e0cd53c67d366cecf74af6beb5b1
0x501D,https://api.github.com/repos/yuin/gopher-lua/pulls/460,https://api.github.com/repos/yuin/gopher-lua/issues/460,closed,2023-10-09,2023-10-14,2023-10-14,018eaa0d321c6e28b6d9e1d98a19631ccc2e9bbb
0x501D,https://api.github.com/repos/yuin/gopher-lua/pulls/458,https://api.github.com/repos/yuin/gopher-lua/issues/458,open,2023-09-29,2023-12-12,,0379337ad1bb43d505839cb5686a518682ef07a8
0x501D,https://api.github.com/repos/yuin/gopher-lua/pulls/456,https://api.github.com/repos/yuin/gopher-lua/issues/456,closed,2023-09-28,2023-12-12,2023-12-12,2348fd042596f47bf9a1018a01f365ca3bf19134
mzki,https://api.github.com/repos/yuin/gopher-lua/pulls/453,https://api.github.com/repos/yuin/gopher-lua/issues/453,closed,2023-08-12,2023-11-04,2023-11-04,9d7d9218cfac858b2134bb7c8f1f1498e5ea3850
