user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
Alisher12398,https://api.github.com/repos/zenangst/Hue/pulls/75,https://api.github.com/repos/zenangst/Hue/issues/75,closed,2022-12-17,2023-09-15,2023-09-15,779143caf92ae77744cc8f4b61569ea003933944
jwells89,https://api.github.com/repos/zenangst/Hue/pulls/74,https://api.github.com/repos/zenangst/Hue/issues/74,closed,2022-04-14,2022-06-16,2022-06-16,3cda590903d781cde157746bbc69ac589c33f902
guidev,https://api.github.com/repos/zenangst/Hue/pulls/73,https://api.github.com/repos/zenangst/Hue/issues/73,closed,2021-10-03,2021-12-15,2021-12-15,cd16751fa8cd28ce54b80df3802b1a72d66114c3
sunnyyoung,https://api.github.com/repos/zenangst/Hue/pulls/72,https://api.github.com/repos/zenangst/Hue/issues/72,closed,2021-09-26,2022-06-16,2022-06-16,d98d97d6bdd6904ab5cffa96ad6fc47f6233b510
guidev,https://api.github.com/repos/zenangst/Hue/pulls/71,https://api.github.com/repos/zenangst/Hue/issues/71,closed,2021-08-23,2021-10-03,,c9ff8b0a7b089d753d9e7dfbdce2c86b2d980427
bcylin,https://api.github.com/repos/zenangst/Hue/pulls/70,https://api.github.com/repos/zenangst/Hue/issues/70,closed,2019-11-01,2019-12-19,2019-12-19,c088cb967357fcc296a48eeebc62fb7c16470928
zenangst,https://api.github.com/repos/zenangst/Hue/pulls/68,https://api.github.com/repos/zenangst/Hue/issues/68,closed,2019-05-21,2019-05-21,2019-05-21,ea96f8b07d0e2ac2ddb9aceeea7920a101f9b3cd
rahimkhalid,https://api.github.com/repos/zenangst/Hue/pulls/67,https://api.github.com/repos/zenangst/Hue/issues/67,closed,2019-05-16,2019-05-21,2019-05-21,da9db8ea3b01bfd1864997ca3044e492f97689b5
rahimkhalid,https://api.github.com/repos/zenangst/Hue/pulls/66,https://api.github.com/repos/zenangst/Hue/issues/66,closed,2019-05-16,2019-05-16,,0e0e60d858f5e6a28b5bc40f06008988005094bf
lukepistrol,https://api.github.com/repos/zenangst/Hue/pulls/65,https://api.github.com/repos/zenangst/Hue/issues/65,closed,2019-05-13,2019-05-16,2019-05-16,eb5f77219d7a06ccfdcc307e3ee296cf67395774
zenangst,https://api.github.com/repos/zenangst/Hue/pulls/61,https://api.github.com/repos/zenangst/Hue/issues/61,closed,2019-01-15,2019-01-15,2019-01-15,9cb5302a76ccecc9e3735e30b15d932231154400
zenangst,https://api.github.com/repos/zenangst/Hue/pulls/60,https://api.github.com/repos/zenangst/Hue/issues/60,closed,2019-01-15,2019-01-15,2019-01-15,32f48b58e629ea14ac25a66fd262c059a2c07051
zenangst,https://api.github.com/repos/zenangst/Hue/pulls/59,https://api.github.com/repos/zenangst/Hue/issues/59,closed,2019-01-15,2019-01-15,2019-01-15,e0820444b16ded42018e9810a95aaebe347e7533
jiangpengyun,https://api.github.com/repos/zenangst/Hue/pulls/58,https://api.github.com/repos/zenangst/Hue/issues/58,closed,2019-01-14,2019-01-15,2019-01-15,c8e02ce9ae26361ca01611005fd421832a3348ab
aiden-leong,https://api.github.com/repos/zenangst/Hue/pulls/57,https://api.github.com/repos/zenangst/Hue/issues/57,closed,2018-11-15,2019-01-15,2019-01-15,eb64f52c1e2f690bfac6901aedbc780461e370ba
Injazz,https://api.github.com/repos/zenangst/Hue/pulls/56,https://api.github.com/repos/zenangst/Hue/issues/56,closed,2018-10-24,2019-01-15,2019-01-15,baddaf4effff9c6476c42000cb00b0276b741aa6
pushchris,https://api.github.com/repos/zenangst/Hue/pulls/54,https://api.github.com/repos/zenangst/Hue/issues/54,closed,2018-09-18,2018-09-18,2018-09-18,d2250b593d903c892b47659c1c2d95755c8c4bfe
gmlwhdtjd,https://api.github.com/repos/zenangst/Hue/pulls/53,https://api.github.com/repos/zenangst/Hue/issues/53,closed,2018-08-26,2018-08-27,2018-08-27,b9edf25533ad381f0e195eef79f76800a9048620
boherna,https://api.github.com/repos/zenangst/Hue/pulls/51,https://api.github.com/repos/zenangst/Hue/issues/51,closed,2018-01-22,2018-01-23,2018-01-23,ff2262b4514d216dffc6bcb7046f1e6e542c78c2
frederik-jacques,https://api.github.com/repos/zenangst/Hue/pulls/49,https://api.github.com/repos/zenangst/Hue/issues/49,closed,2017-11-07,2017-11-07,2017-11-07,05de7e33709dc565a5b2d24ed855b691194e8462
onmyway133,https://api.github.com/repos/zenangst/Hue/pulls/48,https://api.github.com/repos/zenangst/Hue/issues/48,closed,2017-09-25,2017-09-25,2017-09-25,c47744e42864ea509bbee91eec3fd59d8fe23fd3
zenangst,https://api.github.com/repos/zenangst/Hue/pulls/47,https://api.github.com/repos/zenangst/Hue/issues/47,closed,2017-08-10,2017-08-10,2017-08-10,b0714f1b2a3d8d9e306eef4b8d86a2547baff556
onmyway133,https://api.github.com/repos/zenangst/Hue/pulls/46,https://api.github.com/repos/zenangst/Hue/issues/46,closed,2017-06-19,2017-06-19,2017-06-19,684a4e03b3f5cf536dfef102209e4a92c39fbfca
ko0f,https://api.github.com/repos/zenangst/Hue/pulls/42,https://api.github.com/repos/zenangst/Hue/issues/42,closed,2016-11-25,2017-03-04,2017-03-04,979ba84244b5166b461bf31bbb6dba561d2c2a1e
ffittschen,https://api.github.com/repos/zenangst/Hue/pulls/40,https://api.github.com/repos/zenangst/Hue/issues/40,closed,2016-11-16,2016-11-18,2016-11-18,f82ffc7dd55d093d3acc6ce5b3d36ca259091fdd
zenangst,https://api.github.com/repos/zenangst/Hue/pulls/37,https://api.github.com/repos/zenangst/Hue/issues/37,closed,2016-11-08,2016-11-08,2016-11-08,844e29f83415f312f20ed555bb5d0ecb8d82cf4b
ZhipingYang,https://api.github.com/repos/zenangst/Hue/pulls/36,https://api.github.com/repos/zenangst/Hue/issues/36,closed,2016-10-26,2016-11-08,2016-11-08,3303cbcdf0f771aea1a6d1a153e4b95eef8696eb
zenangst,https://api.github.com/repos/zenangst/Hue/pulls/35,https://api.github.com/repos/zenangst/Hue/issues/35,closed,2016-10-19,2016-10-23,,fc8a8f27ceb716ff6ad3521b9f139e582545b722
zenangst,https://api.github.com/repos/zenangst/Hue/pulls/34,https://api.github.com/repos/zenangst/Hue/issues/34,closed,2016-10-13,2016-10-13,2016-10-13,6b894e5bd927320faaf74f194a8a7179ea75087c
ksim,https://api.github.com/repos/zenangst/Hue/pulls/31,https://api.github.com/repos/zenangst/Hue/issues/31,closed,2016-09-14,2016-09-14,,4147998195c87055e9a987c0f2d608c19034a1e0
timlehr,https://api.github.com/repos/zenangst/Hue/pulls/30,https://api.github.com/repos/zenangst/Hue/issues/30,closed,2016-09-09,2016-12-14,,7084c4033753085d4d30bb21f1b44b66012c22b8
Iyuna,https://api.github.com/repos/zenangst/Hue/pulls/29,https://api.github.com/repos/zenangst/Hue/issues/29,closed,2016-09-04,2016-09-05,2016-09-05,3cd45dee0ac7971ff0f0c86b68865d4a075078e3
vadymmarkov,https://api.github.com/repos/zenangst/Hue/pulls/28,https://api.github.com/repos/zenangst/Hue/issues/28,closed,2016-08-31,2016-09-01,2016-08-31,32d82abb30674cf4d0c8733558594e41434ed709
mohpor,https://api.github.com/repos/zenangst/Hue/pulls/27,https://api.github.com/repos/zenangst/Hue/issues/27,closed,2016-08-31,2016-09-05,2016-09-05,c21ca81d4fa002309f8f8f554317bf9ec3167365
zenangst,https://api.github.com/repos/zenangst/Hue/pulls/26,https://api.github.com/repos/zenangst/Hue/issues/26,closed,2016-08-29,2019-01-15,2016-08-29,b9a26de42da19b71950fda4b4e6a1b40e279bfa0
mohpor,https://api.github.com/repos/zenangst/Hue/pulls/25,https://api.github.com/repos/zenangst/Hue/issues/25,closed,2016-08-28,2016-08-31,,3be63138709a11b70284e6d33ee0b17be4ff6207
