user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
ikem-krueger,https://api.github.com/repos/zrythm/zrythm/pulls/18,https://api.github.com/repos/zrythm/zrythm/issues/18,open,2024-02-18,2024-02-18,,b8baa7395e52b4dddc20da8736f0db99d80f6351
ikem-krueger,https://api.github.com/repos/zrythm/zrythm/pulls/17,https://api.github.com/repos/zrythm/zrythm/issues/17,closed,2024-02-17,2024-02-18,2024-02-17,2383024f00c06f693f38b43580f63c53523ef9b6
dependabot[bot],https://api.github.com/repos/zrythm/zrythm/pulls/16,https://api.github.com/repos/zrythm/zrythm/issues/16,closed,2024-01-11,2024-01-15,2024-01-15,86f051f43d4bc6955aea1351153e770572d65831
MalleeFoul,https://api.github.com/repos/zrythm/zrythm/pulls/15,https://api.github.com/repos/zrythm/zrythm/issues/15,closed,2023-11-04,2023-11-04,,8f852987b362c7fe18b546316e3f88e9ecd31f56
dependabot[bot],https://api.github.com/repos/zrythm/zrythm/pulls/14,https://api.github.com/repos/zrythm/zrythm/issues/14,closed,2023-10-17,2023-12-16,,764ffa7988dd92d8358d02b6c0c47ccdf9950cd5
dependabot[bot],https://api.github.com/repos/zrythm/zrythm/pulls/13,https://api.github.com/repos/zrythm/zrythm/issues/13,closed,2023-10-03,2023-10-17,,a48551222a6d87f2dc6b425cecd53a5bd8b9c208
alex-tee,https://api.github.com/repos/zrythm/zrythm/pulls/12,https://api.github.com/repos/zrythm/zrythm/issues/12,closed,2022-10-29,2022-11-01,,de030c09e1caa4fdb950d5de4a891d66ecb8c78b
timgates42,https://api.github.com/repos/zrythm/zrythm/pulls/11,https://api.github.com/repos/zrythm/zrythm/issues/11,closed,2022-07-01,2022-07-07,,2c3365a11d792f44acab23cfe35f1b79afa0d416
luzpaz,https://api.github.com/repos/zrythm/zrythm/pulls/10,https://api.github.com/repos/zrythm/zrythm/issues/10,closed,2022-04-17,2022-04-19,2022-04-19,4e9dfb26321da399134153fbb97b1ef97ef26fad
trebmuh,https://api.github.com/repos/zrythm/zrythm/pulls/9,https://api.github.com/repos/zrythm/zrythm/issues/9,closed,2022-01-31,2022-01-31,2022-01-31,ead6a7ec083824794ab421b6d71834d5a5a2941b
luzpaz,https://api.github.com/repos/zrythm/zrythm/pulls/8,https://api.github.com/repos/zrythm/zrythm/issues/8,closed,2022-01-30,2022-01-30,,06f4da55f3752f305fd4ed70ec86bbe432534229
alex-tee,https://api.github.com/repos/zrythm/zrythm/pulls/7,https://api.github.com/repos/zrythm/zrythm/issues/7,closed,2021-11-07,2021-12-08,2021-12-08,7f64601afd0f7d68dcb194273a13989bd3df5587
kant,https://api.github.com/repos/zrythm/zrythm/pulls/6,https://api.github.com/repos/zrythm/zrythm/issues/6,closed,2021-07-18,2021-07-18,2021-07-18,58440a548b7c82f22b3335abc87d5776881d18af
monkeywithacupcake,https://api.github.com/repos/zrythm/zrythm/pulls/5,https://api.github.com/repos/zrythm/zrythm/issues/5,closed,2020-05-14,2020-12-13,,49924b0271c98ef50ca5fbfbca39ef7bf77dcd4e
alex-tee,https://api.github.com/repos/zrythm/zrythm/pulls/3,https://api.github.com/repos/zrythm/zrythm/issues/3,closed,2020-04-18,2020-04-18,,82f7002c6b9ce92d5d24b9fefdb18a496c0ba1a8
fossabot,https://api.github.com/repos/zrythm/zrythm/pulls/2,https://api.github.com/repos/zrythm/zrythm/issues/2,closed,2020-01-09,2020-01-09,,a66804e5e5f584efee2ed4ecda5b66b169c793b7
