created_at,pull_requests
2014-01-30,2
2014-01-31,3
2014-02-03,2
2014-02-04,2
2014-02-05,3
2014-02-07,1
2014-02-08,1
2014-02-19,1
2014-02-21,1
2014-02-27,1
2014-03-10,1
2014-05-01,2
2014-05-03,1
2014-05-05,1
2014-05-06,1
2014-06-06,1
2014-07-01,1
2014-07-07,1
2014-07-08,2
2014-07-23,1
2014-08-04,3
2014-08-07,4
2014-08-13,1
2014-08-21,1
2014-08-27,1
2014-08-28,1
2014-10-08,2
2014-10-09,1
2014-10-16,1
2014-11-18,1
2014-12-04,1
2014-12-05,1
2015-01-13,1
2015-01-23,1
2015-01-26,3
2015-02-27,4
2015-03-03,1
2015-04-02,1
2015-04-03,1
2015-04-08,1
2015-04-13,2
2015-04-15,1
2015-04-16,1
2015-04-22,1
2015-04-28,1
2015-05-12,1
2015-05-22,3
2015-06-01,1
2015-06-04,1
2015-06-25,1
2015-07-31,2
2015-08-06,1
2015-08-11,2
2015-08-14,1
2015-08-15,1
2015-08-18,2
2015-08-25,3
2015-08-26,3
2015-08-27,1
2015-08-30,1
2015-09-02,1
2015-09-03,1
2015-09-04,1
2015-09-08,2
2015-09-09,4
2015-09-10,1
2015-09-11,1
2015-09-14,2
2015-09-21,1
2015-09-22,4
2015-09-23,1
2015-09-28,1
2015-10-12,3
2015-10-15,4
2015-10-22,6
2015-10-23,1
2015-10-26,1
2015-10-27,5
2015-10-28,5
2015-10-29,1
2015-10-31,1
2015-11-11,1
2015-11-12,1
2015-11-13,1
2015-11-30,1
2015-12-07,1
2015-12-11,1
2015-12-24,1
2015-12-29,2
2015-12-30,1
2015-12-31,1
2016-01-04,2
2016-01-07,1
2016-01-11,3
2016-01-12,1
2016-02-01,2
2016-02-02,2
2016-02-04,1
2016-02-17,1
2016-02-21,1
2016-02-26,1
2016-03-04,1
2016-03-05,1
2016-03-16,1
2016-03-22,2
2016-03-25,1
2016-03-29,1
2016-03-30,3
2016-03-31,1
2016-04-12,1
2016-05-20,1
2016-05-24,1
2016-06-10,1
2016-07-06,2
2016-07-08,3
2016-07-09,2
2016-07-11,3
2016-07-12,1
2016-07-13,2
2016-10-14,2
2016-10-19,1
2016-10-31,3
2016-11-23,1
2016-11-29,1
2017-01-03,1
2017-01-04,1
2017-06-05,1
2017-08-25,1
2017-08-27,1
2017-09-12,1
2017-09-19,1
2017-10-20,1
2017-11-20,1
2017-12-26,1
2018-01-01,2
2018-03-29,1
2018-06-12,1
2018-08-14,1
2018-09-26,1
2019-03-27,2
2019-10-15,1
2020-02-28,1
2020-04-13,1
2020-04-16,1
2020-09-30,1
2021-05-14,1
2021-05-20,1
