created_at,pull_requests
2011-11-27,1
2011-12-07,1
2012-01-04,1
2012-01-25,1
2012-01-26,1
2012-02-02,1
2012-02-12,2
2012-02-16,2
2012-02-17,3
2012-02-20,1
2012-02-21,1
2012-02-22,1
2012-02-25,1
2012-02-29,1
2012-03-01,1
2012-03-03,1
2012-03-06,1
2012-03-07,1
2012-03-09,1
2012-04-20,1
2012-04-22,2
2012-04-24,2
2012-04-25,1
2012-04-30,1
2012-05-01,1
2012-05-06,1
2012-05-08,1
2012-05-13,1
2012-05-15,1
2012-05-29,1
2012-08-31,1
2012-09-10,1
2012-09-27,1
2012-10-04,1
2012-11-15,1
2013-01-27,1
2013-02-02,1
2013-03-18,1
2013-03-23,1
2013-04-01,1
2013-04-26,1
2013-06-10,1
2013-07-15,1
2013-09-09,1
2013-10-08,1
2013-11-01,1
2013-11-21,1
2013-11-25,1
2014-03-02,1
2014-06-16,1
2014-06-24,1
2014-07-17,1
2014-07-25,1
2014-08-04,2
2014-08-12,1
2014-08-16,1
2014-08-18,1
2014-08-20,2
2014-08-22,1
2014-08-25,1
2014-08-31,1
2014-09-03,2
2014-09-05,1
2014-09-06,1
2014-09-07,1
2014-09-08,1
2014-09-09,1
2014-09-10,1
2014-09-12,1
2014-09-14,1
2014-09-15,1
2014-09-18,1
2014-09-19,1
2014-09-20,1
2014-09-24,1
2014-09-25,1
2014-09-29,2
2014-10-03,1
2014-10-05,1
2014-10-08,5
2014-10-09,1
2014-10-12,1
2014-10-13,1
2014-10-14,1
2014-10-17,2
2014-10-28,2
2014-11-03,1
2014-11-05,1
2014-11-07,1
2014-11-10,1
2014-11-22,1
2014-11-24,1
2014-11-30,1
2014-12-05,2
2014-12-07,1
2014-12-08,1
2014-12-09,2
2014-12-12,2
2014-12-13,1
2014-12-16,1
2014-12-21,2
2014-12-26,2
2014-12-27,1
2014-12-28,1
2014-12-29,1
2014-12-31,1
2015-01-04,1
2015-01-11,2
2015-01-24,1
2015-01-25,1
2015-02-09,5
2015-02-10,1
2015-02-11,2
2015-02-16,1
2015-02-19,1
2015-02-22,3
2015-02-23,2
2015-02-24,2
2015-02-26,1
2015-02-27,1
2015-03-01,1
2015-03-02,1
2015-03-04,1
2015-03-10,1
2015-03-28,1
2015-04-06,1
2015-04-07,1
2015-04-13,1
2015-04-14,1
2015-04-15,1
2015-04-24,2
2015-05-01,1
2015-05-23,1
2015-06-12,1
2015-06-18,1
2015-06-19,2
2015-06-21,2
2015-06-23,1
2015-06-24,1
2015-06-25,1
2015-06-30,1
2015-07-11,2
2015-07-13,3
2015-07-15,1
2015-07-17,1
2015-07-25,1
2015-08-30,1
2015-08-31,2
2015-09-01,1
2015-09-08,1
2015-09-09,1
2015-09-11,1
2015-09-30,1
2015-10-19,1
2015-10-20,1
2015-11-01,1
2015-11-16,1
2015-11-28,1
2015-11-29,1
2015-12-09,1
2015-12-11,1
2015-12-17,3
2015-12-31,1
2016-01-05,1
2016-01-11,1
2016-01-14,2
2016-01-15,2
2016-01-17,1
2016-01-21,2
2016-01-22,2
2016-01-23,1
2016-01-24,1
2016-01-25,4
2016-01-27,1
2016-01-29,1
2016-01-31,1
2016-02-03,1
2016-02-18,1
2016-02-28,1
2016-03-02,1
2016-03-03,2
2016-03-08,2
2016-03-12,1
2016-03-17,1
2016-03-18,1
2016-03-23,1
2016-03-24,1
2016-04-07,2
2016-04-08,2
2016-04-14,1
2016-04-23,1
2016-04-26,1
2016-04-30,1
2016-05-21,1
2016-05-22,2
2016-05-23,2
2016-05-24,1
2016-05-25,1
2016-05-27,2
2016-05-31,1
2016-06-01,1
2016-06-02,3
2016-06-03,1
2016-06-05,2
2016-06-13,1
2016-06-17,1
2016-06-20,1
2016-07-17,1
2016-07-31,1
2016-08-03,1
2016-08-06,1
2016-08-10,4
2016-08-12,3
2016-08-13,2
2016-08-14,1
2016-08-17,1
2016-08-18,1
2016-08-22,1
2016-08-24,1
2016-09-10,1
2016-09-14,1
2016-09-18,1
2016-09-24,1
2016-09-27,1
2016-09-29,1
2016-10-09,1
2016-10-20,1
2016-10-21,1
2016-10-26,1
2016-10-28,4
2016-10-30,1
2016-11-01,2
2016-11-04,1
2016-11-07,2
2016-11-14,1
2016-12-05,1
2016-12-08,1
2016-12-09,1
2016-12-13,1
2016-12-16,2
2016-12-22,1
2016-12-26,1
2017-01-06,1
2017-01-13,2
2017-01-20,1
2017-01-23,1
2017-01-30,1
2017-01-31,1
2017-02-01,1
2017-02-02,1
2017-02-11,1
2017-02-12,1
2017-02-13,2
2017-02-14,1
2017-02-15,1
2017-02-21,1
2017-02-23,1
2017-03-01,1
2017-03-06,1
2017-03-07,2
2017-03-10,1
2017-03-14,1
2017-03-16,1
2017-03-17,1
2017-04-06,1
2017-04-19,1
2017-04-21,1
2017-05-05,1
2017-05-08,1
2017-05-10,1
2017-05-31,1
2017-06-09,1
2017-06-15,1
2017-06-19,1
2017-06-20,1
2017-06-22,1
2017-06-27,1
2017-07-10,1
2017-07-20,1
2017-07-24,1
2017-07-29,1
2017-07-30,1
2017-08-01,1
2017-08-03,1
2017-08-05,1
2017-08-07,1
2017-08-08,1
2017-08-09,2
2017-08-15,1
2017-08-21,1
2017-08-27,1
2017-08-28,1
2017-09-01,1
2017-09-08,1
2017-09-11,1
2017-09-13,1
2017-09-14,1
2017-09-16,1
2017-09-19,1
2017-09-21,1
2017-09-22,1
2017-09-23,1
2017-09-24,1
2017-09-26,1
2017-09-28,1
2017-09-30,1
2017-10-01,1
2017-10-05,1
2017-10-10,2
2017-10-11,2
2017-10-13,2
2017-10-15,1
2017-10-21,4
2017-10-22,2
2017-10-23,2
2017-10-24,1
2017-10-25,1
2017-10-27,4
2017-10-28,1
2017-11-01,2
2017-11-04,2
2017-11-05,1
2017-11-06,1
2017-11-10,2
2017-11-17,1
2017-11-20,1
2017-11-27,1
2017-12-01,1
2017-12-07,1
2017-12-08,1
2017-12-09,1
2017-12-20,1
2017-12-21,3
2017-12-24,1
2017-12-27,2
2018-01-05,1
2018-01-08,1
2018-01-16,2
2018-01-22,1
2018-02-02,1
2018-02-03,1
2018-02-07,1
2018-02-11,2
2018-02-12,1
2018-02-14,1
2018-02-18,1
2018-02-21,1
2018-02-22,1
2018-02-27,1
2018-03-04,1
2018-03-05,1
2018-03-06,1
2018-03-08,1
2018-03-15,1
2018-03-18,1
2018-03-19,3
2018-03-20,1
2018-03-21,1
2018-03-22,1
2018-03-23,1
2018-03-25,1
2018-03-28,1
2018-03-29,1
2018-03-31,1
2018-04-02,1
2018-04-04,2
2018-04-05,2
2018-04-06,1
2018-04-07,1
2018-04-08,1
2018-04-10,1
2018-04-11,1
2018-04-12,2
2018-04-14,1
2018-04-15,3
2018-04-16,1
2018-04-20,1
2018-04-21,2
2018-04-23,1
2018-04-24,1
2018-04-30,2
2018-05-01,1
2018-05-02,2
2018-05-03,2
2018-05-04,1
2018-05-07,2
2018-05-08,1
2018-05-09,1
2018-05-10,1
2018-05-11,1
2018-05-12,1
2018-05-14,2
2018-05-16,6
2018-05-17,3
2018-05-18,2
2018-05-19,1
2018-05-20,1
2018-05-21,1
2018-05-23,1
2018-05-25,1
2018-05-26,1
2018-05-28,1
2018-05-29,1
2018-05-31,1
2018-06-04,2
2018-06-06,1
2018-06-07,1
2018-06-08,1
2018-07-22,1
2018-09-03,1
2019-02-14,1
2019-06-25,1
2019-08-16,1
2020-03-24,1
2020-05-11,1
2020-10-02,1
2020-11-13,1
2021-09-18,1
2021-10-13,1
2021-10-18,1
2021-10-19,1
2021-12-15,1
2022-08-31,1
2023-05-02,1
2023-05-11,1
2023-10-30,1
