created_at,pull_requests
2017-11-06,1
2017-11-19,2
2017-11-21,1
2017-11-22,1
2017-11-24,1
2017-11-28,1
2017-12-19,1
2018-01-14,1
2018-01-27,1
2018-01-29,1
2018-02-26,1
2018-03-01,1
2018-03-11,3
2018-03-18,2
2018-04-02,1
2018-04-14,1
2018-04-23,1
2018-05-13,1
2018-05-19,1
2018-05-23,1
2018-07-03,1
2018-07-16,1
2018-07-17,1
2018-07-21,1
2018-08-04,2
2018-08-07,1
2018-08-15,1
2018-08-17,1
2018-08-25,2
2018-08-28,2
2018-08-31,1
2018-09-16,1
2018-09-20,1
2018-09-25,1
2018-10-01,1
2018-10-13,1
2018-10-25,1
2018-10-27,2
2018-11-09,2
2018-11-16,1
2018-11-23,1
2018-12-09,1
2019-01-04,2
2019-01-10,1
2019-01-21,1
2019-02-12,1
2019-02-25,1
2019-03-27,1
2019-04-12,2
2019-04-13,1
2019-04-22,1
2019-04-23,1
2019-04-26,1
2019-05-15,1
2019-06-22,1
2019-06-25,1
2019-08-09,1
2019-08-14,1
2019-08-19,1
2019-08-21,2
2019-08-22,1
2019-09-05,1
2019-10-22,1
2019-10-25,1
2019-10-31,1
2019-11-12,1
2019-11-13,1
2019-11-16,1
2019-11-22,1
2019-12-03,1
2019-12-08,1
2019-12-13,1
2019-12-23,1
2019-12-24,1
2020-01-03,1
2020-01-07,1
2020-01-18,1
2020-01-20,1
2020-01-21,1
2020-01-23,2
2020-01-26,1
2020-01-27,1
2020-01-28,1
2020-01-29,4
2020-02-03,1
2020-02-04,2
2020-02-09,1
2020-02-18,1
2020-02-20,2
2020-02-28,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,2
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,1
2020-03-30,1
2020-03-31,1
2020-04-01,18
2020-04-04,1
2020-04-05,1
2020-04-06,10
2020-04-13,10
2020-04-15,1
2020-04-20,12
2020-04-29,1
2020-04-30,1
2020-05-03,3
2020-05-04,2
2020-05-08,1
2020-05-11,1
2020-05-13,1
2020-05-18,3
2020-05-25,2
2020-05-29,1
2020-06-01,3
2020-06-08,3
2020-06-10,1
2020-06-15,1
2020-06-29,2
2020-07-06,1
2020-07-13,1
2020-07-14,1
2020-07-17,1
2020-07-20,1
2020-07-27,1
2020-08-10,2
2020-08-17,1
2020-08-24,3
2020-08-31,2
2020-09-21,2
2020-09-23,1
2020-09-28,1
2020-10-05,2
2020-10-10,1
2020-10-12,2
2020-10-15,1
2020-10-19,3
2020-10-21,2
2020-10-24,2
2020-11-02,1
2020-11-09,1
2020-11-29,1
2020-12-02,1
2020-12-14,10
2020-12-21,7
2020-12-28,7
2021-01-04,6
2021-01-06,1
2021-01-10,1
2021-01-11,3
2021-01-18,9
2021-01-23,1
2021-01-25,4
2021-02-01,7
2021-02-02,1
2021-02-04,2
2021-03-01,10
2021-03-13,1
2021-03-25,1
2021-03-29,1
2021-04-07,1
2021-04-12,1
2021-04-16,1
2021-04-28,1
2021-05-03,10
2021-05-11,2
2021-05-12,1
2021-05-19,1
2021-05-25,1
2021-05-31,2
2021-06-01,10
2021-06-04,1
2021-06-28,1
2021-07-01,10
2021-07-07,1
2021-07-30,2
2021-08-01,10
2021-08-02,11
2021-08-03,1
2021-08-23,1
2021-09-01,10
2021-09-12,1
2021-10-01,7
2021-10-03,3
2021-11-01,8
2021-11-06,4
2021-11-26,1
2021-12-01,10
2021-12-09,1
2021-12-17,1
2021-12-20,1
2021-12-29,1
2022-01-01,10
2022-02-01,9
2022-02-12,12
2022-03-01,10
2022-03-31,1
2022-04-01,9
2022-05-01,8
2022-05-10,3
2022-05-17,1
2022-05-24,2
2022-05-25,1
2022-06-01,10
2022-06-04,1
2022-06-22,1
2022-06-23,14
2022-07-01,5
2022-07-04,5
2022-07-07,1
2022-07-21,1
2022-08-01,7
2022-08-05,5
2022-09-01,7
2022-09-10,6
2022-09-16,1
2022-09-24,1
2022-10-01,11
2022-10-15,1
2022-10-26,1
2022-11-01,5
2022-11-12,2
2022-11-14,1
2022-12-01,10
2022-12-14,3
2022-12-24,1
2023-01-01,10
2023-01-08,1
2023-01-10,1
2023-01-24,1
2023-01-28,1
2023-02-01,8
2023-02-03,1
2023-02-04,1
2023-02-23,1
2023-02-26,1
2023-03-01,11
2023-03-26,1
2023-04-01,12
2023-04-12,2
2023-05-01,10
2023-06-01,5
2023-06-06,1
2023-07-01,7
2023-07-09,1
2023-07-10,1
2023-07-19,1
2023-08-01,8
2023-09-01,7
2023-09-09,1
2023-10-01,12
2023-10-08,1
2023-10-18,3
2023-10-28,1
2023-11-01,10
2023-11-11,1
2023-11-26,1
2023-11-28,1
2023-12-01,8
2023-12-06,1
2024-01-01,5
2024-01-10,1
2024-02-01,5
2024-02-03,2
2024-02-07,1
2024-02-18,1
2024-02-20,1
2024-03-01,8
