created_at,pull_requests
2015-03-12,3
2015-04-03,1
2015-04-25,3
2015-05-10,1
2015-05-12,1
2015-05-17,1
2015-06-05,1
2015-08-09,1
2015-08-17,1
2015-09-04,2
2015-10-11,1
2015-10-16,1
2015-10-22,1
2015-10-27,2
2015-11-05,4
2015-11-07,1
2015-11-09,1
2015-11-29,1
2015-11-30,1
2015-12-01,1
2016-02-17,2
2016-05-13,1
2016-06-01,1
2016-06-02,1
2016-06-03,1
2016-06-11,1
2016-06-19,3
2016-06-29,1
2016-07-01,1
2016-08-04,1
2016-08-10,1
2016-08-11,1
2016-08-14,1
2016-08-15,1
2016-08-20,1
2016-08-30,1
2016-08-31,1
2016-09-08,1
2016-09-30,1
2016-10-13,1
2016-10-14,1
2016-10-29,1
2016-11-14,1
2016-11-28,1
2016-12-09,1
2016-12-13,1
2016-12-16,1
2016-12-18,1
2016-12-19,1
2017-01-02,1
2017-01-26,1
2017-02-23,1
2017-02-27,1
2017-03-01,2
2017-03-03,1
2017-03-15,1
2017-03-16,1
2017-03-24,1
2017-03-27,1
2017-04-08,1
2017-04-23,1
2017-04-24,4
2017-05-04,1
2017-05-08,1
2017-05-09,1
2017-05-10,1
2017-05-20,3
2017-05-26,2
2017-05-31,1
2017-06-01,1
2017-06-04,1
2017-06-08,1
2017-06-10,1
2017-06-12,1
2017-06-20,1
2017-06-21,1
2017-06-24,1
2017-06-27,1
2017-06-28,1
2017-07-19,3
2017-07-24,2
2017-08-01,1
2017-08-02,1
2017-08-09,1
2017-08-15,1
2017-08-22,1
2017-08-24,2
2017-08-25,4
2017-08-26,1
2017-08-31,1
2017-09-03,2
2017-09-05,1
2017-09-06,2
2017-09-11,1
2017-09-12,3
2017-09-14,5
2017-09-18,2
2017-09-21,1
2017-09-29,1
2017-10-02,1
2017-10-12,1
2017-10-16,3
2017-10-17,1
2017-10-18,1
2017-10-19,1
2017-10-20,1
2017-10-23,1
2017-10-25,2
2017-10-30,1
2017-11-01,1
2017-11-02,2
2017-11-06,1
2017-11-07,1
2017-11-12,1
2017-11-15,2
2017-11-17,1
2017-11-29,1
2017-12-26,1
2018-01-03,1
2018-01-19,1
2018-01-22,1
2018-02-23,1
2018-02-24,1
2018-03-01,1
2018-03-15,1
2018-04-16,1
2018-04-17,1
2018-05-03,1
2018-05-09,1
2018-06-01,1
2018-06-09,1
2018-06-14,1
2018-06-19,2
2018-06-20,1
2018-09-03,1
2018-10-09,1
2018-11-25,1
2018-11-26,1
2018-12-17,1
2019-01-14,1
2019-02-04,1
2019-02-13,1
2019-02-21,1
2019-02-25,1
2019-03-10,1
2019-04-01,1
2019-04-05,1
2019-06-11,6
2019-06-12,1
2019-06-29,1
2019-07-07,1
2019-07-24,1
2019-07-29,1
2019-07-31,1
2019-09-20,1
2019-10-05,2
2019-11-05,1
2019-11-18,1
2020-04-23,1
2021-04-22,1
2022-06-11,1
2022-06-15,1
2023-03-22,1
2023-04-18,1
2023-04-24,1
2023-05-22,1
2023-06-06,1
2023-06-22,2
2023-07-06,1
2023-07-28,1
2023-07-31,1
2023-09-01,1
