created_at,pull_requests
2016-02-23,2
2016-05-09,1
2016-05-11,1
2016-05-12,1
2016-05-13,1
2016-05-20,1
2016-05-31,1
2016-06-08,1
2016-07-15,1
2016-07-18,1
2016-07-19,1
2016-07-20,3
2016-07-25,2
2016-07-31,1
2016-08-02,1
2016-08-03,5
2016-08-04,1
2016-08-18,1
2016-09-01,2
2016-09-07,1
2016-09-09,1
2016-09-13,1
2016-09-14,2
2016-09-19,1
2016-09-21,1
2016-10-05,2
2016-10-07,2
2016-10-13,1
2016-10-20,1
2016-10-21,2
2016-10-26,1
2016-11-03,1
2016-11-07,1
2016-11-14,1
2016-11-29,1
2016-12-02,1
2016-12-05,4
2016-12-07,1
2016-12-08,1
2016-12-09,1
2016-12-16,2
2016-12-18,1
2016-12-19,1
2016-12-22,1
2016-12-23,1
2017-01-02,1
2017-01-03,2
2017-01-04,1
2017-01-05,1
2017-01-12,1
2017-01-13,1
2017-01-17,1
2017-01-21,1
2017-01-23,5
2017-01-24,1
2017-01-25,1
2017-01-27,1
2017-01-30,1
2017-02-06,1
2017-02-15,1
2017-02-19,1
2017-02-20,1
2017-02-22,2
2017-02-24,1
2017-02-25,1
2017-02-28,1
2017-03-20,1
2017-03-23,1
2017-03-26,1
2017-04-07,1
2017-05-02,1
2017-05-08,1
2017-05-16,1
2017-05-19,1
2017-05-24,1
2017-06-02,1
2017-06-29,2
2017-07-03,1
2017-07-04,1
2017-07-07,1
2017-07-10,3
2017-07-14,1
2017-07-17,1
2017-07-18,1
2017-07-28,1
2017-08-05,1
2017-08-07,2
2017-08-09,3
2017-08-10,1
2017-08-11,2
2017-08-16,1
2017-08-29,3
2017-09-14,1
2017-09-15,1
2017-09-16,1
2017-09-20,1
2017-09-21,1
2017-09-22,1
2017-09-26,4
2017-09-27,1
2017-09-28,2
2017-10-07,1
2017-10-09,1
2017-10-10,1
2017-10-16,1
2017-10-23,1
2017-10-24,1
2017-11-10,1
2017-11-15,1
2017-11-21,1
2017-11-24,1
2017-11-28,1
2017-11-29,1
2017-12-08,1
2017-12-11,1
2017-12-12,2
2018-01-04,1
2018-01-05,2
2018-01-10,1
2018-01-12,2
2018-01-24,1
2018-01-25,1
2018-01-26,1
2018-01-31,1
2018-02-02,1
2018-02-04,2
2018-02-06,1
2018-02-08,2
2018-02-12,1
2018-02-14,3
2018-02-15,2
2018-02-20,1
2018-02-22,2
2018-02-28,1
2018-03-01,1
2018-03-07,1
2018-03-08,2
2018-03-12,2
2018-03-13,1
2018-03-14,1
2018-03-15,2
2018-03-16,1
2018-03-19,1
2018-03-20,3
2018-03-29,2
2018-03-30,1
2018-04-12,2
2018-04-19,1
2018-05-03,2
2018-05-04,1
2018-05-17,1
2018-05-18,1
2018-05-19,1
2018-05-21,1
2018-05-30,1
2018-06-04,1
2018-06-11,2
2018-06-13,1
