created_at,pull_requests
2019-06-16,1
2019-06-17,1
2019-06-20,1
2019-06-22,1
2019-06-25,2
2019-06-26,3
2019-06-27,2
2019-07-01,2
2019-07-03,2
2019-07-04,3
2019-07-05,2
2019-07-08,3
2019-07-09,1
2019-07-10,3
2019-07-11,1
2019-07-24,1
2019-07-25,1
2019-07-31,2
2019-08-01,1
2019-08-16,1
2019-08-17,1
2019-08-21,1
2019-08-28,1
2019-08-29,1
2019-08-31,1
2019-09-01,2
2019-09-07,1
2019-09-09,1
2019-09-12,1
2019-09-16,1
2019-09-18,3
2019-09-19,2
2019-09-21,1
2019-09-22,1
2019-09-23,1
2019-09-24,1
2019-10-02,1
2019-10-03,2
2019-10-04,1
2019-10-05,1
2019-10-08,2
2019-10-09,2
2019-10-10,1
2019-10-13,1
2019-10-15,1
2019-10-16,1
2019-10-17,2
2019-10-22,1
2019-10-23,4
2019-10-24,3
2019-10-25,1
2019-10-29,1
2019-10-30,1
2019-10-31,1
2019-11-06,1
2019-11-10,1
2019-11-12,1
2019-11-21,2
2019-11-22,1
2019-11-24,3
2019-11-25,1
2019-11-26,3
2019-12-02,3
2019-12-03,2
2019-12-10,2
2019-12-11,2
2019-12-12,1
2019-12-13,2
2019-12-14,1
2019-12-15,1
2019-12-16,2
2019-12-17,1
2019-12-24,3
2019-12-25,3
2020-01-07,1
2020-01-08,1
2020-01-17,1
2020-01-23,1
2020-01-24,1
2020-02-24,1
2020-02-25,1
2020-03-28,1
2020-04-10,1
2020-05-22,1
2020-06-05,1
2020-06-06,1
2020-06-10,1
2020-06-12,1
2020-06-14,2
2020-06-24,1
2020-06-25,1
2020-06-28,1
2020-07-14,1
2020-07-17,1
2020-07-28,1
2020-07-29,3
2020-07-31,1
2020-08-18,1
2020-08-20,1
2020-10-01,1
2020-10-23,2
2020-10-29,1
2020-11-01,1
2020-11-03,1
2020-11-08,1
2020-11-21,1
2020-12-01,2
2020-12-08,1
2020-12-22,1
2021-01-29,1
2021-02-08,1
2021-02-19,1
2021-06-20,1
2021-07-05,1
2021-07-08,1
2021-07-09,1
2021-07-13,1
2021-08-02,1
2021-08-14,1
2021-08-27,1
2021-09-08,1
2021-09-10,1
2021-09-25,1
2021-10-11,1
2021-11-22,1
2022-01-21,1
2022-02-01,1
2022-11-13,1
2022-11-17,1
2022-11-27,1
2023-10-11,1
2023-11-15,1
2023-11-18,2
2023-12-28,1
