created_at,pull_requests
2014-08-15,1
2014-08-25,1
2014-10-08,1
2014-11-09,1
2014-11-10,1
2014-11-11,1
2014-11-12,1
2015-01-28,1
2015-03-06,1
2015-03-30,1
2015-05-09,1
2015-06-03,1
2015-06-25,1
2015-07-01,1
2015-07-15,1
2015-07-17,1
2015-07-23,1
2015-07-27,1
2015-08-26,1
2015-09-06,1
2015-10-04,1
2015-10-22,1
2015-10-27,1
2015-11-05,1
2015-12-01,1
2015-12-10,1
2015-12-12,1
2016-01-09,2
2016-02-19,1
2016-05-05,1
2016-06-06,1
2016-06-20,1
2016-06-28,1
2016-07-21,1
2016-08-30,1
2016-09-16,3
2017-01-21,2
2017-02-14,1
2017-03-09,1
2017-04-05,1
2017-04-07,1
2017-04-08,3
2017-04-12,1
2017-04-24,1
2017-05-20,1
2017-07-03,1
2017-10-06,1
2017-10-24,1
2018-02-23,1
2018-02-26,1
2018-03-21,1
2018-03-26,1
2018-08-25,2
2018-08-27,2
2018-08-28,3
2018-09-13,1
2018-10-27,1
2018-12-11,1
2019-04-12,1
2019-04-16,1
2019-05-01,1
2019-10-30,1
2019-11-15,1
2020-04-23,1
2020-05-26,1
2020-11-15,1
2020-12-21,1
2021-03-02,1
2021-04-27,1
2022-02-21,1
2022-07-22,1
2022-08-30,1
2023-01-20,1
2023-02-01,1
2023-03-16,1
