created_at,pull_requests
2018-08-15,1
2018-08-17,1
2018-08-24,1
2018-08-29,1
2018-09-09,1
2018-09-11,1
2018-10-19,1
2018-11-02,1
2018-11-05,1
2018-11-06,1
2018-11-22,1
2018-12-24,2
2019-01-05,1
2019-01-29,1
2019-02-03,1
2019-02-13,1
2019-03-05,1
2019-03-08,1
2019-05-08,1
2019-05-17,1
2019-05-25,1
2019-06-07,1
2019-06-17,1
2019-07-11,1
2019-07-18,1
2019-08-03,1
2019-08-14,1
2019-08-23,1
2019-08-26,1
2019-09-02,1
2019-09-06,1
2019-09-11,1
2019-09-19,1
2019-09-26,1
2019-10-21,1
2019-10-23,1
2019-11-06,1
2019-12-14,2
2020-02-04,1
2020-02-18,1
2020-03-02,1
2020-03-04,1
2020-03-13,1
2020-03-31,1
2020-04-14,1
2020-04-24,2
2020-05-06,1
2020-05-07,2
2020-05-09,1
2020-05-17,1
2020-05-20,1
2020-05-24,1
2020-05-27,1
2020-05-29,1
2020-06-08,1
2020-06-09,1
2020-06-11,1
2020-06-13,1
2020-06-15,1
2020-06-19,1
2020-06-20,1
2020-07-08,1
2020-08-04,1
2020-08-08,1
2020-08-11,1
2020-08-19,1
2020-09-02,1
2020-09-11,1
2020-10-01,1
2020-10-05,1
2020-10-06,1
2020-10-07,1
2020-10-09,1
2020-10-20,1
2020-10-25,2
2020-11-19,2
2020-11-20,2
2020-11-22,1
2021-01-07,1
2021-01-11,1
2021-01-15,5
2021-01-16,2
2021-01-17,1
2021-01-18,2
2021-01-20,2
2021-01-24,1
2021-01-29,3
2021-02-01,2
2021-02-02,2
2021-02-06,1
2021-02-08,3
2021-02-09,1
2021-02-10,3
2021-02-11,2
2021-02-13,3
2021-02-14,1
2021-02-16,2
2021-02-17,1
2021-02-20,1
2021-02-22,1
2021-02-23,2
2021-02-24,3
2021-03-06,2
2021-03-07,2
2021-03-08,1
2021-03-09,1
2021-03-13,1
2021-03-16,1
2021-03-22,1
2021-03-30,1
2021-04-01,1
2021-04-09,2
2021-04-12,1
2021-04-13,1
2021-04-24,3
2021-04-25,1
2021-04-26,1
2021-04-27,2
2021-04-28,3
2021-04-29,1
2021-05-01,4
2021-05-02,1
2021-05-03,1
2021-05-05,1
2021-05-07,1
2021-05-09,1
2021-05-11,1
2021-05-12,2
2021-05-14,2
2021-05-15,2
2021-05-16,1
2021-05-19,4
2021-05-22,2
2021-05-23,1
2021-05-25,2
2021-05-28,1
2021-05-30,1
2021-05-31,3
2021-06-02,1
2021-06-03,1
2021-06-12,1
2021-06-15,2
2021-06-28,1
2021-07-05,1
2021-07-19,2
2021-07-22,3
2021-07-27,1
2021-07-28,1
2021-07-29,2
2021-07-31,1
2021-08-16,1
2021-08-21,1
2021-08-27,1
2021-08-29,2
2021-09-01,1
2021-09-02,1
2021-09-04,2
2021-09-10,1
2021-09-20,1
2021-10-01,1
2021-10-03,2
2021-10-06,1
2021-10-07,2
2021-10-12,1
2021-10-14,1
2021-10-18,1
2021-10-19,1
2021-10-23,1
2021-10-25,1
2021-11-05,1
2021-11-08,1
2021-11-26,7
2021-11-29,5
2021-11-30,1
2021-12-01,1
2021-12-06,1
2021-12-07,2
2021-12-08,2
2021-12-09,6
2021-12-15,1
2021-12-16,1
2021-12-21,1
2022-01-05,1
2022-01-12,1
2022-02-27,1
2022-03-11,1
2022-03-28,1
2022-04-14,2
2022-04-19,1
2022-04-20,1
2022-04-23,4
2022-05-19,1
2022-06-03,1
2022-06-05,1
2022-06-06,1
2022-06-09,1
2022-06-11,1
2022-06-13,1
2022-07-15,1
2022-07-22,1
2022-09-06,2
2022-09-26,2
2022-09-27,1
2022-10-01,1
2022-10-08,1
2022-10-11,1
2022-10-13,1
2022-10-20,1
2022-10-21,3
2022-11-11,1
2022-12-07,2
2023-01-17,2
2023-01-27,1
2023-01-31,1
2023-02-02,1
2023-02-27,1
2023-03-04,2
2023-05-09,2
2023-05-10,1
2023-05-12,2
2023-05-15,3
2023-05-16,3
2023-05-18,1
2023-05-19,1
2023-05-20,1
2023-05-22,1
2023-05-26,1
2023-05-31,1
2023-06-05,1
2023-06-07,1
2023-07-04,1
2023-07-19,1
2023-07-20,1
2023-07-28,1
2023-08-09,1
2023-08-15,1
2023-09-13,1
2023-09-18,1
2023-09-25,1
2023-11-06,1
2023-11-30,1
