created_at,pull_requests
2015-05-14,1
2015-05-18,1
2015-05-20,1
2015-07-10,1
2015-07-21,1
2015-07-23,1
2015-07-31,1
2015-08-10,1
2015-08-12,1
2015-08-14,1
2015-08-18,1
2015-08-21,1
2015-08-24,2
2015-08-27,1
2015-09-01,2
2015-09-06,1
2015-09-09,1
2015-09-13,1
2015-09-14,1
2015-11-27,2
2015-11-30,1
2015-12-11,1
2015-12-12,1
2015-12-14,1
2015-12-16,1
2015-12-18,1
2016-02-16,1
2016-02-29,1
2016-03-12,2
2016-03-13,1
2016-03-14,1
2016-03-15,1
2016-03-16,1
2016-03-17,1
2016-03-18,2
2016-03-23,1
2016-03-28,2
2016-03-29,1
2016-04-18,1
2016-04-21,4
2016-04-22,1
2016-04-25,1
2016-05-07,2
2016-05-09,1
2016-05-10,3
2016-06-06,1
2016-06-15,1
2016-06-20,1
2016-06-21,1
2016-06-27,3
2016-06-28,1
2016-07-02,1
2016-07-06,1
2016-07-07,1
2016-07-12,1
2016-07-18,1
2016-08-17,1
2016-08-25,1
2016-08-31,1
2016-09-28,1
2016-10-12,1
2016-10-17,1
2016-10-30,1
2016-11-25,1
2016-12-26,2
2017-03-20,1
2017-04-29,1
2017-08-15,1
2017-12-11,1
2018-01-21,1
2018-01-26,1
2018-02-02,1
2018-02-03,2
2018-02-04,1
2018-03-08,1
2018-03-12,2
2018-05-06,1
2018-05-12,1
2018-05-17,1
2018-05-21,1
2018-05-28,1
2018-11-29,1
2018-12-14,1
2018-12-17,1
2019-01-05,1
2019-01-06,1
2019-02-21,1
2019-02-27,1
2019-04-16,2
2019-04-18,1
2019-04-19,1
2019-04-23,1
2019-04-24,1
2019-05-10,1
2019-05-17,1
2019-05-30,1
2019-06-11,1
2019-08-22,1
2019-09-10,1
2019-12-01,1
2020-01-18,1
2020-03-17,1
2020-07-13,1
2020-07-21,1
2020-12-04,1
2021-03-17,2
2021-04-07,1
2021-04-29,1
2021-05-07,1
2021-05-18,1
2021-06-08,1
2021-08-09,1
2021-10-10,1
2022-02-15,1
2022-03-07,1
2022-05-05,1
2022-05-16,2
2022-11-11,1
2023-02-09,1
2023-02-25,1
2023-04-04,1
2023-05-05,1
