created_at,pull_requests
2019-01-13,1
2019-01-21,1
2019-01-23,1
2019-01-24,1
2019-01-25,1
2019-01-27,1
2019-01-28,1
2019-01-30,1
2019-02-04,1
2019-02-05,1
2019-02-06,2
2019-02-13,1
2019-02-15,1
2019-02-16,1
2019-02-18,2
2019-02-19,1
2019-02-20,1
2019-02-21,1
2019-02-22,3
2019-02-24,1
2019-02-25,1
2019-02-26,1
2019-02-27,1
2019-03-04,2
2019-03-07,1
2019-03-10,1
2019-03-11,1
2019-03-14,4
2019-03-15,1
2019-03-19,2
2019-03-20,1
2019-03-22,1
2019-03-23,1
2019-03-25,1
2019-03-27,1
2019-03-28,1
2019-03-29,2
2019-03-31,1
2019-04-11,1
2019-04-29,2
2019-05-01,1
2019-05-02,4
2019-05-03,1
2019-05-05,1
2019-05-06,2
2019-05-14,2
2019-05-18,2
2019-05-19,1
2019-05-22,1
2019-05-28,1
2019-05-30,2
2019-06-01,2
2020-04-07,1
2020-04-08,1
2020-06-26,1
2020-06-27,1
2020-06-28,5
2020-06-29,1
2020-06-30,10
2020-07-01,6
2020-07-02,7
2020-07-03,2
2020-07-05,3
2020-07-06,1
2020-07-07,4
2020-07-09,1
2020-07-10,1
2020-07-11,1
2020-07-13,3
2020-07-14,1
2020-07-16,1
2020-07-17,1
2020-07-18,1
2020-07-20,3
2020-07-21,1
2020-07-22,4
2020-07-23,2
2020-07-24,1
2020-07-25,2
2020-07-26,1
2020-07-27,2
2020-07-28,1
2020-07-29,2
2020-07-30,2
2020-07-31,1
2020-08-01,3
2020-08-02,2
2020-08-03,3
2020-08-05,5
2020-08-10,1
2020-08-14,1
2020-08-15,1
2020-08-17,1
2020-08-19,2
2020-08-26,1
2020-08-30,1
2020-09-02,1
2020-09-03,1
2020-09-14,1
2020-09-17,1
2020-09-22,1
2020-09-28,1
2020-10-06,3
2020-10-24,1
2020-10-25,2
2020-11-03,1
2020-11-08,2
2020-11-09,2
2020-11-10,1
2020-11-24,1
2020-11-27,4
2020-11-28,2
2020-12-06,1
2020-12-07,2
2020-12-09,1
2020-12-10,1
2020-12-13,1
2020-12-18,2
2020-12-19,1
2020-12-26,2
2020-12-27,1
2021-01-02,2
2021-01-06,2
2021-01-12,1
2021-01-15,1
2021-01-17,1
2021-01-18,2
2021-01-19,5
2021-01-20,1
2021-01-22,1
2021-01-23,1
2021-01-24,1
2021-01-25,1
2021-01-27,1
2021-01-28,2
2021-01-29,1
2021-02-01,1
2021-02-13,1
2021-02-14,2
2021-02-17,1
2021-02-21,1
2021-02-23,1
2021-03-04,1
2021-03-07,1
2021-03-17,1
2021-03-26,1
2021-04-09,2
2021-05-02,1
2021-05-13,1
2021-05-26,1
2021-05-30,1
2021-06-07,1
2021-06-15,1
2021-06-16,1
2021-06-19,1
2021-06-21,1
2021-06-25,1
2021-07-04,1
2021-07-07,4
2021-07-08,3
2021-07-09,2
2021-07-10,1
2021-07-12,1
2021-07-17,2
2021-07-18,1
2021-07-19,1
2021-07-27,1
2021-07-28,1
2021-08-05,1
2021-08-07,1
2021-08-17,1
2021-08-22,1
2021-09-01,1
2021-09-10,1
2021-09-11,1
2021-09-18,1
2021-09-19,1
2021-10-23,2
2021-11-22,1
2021-11-25,1
2021-12-09,1
2021-12-21,1
2021-12-31,2
2022-02-05,1
2022-02-16,1
2022-02-21,2
2022-04-05,1
2022-04-08,1
2022-04-10,1
2022-05-10,1
2022-05-12,1
2022-05-19,1
2022-05-23,2
2022-05-24,3
2022-05-27,1
2022-05-29,1
2022-05-30,2
2022-05-31,2
2022-06-07,1
2022-06-16,1
2022-06-25,1
2022-06-27,1
2022-06-29,1
2022-07-05,1
2022-07-06,1
2022-07-16,1
2022-07-29,1
2022-08-16,1
2022-08-20,1
2022-09-01,2
2022-09-02,1
2022-09-06,1
2022-09-18,1
2022-09-23,1
2022-10-01,1
2022-10-31,1
2022-11-05,1
2022-11-07,1
2023-03-07,1
2023-04-28,1
2023-07-19,1
2023-07-31,1
2023-08-05,1
2023-08-16,1
2023-09-15,1
2023-10-02,1
