created_at,pull_requests
2020-09-03,1
2020-09-05,1
2020-09-06,1
2020-10-01,1
2020-10-14,1
2020-10-30,3
2020-11-11,1
2020-11-14,1
2020-11-15,2
2020-11-16,1
2020-11-17,3
2020-11-21,1
2020-11-22,1
2020-11-23,1
2020-11-27,1
2020-12-02,1
2020-12-30,1
2020-12-31,1
2021-01-08,1
2021-01-29,1
2021-02-01,1
2021-02-02,1
2021-02-03,1
2021-02-17,1
2021-02-19,1
2021-02-25,1
2021-03-13,1
2021-03-18,1
2021-03-28,1
2021-05-12,1
2021-05-16,1
2021-05-19,1
2021-05-24,1
2021-06-03,1
2021-06-05,1
2021-07-05,1
2021-07-16,1
2021-07-28,1
2021-07-29,1
2021-07-30,2
2021-08-13,1
2021-08-20,2
2021-08-21,1
2021-09-03,1
2021-09-10,1
2021-09-16,1
2021-09-23,2
2021-10-04,1
2021-10-15,1
2021-10-18,1
2021-10-23,2
2021-11-18,1
2021-12-03,2
2021-12-07,1
2021-12-09,3
2021-12-10,1
2021-12-12,1
2021-12-14,2
2021-12-15,1
2022-01-06,1
2022-01-08,1
2022-01-09,1
2022-01-12,1
2022-01-14,2
2022-01-23,1
2022-02-15,1
2022-02-22,1
2022-03-02,1
2022-03-07,1
2022-03-15,1
2022-03-19,2
2022-03-20,1
2022-03-21,1
2022-03-22,1
2022-03-25,2
2022-04-25,1
2022-04-28,2
2022-05-12,1
2022-05-29,1
2022-06-12,1
2022-06-13,4
2022-06-16,2
2022-07-16,1
2022-07-23,1
2022-07-24,1
2022-07-29,1
2022-08-03,1
2022-08-12,3
2022-08-14,1
2022-08-27,1
2022-09-02,2
2022-09-05,1
2022-09-14,1
2022-09-18,1
2022-10-05,1
2022-10-09,1
2022-10-14,2
2022-10-17,1
2022-10-19,3
2022-10-20,1
2022-10-27,1
2022-11-02,6
2022-11-04,1
2022-11-09,1
2022-11-11,1
2022-11-12,1
2022-11-16,2
2022-11-19,1
2022-11-20,1
2022-11-23,2
2022-12-06,3
2022-12-07,1
2022-12-14,1
2022-12-16,2
2022-12-19,1
2022-12-20,1
2022-12-23,1
2023-01-04,1
2023-01-07,2
2023-01-11,1
2023-01-16,1
2023-01-18,1
2023-01-19,1
2023-01-25,1
2023-01-31,1
2023-02-01,3
2023-02-06,1
2023-02-08,1
2023-02-12,1
2023-02-14,1
2023-02-15,1
2023-02-16,1
2023-02-22,2
2023-03-01,1
2023-03-06,1
2023-03-08,1
2023-03-22,1
2023-03-29,1
2023-04-05,1
2023-04-12,2
2023-04-19,1
2023-04-22,1
2023-04-26,1
2023-05-03,2
2023-05-05,1
2023-05-06,1
2023-05-10,2
2023-05-11,1
2023-05-12,1
2023-05-17,2
2023-05-22,2
2023-05-31,1
2023-06-01,1
2023-06-03,1
2023-06-07,3
2023-06-08,1
2023-06-12,1
2023-06-20,1
2023-06-26,1
2023-06-27,1
2023-06-29,1
2023-06-30,3
2023-07-03,1
2023-07-04,1
2023-07-05,1
2023-07-09,1
2023-07-10,1
2023-07-13,1
2023-07-14,1
2023-07-16,1
2023-07-19,1
2023-07-20,1
2023-07-24,2
2023-07-26,1
2023-07-31,1
2023-08-01,1
2023-08-02,1
2023-08-03,1
2023-08-07,1
2023-08-08,1
2023-08-11,1
2023-08-15,1
2023-08-18,1
2023-09-04,1
2023-09-05,1
2023-09-06,2
2023-09-13,4
2023-09-20,1
2023-09-21,1
2023-09-22,1
2023-09-23,3
2023-09-25,1
2023-09-26,1
2023-09-30,2
2023-10-02,1
2023-10-03,1
2023-10-11,1
2023-10-12,1
2023-10-18,2
2023-10-24,1
2023-10-30,2
2023-11-01,2
2023-11-02,1
2023-11-03,1
2023-11-05,1
2023-11-06,2
2023-11-07,1
2023-11-08,1
2023-11-09,1
2023-11-10,1
2023-11-13,1
2023-11-14,1
2023-11-28,2
2023-12-04,1
2023-12-07,1
2023-12-08,1
2023-12-19,1
2024-01-09,2
2024-01-11,1
2024-01-12,1
2024-01-15,1
2024-01-18,1
2024-01-20,1
2024-01-25,1
2024-01-26,4
2024-01-29,1
2024-01-31,1
2024-02-01,1
2024-02-02,1
2024-02-07,1
2024-02-08,1
2024-02-21,1
2024-02-22,1
2024-02-26,2
2024-02-27,1
2024-02-28,1
2024-03-03,1
