created_at,pull_requests
2017-11-02,1
2017-11-04,1
2017-11-06,2
2017-11-07,2
2017-11-10,6
2017-11-11,2
2017-11-13,2
2017-11-14,1
2017-11-15,1
2017-11-20,2
2017-11-21,6
2017-11-22,4
2017-11-23,3
2017-11-24,1
2017-11-27,3
2017-11-28,2
2017-11-30,5
2017-12-01,4
2017-12-02,1
2017-12-03,1
2017-12-04,8
2017-12-05,7
2017-12-06,5
2017-12-07,3
2017-12-12,8
2017-12-13,1
2017-12-14,1
2017-12-18,1
2017-12-19,2
2017-12-20,3
2017-12-21,1
2017-12-25,7
2017-12-26,4
2017-12-28,1
2018-01-02,1
2018-01-06,1
2018-01-08,1
2018-01-09,1
2018-01-12,3
2018-01-15,1
2018-01-16,2
2018-01-17,1
2018-01-18,3
2018-01-21,1
2018-01-22,1
2018-01-23,1
2018-01-25,1
2018-01-26,1
2018-01-29,2
2018-01-30,1
2018-02-05,3
2018-02-08,1
2018-02-11,1
2018-02-12,1
2018-02-13,1
2018-02-14,1
2018-02-19,1
2018-02-24,1
2018-02-27,2
2018-03-09,1
2018-03-12,2
2018-03-13,1
2018-03-16,2
2018-03-17,1
2018-03-19,4
2018-03-21,1
2018-03-22,1
2018-03-26,2
2018-03-28,1
2018-03-29,1
2018-03-30,1
2018-04-03,1
2018-04-09,2
2018-04-12,3
2018-04-13,1
2018-04-15,1
2018-04-16,1
2018-04-17,2
2018-04-23,2
2018-04-24,2
2018-04-25,1
2018-04-27,1
2018-04-28,1
2018-05-09,1
2018-05-10,1
2018-05-11,1
2018-05-14,1
2018-05-15,1
2018-05-16,1
2018-05-19,1
2018-06-01,3
2018-06-03,1
2018-06-06,1
2018-06-07,1
2018-06-08,1
2018-06-10,1
2018-06-12,1
2018-06-15,1
2018-06-17,1
2018-06-21,4
2018-06-27,1
2018-07-02,1
2018-07-06,2
2018-07-09,1
2018-07-12,3
2018-07-13,1
2018-07-15,1
2018-07-19,2
2018-07-20,1
2018-07-23,1
2018-07-25,1
2018-07-26,1
2018-08-20,1
2018-08-21,1
2018-08-22,2
2018-08-24,1
2018-08-26,1
2018-08-28,3
2018-09-06,1
2018-09-16,1
2018-09-18,1
2018-09-19,1
2018-10-01,2
2018-10-09,2
2018-10-10,1
2018-10-25,1
2018-10-29,1
2018-10-30,1
2018-10-31,1
2018-11-02,1
2018-11-05,1
2018-11-07,3
2018-11-09,4
2018-11-11,2
2018-11-13,2
2018-11-21,2
2018-11-22,1
2018-12-05,1
2018-12-06,1
2018-12-26,1
2018-12-27,2
2019-01-29,1
2019-01-30,1
2019-01-31,1
2019-02-01,1
2019-02-13,1
2019-02-14,1
2019-02-19,1
2019-02-21,1
2019-02-22,1
2019-03-16,1
2019-05-31,2
2019-07-04,1
2019-07-21,1
2019-08-26,1
2019-08-27,1
2019-09-03,1
2019-09-04,1
2019-09-05,1
2019-09-06,4
2019-09-08,1
2019-09-11,2
2019-09-12,2
2019-09-16,1
2019-09-18,1
2019-09-20,1
2019-09-23,1
2019-09-24,4
2019-09-26,8
2019-09-27,3
2019-09-29,1
2019-10-04,3
2019-10-05,3
2019-10-07,1
2019-10-08,1
2019-10-09,2
2019-10-11,3
2019-10-12,2
2019-10-13,1
2019-10-14,1
2019-10-15,1
2019-10-16,2
2019-10-17,2
2019-10-18,2
2019-10-24,1
2019-10-25,2
2019-10-28,3
2019-10-29,2
2019-10-30,5
2019-10-31,3
2019-11-01,5
2019-11-04,1
2019-11-05,1
2019-11-07,3
2019-11-08,4
2019-11-10,1
2019-11-11,2
2019-11-12,2
2019-11-13,2
2019-11-14,1
2019-11-15,2
2019-11-16,2
2019-11-17,2
2019-11-18,3
2019-11-19,4
2019-11-20,1
2019-11-21,1
2019-11-22,1
2019-11-23,2
2019-11-27,1
2019-11-28,3
2019-11-29,1
2019-11-30,2
2019-12-01,1
2019-12-02,4
2019-12-03,2
2019-12-05,7
2019-12-08,3
2019-12-09,4
2019-12-10,2
2019-12-13,2
2019-12-14,1
2019-12-15,1
2019-12-16,4
2019-12-17,3
2019-12-19,2
2019-12-20,2
2019-12-23,3
2019-12-24,3
2019-12-25,1
2019-12-26,6
2019-12-27,3
2020-01-02,1
2020-01-03,4
2020-01-06,3
2020-01-08,1
2020-01-09,1
2020-01-10,1
2020-01-13,2
2020-01-14,3
2020-01-16,1
2020-01-17,1
2020-01-22,4
2020-01-31,1
2020-02-03,2
2020-02-05,2
2020-02-06,1
2020-02-09,1
2020-02-10,2
2020-02-12,1
2020-02-13,2
2020-02-14,3
2020-02-18,1
2020-02-20,1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-03-01,2
2020-03-03,1
2020-03-04,3
2020-03-10,1
2020-03-13,1
2020-03-14,1
2020-03-16,2
2020-03-19,4
2020-03-20,1
2020-03-22,5
2020-03-23,4
2020-03-24,1
2020-03-25,4
2020-03-26,5
2020-03-30,5
2020-04-01,3
2020-04-04,3
2020-04-05,3
2020-04-06,3
2020-04-08,5
2020-04-10,2
2020-04-13,2
2020-04-14,1
2020-04-15,5
2020-04-16,3
2020-04-22,1
2020-04-23,1
2020-04-28,4
2020-04-29,3
2020-05-04,3
2020-05-05,1
2020-05-07,8
2020-05-08,1
2020-05-11,4
2020-05-14,1
2020-05-15,1
2020-05-18,1
2020-05-20,3
2020-05-21,1
2020-05-22,2
2020-05-25,2
2020-05-27,4
2020-05-28,1
2020-06-01,1
2020-06-02,2
2020-06-08,2
2020-06-09,2
2020-06-11,1
2020-06-12,3
2020-06-13,1
2020-06-15,2
2020-06-16,1
2020-06-17,5
2020-06-18,3
2020-06-22,1
2020-06-23,2
2020-06-29,1
2020-06-30,2
2020-07-01,2
2020-07-03,5
2020-07-07,1
2020-07-09,2
2020-07-14,1
2020-07-15,1
2020-07-16,3
2020-07-22,1
2020-07-25,2
2020-07-29,1
2020-08-03,3
2020-08-04,1
2020-08-05,1
2020-08-10,1
2020-08-25,1
2020-09-03,1
2020-09-04,1
2020-09-06,1
2020-09-10,1
2020-09-12,1
2020-12-11,1
2020-12-19,1
2021-01-05,1
2021-01-11,8
2021-01-29,1
2021-02-26,1
2021-03-08,1
2021-03-19,1
2021-03-30,2
2021-04-30,1
2021-05-07,1
2021-05-08,2
2021-05-10,2
2021-05-11,2
2021-06-17,1
2021-06-21,2
2021-06-28,1
2021-06-30,4
2021-07-01,1
2021-08-03,1
2021-08-05,1
2021-08-10,1
2021-08-11,3
2021-08-27,1
2021-09-01,2
2021-09-13,3
2021-09-20,1
2021-09-21,1
2021-09-29,1
2021-10-05,1
2021-10-11,6
2021-10-12,5
2021-10-14,4
2021-10-15,5
2021-10-20,1
2021-11-10,1
2021-11-19,1
2021-11-23,2
2021-12-01,1
2021-12-13,1
2022-01-15,2
2022-01-22,3
2022-02-14,1
2022-02-26,1
2022-03-28,1
2022-04-10,1
2022-04-28,1
2022-04-29,1
2022-07-20,1
2022-07-22,1
2022-11-08,1
2022-11-16,1
2022-12-03,1
2022-12-07,3
2023-01-04,1
2023-01-05,2
2023-01-23,1
2023-01-27,1
2023-02-03,1
2023-03-05,1
2023-03-14,1
