created_at,pull_requests
2016-04-25,1
2016-04-28,1
2016-04-29,2
2016-05-03,1
2016-05-24,1
2016-07-07,1
2016-08-01,1
2016-08-09,1
2016-11-10,1
2016-11-24,1
2016-11-29,1
2016-12-16,1
2017-02-25,1
2017-03-26,1
2017-04-01,1
2017-04-02,1
2017-04-11,1
2017-05-17,1
2017-06-01,1
2017-06-26,1
2017-08-22,1
2017-10-25,1
2017-12-08,1
2017-12-10,1
2017-12-13,1
2017-12-18,1
2018-01-02,1
2018-01-03,2
2018-01-18,1
2018-01-24,1
2018-03-23,1
2018-04-01,1
2018-05-15,1
2018-06-01,1
2018-06-07,1
2018-06-12,1
2018-07-25,1
2018-08-10,1
2018-10-01,1
2018-10-02,1
2018-11-27,2
2018-12-04,1
2018-12-13,1
2019-01-30,1
2019-02-02,1
2019-03-06,1
2019-03-11,1
2019-03-21,1
2019-06-06,1
2019-06-24,1
2019-07-01,1
2019-07-17,1
2019-09-17,1
2019-09-23,1
2019-10-15,1
2019-10-20,1
2020-01-11,2
2020-01-12,2
2020-03-22,1
2020-03-30,1
2020-04-06,1
2020-04-20,1
2020-04-21,1
2020-06-03,1
2020-06-28,1
2020-06-30,1
2020-07-26,1
2020-08-04,1
2020-08-14,1
2020-09-25,1
2020-09-30,1
2020-10-16,1
2020-12-02,1
2020-12-03,3
2020-12-26,1
2021-02-25,1
2021-03-09,1
2021-04-01,1
2021-04-06,1
2021-06-19,1
2021-07-10,1
2021-07-28,1
2021-08-06,1
2021-08-19,1
2021-08-30,1
2021-09-02,1
2021-09-09,1
2021-10-09,1
2021-11-06,1
2022-01-03,1
2022-01-18,1
2022-03-14,1
2022-03-21,1
2022-04-18,1
2022-04-19,1
2022-05-09,1
2022-05-20,1
2022-07-06,1
2022-07-11,2
2022-07-25,1
2022-08-01,1
2022-08-22,1
2022-09-05,1
2022-09-12,1
2022-09-26,1
2022-10-14,1
2022-10-17,1
2022-10-31,1
2022-11-18,1
2022-11-21,1
2022-12-12,1
2022-12-18,1
2022-12-19,1
2022-12-26,1
2023-01-16,2
2023-01-27,1
2023-03-13,1
2023-04-02,2
2023-05-01,1
2023-06-01,1
2023-06-12,1
2023-07-03,1
2023-07-12,1
2023-07-17,1
2023-07-19,1
2023-08-05,1
2023-08-07,1
2023-08-14,3
2023-08-15,1
2023-08-17,1
2023-08-28,1
2023-09-04,1
2023-09-11,1
2023-09-18,1
2023-09-25,1
2023-10-02,1
2023-10-09,1
2023-10-16,1
2023-10-23,1
2023-10-30,1
2023-11-06,1
2023-11-13,1
2023-11-20,2
2023-12-01,1
2023-12-11,1
2023-12-18,1
2023-12-25,1
2024-01-07,1
2024-01-08,1
2024-01-11,1
2024-01-13,1
2024-01-15,1
2024-01-22,1
2024-02-05,1
2024-02-12,1
2024-02-13,1
2024-02-16,1
2024-02-27,1
2024-02-29,1
