created_at,pull_requests
2015-12-17,1
2016-02-16,2
2016-02-25,1
2016-07-12,1
2016-10-12,1
2017-11-04,1
2017-12-01,1
2017-12-07,1
2018-02-27,1
2018-04-02,2
2018-04-17,1
2018-07-02,1
2018-08-07,2
2018-10-08,1
2018-10-11,1
2018-10-30,1
2018-12-10,1
2019-02-28,1
2019-07-26,1
2019-09-09,1
2020-03-11,1
2020-04-02,1
2020-06-27,1
2020-06-28,5
2020-06-29,1
2020-07-16,1
2020-07-17,1
2020-07-30,1
2020-07-31,1
2020-08-06,1
2020-08-10,1
2020-08-11,1
2020-08-14,2
2020-08-19,1
2020-08-23,1
2020-09-09,1
2020-09-16,1
2020-09-22,1
2020-09-25,1
2020-09-28,1
2020-09-30,1
2020-10-06,1
2020-10-12,1
2020-10-15,1
2020-10-19,1
2020-10-26,1
2020-11-02,1
2020-11-04,1
2020-11-19,2
2020-11-26,1
2020-11-27,1
2020-12-07,1
2020-12-29,1
2021-01-04,1
2021-01-19,1
2021-01-22,1
2021-01-25,1
2021-02-02,1
2021-02-03,1
2021-02-15,2
2021-02-24,1
2021-02-25,1
2021-03-03,2
2021-03-17,2
2021-03-18,2
2021-03-22,2
2021-03-23,1
2021-04-16,1
2021-04-19,1
2021-04-26,1
2021-05-05,1
2021-05-10,1
2021-05-14,1
2021-05-17,1
2021-05-24,2
2021-06-09,1
2021-07-02,1
2021-07-08,1
2021-07-12,1
2021-07-30,1
2021-08-16,1
2021-09-07,1
2021-09-10,1
2021-09-20,1
2021-10-12,1
2021-10-14,1
2021-10-18,1
2021-10-21,1
2021-11-03,1
2021-11-11,1
2021-11-15,1
2021-11-19,1
2021-12-08,1
2021-12-14,1
2021-12-22,2
2021-12-27,1
2021-12-29,1
2021-12-31,1
2022-01-02,1
2022-01-05,2
2022-01-10,1
2022-01-12,2
2022-01-21,1
2022-02-11,1
2022-02-14,2
2022-02-15,1
2022-02-16,1
2022-02-22,1
2022-03-08,1
2022-03-11,1
2022-03-15,1
2022-03-24,1
2022-03-29,1
2022-04-04,1
2022-04-05,1
2022-04-15,1
2022-04-20,2
2022-04-21,1
2022-05-05,1
2022-05-20,2
2022-06-08,1
2022-06-10,1
2022-06-27,2
2022-07-07,1
2022-07-15,1
2022-07-19,2
2022-07-25,3
2022-07-26,1
2022-07-28,1
2022-08-04,1
2022-08-09,1
2022-08-10,1
2022-08-15,1
2022-08-22,2
2022-09-05,1
2022-09-06,1
2022-09-08,1
2022-09-14,2
2022-09-16,1
2022-09-19,1
2022-09-20,1
2022-09-21,1
2022-09-22,2
2022-09-29,1
2022-09-30,1
2022-10-03,2
2022-10-10,1
2022-10-11,3
2022-10-12,1
2022-10-17,1
2022-10-27,1
2022-10-28,1
2022-11-07,1
2022-11-08,1
2022-11-18,2
2022-11-28,1
2022-11-30,1
2022-12-09,1
2022-12-15,1
2022-12-16,2
2022-12-26,1
2022-12-29,1
2023-01-05,1
2023-01-11,1
2023-01-12,3
2023-01-13,1
2023-02-01,1
2023-02-03,1
2023-02-06,2
2023-02-10,1
2023-02-13,1
2023-02-14,1
2023-02-16,1
2023-02-20,1
2023-02-22,1
2023-02-27,1
2023-02-28,2
2023-03-03,1
2023-03-06,1
2023-03-08,1
2023-03-14,1
2023-03-15,1
2023-03-27,3
2023-03-29,1
2023-03-31,1
2023-04-04,1
2023-04-05,1
2023-04-06,1
2023-04-18,1
2023-04-19,1
2023-04-26,2
2023-04-27,1
2023-05-08,3
2023-05-11,1
2023-05-15,1
2023-05-17,1
2023-05-22,1
2023-05-23,1
2023-06-02,1
2023-06-06,1
2023-06-07,2
2023-06-08,1
2023-06-19,1
2023-06-21,1
2023-06-30,1
2023-07-06,1
2023-07-07,1
2023-07-24,1
2023-07-26,1
2023-08-15,2
2023-08-23,1
2023-08-24,1
2023-08-28,1
2023-09-01,1
2023-09-04,1
2023-09-06,1
2023-09-11,1
2023-09-15,1
2023-09-18,1
2023-09-20,1
2023-09-25,2
2023-09-28,1
2023-10-10,1
2023-10-13,1
2023-10-17,2
2023-10-23,1
2023-10-24,2
2023-10-27,1
2023-10-31,1
2023-11-06,2
2023-11-07,2
2023-11-08,2
2023-11-16,1
2023-11-17,2
2023-11-21,1
2023-11-24,1
2023-11-30,1
2023-12-03,1
2023-12-04,1
2023-12-14,2
2023-12-19,1
2023-12-20,1
2023-12-21,1
2023-12-22,1
2023-12-25,2
2024-01-10,1
2024-01-16,1
2024-02-01,1
2024-02-05,1
2024-02-12,1
2024-02-16,1
2024-02-19,1
2024-02-21,1
2024-02-22,1
2024-03-05,2
