created_at,pull_requests
2014-06-17,1
2014-07-11,1
2014-08-18,2
2014-08-26,1
2014-08-27,1
2014-10-18,1
2014-11-03,1
2014-11-21,1
2014-11-25,1
2014-12-07,1
2015-01-16,1
2015-01-30,1
2015-02-25,1
2015-03-03,1
2015-03-26,1
2015-04-21,1
2015-05-02,1
2015-05-04,1
2015-06-09,1
2015-06-12,1
2015-06-25,1
2015-07-23,1
2015-08-31,1
2015-09-17,1
2015-10-24,1
2015-10-28,1
2015-12-02,1
2015-12-09,1
2015-12-15,1
2016-01-06,1
2016-01-29,1
2016-02-03,1
2016-02-25,1
2016-03-01,2
2016-03-02,1
2016-03-16,1
2016-04-13,1
2016-04-15,1
2016-05-02,2
2016-05-12,1
2016-05-23,2
2016-05-24,2
2016-06-09,1
2016-06-23,1
2016-07-13,1
2016-07-26,1
2016-07-27,1
2016-09-14,1
2016-10-31,1
2016-11-14,2
2016-12-21,2
2017-01-09,1
2017-02-03,1
2017-02-07,1
2017-02-15,1
2017-02-24,1
2017-03-02,1
2017-03-26,1
2017-04-05,1
2017-04-11,2
2017-04-13,1
2017-04-17,1
2017-04-21,1
2017-05-03,1
2017-05-08,2
2017-05-24,1
2017-06-01,1
2017-06-02,1
2017-06-22,1
2017-06-23,1
2017-07-06,1
2017-07-11,1
2017-07-21,1
2017-07-31,1
2017-08-04,1
2017-09-20,1
2017-10-03,1
2017-10-06,1
2017-11-19,1
2017-12-08,1
2017-12-09,1
2017-12-22,1
2017-12-28,1
2018-01-09,1
2018-01-11,1
2018-02-09,1
2018-02-18,1
2018-03-05,1
2018-03-08,1
2018-03-13,1
2018-04-04,3
2018-04-11,9
2018-04-12,1
2018-04-14,1
2018-04-21,1
2018-05-01,1
2018-05-03,1
2018-05-16,2
2018-05-24,2
2018-05-25,2
2018-05-30,1
2018-06-19,1
2018-06-23,1
2018-06-26,2
2018-06-28,1
2018-07-02,1
2018-07-05,1
2018-07-08,1
2018-07-12,1
2018-07-14,1
2018-07-19,1
2018-07-26,1
2018-08-03,1
2018-08-08,1
2018-09-11,1
2018-09-18,2
2018-09-19,1
2018-10-05,1
2018-10-23,1
2018-10-24,1
2018-10-31,1
2018-11-05,1
2018-11-06,1
2018-11-07,1
2018-11-08,2
2018-11-09,2
2018-11-11,1
2018-11-12,1
2018-11-13,1
2018-11-14,2
2018-11-17,1
2018-11-23,1
2018-11-24,1
2018-11-28,3
2018-12-07,2
2018-12-14,1
2018-12-29,1
2019-01-03,1
2019-01-04,1
2019-01-05,1
2019-01-12,1
2019-01-14,2
2019-01-20,2
2019-01-21,2
2019-01-23,1
2019-01-24,1
2019-01-25,1
2019-01-29,2
2019-02-08,1
2019-02-11,1
2019-02-13,1
2019-02-15,1
2019-02-20,1
2019-02-24,1
2019-03-04,1
2019-03-06,1
2019-03-07,1
2019-03-08,2
2019-03-09,1
2019-03-12,1
2019-03-13,1
2019-03-14,6
2019-03-15,5
2019-03-16,2
2019-03-17,3
2019-03-18,1
2019-03-20,2
2019-03-21,1
2019-03-23,1
2019-03-27,2
2019-03-28,1
2019-03-29,3
2019-03-31,26
2019-04-01,23
2019-04-02,1
2019-04-03,5
2019-04-04,2
2019-04-07,22
2019-04-08,1
2019-04-09,1
2019-04-10,1
2019-04-11,3
2019-04-13,2
2019-04-14,22
2019-04-16,2
2019-04-17,11
2019-04-18,1
2019-04-19,1
2019-04-22,4
2019-04-25,2
2019-04-29,5
2019-05-01,1
2019-05-02,1
2019-05-05,3
2019-05-07,1
2019-05-08,3
2019-05-10,1
2019-05-12,2
2019-05-13,1
2019-05-17,2
2019-05-19,5
2019-05-23,1
2019-05-24,1
2019-05-26,1
2019-05-28,1
2019-05-29,1
2019-05-30,2
2019-05-31,1
2019-06-02,3
2019-06-06,2
2019-06-09,4
2019-06-10,1
2019-06-14,2
2019-06-15,1
2019-06-23,1
2019-06-25,1
2019-06-26,1
2019-06-28,1
2019-06-30,3
2019-07-01,1
2019-07-02,2
2019-07-03,7
2019-07-09,1
2019-07-10,1
2019-07-11,1
2019-07-12,1
2019-07-16,8
2019-07-17,3
2019-07-18,3
2019-07-19,1
2019-07-21,3
2019-07-23,2
2019-07-24,3
2019-07-26,1
2019-07-28,5
2019-07-29,2
2019-07-30,3
2019-07-31,2
2019-08-01,1
2019-08-04,2
2019-08-06,2
2019-08-07,1
2019-08-08,2
2019-08-09,2
2019-08-11,3
2019-08-12,1
2019-08-13,1
2019-08-14,1
2019-08-15,1
2019-08-16,4
2019-08-18,26
2019-08-19,2
2019-08-20,1
2019-08-21,2
2019-08-22,31
2019-08-23,2
2019-08-25,3
2019-08-26,1
2019-08-27,1
2019-08-29,1
2019-09-01,2
2019-09-03,1
2019-09-04,1
2019-09-05,2
2019-09-06,3
2019-09-08,1
2019-09-09,2
2019-09-15,3
2019-09-17,1
2019-09-18,1
2019-09-19,65
2019-09-20,1
2019-09-22,2
2019-09-23,1
2019-09-24,1
2019-09-27,2
2019-09-28,1
2019-09-29,2
2019-10-06,3
2019-10-08,1
2019-10-09,1
2019-10-10,5
2019-10-11,6
2019-10-13,6
2019-10-14,4
2019-10-15,1
2019-10-17,1
2019-10-18,3
2019-10-21,2
2019-10-24,2
2019-10-27,5
2019-11-07,3
2019-11-10,4
2019-11-17,9
2019-11-18,1
2019-11-21,4
2019-11-22,3
2019-11-25,1
2019-12-05,18
2019-12-06,4
2019-12-08,2
2019-12-10,1
2019-12-11,37
2019-12-12,3
2019-12-13,2
2019-12-15,2
2019-12-18,1
2019-12-22,5
2019-12-28,1
2019-12-29,5
2020-01-05,30
2020-01-06,1
2020-01-07,1
2020-01-08,1
2020-01-09,5
2020-01-12,5
2020-01-13,1
2020-01-16,2
2020-01-17,5
2020-01-18,1
2020-01-19,2
2020-01-20,4
2020-01-23,1
2020-01-25,3
2020-01-26,4
2020-01-30,1
2020-02-01,1
2020-02-03,1
2020-02-06,1
2020-02-07,2
2020-02-10,4
2020-02-11,4
2020-02-16,4
2020-02-23,9
2020-02-25,1
2020-02-27,2
2020-03-01,3
2020-03-02,3
2020-03-03,7
2020-03-04,1
2020-03-06,1
2020-03-08,4
2020-03-10,2
2020-03-15,3
2020-03-20,1
2020-03-22,2
