created_at,pull_requests
2016-04-12,4
2016-04-14,6
2016-04-28,1
2016-04-29,1
2016-04-30,1
2016-05-24,1
2016-05-26,2
2016-06-01,1
2016-06-14,1
2016-06-20,1
2016-06-27,1
2016-06-29,4
2016-07-09,3
2016-07-10,1
2016-07-19,6
2016-07-24,1
2016-07-27,1
2016-07-28,1
2016-07-30,3
2016-07-31,2
2016-08-01,1
2016-08-02,1
2016-08-03,1
2016-08-04,2
2016-08-05,1
2016-08-07,1
2016-08-10,2
2016-08-17,1
2016-08-18,1
2016-08-23,1
2016-08-24,1
2016-08-25,4
2016-08-26,7
2016-08-27,6
2016-08-28,2
2016-08-29,7
2016-08-30,2
2016-08-31,3
2016-09-02,2
2016-09-03,1
2016-09-05,1
2016-09-09,1
2016-09-11,1
2016-09-12,1
2016-09-14,1
2016-09-19,1
2016-09-22,1
2016-09-25,1
2016-09-29,2
2016-09-30,1
2016-10-05,1
2016-10-06,1
2016-10-08,1
2016-10-09,1
2016-10-11,1
2016-10-13,1
2016-10-17,1
2016-10-18,1
2016-10-19,1
2016-10-20,5
2016-10-22,3
2016-10-23,1
2016-10-24,1
2016-10-25,3
2016-10-26,3
2016-10-27,2
2016-10-30,1
2016-10-31,4
2016-11-02,7
2016-11-03,1
2016-11-05,1
2016-11-08,3
2016-11-11,1
2016-11-13,1
2016-11-14,4
2016-11-15,1
2016-11-16,2
2016-11-18,1
2016-11-19,3
2016-11-22,3
2016-11-23,2
2016-11-25,1
2016-11-26,3
2016-12-01,3
2016-12-03,1
2016-12-04,3
2016-12-05,1
2016-12-06,1
2016-12-07,2
2016-12-09,1
2016-12-13,1
2016-12-16,1
2016-12-17,1
2016-12-18,1
2016-12-21,1
2016-12-22,2
2017-01-10,1
2017-01-14,2
2017-01-18,1
2017-01-19,2
2017-01-20,1
2017-01-22,1
2017-01-23,2
2017-01-25,1
2017-01-26,1
2017-01-31,1
2017-02-02,2
2017-02-08,3
2017-02-09,1
2017-02-10,1
2017-02-12,1
2017-02-20,1
2017-02-21,2
2017-02-24,1
2017-02-27,1
2017-02-28,2
2017-03-01,1
2017-03-03,3
2017-03-04,2
2017-03-08,3
2017-03-09,2
2017-03-10,2
2017-03-16,1
2017-03-17,1
2017-03-21,1
2017-04-03,4
2017-04-05,1
2017-04-07,2
2017-04-08,1
2017-04-10,1
2017-04-18,4
2017-04-19,2
2017-04-21,1
2017-05-04,2
2017-05-05,3
2017-05-10,3
2017-05-11,1
2017-05-22,6
2017-05-23,3
2017-05-24,1
2017-05-25,1
2017-06-05,1
2017-06-06,1
2017-06-07,1
2017-06-08,2
2017-06-13,1
2017-06-14,2
2017-06-16,1
2017-06-20,1
2017-06-21,1
2017-06-23,1
2017-06-29,1
2017-06-30,1
2017-07-02,1
2017-07-03,1
2017-07-07,1
2017-07-08,2
2017-07-10,2
2017-07-11,1
2017-07-13,1
2017-07-14,1
2017-07-19,1
2017-07-24,1
2017-08-06,1
2017-08-07,1
2017-08-08,1
2017-08-09,1
2017-08-10,1
2017-08-11,7
2017-08-12,1
2017-08-13,2
2017-08-14,2
2017-08-15,1
2017-08-16,2
2017-08-17,2
2017-08-18,2
2017-08-19,1
2017-08-26,1
2017-09-01,1
2017-09-06,1
2017-09-09,1
2017-09-18,1
2017-09-19,3
2017-09-25,1
2017-10-04,1
2017-10-25,1
2017-11-03,1
2017-11-07,3
2017-11-08,1
2017-11-09,1
2017-11-13,2
2017-11-14,1
2017-11-18,2
2017-11-19,3
2017-11-20,1
2017-11-24,1
2017-11-28,3
2017-12-08,1
2017-12-10,2
2017-12-11,1
2017-12-15,1
2017-12-16,3
2017-12-19,5
2017-12-20,2
2017-12-22,1
2017-12-29,2
2018-01-03,1
2018-01-14,1
2018-01-15,1
2018-01-16,1
2018-01-19,1
2018-01-29,2
2018-01-31,1
2018-02-02,1
2018-02-15,2
2018-02-20,1
2018-02-25,1
2018-02-26,1
2018-02-28,2
2018-04-02,1
2018-04-05,1
2018-04-08,1
2018-04-24,1
2018-04-30,1
2018-05-01,1
2018-05-02,2
2018-05-03,1
2018-05-05,1
2018-05-08,1
2018-05-11,2
2018-05-14,4
2018-05-15,1
2018-05-16,4
2018-05-17,5
2018-05-20,1
2018-05-22,3
2018-06-11,1
2018-07-17,3
2018-07-25,1
2018-07-26,1
2018-08-03,2
2018-09-20,1
2018-09-21,1
2018-09-26,1
2018-09-30,1
2018-10-08,1
2018-10-17,1
2018-10-18,1
2018-10-22,1
2018-10-26,1
2019-01-22,1
2019-01-24,1
2019-02-27,1
2019-05-27,1
2019-05-31,1
2019-06-25,1
2019-08-15,2
2019-11-12,1
2019-12-28,1
2020-02-19,1
2020-03-15,1
2020-03-16,1
2020-03-24,1
2020-03-27,1
2020-04-05,1
2020-04-16,1
2020-07-16,1
2020-07-21,1
2020-08-13,2
2020-09-04,1
2020-09-08,1
2020-11-24,1
2020-12-11,1
2021-03-22,1
2021-03-30,1
2021-04-19,1
2021-05-07,1
2021-05-08,1
2021-05-09,1
2021-05-12,1
2021-05-25,1
2021-06-21,1
2021-08-03,1
2021-08-10,1
2021-09-21,1
2022-02-11,1
2022-03-16,1
2022-03-23,1
2022-05-04,4
2022-05-06,1
2022-06-23,1
2022-07-20,1
2022-10-28,1
2022-12-03,1
2022-12-08,1
2023-01-08,1
2023-02-26,1
2024-02-05,1
