created_at,pull_requests
2019-08-02,1
2019-08-08,1
2019-08-14,1
2019-08-23,1
2019-08-26,1
2019-08-28,2
2019-08-30,1
2019-09-02,1
2019-09-06,1
2019-09-07,1
2019-09-09,1
2019-09-10,1
2019-09-11,2
2019-09-17,1
2019-09-19,2
2019-09-26,6
2019-10-08,2
2019-10-15,2
2019-10-16,1
2019-10-17,2
2019-10-18,2
2019-10-21,1
2019-10-29,2
2019-11-05,1
2019-11-06,2
2019-11-14,3
2019-11-15,3
2019-11-16,1
2019-11-19,5
2019-11-20,2
2019-11-22,2
2019-11-27,6
2019-11-28,3
2019-12-02,1
2019-12-04,7
2019-12-05,2
2019-12-06,4
2019-12-07,3
2019-12-09,3
2019-12-10,3
2019-12-11,5
2019-12-12,3
2019-12-13,1
2019-12-16,1
2019-12-17,1
2019-12-18,1
2019-12-20,3
2019-12-25,1
2019-12-26,2
2019-12-27,2
2019-12-28,2
2019-12-29,1
2019-12-31,1
2020-01-06,2
2020-01-07,6
2020-01-08,1
2020-01-09,3
2020-01-10,2
2020-01-11,4
2020-01-12,2
2020-01-13,2
2020-01-15,1
2020-01-16,1
2020-01-17,3
2020-01-19,4
2020-01-20,2
2020-01-21,4
2020-01-24,1
2020-02-03,1
2020-02-04,1
2020-02-06,1
2020-02-12,1
2020-02-13,5
2020-02-14,4
2020-02-16,1
2020-02-18,1
2020-02-20,3
2020-02-25,2
2020-02-26,2
2020-03-03,1
2020-03-13,3
2020-03-17,1
2020-03-20,1
2020-03-23,2
2020-03-24,7
2020-03-25,1
2020-03-26,2
2020-03-27,8
2020-03-28,1
2020-03-29,1
2020-03-30,4
2020-03-31,2
2020-04-01,2
2020-04-02,36
2020-04-03,2
2020-04-05,1
2020-04-07,9
2020-04-08,3
2020-04-09,4
2020-04-10,2
2020-04-11,6
2020-04-13,3
2020-04-14,6
2020-04-15,1
2020-04-16,11
2020-04-17,1
2020-04-18,6
2020-04-19,3
2020-04-20,1
2020-04-23,3
2020-04-24,3
2020-04-26,3
2020-04-29,12
2020-04-30,1
2020-05-01,1
2020-05-06,1
2020-05-07,2
2020-05-08,4
2020-05-09,1
2020-05-11,1
2020-05-13,1
2020-05-15,5
2020-05-16,6
2020-05-18,2
2020-05-19,3
2020-05-20,1
2020-05-21,2
2020-05-22,2
2020-05-23,1
2020-05-25,2
2020-05-26,1
2020-05-30,1
2020-06-02,1
2020-06-05,2
2020-06-09,2
2020-06-11,2
2020-06-12,1
2020-06-13,1
2020-06-15,1
2020-06-17,1
2020-06-24,1
2020-06-28,2
2020-06-30,4
2020-07-01,3
2020-07-02,1
2020-07-03,3
2020-07-05,1
2020-07-06,3
2020-07-07,6
2020-07-08,2
2020-07-09,1
2020-07-10,5
2020-07-12,1
2020-07-13,1
2020-07-14,2
2020-07-15,5
2020-07-16,2
2020-07-17,2
2020-07-22,1
2020-07-23,1
2020-07-24,6
2020-07-25,2
2020-07-30,3
2020-07-31,5
2020-08-03,1
2020-08-09,2
2020-08-20,3
2020-08-21,5
2020-08-25,1
2020-08-26,1
2020-08-27,1
2020-08-28,3
2020-09-01,2
2020-09-03,4
2020-09-04,2
2020-09-05,2
2020-09-07,2
2020-09-08,2
2020-09-11,3
2020-09-15,2
2020-09-16,2
2020-09-17,1
2020-09-18,2
2020-09-21,1
2020-09-24,1
2020-09-28,1
2020-10-12,4
2020-12-18,1
2020-12-24,2
2021-01-08,1
2021-01-14,1
2021-01-15,4
2021-01-26,1
2021-02-05,2
2021-02-23,1
2021-02-25,4
2021-02-26,2
2021-03-01,3
2021-03-02,4
2021-03-03,1
2021-03-04,2
2021-03-05,2
2021-03-12,1
2021-03-18,1
2021-03-19,1
2021-03-24,1
2021-03-29,1
2021-03-31,1
2021-04-06,1
2021-04-07,1
2021-04-08,3
2021-04-13,4
2021-04-14,5
2021-04-15,2
2021-04-16,3
2021-04-28,1
2021-04-29,1
2021-05-12,2
2021-05-13,1
2021-05-24,1
2021-06-04,1
2021-06-16,3
2021-06-17,2
2021-06-18,1
2021-06-21,2
2021-06-23,1
2021-06-24,1
2021-06-30,1
2021-07-02,1
2021-07-04,1
2021-07-05,1
2021-07-08,2
2021-07-09,3
2021-07-10,1
2021-07-12,2
2021-07-13,1
2021-07-14,2
2021-07-23,1
2021-07-24,1
2021-07-26,1
2021-07-27,1
2021-07-28,1
2021-08-02,1
2021-08-03,1
2021-08-12,1
2021-08-16,1
2021-08-26,2
2021-08-28,1
2021-08-30,1
2021-09-03,1
2021-09-08,1
2021-09-09,1
2021-09-16,2
2021-09-17,2
2021-09-18,3
2021-09-25,2
2021-09-30,1
2021-10-09,1
2021-10-22,4
2021-10-23,2
2021-10-24,1
2021-10-25,2
2021-10-26,3
2021-10-27,1
2021-10-28,3
2021-11-01,5
2021-11-07,1
2021-11-08,1
2021-11-10,1
2021-11-12,2
2021-11-22,1
2021-11-24,1
2021-11-28,1
2021-11-29,1
2021-12-05,1
2021-12-07,1
2021-12-10,1
2021-12-13,3
2021-12-17,1
2021-12-19,1
2021-12-20,1
2021-12-22,1
2021-12-24,1
2021-12-27,1
2022-01-05,3
2022-01-08,1
2022-01-11,6
2022-01-14,1
2022-01-15,1
2022-01-17,1
2022-01-21,1
2022-01-22,5
2022-01-25,1
2022-01-26,1
2022-01-27,1
2022-01-28,3
2022-01-30,10
2022-02-02,4
2022-02-07,1
2022-02-08,2
2022-02-09,6
2022-02-11,3
2022-02-14,1
2022-02-28,1
2022-03-06,1
2022-03-10,2
2022-03-21,1
2022-03-23,1
2022-03-24,1
2022-04-20,1
2022-04-27,1
2022-05-05,1
2022-05-28,1
2022-06-06,2
2022-06-10,2
2022-06-24,1
2022-06-29,3
2022-07-08,1
2022-07-09,1
2022-07-23,1
2022-08-10,1
2022-08-15,1
2022-08-22,1
2022-10-21,4
2022-10-26,1
2022-10-27,2
2023-01-10,1
2023-02-03,1
2023-02-23,1
2023-02-25,2
2023-03-06,1
2023-06-01,2
2023-07-05,1
2023-07-12,1
2023-09-06,2
2023-09-11,1
2023-12-05,2
2023-12-09,1
2023-12-18,1
