created_at,pull_requests
2014-04-24,1
2014-04-28,1
2014-05-09,1
2014-07-31,1
2014-08-15,1
2014-08-21,1
2014-11-27,1
2015-01-20,1
2015-04-14,1
2015-04-15,1
2015-04-20,1
2015-04-22,1
2015-04-30,1
2015-05-01,1
2015-05-08,2
2015-05-13,1
2015-05-19,1
2015-06-22,1
2015-07-22,1
2015-09-03,1
2015-09-09,1
2015-10-05,1
2015-10-28,1
2015-11-10,1
2015-11-24,1
2015-12-01,1
2015-12-02,1
2015-12-03,1
2015-12-16,1
2015-12-23,1
2016-02-18,1
2016-02-25,1
2016-03-17,2
2016-06-30,1
2016-07-27,1
2016-09-22,1
2017-01-27,1
2017-02-18,1
2017-03-15,1
2017-04-17,1
2017-09-12,1
2017-09-26,2
2017-10-31,1
2017-11-10,1
2017-11-19,1
2017-12-01,1
2017-12-04,1
2017-12-09,1
2017-12-10,1
2017-12-12,1
2017-12-13,1
2018-01-24,1
2018-01-31,1
2018-02-01,1
2018-02-15,2
2018-03-15,1
2018-03-22,1
2018-04-03,1
2018-04-11,1
2018-05-03,1
2018-05-07,2
2018-05-09,1
2018-05-16,1
2018-05-22,1
2018-05-24,1
2018-05-29,1
2018-06-07,1
2018-06-08,1
2018-06-12,1
2018-06-13,2
2018-06-27,1
2018-06-28,1
2018-07-11,4
2018-07-13,1
2018-07-24,1
2018-08-01,1
2018-08-22,2
2018-08-28,1
2018-09-03,1
2018-09-27,3
2018-10-01,3
2018-10-09,1
2018-10-11,1
2018-10-16,1
2018-10-17,3
2018-10-24,1
2018-10-25,3
2018-10-26,3
2018-10-30,1
2018-10-31,1
2018-11-06,3
2018-11-19,1
2018-11-23,1
2018-11-27,1
2018-11-30,1
2018-12-04,1
2018-12-11,1
2019-01-03,1
2019-01-04,1
2019-01-09,1
2019-01-25,1
2019-03-07,1
2019-03-13,1
2019-03-18,1
2019-03-25,1
2019-03-29,1
2019-04-01,1
2019-04-03,2
2019-04-04,1
2019-04-08,1
2019-04-09,1
2019-04-10,1
2019-04-12,2
2019-04-16,4
2019-04-18,2
2019-04-24,1
2019-04-25,1
2019-04-29,3
2019-04-30,1
2019-05-02,2
2019-05-07,1
2019-05-08,2
2019-05-09,2
2019-05-10,1
2019-05-13,2
2019-05-14,1
2019-05-15,1
2019-05-16,1
2019-05-17,2
2019-05-21,1
2019-05-22,1
2019-05-23,3
2019-05-24,1
2019-05-27,1
2019-05-28,1
2019-05-29,3
2019-06-04,1
2019-06-05,6
2019-06-06,2
2019-06-13,1
2019-06-14,1
2019-06-17,2
2019-06-18,2
2019-06-19,2
2019-06-20,1
2019-06-24,1
2019-06-25,2
2019-06-27,4
2019-07-01,2
2019-07-02,1
2019-07-15,1
