created_at,pull_requests
2017-01-22,1
2017-07-28,2
2017-10-04,1
2017-10-25,2
2017-10-30,1
2017-12-13,1
2017-12-29,1
2017-12-30,4
2017-12-31,1
2018-01-02,1
2018-01-03,1
2018-01-04,1
2018-01-06,1
2018-01-14,2
2018-01-18,2
2018-04-01,1
2018-09-05,1
2018-11-02,2
2018-11-03,1
2018-11-04,1
2018-11-06,1
2018-11-17,2
2019-06-19,1
2019-07-20,1
2019-11-12,1
2020-01-11,1
2020-03-30,1
2020-03-31,1
2020-04-02,1
2020-04-03,1
2020-06-04,1
2020-06-05,1
2020-06-06,2
2020-06-07,1
2020-08-23,1
2020-09-04,1
2020-10-26,1
2020-10-28,1
2020-12-07,1
2020-12-08,1
2020-12-22,2
2021-01-01,1
2021-01-02,1
2021-01-03,1
2021-01-06,1
2021-01-14,1
2021-01-16,1
2021-01-18,1
2021-02-12,1
2021-04-08,1
2021-05-11,1
2021-06-14,1
2021-07-30,1
2021-08-02,1
2021-08-04,1
2021-08-12,1
2021-08-18,1
2021-08-23,1
2021-09-14,1
2021-10-21,1
2022-03-24,1
2022-04-11,1
2022-06-29,1
2022-08-04,1
2022-08-09,1
2022-09-02,1
2022-10-18,1
2022-11-02,1
2022-11-13,1
2022-11-21,1
2022-11-30,2
2023-03-27,2
2023-04-04,1
2023-04-08,1
2023-04-26,1
2023-05-02,1
2023-05-04,1
2023-05-25,1
2023-06-05,1
2023-07-04,1
2023-07-05,2
2023-07-12,1
2023-08-02,2
2023-10-13,1
2023-10-20,1
2023-10-31,1
2023-11-01,2
2023-11-02,1
2023-11-15,1
2023-11-23,2
2023-11-25,1
2023-11-29,1
2024-01-09,1
2024-01-10,1
2024-01-11,5
2024-01-12,8
2024-01-13,8
2024-01-14,7
2024-01-15,6
2024-01-16,6
2024-01-17,8
2024-01-18,7
2024-01-19,4
2024-02-01,1
2024-02-09,1
