created_at,pull_requests
2018-09-27,1
2018-11-20,3
2019-01-22,1
2019-08-01,1
2019-10-17,1
2019-11-01,1
2020-04-01,1
2020-10-02,1
2020-10-03,1
2020-10-28,1
2020-11-13,2
2020-11-14,1
2020-12-01,1
2020-12-13,1
2021-01-13,1
2021-01-14,1
2021-01-17,3
2021-01-21,1
2021-03-05,2
2021-03-07,1
2021-03-16,1
2021-03-21,1
2021-03-29,1
2021-03-30,3
2021-04-02,1
2021-04-14,1
2021-04-15,1
2021-04-26,1
2021-05-02,1
2021-05-09,1
2021-05-11,1
2021-05-14,2
2021-05-17,1
2021-05-21,1
2021-05-31,1
2021-06-04,1
2021-06-10,2
2021-06-12,1
2021-06-14,1
2021-06-22,2
2021-07-15,1
2021-08-04,1
2021-08-09,1
2021-08-12,1
2021-08-31,2
2021-09-15,1
2021-10-01,1
2021-10-03,1
2021-10-05,1
2021-10-08,1
2021-10-30,1
2021-11-07,1
2021-11-09,1
2021-11-26,1
2021-12-01,1
2021-12-03,1
2021-12-11,1
2022-01-01,1
2022-01-13,4
2022-01-14,2
2022-01-15,1
2022-01-21,1
2022-01-24,1
2022-02-01,1
2022-02-02,1
2022-02-09,1
2022-02-11,1
2022-02-13,1
2022-03-02,1
2022-03-14,1
2022-03-27,1
2022-04-19,1
2022-05-16,1
2022-06-03,2
2022-06-13,1
2022-06-20,1
2022-06-23,1
2022-07-13,1
2022-07-20,1
2022-08-09,1
2022-08-15,1
2022-09-12,1
2022-09-20,1
2022-10-12,1
2022-11-04,1
2022-11-07,1
2022-11-11,1
2022-11-17,1
2022-11-22,1
2022-12-01,1
2022-12-05,2
2022-12-11,1
2022-12-27,1
2022-12-28,1
2023-01-01,1
2023-01-05,1
2023-01-07,1
2023-01-09,1
2023-01-27,1
2023-02-01,1
2023-02-03,1
2023-02-24,1
2023-03-04,1
2023-03-09,1
2023-03-12,1
2023-04-21,1
2023-05-02,2
2023-05-03,1
2023-05-04,1
2023-06-08,3
2023-06-09,1
2023-07-20,1
2023-08-03,2
2023-08-07,1
2023-08-22,1
2023-08-29,1
2023-08-31,1
2023-09-20,1
2023-09-22,1
2023-11-28,1
2023-12-05,1
2023-12-15,1
2024-01-01,1
2024-01-23,1
2024-02-08,1
